PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 62, filenames: A:[62]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[63]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.1214726865,0.1759514958,1
47,65,0.02592116594,-0.0634823516,1
47,97,-0.1183149219,-0.01795555651,1
47,129,-0.1008494794,0.136576578,1
47,161,-0.08394816518,0.3879463673,1
47,193,-0.06894217432,1.128306031,1
47,225,-0.09501999617,0.1291752309,1
47,257,0.03354697675,0.04522167146,1
47,289,0.01444851141,0.04369165003,1
47,321,-0.07787507772,-0.2653585672,1
47,353,-0.005692049861,-0.1811015606,1
47,385,0.1316146851,-0.025259763,1
47,417,0.1239585876,-0.111923866,1
47,449,-0.5365630388,-0.1186049506,1
47,481,-0.770231843,-0.2145160735,1
47,513,-0.4514276385,-0.07932822406,1
47,545,0.009559243917,0.008497267962,1
47,577,0.01773134246,-0.3081950843,1
47,609,0.002649307251,-0.4243402481,1
47,641,-0.128975749,-0.1626867056,1
47,673,-0.4768004119,-18.23511696,1
47,705,-0.1753747612,0.5182816982,1
47,737,-0.04785478115,0.4995793104,1
47,769,0.3417791128,-0.2105605006,1
47,801,0.4915246964,-0.6547313929,1
47,833,0.9363632202,-0.4290112853,1
47,865,0.7535355091,0.1773441434,1
47,897,0.1259741783,0.2988184094,1
47,929,0.208406508,0.7352358103,1
47,961,0.1661736965,0.7604849339,1
47,993,-0.4525689483,0.6297771931,1
47,1025,-1.226524115,-0.08150060475,1
47,1057,-1.190196514,-0.3145512342,1
47,1089,-0.4749597311,0.04248428345,1
47,1121,-0.410512805,-0.494818151,1
47,1153,0.1628876925,-0.6300987005,1
47,1185,0.2472259998,-0.07646304369,1
47,1217,0.1575468779,-0.1032809913,1
47,1249,0.1189569831,-0.3259409666,1
47,1281,-0.1822103858,-0.3373581767,1
47,1313,-0.4746267796,-0.3826822042,1
47,1345,-0.7285784483,0.3345554173,1
47,1377,-0.5267571211,0.7858052254,1
47,1409,-0.2235625386,0.2809560299,1
47,1441,0.1301161349,-0.1363283396,1
47,1473,0.4247009158,-0.3338824809,1
47,1505,0.1366851926,-0.3201382756,1
47,1537,0.05471631885,0.01973640174,1
47,1569,-0.2688344419,0.1144564301,1
47,1601,-0.3842254877,-0.175560981,1
47,1633,-0.524668932,0.2874218225,1
47,1665,-1.048462272,0.4644213915,1
47,1697,-1.044660091,0.3138854504,1
47,1729,0.3548395634,-0.03384271264,1
47,1761,1.066442728,-0.2388825417,1
47,1793,0.1763298512,-0.9376583099,1
47,1825,-0.6211750507,-0.6641719341,1
47,1857,-0.2787885666,-0.02511096001,1
47,1889,-0.06658497453,0.1945332587,1
47,1921,0.1108635888,0.1817493439,1
47,1953,0.1390850395,0.1584764719,1
47,1985,0.02799320221,0.0005390942097,1
47,2017,-0.6487734318,-0.7465070486,1
79,33,0.02471446991,0.04874013364,1
79,65,-0.1515545249,0.04511544481,1
79,97,-0.2091705799,0.1921359599,1
79,129,-0.1681696326,-0.1071928591,1
79,161,-0.2807005644,-0.1528303027,1
79,193,-0.2222825885,0.08355718106,1
79,225,0.0215962939,-0.1898713708,1
79,257,0.3255183399,-0.1575625688,1
79,289,0.06539804488,-0.00841281563,1
79,321,-0.1513520777,-0.3045432568,1
79,353,-0.06337088346,-0.2803527117,1
79,385,0.02248106152,-0.07175784558,1
79,417,0.005273491144,0.09503618628,1
79,449,-0.1643742323,-0.1200475842,1
79,481,-0.5015898943,-0.1285729855,1
79,513,-0.3746852279,0.05520150065,1
79,545,0.09193194658,0.1210561395,1
79,577,0.05291567743,-0.00907099247,1
79,609,0.01115181297,-0.1431658417,1
79,641,-0.2240967005,-0.02581734955,1
79,673,-0.113123104,0.2457516491,1
79,705,0.0155890882,1.969782829,1
79,737,0.1907247752,1.690084219,1
79,769,-0.5017400384,0.2227917314,1
79,801,-0.635596931,-0.03885248303,1
79,833,0.2271539569,0.07601284981,1
79,865,0.308791697,0.5072346926,1
79,897,-0.3458295465,0.8593046069,1
79,929,-0.6143224239,0.6711938381,1
