PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 3, filenames: A:[3]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[4]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-10.72928238,-0.2593097687,1
47,65,-0.879478097,-0.08903381228,1
47,97,-0.3408114612,1.836182594,1
47,129,0.09612535685,-0.003041625023,1
47,161,0.4117096663,8.701345444,1
47,193,-0.2030559778,9.290302277,1
47,225,-6.422266006,14.4887228,1
47,257,-1.946730137,26.25960541,1
47,289,7.89951086,4.388634682,1
47,321,-0.05503082275,0.816190958,1
47,353,-0.1240730286,-1.285295963,1
47,385,-0.4678400755,2.737852097,1
47,417,0.1026464701,9.33216095,1
47,449,1.540676236,14.53611565,1
47,481,1.895116806,15.65481853,1
47,513,2.411053896,13.84096909,1
47,545,5.126530647,7.276292801,1
47,577,6.566305161,5.050173759,1
47,609,16.18697548,4.267961502,1
47,641,17.18361092,-9.662500381,1
47,673,11.10682297,-11.04866219,1
47,705,11.34673405,-16.94004059,1
47,737,17.04942703,16.55729675,1
47,769,4.129571915,18.61984634,1
47,801,-6.856033802,18.0428009,1
47,833,13.58572102,2.556528091,1
47,865,10.8780489,5.474133968,1
47,897,16.95174408,5.42406559,1
47,929,24.34225845,4.240252972,1
47,961,27.847229,2.970166683,1
47,993,15.55802345,20.69852638,1
47,1025,23.29697418,-0.4282040596,1
47,1057,32.2755127,-13.21077156,1
47,1089,34.01965332,-16.44589996,1
47,1121,27.61980438,-7.356393814,1
47,1153,25.29349518,-13.84550476,1
47,1185,14.31747818,-26.84509659,1
47,1217,34.66799927,-19.26056099,1
47,1249,12.63421249,-23.7619133,1
47,1281,10.14907646,-8.1027565,1
47,1313,16.85417938,-24.35345268,1
47,1345,36.11308289,-16.72135925,1
47,1377,33.90540695,-26.95940399,1
47,1409,19.24290276,-37.02052307,1
47,1441,11.37622452,4.291889191,1
47,1473,-14.80929756,10.26770973,1
47,1505,1.695623398,-5.251144409,1
47,1537,24.68275642,-27.75517654,1
47,1569,2.642936707,-25.377985,1
47,1601,18.11212921,-26.48629951,1
47,1633,27.75502396,-23.8162899,1
47,1665,7.41305542,11.08420849,1
47,1697,13.8209095,-15.32641411,1
47,1729,-9.527262688,-3.996417999,1
47,1761,-14.14156437,5.536703587,1
47,1793,-15.21922016,12.64663029,1
47,1825,-0.4503848553,-1.089812517,1
47,1857,-0.6180865765,-0.03752446175,1
47,1889,-0.4168026447,0.04828111827,1
47,1921,-0.0910705924,-0.1859796643,1
47,1953,0.1606144905,-0.2659403682,1
47,1985,0.2148968726,-0.4337533712,1
47,2017,-0.422103405,0.07826071978,1
79,33,0.02353030443,2.51314044,1
79,65,-0.2516307235,0.5966998339,1
79,97,-0.080264166,0.6697907448,1
79,129,0.4192701876,0.1124479771,1
79,161,-0.07157900929,10.53693104,1
79,193,0.3797127903,8.45051384,1
79,225,-0.4875134826,1.522205353,1
79,257,-0.06034910679,1.86445713,1
79,289,0.2220813036,0.4445800781,1
79,321,0.130982846,-0.6240475178,1
79,353,0.1453322172,-1.06298089,1
79,385,0.2567542791,0.1630177498,1
79,417,0.5264299512,6.556116581,1
79,449,1.886260509,11.12669373,1
79,481,2.861257553,12.15921021,1
79,513,2.832177639,9.578649521,1
79,545,0.6087436676,11.30946541,1
79,577,3.224435806,12.09631443,1
79,609,4.743706703,13.81127548,1
79,641,3.814913273,15.33093929,1
79,673,13.78296661,14.2046442,1
79,705,14.55742836,15.55724144,1
79,737,1.765287399,27.33341026,1
79,769,31.59735489,12.75029564,1
79,801,29.11302185,1.569936752,1
79,833,10.34096336,8.236471176,1
79,865,11.94477272,6.487375259,1
79,897,16.58572578,6.635914803,1
79,929,24.58135223,10.44444561,1
79,961,27.86753082,9.63325882,1
79,993,34.2705307,3.455984831,1
79,1025,31.38786125,-0.2340465784,1
79,1057,33.01431274,-10.90395737,1
79,1089,28.51880455,-10.01835632,1
79,1121,9.368041992,-8.385306358,1
79,1153,36.70264816,-9.366882324,1
79,1185,9.84595108,-23.99436378,1
79,1217,42.09557343,-19.11668205,1
79,1249,25.67437363,-34.65623856,1
79,1281,8.422233582,-17.34659958,1
79,1313,33.44081116,-19.11652184,1
79,1345,14.71185112,-35.72956085,1
79,1377,16.83985138,-37.87449265,1
79,1409,19.2579937,-40.75823212,1
79,1441,13.62898064,-4.28014946,1
79,1473,25.12857056,-18.18770981,1
79,1505,22.09013748,-27.28433418,1
79,1537,24.17206955,-30.28636169,1
79,1569,27.25653839,-42.80564117,1
79,1601,20.59335709,-25.32055855,1
79,1633,27.78647614,-21.27327538,1
79,1665,8.510169983,10.3016758,1
79,1697,13.891716,-20.49610138,1
79,1729,0.5785324574,-0.6731929779,1
79,1761,0.5792400837,-0.3412514925,1
79,1793,0.532990694,-0.3946296573,1
79,1825,-0.2147865891,0.2453884482,1
79,1857,-0.4416840076,-0.149406001,1
79,1889,-0.5142952204,-0.1853633076,1
79,1921,-0.226349324,0.1215383112,1
79,1953,-0.06434064358,0.09221050143,1
79,1985,-0.08453124762,-0.1282278299,1
79,2017,-0.5826772451,-0.4041294754,1
111,33,-0.3275854588,1.806141734,1
111,65,0.2616381049,19.45568848,1
111,97,0.2904648185,0.08701595664,1
111,129,0.09383327514,0.1281022877,1
111,161,-0.3962758183,0.4613668025,1
111,193,-0.5508488417,0.03038585186,1
111,225,-0.4431816936,-0.8679626584,1
111,257,-0.3020841777,-1.249211907,1
111,289,-0.08118903637,-0.6569786072,1
111,321,0.1395426393,0.05736118555,1
111,353,0.121865809,-0.5207269788,1
111,385,0.2061431855,-0.08008873463,1
111,417,0.3577969074,3.934684277,1
111,449,1.983204722,7.693423271,1
111,481,3.231234789,10.22936916,1
111,513,-0.5852711201,7.702297211,1
111,545,-12.94003391,7.454979897,1
111,577,0.686961174,-0.3198943138,1
111,609,0.4368805885,1.079376221,1
111,641,0.2808094025,0.5943660736,1
111,673,24.05472946,0.6545810699,1
111,705,21.69793701,4.730812073,1
111,737,28.22703362,21.54416656,1
111,769,18.01545715,13.35397148,1
111,801,28.54489708,0.910654068,1
111,833,12.62487984,11.27817154,1
111,865,13.83560753,9.758696556,1
111,897,19.54513741,7.649098396,1
111,929,27.24163437,10.47648239,1
111,961,29.30199242,9.941930771,1
111,993,33.59302521,9.285171509,1
111,1025,39.75920105,1.422263265,1
111,1057,39.36937332,7.096413136,1
111,1089,7.485486984,-0.564892292,1
111,1121,24.41192627,-23.67128563,1
111,1153,34.13948059,-2.354485512,1
111,1185,40.41615295,-1.330413818,1
111,1217,40.25985336,-2.77521801,1
111,1249,37.50915527,-21.73325348,1
111,1281,23.83412361,-9.391658783,1
111,1313,15.52153587,-0.05277633667,1
111,1345,22.76975632,0.2987346649,1
111,1377,43.32725525,-14.16934204,1
111,1409,40.43677521,-26.44135094,1
111,1441,42.33983612,-34.60139465,1
111,1473,19.16525269,-36.15715027,1
111,1505,31.07525253,-28.2654171,1
111,1537,25.67780113,-27.06378746,1
111,1569,24.71812248,-42.86143112,1
111,1601,33.82768631,-27.57749367,1
111,1633,19.19672394,-23.04719543,1
111,1665,8.54408741,-22.65391922,1
111,1697,4.35340929,-11.56774616,1
111,1729,14.5928669,13.06968403,1
111,1761,-5.497740746,7.366454124,1
111,1793,0.3950720727,-0.05486820638,1
111,1825,-0.2166219056,-0.3552203774,1
111,1857,-0.2237348557,-0.3686887026,1
111,1889,-0.3710403442,-0.2643805146,1
111,1921,-0.235708043,0.2111507952,1
111,1953,-0.007045179605,0.2844314873,1
111,1985,-0.1191746593,-0.05720895529,1
111,2017,-0.391828239,-1.070844889,1
143,33,-0.3510132432,0.8914755583,1
143,65,0.05037065595,19.07303238,1
143,97,0.1523355395,0.08586418629,1
143,129,0.01583522931,-0.06570419669,1
143,161,-0.06909245998,-0.1617273092,1
143,193,-0.2208951116,-0.422159791,1
143,225,-0.544506669,0.0237275362,1
143,257,-15.90166759,-1.284935355,1
143,289,-0.5867053866,18.31394386,1
143,321,-0.4895165861,0.7335339785,1
143,353,-0.943667531,-8.268845558,1
143,385,0.3096225262,0.1229710877,1
143,417,0.4072248936,1.564847946,1
143,449,1.118251085,2.933051109,1
143,481,1.64402616,8.347699165,1
143,513,2.108783245,9.298818588,1
143,545,2.775338173,5.633021355,1
143,577,3.095859289,15.26632214,1
143,609,0.6525421143,0.1500673294,1
143,641,11.7912159,2.944189072,1
143,673,5.840630531,11.64763927,1
143,705,23.84939766,7.771699905,1
143,737,27.78939056,22.08895874,1
143,769,18.75391769,14.31255627,1
143,801,15.80432796,8.173581123,1
143,833,18.13381004,12.0199337,1
143,865,18.91998863,10.66225529,1
143,897,25.37120628,-8.983362198,1
143,929,28.81387711,9.740999222,1
143,961,22.87898827,3.399360657,1
143,993,26.95536423,1.930283546,1
143,1025,28.87075424,-0.1133776307,1
143,1057,27.27695084,-3.229801416,1
143,1089,10.75004578,-1.979240894,1
143,1121,10.32787323,-3.004863739,1
143,1153,9.204755783,-2.230927467,1
143,1185,20.33329582,7.465328217,1
143,1217,30.44173241,-11.68984222,1
143,1249,4.819984436,-23.9522438,1
143,1281,12.81797409,-2.931004524,1
143,1313,43.32250214,-19.58060265,1
143,1345,5.242153168,-18.71880341,1
143,1377,32.03238297,-24.82311821,1
143,1409,38.99895477,-27.95652199,1
143,1441,50.5501976,-30.89063644,1
143,1473,53.08111954,-36.60222244,1
143,1505,47.10150909,-35.26450348,1
143,1537,26.33275986,-24.73096848,1
143,1569,23.64094734,-30.58614159,1
143,1601,20.69809341,-27.89161491,1
143,1633,-3.872624397,-15.65977287,1
143,1665,2.321261406,-25.8995018,1
143,1697,25.58226013,-4.731336117,1
143,1729,2.282148838,-1.646178246,1
143,1761,0.3938525915,0.3666083813,1
143,1793,-0.005673259497,0.3297954202,1
143,1825,0.192186296,-0.4417392015,1
143,1857,0.2320609093,-0.3209649622,1
143,1889,0.2959722281,0.1733533144,1
143,1921,0.1521309912,0.3478020728,1
143,1953,-0.1784424335,0.4232182503,1
143,1985,-0.3528701663,0.2571533918,1
143,2017,-0.1449927092,-1.552239895,1
175,33,-14.42180157,1.358664751,1
175,65,-0.08230865747,-0.1647858024,1
175,97,-0.002676516771,0.5348074436,1
175,129,0.179273352,0.1545192152,1
175,161,0.185710907,-0.6228426695,1
175,193,0.2686408758,-0.2928148508,1
175,225,0.2122400999,1.25880909,1
175,257,-0.4420553446,23.69937515,1
175,289,-2.502315998,13.47392082,1
175,321,-6.261457443,10.30075836,1
175,353,-13.05844402,1.132110953,1
175,385,0.4072816372,0.169975996,1
175,417,0.7253838181,0.2043398619,1
175,449,0.6579796672,0.8424935341,1
175,481,-0.1958233118,1.822088718,1
175,513,0.1867659092,3.414238214,1
175,545,1.05442071,2.493362904,1
175,577,1.662110448,3.393460512,1
175,609,1.517253876,-2.912590027,1
175,641,15.57356358,22.5402298,1
175,673,4.879132748,13.54966259,1
175,705,0.3931655884,-1.274606705,1
175,737,17.28676605,30.7437973,1
175,769,12.39302921,12.91664124,1
175,801,14.32450962,12.26085949,1
175,833,16.92904663,12.0563736,1
175,865,19.09059334,10.2997427,1
175,897,27.77949333,7.506157875,1
175,929,26.45428467,8.828035355,1
175,961,31.24295807,8.165671349,1
175,993,26.93548965,1.087174058,1
175,1025,28.40995789,-0.8637366295,1
175,1057,27.26805878,-6.722489834,1
175,1089,35.63835907,-15.191082,1
175,1121,34.36410522,-17.50013733,1
175,1153,29.9994545,6.605268478,1
175,1185,26.43969154,7.359630585,1
175,1217,18.47345734,-32.75258636,1
175,1249,3.740236282,-23.54157829,1
175,1281,39.76992035,-15.15335464,1
175,1313,41.51454163,-17.25830078,1
175,1345,31.02082634,-13.49274826,1
175,1377,27.20167732,-19.98750305,1
175,1409,32.56690216,-34.87626648,1
175,1441,40.79314423,-33.19435501,1
175,1473,24.35879135,-42.88294601,1
175,1505,24.67168427,-30.11578941,1
175,1537,34.60448456,-21.80680847,1
175,1569,29.27686691,-18.19233704,1
175,1601,21.84339523,-29.85279465,1
175,1633,4.530117989,-4.937606812,1
175,1665,23.24593353,-19.74583435,1
175,1697,0.7917118073,-1.890269756,1
175,1729,-1.126461506,0.8386006355,1
175,1761,0.6246551275,16.75773048,1
175,1793,0.7102831602,13.7092638,1
175,1825,1.344418883,10.84509468,1
175,1857,0.407586813,-0.2660853863,1
175,1889,0.5653648973,-0.1877572238,1
175,1921,0.3364858627,0.2811891139,1
175,1953,-0.390752852,0.4968064129,1
175,1985,-0.692024231,0.5957145691,1
175,2017,-0.01322510839,-1.800816536,1
207,33,0.9878736734,-0.188290596,1
207,65,16.48249435,-0.677118957,1
207,97,-0.201047644,0.6452207565,1
207,129,0.1358842105,-0.01579549909,1
207,161,0.05951216817,-0.9623557329,1
207,193,0.1348078549,0.2204658389,1
207,225,-0.4820976853,4.140846729,1
207,257,0.3052027225,2.468192101,1
207,289,-0.8367228508,15.86467361,1
207,321,-0.2636038661,11.72114468,1
207,353,-0.05072496086,0.7642912865,1
207,385,0.4274361134,0.2184055448,1
207,417,0.7152996659,-0.4460628033,1
207,449,-0.01352405548,-0.3935525417,1
207,481,-0.6306396723,-0.03828573227,1
207,513,-0.08310568333,1.458573103,1
207,545,-0.271261692,0.8851613998,1
207,577,-1.668962717,-4.631615639,1
207,609,6.070845604,16.29227448,1
207,641,7.052443504,13.42613792,1
207,673,4.949782372,12.96380329,1
207,705,-4.372447968,27.04843521,1
207,737,-4.199565887,26.14127731,1
207,769,12.59202957,22.35699654,1
207,801,12.57527161,13.17024803,1
207,833,14.46479416,11.69972992,1
207,865,22.05651855,10.41467094,1
207,897,24.82772255,11.79910469,1
207,929,25.24666405,11.38204384,1
207,961,30.86052132,9.748423576,1
207,993,35.29904175,6.247504234,1
207,1025,23.40895081,-3.421439648,1
207,1057,26.25731087,-10.30964279,1
207,1089,28.4371891,-15.58160305,1
207,1121,43.1553421,-22.8140316,1
207,1153,31.45458031,4.942088127,1
207,1185,4.665987015,-9.413124084,1
207,1217,11.56343269,-21.10634613,1
207,1249,6.096076965,-28.00654984,1
207,1281,25.38925934,-21.49251175,1
207,1313,21.16054726,-9.961574554,1
207,1345,26.24771309,-13.47155571,1
207,1377,30.38933563,-18.1838665,1
207,1409,33.59568787,-19.8477993,1
207,1441,33.90858459,-31.52212143,1
207,1473,12.17788506,-35.45698547,1
207,1505,38.61675262,-7.082714081,1
207,1537,22.66305733,-36.51277542,1
207,1569,10.66861534,-6.404273987,1
207,1601,8.02500248,-8.482414246,1
207,1633,20.1468811,-25.87807274,1
207,1665,20.13212204,6.550410271,1
207,1697,22.07954025,3.794693947,1
207,1729,-1.028459311,0.7790238857,1
207,1761,-1.034571171,18.06362534,1
207,1793,3.980189562,-19.38852692,1
207,1825,2.5351789,-18.64730263,1
207,1857,0.3612415195,14.7465868,1
207,1889,0.4973238111,-0.1950266212,1
207,1921,0.2324103415,0.1842418015,1
207,1953,-0.1501667202,0.2689939737,1
207,1985,-0.3103278279,0.1816592664,1
207,2017,0.1771086454,-1.80243206,1
239,33,0.5763332844,-0.3119115829,1
239,65,-0.2066280842,0.6618894935,1
239,97,0.03544460982,0.4738976955,1
239,129,0.2243919969,-0.3926303387,1
239,161,0.1457175314,-0.8692638874,1
239,193,-0.3581677377,0.1364149153,1
239,225,2.91597414,13.08993721,1
239,257,-0.01506721973,2.49767971,1
