PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 8, filenames: A:[8]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[9]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.1781967282,0.09804284573,1
47,65,0.1618487239,0.09087240696,1
47,97,-0.0142737329,0.242277205,1
47,129,-0.2606292367,0.6242939234,1
47,161,-7.925363541,4.732436657,1
47,193,-9.191418648,2.169092417,1
47,225,0.03878007457,0.113581419,1
47,257,0.1014066339,0.07333058119,1
47,289,0.09438908845,0.4241858423,1
47,321,-0.04331052676,0.2958468199,1
47,353,0.04910587519,-0.02222681046,1
47,385,0.1009724587,0.1828954816,1
47,417,0.1492954493,0.3032264113,1
47,449,0.3167400956,0.07287362218,1
47,481,0.06065899134,0.05338826776,1
47,513,-0.09780845046,0.2422466278,1
47,545,-0.0560721308,-0.1236801445,1
47,577,-0.1695260406,-0.4377266765,1
47,609,-0.3860445023,-0.8400243521,1
47,641,-0.654135108,-1.189167976,1
47,673,-0.1026104689,-1.07644403,1
47,705,0.06092458963,-0.1744166017,1
47,737,-0.9303321838,1.313965082,1
47,769,-2.736641884,3.037159443,1
47,801,-1.537832141,2.797460794,1
47,833,0.164722085,-0.1370370388,1
47,865,1.026108742,-0.4828541875,1
47,897,1.115785599,0.6812291145,1
47,929,0.4950567484,1.112415314,1
47,961,4.588124275,-1.846387148,1
47,993,5.163976192,-3.39266634,1
47,1025,-15.2334671,-11.14835453,1
47,1057,-8.568673134,-16.04657364,1
47,1089,-1.085412979,-3.266993523,1
47,1121,-0.2406277657,-1.075102568,1
47,1153,-0.1836339235,0.1006953716,1
47,1185,1.382021904,-0.1992758512,1
47,1217,3.93304491,-0.7027583718,1
47,1249,5.110058784,-1.143102407,1
47,1281,4.678212166,-2.386200428,1
47,1313,4.319308281,-4.6550107,1
47,1345,4.512274742,-3.45200634,1
47,1377,6.583885193,-2.855819702,1
47,1409,9.778756142,-3.14648819,1
47,1441,6.790339947,-3.145690918,1
47,1473,6.993619919,-4.322146416,1
47,1505,7.721253395,-2.989844322,1
47,1537,7.557337761,-1.638282537,1
47,1569,7.974900246,-1.559273839,1
47,1601,7.928098202,-2.524373293,1
47,1633,6.458474159,-1.922262669,1
47,1665,5.401251793,-17.07909012,1
47,1697,6.431647778,-1.912776709,1
47,1729,3.835240602,0.09626746178,1
47,1761,2.631697178,2.648926973,1
47,1793,4.344326019,3.169492245,1
47,1825,5.449970722,0.8861069679,1
47,1857,2.321437359,-1.429494381,1
47,1889,0.2591924667,-0.7689266205,1
47,1921,0.7350916266,-1.079208851,1
47,1953,-1.324876785,0.9511346817,1
47,1985,1.792299628,-0.191663146,1
47,2017,29.97250366,-10.00535774,1
79,33,-0.1409944594,0.112387687,1
79,65,0.0496738106,-0.1040884033,1
79,97,0.1049415916,-0.01974309981,1
79,129,-0.1969702989,0.1851829141,1
79,161,-3.705902338,4.379166603,1
79,193,-1.595089912,1.586347103,1
79,225,-0.002050701529,0.3330131471,1
79,257,0.2013205588,0.3448143303,1
79,289,0.002596907318,0.6643151045,1
79,321,-0.04303027689,0.3666826487,1
79,353,0.01672019064,-0.05060072243,1
79,385,0.08413796127,-0.05917499959,1
79,417,0.06586240232,-0.04736210406,1
79,449,-0.09079068899,0.02202554047,1
79,481,-0.3122678697,-0.1300888658,1
79,513,-0.4022215903,-0.1623898447,1
79,545,0.06168842316,0.003152519464,1
79,577,0.1193687022,-0.02406397462,1
79,609,0.1278633475,-0.283180654,1
79,641,-0.4905682206,-0.5095154047,1
79,673,16.49489021,1.197172403,1
79,705,-1.074571848,0.3472107053,1
79,737,-2.634802818,1.435330272,1
79,769,-1.577091575,1.817163825,1
79,801,-0.7649616003,2.580319405,1
79,833,-0.9505435228,1.088398576,1
79,865,0.1158227324,0.3712849617,1
79,897,0.6233026981,0.1814600825,1
79,929,0.6554815769,0.1157443821,1
79,961,1.451232553,0.2378899157,1
79,993,2.698669434,-0.9375860691,1
79,1025,2.757493973,-2.281611919,1
79,1057,2.375103474,-2.528796434,1
79,1089,0.8653724194,-1.978701591,1
79,1121,0.846470356,-1.551227331,1
79,1153,1.564184904,-1.420954227,1
79,1185,0.3541049957,-1.48199296,1
79,1217,3.217940331,-2.036953926,1
79,1249,4.360638142,-2.001732588,1
79,1281,5.350217342,-2.98133564,1
79,1313,6.235328197,-3.619184256,1
79,1345,6.726346016,-2.45969677,1
79,1377,8.060251236,-1.810446024,1
79,1409,7.299464226,-3.343206882,1
79,1441,7.148124695,-2.566325903,1
79,1473,7.118506908,-2.463215351,1
79,1505,7.454848766,-1.741786718,1
79,1537,7.743782043,-2.047567844,1
79,1569,8.254826546,-2.278828621,1
79,1601,7.571916103,-2.219408751,1
79,1633,6.939842701,-2.232885361,1
79,1665,6.73971653,-2.321253538,1
79,1697,6.337992191,-2.604096889,1
79,1729,6.362645626,-2.691578865,1
79,1761,6.141322136,-3.223387241,1
79,1793,6.601433277,-0.7633972168,1
79,1825,6.890360832,-1.335392237,1
79,1857,2.73388195,-1.650334358,1
79,1889,0.8316438198,0.03499817848,1
79,1921,0.3770339191,-0.1122392789,1
79,1953,-1.307124615,0.5120017529,1
79,1985,-0.02039918303,-0.25790447,1
79,2017,-1.367535591,-5.717692852,1
111,33,-0.2075070739,0.223981753,1
111,65,-0.1964531839,-0.1340066344,1
111,97,0.01688231155,-0.1791310906,1
