PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[10]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.9363509417,1.225162268,1
47,65,-0.202393949,-0.1541699767,1
47,97,0.37869519,-0.3715589643,1
47,129,0.6384186745,-0.6612496376,1
47,161,2.408660173,-0.7265590429,1
47,193,2.096270084,-0.6822640896,1
47,225,0.3910320997,-0.1972769797,1
47,257,0.09504064918,0.1453258693,1
47,289,-0.06412877142,0.08541117609,1
47,321,-0.2333402336,0.007272839546,1
47,353,-0.3193269372,0.1974170804,1
47,385,-0.07524359226,-0.0002913363278,1
47,417,0.06287670135,-0.260291934,1
47,449,0.09397995472,-0.06847262383,1
47,481,-0.009625136852,-0.450822711,1
47,513,-0.12830621,-0.4551002681,1
47,545,0.01498392224,0.1281275153,1
47,577,0.08862602711,0.1870374978,1
47,609,-0.341036737,-0.01880580187,1
47,641,-0.5628412962,-0.2567826211,1
47,673,-0.4443640709,0.1154798269,1
47,705,-0.7026658058,0.6728804111,1
47,737,-0.5852960944,0.848669529,1
47,769,0.8974218369,0.1848419905,1
47,801,-0.2097241879,-1.13882792,1
47,833,-0.6735462546,-1.679052711,1
47,865,-0.5243476033,-1.386706948,1
47,897,-0.2247009575,-0.9700944424,1
47,929,0.4997113943,-0.8852726221,1
47,961,0.7551287413,-0.7869290113,1
47,993,1.188344598,-0.07282811403,1
47,1025,1.497062564,0.173977077,1
47,1057,1.345236301,-1.908774376,1
47,1089,1.18316412,-2.570388079,1
47,1121,-1.736547828,-1.927695036,1
47,1153,-1.114908457,-1.17325592,1
47,1185,4.377120972,-2.432195187,1
47,1217,7.152739525,-3.597497463,1
47,1249,6.196767807,-1.107489109,1
47,1281,4.716972351,2.755498886,1
47,1313,-14.58376312,4.799873352,1
47,1345,3.325153112,-1.696446896,1
47,1377,-8.284513474,-8.05388546,1
