PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 27, filenames: A:[27]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[28]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
79,1953,-0.04033184052,0.05932556093,1
79,1985,-0.008549802005,-0.3314789534,1
79,2017,0.2112242281,-0.3628198802,1
111,33,-0.1395648569,0.07090328634,1
111,65,-0.004735708237,0.1052527726,1
111,97,0.3403663039,0.0552289933,1
111,129,0.3765385747,0.01399989426,1
111,161,0.2197713852,0.02563451231,1
111,193,0.1636290848,0.1697701216,1
111,225,0.02001686394,-0.1962871552,1
111,257,0.1094369739,-0.1593306065,1
111,289,0.04609274864,0.05802404881,1
111,321,0.06912738085,0.1215845942,1
111,353,0.09690901637,0.1461301148,1
111,385,-0.1323514432,0.2558296025,1
111,417,-0.08783623576,0.1236113459,1
111,449,-0.06729532778,0.006988197565,1
111,481,-0.07510520518,-0.1270957589,1
111,513,-0.07126073539,-0.2331436276,1
111,545,-0.1165277064,0.0594753176,1
111,577,0.187978372,-0.2266453803,1
111,609,0.2331104577,-0.6950883865,1
111,641,-0.1082768217,-1.201567173,1
111,673,-0.5484848619,-1.478668571,1
111,705,-1.576869845,-2.496093035,1
111,737,-0.942999959,-1.044511676,1
111,769,-10.09849644,9.107809067,1
111,801,-16.67944717,-9.599191666,1
111,833,-0.5683282614,-0.1636725664,1
111,865,-0.7935515046,-0.6642327309,1
111,897,-0.8784720898,-1.116844416,1
111,929,-0.9503026009,-0.5473576784,1
111,961,-0.9670177698,-0.2552959919,1
111,993,-1.56908083,-0.4267562628,1
111,1025,-3.358817816,-1.003320575,1
111,1057,-3.885045528,-1.155678868,1
111,1089,-2.279063463,-3.55358839,1
111,1121,8.190915108,11.89952755,1
111,1153,-2.438664436,-1.23429215,1
111,1185,-0.8119629025,0.8477996588,1
111,1217,-0.9671747088,0.9074593782,1
111,1249,-1.090699911,-0.01338602602,1
111,1281,-1.17909348,-0.07799739391,1
