PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 10, filenames: A:[10]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi & B:[11]MAX_Pos001_1202204_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.5771260262,0.09646177292,1
47,65,0.01178023219,0.07002933323,1
47,97,-0.2769924104,0.4179919064,1
47,129,-0.2325977981,0.1926884353,1
47,161,0.384568572,-4.812745094,1
47,193,1.174603581,-1.193930864,1
47,225,0.1216322482,-0.2537944615,1
47,257,0.3586984873,-0.4973698556,1
47,289,0.2430747598,-0.1376929879,1
47,321,-0.01483696699,0.1361216158,1
47,353,0.1746856272,0.2345337868,1
47,385,0.325735867,0.3353672922,1
47,417,0.3817443848,0.1502021551,1
47,449,0.3304380178,0.03691497445,1
47,481,0.2511816025,0.2827310562,1
47,513,-0.002516746521,0.1071641445,1
47,545,-0.2195065618,-0.502605319,1
47,577,-0.3000020087,-0.5207099319,1
47,609,-0.1433298886,0.1580986381,1
47,641,0.1324702501,1.109233379,1
47,673,-0.8303563595,0.7147467136,1
47,705,-1.538531065,0.975217402,1
47,737,-3.374259949,2.172227383,1
47,769,-4.913337708,0.153781414,1
47,801,-2.461256981,0.4526866078,1
47,833,-1.008485436,0.8742637634,1
47,865,-0.8508346081,0.5590794683,1
47,897,-0.4642360508,0.643091917,1
47,929,0.06856334209,0.1628433764,1
47,961,0.3090205193,-0.2852312326,1
47,993,0.2883185148,-0.8491721153,1
47,1025,0.2038260698,-0.7736779451,1
47,1057,-0.103662014,-0.5077792406,1
47,1089,0.1044328213,-0.6285715103,1
47,1121,0.7913749218,0.2620288134,1
47,1153,0.9709830284,0.1935892105,1
47,1185,0.6578732729,-0.3848648071,1
47,1217,0.6682837605,-1.123687744,1
47,1249,1.816471338,-4.21038723,1
47,1281,2.715734005,-3.119067192,1
47,1313,0.6169406176,-4.305164814,1
47,1345,-1.604314804,-3.694234133,1
47,1377,0.629370451,-3.846910715,1
47,1409,11.20745468,9.351917267,1
47,1441,3.959214687,-2.778551102,1
47,1473,4.854146957,-3.68333292,1
47,1505,4.095496655,-3.766156197,1
47,1537,3.444114685,-3.67373085,1
47,1569,1.638907433,-22.69756317,1
47,1601,2.542544842,-4.078411102,1
47,1633,2.231808662,-5.38560009,1
47,1665,3.652742386,-5.982670784,1
47,1697,4.908600807,-4.987466335,1
47,1729,4.500312805,-3.110589504,1
47,1761,1.950483322,-2.776152611,1
47,1793,0.7918922901,-2.152153015,1
47,1825,20.88417435,-6.816132545,1
47,1857,0.3488230705,-1.29573679,1
47,1889,0.2570234537,-0.4551800489,1
47,1921,0.3845397234,0.7004491091,1
47,1953,0.1764407158,1.101718187,1
47,1985,-0.3393763304,-1.156882763,1
47,2017,7.16627121,-11.16202354,1
79,33,-0.004966154695,0.1649193764,1
79,65,0.2457267642,0.09528262168,1
79,97,0.1305480897,0.2339732647,1
79,129,0.2362923622,-0.05532544106,1
79,161,0.3245168924,-4.028347492,1
79,193,0.8460412621,-1.063164234,1
79,225,-0.180103749,-0.09505347162,1
79,257,-0.3429557979,0.156517446,1
79,289,-0.1468070447,0.0768353343,1
79,321,0.03946313262,-0.03372022882,1
79,353,0.3131427467,-0.007532991469,1
79,385,0.2139845937,0.2368259281,1
79,417,-0.01547917724,0.3895793259,1
