PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 6, filenames: A:[6]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[7]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,-5.929687977,-4.166712284,1
21,37,-5.6757617,-4.701854706,1
21,53,-5.649314404,-3.228642702,1
21,69,-4.608093739,-3.012088776,1
21,85,-4.14695549,-3.516705275,1
21,101,-3.630795956,-3.90402627,1
21,117,-3.950257301,-4.024600983,1
21,133,-4.832247734,-4.199209213,1
21,149,-5.485088348,-4.1830163,1
21,165,-5.685869694,-3.899571896,1
21,181,-5.406355381,-4.262845993,1
21,197,-6.382248878,-3.686162472,1
21,213,-8.400715828,-3.931451082,1
21,229,-8.902443886,-4.059597969,1
21,245,-7.283638,-3.547380447,1
21,261,-5.644591331,-3.202661514,1
21,277,-5.103068352,-2.769507647,1
21,293,-4.951237202,-3.26587224,1
21,309,-3.559813023,-2.483260632,1
21,325,-2.98025012,-1.960971355,1
21,341,-3.271118641,-1.568627715,1
21,357,-3.630644083,-0.9179909229,1
21,373,-4.812649727,-2.239171267,1
21,389,-5.375396729,-1.98372519,1
21,405,-5.537584305,-1.796057224,1
21,421,-6.386652946,-2.219271421,1
21,437,-6.375401974,-1.878904104,1
21,453,-5.645813465,-1.479961753,1
21,469,-4.373683929,-1.805464506,1
21,485,-4.370240688,-1.280120611,1
21,501,-3.967879772,-0.5775539875,1
21,517,-4.262915611,-0.5337560177,1
21,533,-3.782090425,0.06728166342,1
21,549,-4.766130447,0.6359961033,1
21,565,-4.149108887,0.3529027104,1
21,581,-3.583812237,0.1070807874,1
21,597,-4.245014191,1.514393568,1
21,613,-4.580835342,0.7849478126,1
21,629,-4.106163502,-0.2742249966,1
21,645,-4.005947113,-0.3167229891,1
21,661,-4.444851875,-0.4839016795,1
21,677,-3.856577396,-1.552654862,1
21,693,-2.41367507,-1.756003857,1
21,709,-1.346531153,-1.237112522,1
21,725,-1.116033316,-0.3848439753,1
21,741,-1.985145092,0.3788467348,1
21,757,-2.820891857,0.8767623901,1
21,773,-3.587053299,0.8671693802,1
21,789,-3.911628246,0.848451376,1
21,805,-3.774274826,0.2149283886,1
21,821,-3.473562479,0.1675341129,1
21,837,-3.691896915,1.528829217,1
21,853,-2.962671757,1.555030346,1
21,869,-2.281173706,0.5992518663,1
21,885,-3.337252378,-0.420350194,1
21,901,-1.457568407,0.1891215742,1
21,917,-1.765061855,0.1999592483,1
21,933,-2.267401695,1.322373271,1
21,949,-2.177510262,0.5847867727,1
21,965,-1.683600783,0.1320642829,1
21,981,-1.295787811,-0.6629341245,1
21,997,-0.6591010094,-1.079877138,1
21,1013,0.1986246109,-0.3886567354,1
21,1029,-0.6850483418,-0.2309210747,1
21,1045,-1.718651652,-0.04088062048,1
21,1061,-1.920699835,-0.1440223753,1
21,1077,-1.862533927,-0.3893551826,1
21,1093,-1.966403246,-0.1572085619,1
21,1109,-1.558234692,-0.2248629928,1
21,1125,-1.332685351,-0.6867694855,1
21,1141,-1.361290336,-0.6211365461,1
21,1157,-1.255204201,-0.3054131269,1
21,1173,-1.313164949,-0.05519638956,1
21,1189,-1.350319386,0.03950713575,1
21,1205,-2.091489792,-0.4250676632,1
21,1221,-3.269691944,-1.893070698,1
21,1237,-3.52957201,-0.6632157564,1
21,1253,-3.522635937,-0.8539345264,1
