PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 3, filenames: A:[3]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[4]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,18.86747169,11.08475971,1
21,37,16.2994175,10.98488426,1
21,53,14.38711929,11.13410282,1
21,69,13.88942051,10.90884399,1
21,85,14.3201437,10.28361607,1
21,101,14.55178833,9.20441246,1
21,117,14.03693962,9.088210106,1
21,133,13.62966251,9.757863045,1
21,149,11.55092621,8.859064102,1
21,165,12.6284523,9.870992661,1
21,181,14.31788731,11.22439575,1
21,197,14.97622395,7.27474308,1
21,213,13.5099411,8.756868362,1
21,229,9.48061657,3.174010754,1
21,245,9.226366043,3.593724728,1
21,261,8.679056168,2.971021652,1
21,277,8.062561989,2.469265461,1
21,293,8.083380699,2.443965197,1
21,309,7.395947456,0.7987823486,1
21,325,7.610884666,1.114822149,1
21,341,7.243042946,0.341001153,1
21,357,6.443615437,-0.4123708606,1
21,373,5.984903336,0.00227484107,1
21,389,6.118919849,0.01897672564,1
21,405,6.694458008,-0.3563091755,1
21,421,7.828058243,-0.6329773664,1
21,437,8.118816376,-1.96111834,1
21,453,8.334352493,-2.358230114,1
21,469,8.02007103,-1.515519142,1
21,485,6.714541435,-1.444756866,1
21,501,6.379318714,-0.7540472746,1
21,517,5.823191643,-0.6439210773,1
21,533,4.470078468,-1.005987525,1
21,549,3.302005291,-2.843795776,1
21,565,2.098430395,-2.282649517,1
21,581,0.7383184433,-1.085198045,1
21,597,-0.4867795408,-1.598570347,1
21,613,-0.680431962,-1.587939262,1
21,629,-0.004848435521,-1.136795759,1
21,645,0.4739842117,-0.5740413666,1
21,661,0.4368135333,-0.873818934,1
21,677,0.6152346134,-1.492527246,1
21,693,0.6872330904,-1.09719491,1
21,709,0.5052728653,-0.6664705873,1
21,725,1.137077093,-1.766448498,1
21,741,2.407520533,-2.051665783,1
21,757,3.632380724,-1.648885131,1
21,773,2.751745462,-1.723122835,1
21,789,1.298814893,-2.51995635,1
21,805,1.531928539,-2.86332798,1
21,821,2.907665491,-2.449306011,1
21,837,3.603509426,-2.05945015,1
21,853,1.999963045,-2.54413414,1
21,869,11.45611858,-1.138354778,1
21,885,5.147463799,0.005982995033,1
21,901,3.58955574,0.402846545,1
21,917,3.894985199,-0.2202558517,1
21,933,4.179963589,-0.8998573422,1
21,949,4.888189316,-0.9418641925,1
21,965,5.489924431,-0.7597849369,1
21,981,5.802782536,-0.6658484936,1
21,997,6.718011856,-1.018302083,1
21,1013,7.511297703,-0.8983135223,1
21,1029,7.874644279,-1.159492731,1
21,1045,7.714501858,-1.751225352,1
21,1061,7.325178623,-2.383545637,1
21,1077,7.318460464,-2.759515762,1
21,1093,6.693983078,-1.811982155,1
21,1109,6.001796246,-1.837058663,1
21,1125,6.315639019,-1.751129627,1
21,1141,6.517830849,-3.037522554,1
21,1157,6.833337307,-3.407195091,1
21,1173,7.443451881,-3.191850185,1
21,1189,8.404356003,-2.664667606,1
21,1205,9.206521034,-3.20004344,1
21,1221,10.01983833,-3.855383396,1
21,1237,9.614112854,-4.311252594,1
21,1253,9.180744171,-5.046784401,1
21,1269,10.13171864,-4.749837399,1
21,1285,12.1496973,-5.562864304,1
21,1301,13.14447594,-4.911401749,1
21,1317,13.16374016,-5.106061459,1
21,1333,12.93965912,-6.635441303,1
21,1349,12.05432701,-5.613810539,1
21,1365,11.78570461,-7.899756908,1
21,1381,11.59449673,-7.504170418,1
21,1397,10.81107044,-6.60137558,1
21,1413,10.27575397,-5.918213844,1
21,1429,10.74351978,-5.985629082,1
21,1445,11.22931767,-7.927301407,1
21,1461,11.94137955,-7.840986252,1
21,1477,12.75565624,-8.575061798,1
21,1493,13.39669418,-9.771008492,1
21,1509,13.24376106,-10.6950655,1
21,1525,11.19974041,-10.90167809,1
37,21,15.64036846,11.84973049,1
37,37,13.95539665,11.43091679,1
37,53,13.7037468,11.40299797,1
37,69,13.63777828,11.46705151,1
37,85,13.80427074,11.14997864,1
37,101,14.35215187,10.42149734,1
37,117,14.64350986,9.775156021,1
37,133,14.04583549,9.494233131,1
37,149,12.97340298,9.212646484,1
37,165,12.55745316,10.16218376,1
37,181,12.68453217,10.34164238,1
37,197,13.17492962,8.0109272,1
37,213,12.38758755,7.323652744,1
37,229,10.56242657,5.804123402,1
37,245,10.0892868,4.618152618,1
37,261,9.488168716,4.124516964,1
37,277,7.614071369,2.435236692,1
37,293,6.016642094,1.873128891,1
37,309,6.169963837,-0.6727142334,1
37,325,5.575950623,0.3528653979,1
37,341,5.115619183,0.08158278465,1
37,357,5.12867403,-0.5044070482,1
37,373,5.750494003,-0.5206657648,1
37,389,6.657836437,-0.2382586896,1
37,405,6.364312172,-0.05858498812,1
37,421,5.932680607,-0.1786386371,1
37,437,5.837091923,-1.675699711,1
37,453,5.699027061,-2.295234203,1
37,469,5.218037605,-0.9118397236,1
37,485,4.434902668,-1.336619377,1
37,501,4.291886806,-1.296067238,1
37,517,4.031626225,-0.6480228305,1
37,533,3.428083181,-0.9665374756,1
37,549,2.917968512,-2.188587666,1
37,565,1.30728507,-3.062127829,1
37,581,0.06281745434,-2.690689564,1
37,597,-0.6421845555,-2.900379658,1
37,613,-0.5332074165,-2.174572468,1
37,629,0.6627819538,-0.7828133106,1
37,645,0.6584273577,-0.13460958,1
37,661,0.7068878412,-0.4735947847,1
37,677,1.164343953,-2.309341908,1
37,693,1.311650515,-2.536398172,1
37,709,0.5341044664,-1.11239922,1
37,725,1.257427931,-1.563151002,1
37,741,2.407449722,-1.996818662,1
37,757,4.346741676,-1.643491387,1
37,773,4.805169106,-1.520540714,1
37,789,2.485145569,-2.569949389,1
37,805,1.598674893,-2.381000757,1
37,821,1.153717399,-2.151332617,1
37,837,1.413998723,-1.773271918,1
37,853,2.232274055,-2.580226421,1
37,869,3.699464083,-1.656433463,1
37,885,10.81994057,-1.125291228,1
37,901,3.028305531,-0.360775739,1
37,917,3.100308418,-0.5016875863,1
37,933,3.336416483,-1.02011621,1
37,949,4.341363907,-0.8233363628,1
37,965,5.503457069,-0.1576099098,1
37,981,6.11294651,-0.07146823406,1
37,997,6.901636124,-0.6638520956,1
37,1013,7.198190212,-1.179519176,1
37,1029,7.254919529,-1.365236521,1
37,1045,7.285703659,-1.516895413,1
37,1061,7.464699745,-1.788390636,1
37,1077,7.778857231,-2.064975023,1
37,1093,7.461488724,-2.254853487,1
37,1109,6.49156189,-1.992798567,1
37,1125,5.868713856,-1.718571424,1
37,1141,6.474490643,-1.88446784,1
37,1157,5.96340847,-3.012280941,1
37,1173,4.903183937,-3.002233028,1
37,1189,5.534762383,-3.129952908,1
37,1205,5.408793926,-3.287005901,1
37,1221,4.66106081,-3.37544322,1
37,1237,7.44907093,-4.177233219,1
37,1253,7.766637802,-4.985068798,1
37,1269,8.36591053,-5.182055473,1
37,1285,9.672269821,-5.039473057,1
37,1301,10.29241371,-4.736292362,1
37,1317,10.62899017,-4.764892101,1
37,1333,10.13005161,-7.234447479,1
37,1349,9.999769211,-6.388979912,1
37,1365,10.36643314,-7.567110062,1
37,1381,11.01384735,-7.10782814,1
37,1397,10.71043682,-6.670202255,1
37,1413,10.14664745,-6.340961456,1
37,1429,10.15739441,-6.742933273,1
37,1445,10.55613232,-7.327307224,1
37,1461,11.21047974,-8.167543411,1
37,1477,11.88900948,-9.498710632,1
37,1493,12.43802452,-10.18415546,1
37,1509,12.70213604,-9.51392746,1
37,1525,12.07671356,-7.740754128,1
53,21,14.49917603,12.3065052,1
53,37,13.53225231,11.53829288,1
53,53,13.22651958,10.85151577,1
53,69,12.94819736,10.93981361,1
53,85,12.9931078,10.78213024,1
53,101,13.25666046,10.38262081,1
53,117,13.35802364,9.771727562,1
53,133,13.19670963,9.24162674,1
53,149,12.71900272,9.107897758,1
53,165,12.34747791,9.222397804,1
53,181,11.77153492,8.393503189,1
53,197,12.14353752,8.061916351,1
53,213,12.08310413,7.51237011,1
53,229,11.14247799,6.979381084,1
53,245,9.639487267,4.823395252,1
53,261,8.689277649,2.397067547,1
53,277,7.884495735,1.645456672,1
53,293,6.453971386,1.421211123,1
53,309,6.016599178,0.1098517179,1
53,325,5.252017498,-0.1789449453,1
53,341,4.922113895,-0.2818134427,1
53,357,5.205620289,-0.5151248574,1
53,373,5.904135704,-0.3503342867,1
53,389,6.820813656,0.05631219596,1
53,405,7.771894455,0.2533999085,1
53,421,7.086929798,-0.1507654786,1
53,437,4.849217892,-0.9624197483,1
53,453,3.181538343,-1.186869144,1
53,469,2.629316092,-0.4683918953,1
53,485,2.601755381,-0.8241744041,1
53,501,3.054611206,-1.261945367,1
53,517,3.081356525,-1.034670115,1
53,533,2.906211853,-1.368202567,1
53,549,2.237407207,-2.50692606,1
53,565,1.064181685,-3.121152878,1
53,581,0.145283699,-3.583881617,1
53,597,0.6462419033,-2.693929672,1
53,613,0.3554118574,-2.124319553,1
53,629,0.09027896821,-0.8805474043,1
53,645,0.2190436125,-0.3346537948,1
53,661,0.6146371365,-0.1470313668,1
53,677,0.7921165228,-1.147731543,1
53,693,1.197496891,-1.971921444,1
53,709,0.7375184298,-2.214927435,1
53,725,1.145753503,-1.243617773,1
53,741,1.956385612,-1.530360222,1
53,757,3.015111923,-1.920004606,1
53,773,3.380651236,-2.462259531,1
53,789,2.710885763,-2.320396423,1
53,805,1.406173587,-2.146196604,1
53,821,0.4801118374,-2.280166388,1
53,837,0.5763876438,-1.7926929,1
53,853,2.626936436,-1.979312539,1
53,869,3.829325676,-1.568135023,1
53,885,3.713155031,-0.3747785091,1
53,901,3.016957998,-0.7913922071,1
53,917,2.815454721,-0.6826615334,1
53,933,3.236268044,-0.5777750015,1
53,949,4.601554394,-0.3357219696,1
53,965,5.708302975,0.6761593819,1
53,981,6.652548313,-0.120596692,1
53,997,7.043014526,-0.6570695639,1
53,1013,7.019886971,-1.176035285,1
53,1029,7.066028118,-1.388872027,1
53,1045,7.359818459,-1.463109732,1
53,1061,7.607662201,-1.522827625,1
53,1077,8.566246986,-1.977045536,1
53,1093,7.773428917,-2.671189308,1
53,1109,6.801582336,-3.175112963,1
53,1125,6.011376381,-2.770355225,1
53,1141,6.145967484,-2.055953503,1
53,1157,5.434464455,-2.907715559,1
53,1173,4.350039482,-2.919901371,1
53,1189,7.266414642,-2.991824627,1
53,1205,5.150607586,-3.131145716,1
53,1221,5.873404503,-3.077498913,1
53,1237,6.884865284,-3.693630457,1
53,1253,7.680521965,-4.279423237,1
53,1269,7.95761776,-4.66322279,1
53,1285,8.10190773,-4.507253647,1
53,1301,8.750951767,-4.452255249,1
53,1317,8.985116959,-5.003789425,1
53,1333,8.316506386,-6.055439472,1
53,1349,8.497844696,-6.709010124,1
53,1365,9.471551895,-6.775829315,1
53,1381,10.70790195,-7.185087681,1
53,1397,10.83293247,-7.11997509,1
53,1413,10.44201088,-7.255922794,1
53,1429,10.18986416,-7.8916049,1
53,1445,9.977228165,-8.041095734,1
53,1461,10.55116177,-8.731929779,1
53,1477,11.293993,-9.51791954,1
53,1493,11.97182941,-9.939887047,1
53,1509,12.43644142,-9.20584774,1
53,1525,12.71535969,-8.153777122,1
69,21,15.56270981,12.13690853,1
69,37,13.90396404,11.24789715,1
69,53,12.87316799,10.20052624,1
69,69,12.55178738,9.606067657,1
69,85,12.31836319,9.962402344,1
69,101,12.28517056,9.949789047,1
69,117,12.06817627,9.177581787,1
69,133,12.01823044,8.381868362,1
69,149,11.93888283,8.1316185,1
69,165,11.58611488,8.380127907,1
69,181,10.91109371,7.673312664,1
69,197,10.09450054,7.398311138,1
69,213,10.93767452,7.478629112,1
69,229,11.30663013,6.918938637,1
69,245,10.6620121,5.093937874,1
69,261,9.398053169,2.970489264,1
69,277,8.673784256,1.441674232,1
69,293,6.728489399,-0.1539053321,1
69,309,6.460709095,-0.7621064186,1
69,325,6.136111259,-0.695830822,1
69,341,5.766880035,-1.097916842,1
69,357,6.080269337,-1.053102732,1
69,373,6.226626873,-0.4438949823,1
69,389,6.599006176,-0.1712446213,1
69,405,7.920563221,-0.2283211946,1
69,421,6.324345112,-0.5702325106,1
69,437,3.896561146,-0.4043008685,1
69,453,1.584523201,-0.07638627291,1
69,469,0.9678344727,-0.4755323529,1
69,485,1.125998974,-1.377560973,1
69,501,2.433846474,-1.045624256,1
69,517,2.870348692,-0.9212596416,1
69,533,3.048087835,-0.9032804966,1
69,549,2.131828308,-1.701437593,1
69,565,1.165932417,-2.61351037,1
69,581,0.7152305841,-3.511873484,1
69,597,1.195136547,-2.292678595,1
69,613,0.8810679317,-1.724305153,1
69,629,-0.4574645758,-0.6699806452,1
69,645,-0.1622482389,-0.2158655524,1
69,661,0.4783576727,-0.2499099374,1
69,677,0.5257282853,-0.8986963034,1
69,693,1.027075529,-1.279498816,1
69,709,1.333543181,-1.332380772,1
69,725,1.439759612,-0.8993732929,1
69,741,2.015254974,-0.677366972,1
69,757,2.823262691,-1.532884598,1
69,773,3.271752834,-2.23082304,1
69,789,2.613930225,-2.088648796,1
69,805,1.969085693,-1.886830449,1
69,821,0.6528413296,-1.880769014,1
69,837,0.3752964735,-1.211964965,1
69,853,1.991059899,-1.600938201,1
69,869,3.55968523,-1.125669956,1
69,885,4.288055897,-0.1710822582,1
69,901,4.666962624,-0.6022627354,1
69,917,3.432356119,-1.115885973,1
69,933,3.738012314,-0.8890526891,1
69,949,4.706096649,-0.1764749885,1
69,965,6.143714428,0.2249084413,1
69,981,6.88526535,-0.3032175601,1
69,997,7.443139553,-0.6726415753,1
69,1013,7.198552608,-1.103618145,1
69,1029,7.118843555,-1.596453071,1
69,1045,7.17292738,-1.906839848,1
69,1061,7.463899612,-1.505692124,1
69,1077,7.535323143,-2.065591335,1
69,1093,7.041986465,-3.083000183,1
69,1109,6.448336601,-4.347054482,1
69,1125,5.261050701,-4.464412212,1
69,1141,4.67318964,-3.354139805,1
69,1157,5.41840601,-3.34003377,1
69,1173,5.361903667,-2.75398159,1
69,1189,7.090642929,-2.248161077,1
69,1205,6.775664806,-2.525826931,1
69,1221,5.883282185,-3.36331439,1
69,1237,6.234945774,-3.258147717,1
69,1253,6.887943745,-3.362511158,1
69,1269,7.277218819,-3.558207273,1
69,1285,7.142105103,-3.927004814,1
69,1301,7.695827484,-4.06540966,1
69,1317,8.327515602,-4.759938717,1
69,1333,8.176370621,-6.009750366,1
69,1349,8.321833611,-6.689116955,1
69,1365,9.167640686,-6.687953472,1
69,1381,10.69537735,-7.685725212,1
69,1397,10.83093739,-7.784193039,1
69,1413,10.57312393,-7.683205128,1
69,1429,10.16175556,-7.876570225,1
69,1445,9.782300949,-8.42663765,1
69,1461,10.2913332,-8.837826729,1
69,1477,10.94476223,-9.127836227,1
69,1493,11.54738045,-9.363805771,1
69,1509,11.86949635,-9.41311264,1
69,1525,12.60809135,-9.738361359,1
85,21,16.84036636,12.70354366,1
85,37,14.1525507,9.492281914,1
85,53,12.96690178,9.712450027,1
85,69,12.13636398,8.833457947,1
85,85,11.64898014,9.289699554,1
85,101,11.34957218,9.710613251,1
85,117,11.09935379,8.032906532,1
85,133,11.03823757,7.423904419,1
85,149,11.05680275,7.033443928,1
85,165,10.86233521,6.839860439,1
85,181,10.007617,7.026754856,1
85,197,9.247596741,7.062325954,1
85,213,9.535358429,7.114348888,1
85,229,10.39112377,6.701313019,1
85,245,10.64013672,5.060501099,1
85,261,10.79674625,3.284813404,1
85,277,9.876259804,2.227816105,1
85,293,6.979624748,0.06875944138,1
85,309,6.858948708,-0.5560783148,1
85,325,6.673074245,-0.5411385298,1
85,341,6.517696381,-0.905249238,1
85,357,7.045000076,-1.405778646,1
85,373,6.383153915,-0.5807014108,1
85,389,6.357553959,-0.3058734536,1
85,405,7.50402689,-0.5658786297,1
85,421,5.773865223,-0.6835538149,1
85,437,3.057985783,-0.5981615782,1
85,453,1.862441063,-0.07315635681,1
85,469,1.398376226,-0.3019011617,1
85,485,1.381432056,-0.4113822281,1
85,501,2.644596577,-0.5168077946,1
85,517,3.279826164,-0.5805546045,1
85,533,3.264715195,-0.2020018101,1
85,549,2.633791447,-0.3434436917,1
85,565,1.767871499,-1.210426807,1
85,581,1.180882454,-2.398221731,1
85,597,0.7271569371,-2.265011787,1
85,613,0.5380775928,-2.008930445,1
85,629,-0.07782806456,-1.607293367,1
85,645,-0.09740789235,-0.6972940564,1
85,661,0.4605286717,0.186796397,1
85,677,0.7172720432,-0.2285352349,1
85,693,0.8577865958,-0.3527494967,1
85,709,1.127614975,-0.7984591722,1
85,725,1.7099334,-1.040399313,1
85,741,2.817092657,-0.5398101211,1
85,757,1.982716203,-0.8850160837,1
85,773,2.183372498,-1.467287183,1
85,789,2.15102005,-1.16803062,1
