PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 7, filenames: A:[7]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[8]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,-5.568528175,-4.132199764,1
21,37,-6.109467983,-3.393655777,1
21,53,-5.813913345,-3.829693079,1
21,69,-4.96891737,-4.207216263,1
21,85,-4.389915943,-4.369724751,1
21,101,-4.435727119,-5.505460739,1
21,117,-5.236881256,-5.064193249,1
21,133,-5.618255138,-3.89037466,1
21,149,-4.407642365,-3.544224262,1
21,165,-3.741004944,-4.391927242,1
21,181,-4.076138496,-4.967696667,1
21,197,-5.663254261,-4.934201241,1
21,213,-6.18503952,-4.671716213,1
21,229,-6.212720394,-4.150941372,1
21,245,-5.067642212,-3.687503099,1
21,261,-4.350957394,-3.748257399,1
21,277,-3.266992331,-3.676538229,1
21,293,-3.709215403,-3.50847435,1
21,309,-4.301599979,-3.390877724,1
21,325,-3.713523865,-2.384395123,1
21,341,-3.388409138,-1.947072506,1
21,357,-4.418065071,-1.530359387,1
21,373,-3.660031796,-0.3412339687,1
21,389,-5.051619053,-1.512431622,1
21,405,-4.925884724,-3.150790691,1
21,421,-4.313102722,-4.009631634,1
21,437,-4.322077274,-3.985203743,1
21,453,-4.486955643,-3.549787998,1
21,469,-7.173733711,-1.735166788,1
21,485,-5.902912617,-1.292742491,1
21,501,-4.741831303,-1.707479,1
21,517,-4.518084526,-2.212483406,1
21,533,-4.022562027,-2.757230759,1
21,549,-2.931595325,-2.740445852,1
21,565,-2.623004675,-2.470312357,1
21,581,-4.67338419,-1.374969959,1
21,597,-5.23063755,-0.8537577391,1
21,613,-5.266201496,-1.401839733,1
21,629,-5.246911526,-2.224210262,1
21,645,-5.982255459,-2.874004841,1
21,661,-5.520473957,-3.563225985,1
21,677,-4.679497719,-3.145948887,1
21,693,-3.998209,-3.525239229,1
21,709,-4.058011055,-3.458984137,1
21,725,-4.870118141,-3.263078213,1
21,741,-4.359313965,-1.295654058,1
21,757,-4.373751163,-0.7948821783,1
21,773,-4.241970062,-1.143625021,1
21,789,-3.65074873,-1.219784856,1
21,805,-3.945527077,-0.7019991875,1
21,821,-6.666149139,-1.569269657,1
21,837,-5.64346981,-1.185222864,1
21,853,-4.279640198,0.1024864316,1
21,869,-3.854249477,0.8061916232,1
21,885,-3.629781008,0.7354379296,1
21,901,-3.207993984,-0.05704891682,1
21,917,-2.04256916,0.2219619751,1
21,933,-2.398004293,0.5296444893,1
21,949,-3.456486702,0.3422693908,1
21,965,-3.61042738,0.01189213991,1
21,981,-3.613865852,0.07009911537,1
21,997,-3.558032036,0.04835700989,1
21,1013,-3.718589306,-0.021348387,1
21,1029,-3.799250126,0.3428926468,1
21,1045,-3.474508286,0.2349793911,1
21,1061,-3.317739725,0.5987036228,1
21,1077,-2.60775423,0.9135733843,1
21,1093,-1.984164596,0.4972020388,1
21,1109,-1.723977089,0.8622655869,1
21,1125,-1.641560793,0.3626248837,1
21,1141,-0.6627236605,0.475122422,1
21,1157,-0.08199098706,0.2763534188,1
21,1173,-0.8234741092,-0.9864606857,1
21,1189,-1.310641527,-0.6589536667,1
21,1205,-1.086894393,-0.425858736,1
21,1221,-1.433999062,-1.474178553,1
21,1237,-1.711779833,-1.966181874,1
21,1253,-2.366930246,-0.8842023015,1
21,1269,-2.697793961,-0.1133944988,1
21,1285,-2.541453838,-0.3310210705,1
21,1301,-2.542577744,0.01522625983,1
21,1317,-3.015995026,0.1515689194,1
21,1333,-2.864365816,0.4796544015,1
21,1349,-3.034255028,0.4847007394,1
21,1365,-2.98856163,0.7532564402,1
21,1381,-2.755547523,1.972652555,1
21,1397,-2.24591136,0.4870353043,1
21,1413,-1.504078269,-0.9267514944,1
21,1429,-1.034780025,-1.616317272,1
21,1445,-0.8375432491,-0.5046498775,1
21,1461,-1.976938486,-0.04346235096,1
21,1477,-3.624865294,0.6511163116,1
21,1493,-5.40555954,0.6313527822,1
21,1509,-5.811447144,0.2292563915,1
21,1525,-3.577023029,-0.6440973282,1
37,21,-5.026189327,-4.326956749,1
37,37,-5.414620399,-3.254957438,1
37,53,-5.437057972,-2.781618118,1
37,69,-5.30778265,-2.690851212,1
37,85,-5.299847603,-3.319623947,1
37,101,-5.225398064,-4.655477524,1
37,117,-5.207313538,-4.78138876,1
37,133,-5.367140293,-4.560224056,1
37,149,-5.225446701,-4.494950294,1
37,165,-4.727748871,-5.081535339,1
37,181,-5.416423321,-5.248939037,1
37,197,-6.344708443,-4.838176727,1
37,213,-6.634426117,-4.654094696,1
37,229,-6.291985512,-4.563818455,1
37,245,-5.540567875,-3.787615776,1
37,261,-4.322329521,-3.40204072,1
37,277,-3.874634504,-2.706363678,1
37,293,-4.074088097,-2.167109013,1
37,309,-4.022400379,-2.492006063,1
37,325,-3.418572426,-2.571592569,1
37,341,-3.981312275,-2.14859581,1
37,357,-4.298837662,-2.040705919,1
37,373,-3.954405785,-1.977783203,1
37,389,-4.368588924,-1.926323652,1
37,405,-5.318107605,-2.714455128,1
37,421,-5.949785709,-3.125887871,1
37,437,-6.030518055,-3.387537718,1
37,453,-5.960573673,-3.401871443,1
37,469,-5.414090157,-3.422663927,1
37,485,-5.298649311,-2.144282579,1
37,501,-5.228816032,-2.426330566,1
37,517,-4.790426731,-2.922768354,1
