PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 12, filenames: A:[12]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[13]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
37,853,-2.077846766,-3.596124649,1
37,869,-1.149422288,-1.955500364,1
37,885,-0.9517096281,-1.45024085,1
37,901,-0.7840694785,-1.177491903,1
37,917,-0.7119787335,-0.7103921175,1
37,933,-0.9219122529,-0.2847744226,1
37,949,-1.631811619,-0.9841902256,1
37,965,-1.857325554,-1.171051264,1
37,981,-1.393447399,-1.657681704,1
37,997,-1.921473622,-2.028260231,1
37,1013,-1.553158998,-1.861730099,1
37,1029,-0.8858596087,-1.34748733,1
37,1045,-0.6650406718,-1.285194874,1
37,1061,-0.289581418,-0.909421742,1
37,1077,0.2238435447,-0.9893214703,1
37,1093,0.3762054741,-1.579285741,1
37,1109,0.6856564283,-2.029954672,1
37,1125,0.8549388647,-2.314004421,1
37,1141,0.4443320036,-4.001579285,1
37,1157,1.036719084,-4.258088112,1
37,1173,1.171824932,-1.710576773,1
37,1189,0.7247164249,-1.696496964,1
37,1205,0.9733972549,-1.553743839,1
37,1221,0.6188086271,-1.390925884,1
37,1237,0.4202513099,-2.25114584,1
37,1253,0.6078478098,-2.499119043,1
37,1269,1.07688272,-2.156279564,1
37,1285,1.291516185,-1.807670355,1
37,1301,1.140108585,-2.099554062,1
37,1317,0.6925207376,-2.516363144,1
37,1333,0.690862,-2.631090879,1
37,1349,0.7929155827,-2.618595839,1
37,1365,0.6826318502,-2.898760557,1
37,1381,0.3553315401,-2.337239981,1
37,1397,0.6850972176,-2.739295721,1
37,1413,0.6400458813,-2.760882378,1
37,1429,0.04548999667,-2.04881072,1
37,1445,0.04822088405,-1.480655074,1
37,1461,-0.225493744,-0.886860013,1
37,1477,-0.1496979892,-0.6874185205,1
37,1493,0.1608296782,-1.142741323,1
37,1509,0.06666783988,-0.7556552887,1
37,1525,-0.1758605838,-1.298667192,1
53,21,-2.381793499,-2.293236494,1
53,37,-1.554385662,-1.262063861,1
53,53,-0.8052675724,-0.9432194233,1
53,69,-1.260503292,-1.286279917,1
53,85,-0.9617880583,-1.753937244,1
53,101,-0.2897263765,-1.926253676,1
53,117,-0.1701676846,-1.852943659,1
53,133,-0.579878211,-1.267170906,1
53,149,-1.166335344,-1.175060391,1
53,165,-2.026190281,-1.881534815,1
53,181,-2.292091608,-2.384046316,1
53,197,-2.239721298,-2.475513458,1
53,213,-2.128464699,-2.436764479,1
53,229,-1.887263179,-2.634484053,1
53,245,-1.376418591,-2.583253145,1
53,261,-0.8930900097,-2.656112671,1
53,277,-1.630075693,-2.66224432,1
53,293,-2.217423677,-2.479329348,1
53,309,-2.280510426,-1.839622259,1
53,325,-2.32517767,-2.222019672,1
53,341,-2.5171206,-1.868946314,1
53,357,-2.452480316,-2.06333518,1
53,373,-2.895277023,-2.627699852,1
53,389,-2.768425941,-3.849040031,1
53,405,-2.633417368,-3.168034077,1
53,421,-2.621793509,-2.540952206,1
53,437,-1.906118393,-2.293265343,1
53,453,-1.734706163,-2.154307842,1
53,469,-1.402147174,-1.290779829,1
53,485,-1.497117758,-0.7335140109,1
53,501,-2.258780003,-0.9026065469,1
53,517,-2.789337873,-1.373519778,1
53,533,-2.789310694,-1.585273623,1
53,549,-2.529319286,-1.79227531,1
53,565,-2.185752869,-2.225135326,1
53,581,-1.866342068,-3.628722429,1
53,597,-1.144454837,-4.352870464,1
53,613,-1.754503012,-3.637635231,1
53,629,-2.260432243,-3.2165277,1
53,645,-2.47202301,-2.131264687,1
53,661,-1.976070881,-1.27641654,1
53,677,-0.4401870966,-2.557060242,1
53,693,-0.5969333649,-2.41075182,1
53,709,-1.540804267,-1.089007735,1
53,725,-2.22558403,-0.850025177,1
53,741,-2.262308359,-1.341392756,1
53,757,-1.86036694,-1.82042551,1
53,773,-1.830482364,-1.655345201,1
53,789,-1.731046557,-1.3857342,1
53,805,-1.2358917,-1.48262167,1
53,821,-1.257062912,-0.9964421988,1
53,837,-1.606422424,-1.010908484,1
53,853,-1.302633047,-2.478615761,1
53,869,-1.044892073,-2.224576712,1
53,885,-0.6413565874,-1.643041611,1
53,901,-0.08947128057,-1.4205302,1
53,917,-0.199308902,-1.307617188,1
53,933,-0.8634963036,-1.412933826,1
53,949,-1.800033331,-2.130763769,1
53,965,-2.071964025,-1.890562534,1
53,981,-1.832946301,-1.721277595,1
53,997,-1.445976496,-1.905575395,1
53,1013,-1.076446295,-1.851630092,1
53,1029,-0.7120458484,-1.495641351,1
53,1045,-0.5852532387,-1.300179362,1
53,1061,-0.5112864375,-0.8309978247,1
53,1077,0.1675146073,-1.037667274,1
53,1093,0.2951923013,-1.251365542,1
53,1109,0.2511446774,-1.90086627,1
53,1125,0.6564679146,-1.951956749,1
53,1141,1.161852837,-4.732958317,1
53,1157,1.636998415,-4.982284546,1
53,1173,1.936517358,-2.268407822,1
53,1189,1.505699158,-1.709310532,1
53,1205,1.387955904,-1.14977169,1
53,1221,1.038382649,-1.541250944,1
53,1237,0.4358994365,-1.515524864,1
53,1253,0.4531624913,-2.072382212,1
53,1269,0.6498537064,-2.088131905,1
53,1285,1.061923504,-1.902233243,1
53,1301,1.297295332,-1.538759947,1
53,1317,0.8443660736,-2.273377895,1
53,1333,0.7615748644,-3.061778307,1
53,1349,0.4960042238,-2.575593233,1
53,1365,0.5638442636,-2.500096798,1
53,1381,0.7551529408,-2.602122784,1
53,1397,0.545855999,-2.846087456,1
53,1413,0.4165031314,-2.582602978,1
53,1429,0.2372029871,-2.241347551,1
53,1445,0.1655381471,-1.532818794,1
53,1461,-0.1353920251,-0.9958882332,1
53,1477,0.04638808966,-0.8327768445,1
53,1493,0.9617389441,-0.8219591379,1
53,1509,0.9714013338,-0.5264837742,1
53,1525,0.08981230855,-0.7075884342,1
69,21,-1.263095856,-1.79187274,1
69,37,-1.285318613,-1.583226323,1
69,53,-0.8924643397,-1.612751722,1
69,69,-0.6685478687,-1.500462413,1
69,85,-0.3908709884,-2.02206707,1
69,101,-0.04265481234,-2.461155415,1
69,117,-0.1156917214,-1.260070682,1
69,133,-0.3770012259,-1.045458436,1
69,149,-1.068046808,-1.394955635,1
69,165,-1.608262539,-2.320305824,1
69,181,-2.071864843,-2.464175463,1
69,197,-2.376486301,-2.682498932,1
69,213,-2.292456627,-2.691532135,1
69,229,-2.044454336,-2.564088821,1
69,245,-1.903370976,-2.555501461,1
69,261,-1.838027,-2.864668846,1
69,277,-2.209355831,-2.662814617,1
69,293,-2.419792414,-2.777581215,1
69,309,-1.593662739,-2.027559757,1
69,325,-1.608419895,-2.348150015,1
69,341,-2.720442295,-2.276785135,1
69,357,-2.51776433,-2.443395853,1
69,373,-2.535449743,-2.835389137,1
69,389,-2.572192907,-3.351698875,1
69,405,-2.226488113,-2.136900663,1
69,421,-2.538414478,-1.24491334,1
69,437,-2.484325886,-1.919284582,1
69,453,-2.383802176,-3.095744133,1
69,469,-2.108007669,-1.191157818,1
69,485,-2.106152058,-0.8324986696,1
69,501,-2.537048578,-0.8161545992,1
69,517,-3.013250351,-0.8941242695,1
69,533,-3.024704456,-1.391316175,1
69,549,-2.862867832,-1.550359011,1
69,565,-2.509963512,-2.267141819,1
69,581,-2.225856304,-3.28189683,1
69,597,-1.719506621,-4.146110535,1
69,613,-1.331303954,-3.591175079,1
69,629,-1.580634594,-2.917818546,1
69,645,-1.392997146,-1.847086549,1
69,661,-1.296982169,-0.9399594069,1
69,677,-0.8167514801,-1.78919208,1
69,693,-1.246337891,-2.164803505,1
69,709,-1.993571877,-1.158688664,1
69,725,-2.401194096,-0.7922728062,1
69,741,-2.059742451,-1.084306955,1
69,757,-1.594368815,-1.61270678,1
69,773,-1.394105792,-1.616243005,1
69,789,-1.213993073,-1.28384757,1
69,805,-0.7150477171,-1.314911246,1
69,821,-0.6300089359,-1.227429628,1
69,837,-0.9739881754,-1.593901277,1
69,853,-1.149530768,-2.452181339,1
69,869,-1.038397312,-2.446802139,1
69,885,-0.7220292091,-2.221518517,1
69,901,-0.1898777485,-1.908649921,1
69,917,-0.397123158,-1.883870959,1
69,933,-1.253615618,-2.028821468,1
69,949,-1.663216352,-2.049218655,1
69,965,-2.230292559,-1.906442642,1
69,981,-2.536744595,-1.523549557,1
69,997,-0.8527775407,-1.584624648,1
69,1013,-0.6797497272,-1.790715814,1
69,1029,-0.8692891002,-1.517066956,1
69,1045,-0.5910915732,-1.442990422,1
69,1061,-0.1362308264,-1.534516215,1
69,1077,0.4994644225,-1.61913383,1
69,1093,0.9194757938,-1.481863141,1
69,1109,0.5734343529,-1.812839627,1
69,1125,1.138345242,-1.56101501,1
69,1141,2.491448402,-1.972275734,1
69,1157,2.55619669,-3.216792583,1
69,1173,4.837556362,-2.635423183,1
69,1189,5.869769573,-2.620918274,1
69,1205,1.083050966,-1.265311241,1
69,1221,1.114894867,-1.593459487,1
69,1237,1.240483284,-1.450541735,1
69,1253,0.8348930478,-1.379501104,1
69,1269,0.9150184393,-1.552397609,1
69,1285,1.993759513,-2.023396969,1
69,1301,1.143112063,-1.53637898,1
69,1317,0.5763338208,-2.224367619,1
69,1333,0.5323294401,-2.936609268,1
69,1349,0.2992518544,-2.916577101,1
69,1365,0.1948529184,-2.751583099,1
69,1381,0.2798364162,-2.576573849,1
69,1397,0.3420578241,-2.822001696,1
69,1413,0.1221691966,-2.374810457,1
69,1429,0.3168180883,-1.969175339,1
69,1445,0.8434974551,-2.047926664,1
69,1461,0.1541747898,-1.048488617,1
69,1477,0.2510579526,-0.8988485336,1
69,1493,0.7537132502,-1.029807806,1
69,1509,0.556350112,-0.8333032727,1
69,1525,0.4356639385,-0.3979218006,1
85,21,-0.529127717,-1.898685217,1
85,37,-0.4670208097,-1.72900629,1
85,53,-0.285005182,-1.970051765,1
85,69,0.4653397501,-1.444130898,1
85,85,0.3257977664,-1.182295799,1
85,101,-0.373603344,-2.004343987,1
85,117,-0.03671103716,-1.617944241,1
85,133,0.5745890141,-1.384105921,1
85,149,-0.7304330468,-1.777661324,1
85,165,-1.330516696,-2.01469183,1
85,181,-1.833135605,-2.2487216,1
85,197,-2.07887435,-2.694082737,1
85,213,-2.079418182,-2.784953117,1
85,229,-2.026094437,-2.690548182,1
85,245,-2.139180183,-2.600112438,1
85,261,-1.901524186,-2.875245333,1
85,277,-1.582638621,-2.789656639,1
85,293,-1.657155752,-3.123904467,1
85,309,-1.794131517,-2.446238041,1
85,325,-2.301066637,-2.06926775,1
85,341,-2.945742607,-2.358514071,1
85,357,-2.660414219,-2.513249636,1
85,373,-2.537323236,-2.685774088,1
85,389,-2.579093456,-2.622635365,1
85,405,-1.716396093,-1.227549791,1
85,421,-1.560208797,-0.005547046661,1
85,437,-1.929025412,-1.882881165,1
85,453,-2.064955711,-1.917338371,1
85,469,-3.142692566,-1.851106524,1
85,485,-3.218162537,-1.777083158,1
85,501,-3.098881721,-0.4671429396,1
85,517,-3.219642401,-0.598560214,1
85,533,-3.001677752,-1.112342119,1
85,549,-2.965499401,-1.779991388,1
85,565,-2.867790461,-2.684799671,1
85,581,-2.415284872,-3.512498379,1
85,597,-2.028633356,-2.699324608,1
85,613,-1.38355732,-2.642435789,1
85,629,-1.682316065,-1.855286479,1
85,645,-1.425321579,-2.178790092,1
85,661,-1.038793921,-1.431832194,1
85,677,-1.625686646,-1.183306456,1
85,693,-1.930677891,-1.847789526,1
85,709,-2.124910831,-1.569443583,1
85,725,-2.019305944,-1.18893671,1
85,741,-1.532433033,-1.276190519,1
85,757,-1.295727491,-1.274065495,1
85,773,-1.144435883,-1.394019485,1
85,789,-1.078366399,-1.433072448,1
85,805,-1.366928458,-1.692579985,1
85,821,-1.289316058,-1.811678648,1
85,837,-0.9572777748,-2.379535198,1
85,853,-0.8883321881,-2.362886906,1
85,869,-1.005226374,-1.98681128,1
85,885,-0.9628906846,-1.925935507,1
85,901,-0.6395512223,-2.352356434,1
85,917,-0.8493635654,-2.244905472,1
85,933,-1.233661175,-2.194335461,1
85,949,-1.52275598,-2.169392347,1
85,965,-1.500717521,-1.829681635,1
85,981,-1.184234023,-1.390478849,1
85,997,-0.5786877871,-1.209494352,1
85,1013,-0.4512712657,-1.449971676,1
85,1029,-0.6550872326,-1.399498582,1
85,1045,-0.3643375039,-1.48600769,1
85,1061,-0.08277350664,-1.842054844,1
85,1077,0.1693195552,-2.182422876,1
85,1093,0.3292171359,-1.987570763,1
85,1109,0.3101070523,-2.061683178,1
85,1125,0.393558681,-1.916126013,1
85,1141,0.7788156271,-0.9284938574,1
85,1157,1.04715085,-1.226423502,1
85,1173,1.405275583,-1.604941487,1
85,1189,1.491740465,-2.543659925,1
85,1205,0.9791841507,-2.398601055,1
85,1221,1.480638742,-1.874346733,1
85,1237,1.420752287,-1.786008716,1
85,1253,1.220947504,-1.094502687,1
85,1269,1.220698833,-1.225988507,1
85,1285,1.571894169,-2.102469444,1
85,1301,1.207654476,-2.08138895,1
85,1317,0.6874074936,-2.092547417,1
85,1333,0.5130777359,-2.30652833,1
85,1349,0.2825669348,-2.771561384,1
85,1365,-0.02625864744,-2.695538521,1
85,1381,-0.3291660845,-2.466659307,1
85,1397,-0.2790668607,-2.542808533,1
85,1413,0.01345801353,-2.251610994,1
85,1429,0.2301326543,-1.610643744,1
85,1445,0.5419954062,-1.344579101,1
85,1461,0.3186025023,-1.24383831,1
85,1477,-0.428529948,-1.375913143,1
85,1493,0.1557002068,-1.427996993,1
85,1509,0.4913309216,-1.132285118,1
85,1525,0.7671703696,-0.4697009325,1
101,21,-0.2457897961,-1.99882412,1
101,37,-0.3297276795,-1.846972704,1
101,53,-0.07001806796,-2.479585409,1
101,69,0.129986912,-1.527208209,1
101,85,-0.1411634684,-1.519471526,1
101,101,-0.4766483009,-1.660045505,1
101,117,-0.9030268192,-1.851256013,1
101,133,-1.094189644,-1.747969151,1
101,149,-0.618824482,-1.897329092,1
101,165,-1.25287962,-2.08146286,1
101,181,-1.584634304,-2.332976818,1
101,197,-1.594304562,-2.591466665,1
101,213,-1.706838608,-2.59542799,1
101,229,-1.825163484,-2.674005508,1
101,245,-1.91778779,-2.598342419,1
101,261,-1.488423586,-2.713918209,1
101,277,-1.535197973,-3.496044874,1
101,293,-1.630050421,-3.608428478,1
101,309,-2.404162884,-2.701072693,1
101,325,-2.794977903,-2.220173597,1
101,341,-2.744446278,-2.242363214,1
101,357,-2.560092211,-2.433643818,1
101,373,-2.344618082,-2.491164446,1
101,389,-2.547780514,-2.352790356,1
101,405,-2.608897686,-1.576162815,1
101,421,-2.358781099,-1.073952317,1
101,437,-2.170358419,-1.157140017,1
101,453,-2.360002041,-1.111490011,1
101,469,-3.395440578,-2.143930435,1
101,485,-3.913862944,-2.186558962,1
101,501,-3.362837076,-0.7470417023,1
101,517,-3.107992172,-0.6832647324,1
101,533,-3.000991821,-1.095159769,1
101,549,-2.843566656,-1.751480341,1
101,565,-2.515259027,-2.491107941,1
101,581,-2.652790308,-2.900955677,1
101,597,-2.295605898,-2.265748501,1
101,613,-1.604455948,-2.01805687,1
101,629,-1.520966053,-1.586498737,1
101,645,-1.552887678,-1.805894136,1
101,661,-1.508235693,-2.003366709,1
101,677,-1.384626865,-2.008572578,1
101,693,-1.180492401,-3.03053093,1
101,709,-1.728111506,-2.151875257,1
101,725,-2.761059284,-1.815717816,1
101,741,-2.333303452,-1.480626345,1
101,757,-1.347618818,-1.174108028,1
101,773,-1.342676878,-1.523373008,1
101,789,-1.26164782,-2.106462717,1
101,805,-1.300458193,-2.064578772,1
101,821,-1.114056468,-2.081441402,1
101,837,-0.9559766054,-2.215423107,1
101,853,-0.9749563932,-1.914603472,1
101,869,-1.146902084,-1.586503148,1
101,885,-1.232009768,-1.934442163,1
101,901,-1.367361069,-2.40806222,1
101,917,-1.717838645,-2.522128344,1
101,933,-1.653449655,-2.490549088,1
101,949,-1.259881377,-2.435345888,1
101,965,-1.282078147,-2.376787663,1
101,981,-0.4737384319,-1.40223515,1
101,997,0.02674108744,-0.9452477694,1
101,1013,-0.1393595785,-1.126491547,1
101,1029,-0.2228742838,-1.283546567,1
101,1045,-0.3070905209,-1.500315189,1
101,1061,-0.3867584765,-1.847011685,1
101,1077,-0.2291817963,-2.30457449,1
101,1093,-0.03595604748,-2.163432598,1
101,1109,0.1403260529,-2.529806137,1
101,1125,0.5336828232,-1.888137817,1
101,1141,0.7888803482,-0.6169118881,1
101,1157,1.022643805,-1.326155424,1
101,1173,1.237151623,-2.442878723,1
101,1189,0.8343451023,-2.413875103,1
101,1205,1.140024304,-3.47154808,1
101,1221,1.669436812,-2.431203365,1
101,1237,1.672104001,-2.111870289,1
101,1253,1.022576332,-1.315005898,1
101,1269,1.222498298,-1.626944184,1
101,1285,1.828831792,-2.608537197,1
101,1301,0.7906507254,-2.33246851,1
101,1317,0.5496165752,-2.246279955,1
101,1333,0.5151503086,-2.253947735,1
101,1349,0.1223296672,-2.439901829,1
101,1365,-0.1718963981,-2.352576017,1
101,1381,-0.2165795714,-1.958925962,1
101,1397,-0.1952834278,-2.003395557,1
101,1413,0.01279534306,-2.045999765,1
101,1429,0.4970750511,-1.674126267,1
101,1445,0.6439917088,-1.250184417,1
101,1461,0.3655432463,-1.275361776,1
101,1477,0.2136692703,-1.649065614,1
101,1493,0.3385288417,-0.9145075083,1
101,1509,0.6082205772,-0.6233925223,1
101,1525,0.8445858955,-0.03769743443,1
117,21,-0.2319116592,-1.64246583,1
117,37,-0.432271868,-2.299007654,1
117,53,-0.5280476213,-1.781933904,1
117,69,-0.5436681509,-1.50062716,1
117,85,-0.6644932628,-1.620724797,1
117,101,-0.8125790358,-1.624237657,1
117,117,-1.355969787,-1.781642437,1
117,133,-2.017715693,-1.972717524,1
117,149,-1.403729439,-2.003124237,1
117,165,-1.342972159,-2.220847607,1
117,181,-1.174013734,-2.076444626,1
117,197,-1.147216558,-2.510624409,1
117,213,-1.339366317,-2.296905279,1
117,229,-1.377830029,-1.956408501,1
117,245,-1.5335958,-2.391532183,1
117,261,-1.588027358,-3.00485158,1
117,277,-1.666858077,-4.156637192,1
117,293,-1.575351834,-3.37683773,1
117,309,-2.215947866,-2.359441996,1
117,325,-2.899304152,-2.307489395,1
117,341,-2.396635294,-1.993731499,1
117,357,-2.351984024,-2.221468449,1
117,373,-2.62419796,-2.584444761,1
117,389,-2.719433069,-2.555656433,1
117,405,-2.501505136,-2.348791599,1
117,421,-2.352116346,-1.558665514,1
117,437,-1.895224452,-0.830871582,1
117,453,-1.934754491,-0.7752137184,1
117,469,-1.775087833,-1.040398121,1
117,485,-2.933187008,-2.008819103,1
117,501,-3.266302824,-1.625671744,1
117,517,-3.176905394,-1.500207663,1
117,533,-2.964983702,-1.050153732,1
117,549,-2.799261808,-1.605741739,1
117,565,-2.477413654,-2.020397425,1
117,581,-2.612534761,-2.363475084,1
117,597,-2.446775436,-2.288356781,1
117,613,-2.07133007,-1.950700402,1
117,629,-1.774403095,-1.520420909,1
117,645,-1.68447113,-1.436374545,1
117,661,-1.724259138,-1.916348457,1
117,677,-0.9729118347,-2.067001343,1
117,693,-0.7249583006,-3.41036129,1
117,709,-1.71256566,-2.136909485,1
117,725,-2.246470928,-1.907476783,1
117,741,-1.023875594,-1.433463693,1
117,757,-1.218758821,-1.204521179,1
117,773,-1.37213254,-1.739203691,1
117,789,-1.275043488,-2.484069109,1
117,805,-1.070521235,-2.183544159,1
117,821,-0.8624233007,-1.860012412,1
117,837,-1.204629421,-1.458342433,1
117,853,-1.575388193,-1.522057295,1
117,869,-1.694975376,-1.972411036,1
117,885,-1.692670941,-2.31534481,1
117,901,-1.330991864,-2.095910311,1
117,917,-1.639323115,-2.359563589,1
117,933,-1.728031874,-2.767291069,1
117,949,-1.187833428,-2.862886429,1
117,965,-1.105634928,-2.4746387,1
117,981,0.3712697029,-1.099036336,1
117,997,1.238977313,-0.2550675869,1
117,1013,0.5572155714,-0.7544790506,1
117,1029,0.02804729342,-1.227494121,1
117,1045,-0.1982024014,-1.577018857,1
117,1061,-0.4641289115,-2.08907032,1
117,1077,-0.35778597,-2.497057915,1
117,1093,0.6119285822,-3.686000347,1
117,1109,0.06574827433,-2.442314148,1
117,1125,0.8954793811,-1.701372981,1
117,1141,1.09635973,-1.374320745,1
117,1157,1.095451951,-1.953594923,1
