PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 20, filenames: A:[20]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[21]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,109.981163,-18.51247978,1
21,37,69.44015503,-19.41475296,1
21,53,55.56390381,-3.956611633,1
21,69,38.43456268,-7.972621918,1
21,85,36.26074982,-3.501047134,1
21,101,26.01857567,-1.217504501,1
21,117,10.34855175,2.929235697,1
21,133,-15.09650993,-2.623780251,1
21,149,-11.91804409,-7.771706581,1
21,165,5.302135944,-5.786543369,1
21,181,-2.777942181,-9.788070679,1
21,197,-7.52658987,-5.893373489,1
21,213,-7.42102766,-6.64426899,1
21,229,-0.8236384392,-11.49485683,1
21,245,7.131313801,4.037906647,1
21,261,-7.699184418,-7.378328323,1
21,277,-3.516964436,-7.246783257,1
21,293,4.607338905,-0.1217660904,1
21,309,-5.236207962,-11.96992111,1
21,325,-2.401063442,-3.444342613,1
21,341,-2.830486298,-6.28362608,1
21,357,3.48380208,-7.182143688,1
21,373,10.45272541,-4.583812714,1
21,389,17.66439629,-6.194965363,1
21,405,12.73731041,-7.658076286,1
21,421,-7.450080395,-16.19817162,1
21,437,-6.573206902,-14.13952351,1
21,453,-1.876627326,-12.52679062,1
21,469,7.666953087,-8.653845787,1
21,485,1.713289261,-15.54291344,1
21,501,2.913708687,-13.40937996,1
21,517,5.09486866,-12.83600426,1
21,533,4.993029594,-11.84476185,1
21,549,4.703425407,-9.549825668,1
21,565,3.819728851,-7.597269058,1
21,581,1.804618835,-0.5779619217,1
21,597,7.599479198,-8.883232117,1
21,613,1.077635169,-10.34816933,1
21,629,3.209391594,-2.123015881,1
21,645,0.3371394873,-11.46848869,1
21,661,-9.785831451,-12.88754082,1
21,677,-11.25234413,-14.44651985,1
21,693,-0.3192939758,-6.759918213,1
21,709,-0.2530090809,-13.91578007,1
21,725,-0.4617055655,-12.79789925,1
21,741,-1.316010833,-12.24891853,1
21,757,-0.9962073565,-9.870377541,1
