PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 39, filenames: A:[39]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[40]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,-3.298069477,0.9097489119,1
21,37,-1.253637075,-0.1159140468,1
21,53,-0.7671036124,-0.08870977163,1
21,69,-1.610242605,-0.4357799292,1
21,85,-2.190274715,-0.7289435863,1
21,101,-2.468163013,-0.7127742767,1
21,117,-2.111392498,-0.9775400162,1
21,133,-1.117160559,-2.324737072,1
21,149,-1.111866474,-2.467094421,1
21,165,-1.281903267,-2.099097252,1
21,181,-1.365447164,-1.960326672,1
21,197,-0.8482490778,-1.749090314,1
21,213,-0.08686208725,-1.696737647,1
21,229,-0.6756159067,-1.512032032,1
21,245,-1.122919679,-1.072847247,1
21,261,-0.6096709967,-1.029205561,1
21,277,0.2733257115,-0.6488882899,1
21,293,0.5731399059,-0.5281084776,1
21,309,0.4957901835,-0.4628301263,1
21,325,-0.4729420245,-0.7702227831,1
21,341,-0.5580299497,-0.2324262559,1
21,357,-0.3946213722,-0.3264611363,1
21,373,-0.3672995567,-0.7046622038,1
21,389,-0.2656701505,-0.9956445694,1
21,405,-0.306403935,-2.021434546,1
21,421,0.317825377,-1.765620828,1
21,437,0.5010427237,-1.595222235,1
21,453,0.4538404942,-1.4467659,1
21,469,-0.1231312752,-0.8009538054,1
21,485,0.2936317325,-0.1893407106,1
21,501,0.3311016262,-0.5827940702,1
21,517,0.7456374168,-0.6380625367,1
21,533,0.5317928791,-0.9409319162,1
21,549,0.4388528466,-0.8949813247,1
21,565,0.4590336978,-0.9929264784,1
21,581,1.212747693,-0.5936088562,1
21,597,0.6828778386,0.04252684116,1
21,613,-0.07206517458,0.3644159436,1
21,629,-0.3696648479,0.504457891,1
21,645,-0.6100916266,0.4972478747,1
21,661,-0.4561980367,0.2870240211,1
21,677,0.1134062409,-0.00781391561,1
21,693,0.6734281182,-0.3088936806,1
21,709,0.888045311,-0.09675902128,1
21,725,1.297330618,-0.1984437704,1
21,741,1.769618988,-0.6873399019,1
21,757,1.559567332,-0.4314002991,1
21,773,1.058631539,-1.362970471,1
21,789,0.8011280298,-0.4275896549,1
21,805,-0.1570792198,-0.6718276143,1
21,821,-0.1572369635,-1.130898476,1
21,837,-0.2129096985,-0.6457603574,1
21,853,-0.1501286924,0.460707128,1
21,869,-0.01068202034,1.11266613,1
21,885,-0.08209237456,0.7555274367,1
21,901,-0.3455405831,-0.1600028127,1
21,917,-0.2467738092,-0.5218939781,1
21,933,-0.124848336,-0.1140323281,1
21,949,-0.2814987004,0.2052296996,1
21,965,-0.8339199424,-0.2753267288,1
21,981,-0.7060825825,-0.3039286137,1
21,997,-0.2568966746,-0.2206631899,1
21,1013,0.4153604507,-0.1088934392,1
21,1029,0.5401855707,-0.380532831,1
21,1045,-0.3083450794,-1.187315464,1
21,1061,-1.166157484,-1.347691894,1
21,1077,-0.6925888062,-0.7853401899,1
21,1093,0.1372032762,-0.0623062253,1
21,1109,0.7544118762,0.2637560368,1
21,1125,0.697722435,-0.3447666168,1
21,1141,0.414686203,-0.3645924926,1
21,1157,-0.88149786,0.06791007519,1
21,1173,-0.600184679,-0.3286910653,1
21,1189,-0.4816943705,-0.6182075739,1
21,1205,-0.5908288956,-0.8711005449,1
21,1221,-0.3727885485,-0.4859036207,1
21,1237,0.1610871851,-0.2604367733,1
21,1253,0.5723814964,-1.068463922,1
21,1269,-0.1951304078,-0.522300601,1
21,1285,-1.056802034,-0.5710759759,1
21,1301,0.6098999381,0.2994140983,1
21,1317,-0.2724159956,0.04490682483,1
21,1333,-0.4484815598,0.155499354,1
21,1349,0.5182751417,0.5936059952,1
21,1365,1.266120791,1.266173124,1
21,1381,0.1062803268,-0.04085595906,1
21,1397,-0.09602352977,0.1869399846,1
21,1413,0.5904942751,0.4001125991,1
21,1429,0.4661872089,0.7733757496,1
21,1445,0.3206480742,0.2399681509,1
21,1461,0.1467464566,0.2963635325,1
21,1477,0.1358109862,0.1722165346,1
21,1493,0.2230074853,0.1303754151,1
21,1509,0.464300245,-0.8097862601,1
21,1525,1.515574813,-2.29423666,1
37,21,-1.650560379,-0.7875672579,1
37,37,-1.275788665,-1.115961671,1
37,53,-1.354054451,-0.9366324544,1
37,69,-1.667345881,-0.9694509506,1
37,85,-2.128722429,-1.495617509,1
37,101,-2.245105743,-1.423996806,1
37,117,-2.238876343,-0.8675601482,1
37,133,-2.504203796,-0.8576247692,1
37,149,-2.096507549,-0.9280502796,1
37,165,-1.33463335,-1.070772886,1
37,181,-0.9464341998,-0.9333760738,1
37,197,-1.301614404,-0.5755381584,1
37,213,-0.5079748034,-0.5602033138,1
37,229,-1.017293215,-0.616325736,1
37,245,-1.461698532,-0.5891507268,1
37,261,-0.9543830156,-1.009909034,1
37,277,-0.2681289315,-1.598314404,1
37,293,0.09200759232,-1.560653448,1
37,309,-0.1179356128,-1.277054071,1
37,325,-0.7542313337,-1.259030581,1
37,341,-0.929477036,-0.4749137759,1
37,357,-0.7860114574,-0.1571016312,1
37,373,-0.3682489693,-0.3098490834,1
37,389,-0.06334292889,-0.3761023879,1
37,405,0.4188168645,-1.399769306,1
37,421,0.9751423001,-1.842411757,1
37,437,0.5655031204,-1.321033478,1
37,453,-1.73665309,-0.9341831207,1
37,469,-2.186117649,-1.182770848,1
37,485,-0.7286662459,-1.686330676,1
37,501,0.06172883511,-1.735311985,1
37,517,1.226528406,-1.814576149,1
37,533,1.669836283,-1.201774836,1
37,549,0.8633018136,-1.37912488,1
37,565,0.9799625874,-1.748727322,1
37,581,1.384529114,-1.100023627,1
37,597,1.257200956,0.1403574347,1
37,613,0.6270309687,0.4848594666,1
37,629,-0.0604557395,0.2378246635,1
37,645,0.02164626122,0.4677292407,1
37,661,0.3769410849,0.3672662377,1
37,677,0.6598659158,0.2821748257,1
37,693,0.7046581507,0.07425515354,1
37,709,0.2769315243,0.06819048524,1
37,725,0.3888962269,-0.3271524608,1
37,741,0.9862034917,-0.7397999763,1
37,757,1.202744126,-0.8597952127,1
37,773,0.03399285674,-1.175845861,1
37,789,0.60808599,-0.2508203983,1
37,805,0.1615199149,0.4790792465,1
37,821,0.4537103474,-0.2612231374,1
37,837,0.6027071476,-0.2247218192,1
37,853,0.1724574566,0.2286483943,1
37,869,-0.06127134338,0.728740871,1
37,885,0.03341176733,0.2216184586,1
37,901,-0.2691637278,0.2295630723,1
37,917,-0.2672666311,-0.115304254,1
37,933,-0.0369944647,-0.07738318294,1
37,949,-0.1210870147,0.03458736837,1
37,965,-0.4970492423,-0.2955939174,1
37,981,-0.3920217156,-0.3659934998,1
37,997,-0.1828595102,-0.2479397953,1
37,1013,-0.1614840627,-0.09816467762,1
37,1029,-0.3669559062,-0.1496717632,1
37,1045,-1.024924278,-0.8304552436,1
37,1061,-0.5829694867,-0.8638440371,1
37,1077,0.4962059855,-0.8899893761,1
37,1093,0.4279662967,-0.5077350736,1
37,1109,0.4871689677,-0.3333034515,1
37,1125,0.4234900177,-0.375197649,1
37,1141,0.1528179348,-0.4597562551,1
37,1157,-0.1318282485,0.1165169254,1
37,1173,-0.6766198277,-0.07977077365,1
37,1189,-0.9062696695,-0.4792955518,1
37,1205,-0.9192302227,-1.143770456,1
37,1221,-0.6590989232,-0.8165875673,1
37,1237,-0.3063635528,-0.5651865602,1
37,1253,-0.1135279238,-0.5875793099,1
37,1269,0.003723196685,-0.6811150908,1
37,1285,0.05445794761,-0.3696754575,1
37,1301,0.8601596951,0.01699750125,1
37,1317,0.2623301744,0.2903384566,1
37,1333,-0.03222426772,0.3931748271,1
37,1349,-4.830582619,-3.865650415,1
37,1365,-4.883520603,-3.402196646,1
37,1381,-0.09884750843,0.2134168297,1
37,1397,-0.3312795758,0.4220302403,1
37,1413,0.2274752259,0.366345644,1
37,1429,0.5248305798,-0.01090414822,1
37,1445,0.4070157111,0.04347427189,1
37,1461,0.2412530482,0.1889519244,1
37,1477,0.2701984644,0.1436965317,1
37,1493,-0.07141880691,0.1979560256,1
37,1509,-0.07908833027,0.02123169601,1
37,1525,0.01935586333,-0.5435284376,1
53,21,-0.7772798538,-1.979742169,1
53,37,-0.8356262445,-2.034555912,1
53,53,-1.869685411,-1.392954588,1
