PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 28, filenames: A:[28]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[29]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,-0.874646306,-0.3132261634,1
21,37,0.006381958723,-1.26246655,1
21,53,-0.0317171514,-1.456449389,1
21,69,-0.4000115395,-1.612870336,1
21,85,-0.541631937,-1.152454019,1
21,101,-0.8019576073,-0.7179839611,1
21,117,-1.211341619,-0.6436214447,1
21,133,-0.7535396814,-1.281338573,1
21,149,-0.4214561582,-2.037392616,1
21,165,-0.4161157608,-2.193906307,1
21,181,-0.782638669,-1.741346002,1
21,197,-0.5532894731,-1.867766857,1
21,213,-0.6701720357,-3.74324441,1
21,229,-1.605394602,-2.606758833,1
21,245,-2.052177429,-1.839756131,1
21,261,-1.901183367,-1.937697172,1
21,277,-1.375267506,-2.085619688,1
21,293,-1.463854551,-2.257736921,1
21,309,-1.304394126,-1.740539312,1
21,325,-0.8221883774,-1.23156023,1
21,341,-0.5298671722,-1.579860568,1
21,357,-0.9040342569,-1.722508192,1
21,373,-1.603108406,-1.549005866,1
21,389,-1.857470512,-1.386265755,1
21,405,-0.9096995592,-1.247159719,1
21,421,0.0777053237,-1.084536314,1
21,437,-1.092641234,-1.325097561,1
21,453,-2.011166811,-2.246294498,1
21,469,-1.564179182,-1.903560996,1
21,485,-0.893348217,-0.6699329615,1
21,501,-0.4155360758,0.1414420605,1
21,517,-0.5241343975,0.1553829908,1
21,533,-1.777528763,0.3511779904,1
21,549,-0.01267421246,-0.9015983343,1
21,565,-1.920956016,-2.384732246,1
21,581,-2.535255671,-2.534882069,1
21,597,-2.487365007,-2.454348803,1
21,613,-4.147187233,-0.7724099159,1
21,629,-3.300360203,-2.128726006,1
21,645,-0.4950119853,-1.202622175,1
21,661,-0.3358027935,-0.8479027748,1
21,677,-0.2515893579,0.1855341494,1
21,693,0.0117277205,0.6133569479,1
21,709,-0.06713485718,0.3509078622,1
21,725,-0.5923013091,-1.160656571,1
21,741,-0.6880782843,-1.0520643,1
21,757,-0.9149733186,-1.021921277,1
21,773,-0.4721040428,-1.095221758,1
21,789,-0.1932937503,-0.9680392742,1
21,805,-0.4348942637,-0.8117505312,1
21,821,-1.255097032,-0.6229500771,1
21,837,-1.41355443,-1.376341105,1
21,853,-1.015240669,-1.884796858,1
21,869,-1.206911564,-1.59403193,1
21,885,-2.034746647,-2.198023558,1
21,901,-1.532878995,-3.131140709,1
21,917,-1.496341228,-1.482159019,1
21,933,-1.058677435,-0.4695582986,1
21,949,-0.6695883274,-0.2628595829,1
21,965,-0.4075791836,-0.4058669209,1
21,981,-0.1855390668,-0.8271053433,1
21,997,-0.5007080436,-1.080595255,1
21,1013,-0.6324803829,-1.313339472,1
21,1029,-0.8381243944,-0.9972527027,1
21,1045,-1.358976007,-0.8078148365,1
21,1061,-1.599081516,-1.302120805,1
21,1077,-2.14907217,-1.903285623,1
21,1093,-2.65992403,-1.968043327,1
21,1109,-2.10344553,-1.598810673,1
21,1125,-1.437829375,-1.58095336,1
21,1141,-0.847015202,-1.192915559,1
21,1157,-0.5547228456,-1.351105213,1
21,1173,-0.4540779591,-1.707126617,1
21,1189,0.1011906862,-2.37356472,1
21,1205,-0.07974475622,-2.06831646,1
21,1221,-0.7086804509,-1.532948971,1
21,1237,-1.052563906,-1.895151258,1
21,1253,-0.5097141862,-1.987659574,1
