PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 22, filenames: A:[22]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[23]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,-1.983172894,-1.077939153,1
21,37,-1.183178425,-1.517974019,1
21,53,-0.501378417,-1.035909772,1
21,69,0.5198428035,-0.4487627745,1
21,85,0.3972710073,-0.280809164,1
21,101,-0.3560677171,-0.2437817454,1
21,117,-0.9594324231,-0.1137911677,1
21,133,-0.5745630264,-0.4909811616,1
21,149,-0.335826993,-1.215655804,1
21,165,-0.4285691082,-2.09677887,1
21,181,-0.952368021,-2.165380001,1
21,197,-0.4763113856,-1.365606427,1
21,213,-0.1182713807,-0.9472739697,1
21,229,0.1342187226,-0.3325068951,1
21,245,0.8857024908,-0.4524565935,1
21,261,0.7357711792,-1.201314926,1
21,277,0.5327427387,-1.397262335,1
21,293,1.060647964,-0.9055279493,1
21,309,0.689571619,-1.150633812,1
21,325,0.1936891377,-1.743489504,1
21,341,-0.07139258087,-2.307251453,1
21,357,-0.1540483534,-2.564609528,1
21,373,0.1090422571,-2.561526537,1
21,389,0.288059473,-1.261756063,1
21,405,0.44876647,-0.2380760312,1
21,421,0.5892317295,-0.3345851302,1
21,437,0.67903018,-0.2154965401,1
21,453,1.289283276,0.1318611503,1
21,469,2.416716576,-0.167381525,1
21,485,2.798715591,-0.2354259491,1
21,501,1.730650425,0.3513725996,1
21,517,0.07738506794,0.9582027197,1
21,533,-0.7387909889,0.5217018723,1
21,549,-0.5286445022,-0.1285579801,1
21,565,-0.3377963305,-0.3084774017,1
21,581,-0.6031284332,-0.8585572839,1
21,597,-1.619562387,-1.110951662,1
21,613,-1.897847176,-1.755739927,1
21,629,-1.569890022,-1.888082027,1
21,645,-2.473530769,-1.603003263,1
21,661,-2.219347715,-1.607070923,1
21,677,-1.005482674,-1.331137538,1
21,693,-0.3363387883,-1.827202082,1
21,709,-0.03353172541,-2.231688499,1
21,725,-0.2786165774,-1.943387985,1
21,741,-0.65642488,-1.995344877,1
21,757,-0.794900775,-2.553418875,1
21,773,-0.4267206192,-2.775057793,1
21,789,-0.372443676,-1.86075604,1
21,805,-0.1384433359,-1.024128437,1
21,821,-0.1107763946,-1.312888741,1
21,837,-0.4086833,-2.054569244,1
21,853,-1.211019874,-2.610395432,1
21,869,0.3317962885,-1.810479641,1
21,885,0.2497678995,-1.806298018,1
21,901,0.1916054487,-1.518867135,1
21,917,-0.9499613643,-1.369703174,1
21,933,-0.08900313079,-0.1394076943,1
21,949,0.1092969626,-0.6723405123,1
21,965,-0.07950851321,-1.593256116,1
21,981,0.06250664592,-1.897562027,1
21,997,0.1077287048,-1.270605087,1
21,1013,0.187641412,-0.6939759851,1
21,1029,0.3677795231,-0.3970669806,1
21,1045,0.3674852848,-0.7309683561,1
21,1061,-0.1798507571,-1.287139893,1
21,1077,0.3768962622,-0.6417090893,1
21,1093,0.5434686542,0.1878908277,1
21,1109,0.2807186246,1.260521531,1
21,1125,0.03684391826,1.301318407,1
21,1141,0.07830692828,0.7544346452,1
21,1157,0.03949689865,-0.08463472128,1
21,1173,-0.5663449764,-0.1894802451,1
21,1189,-0.03077578545,0.1312515289,1
21,1205,0.7558698058,-0.07235133648,1
21,1221,0.6513225436,-0.8266311288,1
21,1237,0.4757775664,-0.6138700843,1
21,1253,0.5704915524,-0.5418283343,1
21,1269,0.6175229549,-0.3062099218,1
21,1285,0.3519954681,-0.4787629545,1
21,1301,0.374897778,0.04172644019,1
21,1317,0.3563952446,0.2444304973,1
21,1333,0.5349304676,0.1100521684,1
21,1349,1.205593824,0.2487558126,1
21,1365,1.208199978,0.4447963238,1
21,1381,2.081021547,0.3824374974,1
21,1397,3.448916674,0.138032347,1
21,1413,1.308936,0.9318256974,1
21,1429,1.85967803,0.5295196772,1
21,1445,2.305190802,0.2495870292,1
21,1461,1.734280348,-0.2263669968,1
21,1477,0.8116221428,-0.8543357849,1
21,1493,0.1870962977,-0.7075871825,1
21,1509,0.4340535104,-0.5821933746,1
21,1525,1.973481894,-0.002975583076,1
37,21,-0.3878906965,-1.006108999,1
37,37,-0.2411325276,-0.7309533358,1
37,53,-0.3210282922,-0.5720181465,1
37,69,-0.425407052,-0.7057667971,1
37,85,-0.3402359784,-1.121866345,1
37,101,-0.4414881468,-0.9991204739,1
37,117,-0.1261278391,-0.937492609,1
37,133,-0.3607696891,-0.8849194646,1
37,149,-0.6338631511,-0.8282088637,1
37,165,-0.9326601624,-1.238522172,1
37,181,-1.013156056,-1.372971296,1
37,197,-0.3826093376,-1.15746665,1
37,213,-0.00991871953,-0.8759925961,1
37,229,0.5878359079,-0.4618449807,1
37,245,1.239689946,-0.3504070044,1
37,261,0.9835045338,-0.7492700815,1
37,277,0.8794873357,-1.291544437,1
37,293,0.8752717972,-1.313302875,1
37,309,0.3612248898,-1.498995423,1
37,325,0.05454389751,-1.647873521,1
37,341,0.0658211261,-2.017456532,1
37,357,0.04739674926,-1.953204155,1
37,373,-0.114839308,-1.984268546,1
37,389,-0.01968277432,-0.7094272375,1
37,405,0.06329090893,0.1659809947,1
37,421,0.2796022296,-0.2321937531,1
37,437,0.9694248438,-0.5550784469,1
37,453,0.846026361,-0.2012092471,1
37,469,0.541493237,-0.7625857592,1
37,485,0.1988124251,-1.253507733,1
37,501,0.08137708902,-1.037533879,1
37,517,-0.4915002286,-0.7116770744,1
37,533,-0.7780564427,-0.5594857335,1
37,549,-1.307999134,-0.874168396,1
37,565,-1.424290419,-0.8271641731,1
37,581,-1.236778617,-1.566343427,1
37,597,-1.528520346,-2.084139347,1
37,613,-2.452654123,-2.071974277,1
37,629,-2.349497795,-1.283051014,1
37,645,-2.314997673,-0.6137766838,1
37,661,-2.346280575,-0.2434380054,1
37,677,-0.7867303491,-1.008348465,1
37,693,-0.6165164709,-1.575765371,1
37,709,-0.2426184267,-1.766362071,1
37,725,0.04674962163,-1.664397955,1
37,741,-0.3867650032,-1.745827675,1
37,757,-0.6667232513,-1.564712286,1
37,773,-0.4090588093,-1.749954462,1
37,789,-0.8818308115,-1.468391895,1
37,805,-0.9115151763,-1.398609877,1
37,821,-1.399493337,-1.870064497,1
37,837,-0.7227590084,-1.851074338,1
37,853,-0.548822403,-2.170931816,1
37,869,-0.8163595796,-1.272982359,1
37,885,-0.927110076,-2.513342381,1
37,901,-0.1488728821,-2.567945004,1
37,917,0.08642153442,-1.537699223,1
37,933,-0.2613714933,-1.003615141,1
37,949,-1.02374506,-0.6363568306,1
37,965,-0.4136092365,-0.9977753162,1
37,981,-0.1904591322,-1.505710363,1
37,997,0.05256508291,-1.015406132,1
37,1013,0.1215775833,-0.4007575512,1
37,1029,0.2238124907,-0.5566198826,1
37,1045,0.5091918707,-0.9226646423,1
37,1061,-0.2804749012,-1.249465942,1
37,1077,-0.3533798456,-1.249139547,1
37,1093,-0.2781609595,-0.994296968,1
37,1109,-0.03079976887,-0.6668742895,1
37,1125,-0.1571879685,-0.1601119637,1
37,1141,-0.432802856,0.1590144187,1
37,1157,-0.5741459131,0.4295954406,1
37,1173,-1.697196722,0.02529183775,1
37,1189,-2.142535925,0.2238969356,1
37,1205,-0.1115636081,-0.375033915,1
37,1221,0.1161383539,-0.7843472958,1
37,1237,-0.2401029617,-0.8171422482,1
37,1253,0.05114168674,-0.5380162001,1
37,1269,0.2232445776,0.0005681365728,1
37,1285,0.1605420411,-0.2585421205,1
37,1301,0.02643017471,-0.1433689445,1
37,1317,-0.004050806165,-0.3153960109,1
37,1333,0.07980450988,-0.4669924378,1
37,1349,0.2488418519,0.6025289297,1
37,1365,-0.0197044611,1.970814347,1
37,1381,1.189540386,0.7146651745,1
37,1397,1.796775818,0.5061169267,1
37,1413,0.5078569651,0.9109039903,1
37,1429,0.993732512,0.8044958711,1
37,1445,1.45119524,0.6943224669,1
37,1461,1.362250805,0.4315448105,1
37,1477,1.438298464,0.1375495344,1
37,1493,0.8479328752,0.04389897734,1
37,1509,0.5660637021,-0.1835126728,1
37,1525,1.160829782,-0.2138894647,1
53,21,-0.3274653554,-0.9221878648,1
53,37,-0.1804048121,-0.5950467587,1
53,53,-0.4732572436,-0.4440973997,1
53,69,-1.029733896,-0.7703163624,1
53,85,-0.5546360612,-1.042126179,1
53,101,-0.2607588768,-1.220170856,1
53,117,-0.007162392139,-1.161854029,1
53,133,-0.2646539211,-0.969810605,1
53,149,-0.7129170895,-0.8781706095,1
53,165,-1.012784004,-0.9286438227,1
53,181,-0.9089971185,-1.037661791,1
53,197,-0.3461177945,-1.140019894,1
53,213,0.1527329832,-1.016657948,1
53,229,0.3985171318,-0.8568207622,1
53,245,1.109345436,-0.6534000039,1
53,261,0.374024868,-0.5973382592,1
53,277,1.284591198,-0.9032831192,1
53,293,1.187538981,-1.258875012,1
53,309,0.2856272459,-1.021889687,1
53,325,0.4302923977,-1.599786401,1
53,341,0.2383196652,-1.586501122,1
53,357,-0.07879622281,-2.053343296,1
53,373,-0.428091228,-1.430465341,1
53,389,-0.3572030663,-0.1467998028,1
53,405,-0.0735950619,0.1869555414,1
53,421,0.1574884355,0.2752736807,1
53,437,0.4457533956,-0.127162993,1
53,453,0.2989307344,-0.1935428381,1
53,469,-0.2882692814,-1.049440026,1
53,485,-0.9480494857,-1.465343952,1
53,501,-1.046794891,-1.789892793,1
53,517,-0.5675976276,-1.595324636,1
53,533,-0.499964118,-1.09582305,1
53,549,-1.210333943,-1.407689571,1
53,565,-1.875500441,-1.105275154,1
53,581,-1.474322677,-2.494020462,1
53,597,-1.728408813,-2.926076412,1
53,613,-2.499303102,-2.072540522,1
53,629,-2.342061043,-1.428146005,1
53,645,-1.694703221,-0.5735142827,1
53,661,-1.359960556,-0.4057314992,1
53,677,-1.068632841,-0.7677791119,1
53,693,-1.505680323,-0.9399777055,1
53,709,-0.5096508265,-0.9040971994,1
53,725,0.1088073105,-1.385966301,1
53,741,-0.1758042276,-1.401725769,1
53,757,-0.6578065753,-0.9798905849,1
53,773,-0.5782296658,-1.617647886,1
53,789,-0.3734953701,-1.159477234,1
53,805,-0.08582189679,-1.838937283,1
53,821,-0.3544937074,-1.615229607,1
53,837,-0.4021733403,-1.824120641,1
53,853,-0.1436373591,-1.830292106,1
53,869,0.02252157032,-2.012450695,1
53,885,0.3842832148,-2.634161711,1
53,901,0.3557947576,-2.867425442,1
53,917,0.3590427041,-2.031405449,1
53,933,0.2590065897,-0.8945138454,1
53,949,-0.5218001008,-1.038919926,1
53,965,-0.4739091396,-0.8722423315,1
53,981,-0.3787784278,-0.9801026583,1
53,997,-0.4353982806,-1.063951731,1
53,1013,-0.5327442288,-0.9064377546,1
53,1029,-0.1270295084,-1.127901554,1
53,1045,0.4131963253,-1.162168026,1
53,1061,0.29365623,-1.085820436,1
53,1077,-0.1241669059,-1.255488515,1
53,1093,-0.4346494675,-1.647624254,1
53,1109,-0.1213303506,-1.619590282,1
53,1125,-0.1219628006,-1.097715855,1
53,1141,-0.5499150157,-0.544939816,1
53,1157,-0.822437644,0.3434429467,1
53,1173,-1.921426296,0.2803888023,1
53,1189,-1.382174134,-0.0530217886,1
53,1205,-0.2889911532,-0.93894279,1
53,1221,-0.08339320123,-0.5975894928,1
53,1237,-0.2303210199,-0.5819616914,1
53,1253,-0.07081400603,-0.4746713936,1
53,1269,0.1127680168,-0.1141421497,1
53,1285,0.002726599574,-0.155285269,1
53,1301,-0.08205413818,-0.3012946844,1
53,1317,-0.0304858014,-0.5359322429,1
53,1333,-0.04783833027,-0.4970023632,1
53,1349,-0.1405781507,0.616813004,1
53,1365,-0.4701351821,1.567002177,1
53,1381,-0.3137908578,0.4160460234,1
53,1397,0.08986774087,0.7742624283,1
53,1413,0.2816274464,0.5983105898,1
53,1429,0.4561601281,0.7555993795,1
53,1445,0.8118363619,0.8592528105,1
53,1461,0.7307806015,0.4076752961,1
53,1477,0.5040979385,0.1991261393,1
53,1493,0.3171662092,0.06532237679,1
53,1509,0.2409856468,-0.3113373816,1
53,1525,0.4201571941,-0.7287155986,1
69,21,-0.3520788252,-0.4964006543,1
69,37,-0.6906173229,-0.5562598705,1
69,53,-0.4524368644,-0.6933110952,1
69,69,-0.6389803886,-1.071875572,1
69,85,-0.6993095279,-1.248964787,1
69,101,-0.5691096187,-1.432139516,1
69,117,-0.338944912,-1.291953087,1
69,133,-0.4172365665,-1.255562901,1
69,149,-0.8947553635,-1.353801727,1
69,165,-0.8846095204,-1.162089348,1
69,181,-0.6763581038,-1.076371074,1
69,197,-0.4226509035,-1.193431377,1
69,213,-0.06711953878,-1.230594873,1
69,229,0.1738775969,-0.996019721,1
69,245,0.3082019091,-1.207685351,1
69,261,0.2856974602,-1.001544714,1
69,277,0.7121886015,-1.278206587,1
69,293,0.5683857203,-1.504920602,1
69,309,0.2408552766,-1.41757834,1
69,325,0.2196308672,-1.495360613,1
69,341,0.1618832946,-1.32985127,1
69,357,-0.2831334174,-1.645673633,1
69,373,-0.7114861608,-1.296923399,1
69,389,-0.5676794052,-0.1094202995,1
69,405,-0.2866755724,0.04410123825,1
69,421,0.2885285616,0.1742827743,1
69,437,0.48508358,0.2285912633,1
69,453,-1.10836935,-0.5749986172,1
69,469,0.9050110579,-0.8907795548,1
69,485,-1.063230753,-1.449191451,1
69,501,-1.558206797,-1.402531266,1
69,517,-0.9199945927,-1.521397233,1
69,533,-0.7304577827,-1.624805927,1
69,549,-1.847970247,-2.000193834,1
69,565,-2.760671139,-2.352469444,1
69,581,-2.368089437,-2.367954731,1
69,597,-1.485461235,-2.834217072,1
69,613,-2.338789701,-1.638284445,1
69,629,-1.850826383,-1.563063264,1
69,645,-0.9790836573,-1.062675238,1
69,661,-0.7471646667,-0.4582321048,1
69,677,-0.833914578,-0.5561253428,1
69,693,-0.5920792818,-0.5495502949,1
69,709,-0.1466709524,-0.7340826988,1
69,725,-0.1578782797,-1.114871264,1
69,741,-0.380992204,-1.021369815,1
69,757,-0.5667667389,-0.600083828,1
69,773,-1.229781628,-1.220720053,1
69,789,-0.7702604532,-1.105437398,1
69,805,-0.2668754458,-1.877248049,1
69,821,-0.2003937662,-1.753672838,1
69,837,0.07316228747,-1.441414356,1
69,853,-0.467623055,-1.707870722,1
69,869,-0.5917170644,-1.871709108,1
