PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 9, filenames: A:[9]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[10]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,-1.741894484,-4.099149704,1
21,37,-5.853929043,-5.338147163,1
21,53,-5.857312202,-7.562752724,1
21,69,-5.734464169,-8.27636528,1
21,85,-6.048388004,-6.658632278,1
21,101,-5.194788933,-6.445967197,1
21,117,-5.863637447,-5.90185976,1
21,133,-6.539352894,-6.404579163,1
21,149,-6.819488525,-7.28142643,1
21,165,-6.282755375,-7.340339661,1
21,181,-5.815765858,-7.639002323,1
21,197,-4.752319336,-7.632034302,1
21,213,-5.808969021,-7.542716503,1
21,229,-5.624199867,-7.090888023,1
21,245,-4.452260971,-6.224440575,1
21,261,-4.173417091,-6.440224171,1
21,277,-4.633424759,-6.679625988,1
21,293,-5.066269875,-6.590266228,1
21,309,-4.319989681,-5.962395191,1
21,325,-4.811788082,-5.262153625,1
21,341,-4.527339935,-4.314344883,1
21,357,-4.49237299,-4.044294357,1
21,373,-5.557261944,-4.481183052,1
21,389,-5.923095703,-4.644749165,1
21,405,-7.880465508,-4.48418045,1
21,421,-7.914717674,-2.441408873,1
21,437,-6.954851627,-2.18479538,1
21,453,-5.617715359,-1.721804738,1
21,469,-4.617453098,-2.556670904,1
21,485,-3.799684525,-3.497783184,1
21,501,-4.410769463,-3.326940775,1
21,517,-5.189440727,-3.257232666,1
21,533,-6.764812469,-3.931724548,1
21,549,-8.311197281,-5.750562668,1
21,565,-8.231084824,-5.818835735,1
21,581,-6.099503994,-3.146988392,1
21,597,-2.926804781,-2.36883831,1
21,613,-4.427443027,-3.522451401,1
21,629,-2.359755039,-3.536250591,1
21,645,-4.48150301,-4.010023594,1
21,661,-5.743964195,-4.233063698,1
21,677,-6.297793865,-4.045714378,1
21,693,-5.538617611,-3.332514763,1
21,709,-4.469185352,-2.072089672,1
21,725,-4.556758881,-2.912322521,1
21,741,-4.701481342,-3.685289383,1
21,757,-5.629478455,-4.293181896,1
21,773,-5.819488049,-4.095927238,1
21,789,-4.880673409,-4.079881191,1
21,805,-4.20253849,-4.631513596,1
21,821,-3.833229065,-4.982497692,1
21,837,-4.111915588,-4.345799446,1
21,853,-3.248875141,-3.682278156,1
21,869,-2.071124315,-2.703796864,1
21,885,-2.239134312,-1.934979916,1
21,901,-4.233100891,-2.782470703,1
21,917,-5.105391026,-1.965968132,1
21,933,-4.382624149,-1.356444478,1
21,949,-4.179068565,-1.805832982,1
21,965,-4.248495579,-2.630365372,1
21,981,-2.867367029,-2.269474506,1
21,997,-2.164635181,-2.593929529,1
21,1013,-2.823065758,-2.25985837,1
21,1029,-3.684027195,-1.56785512,1
21,1045,-3.88688302,-1.383252978,1
21,1061,-3.720722675,-0.5639730692,1
21,1077,-2.729846716,-0.6510897875,1
21,1093,-3.352848053,-1.549832344,1
21,1109,-4.420848846,-2.050110102,1
21,1125,-4.561857224,-1.666456461,1
21,1141,-4.38680172,0.2972767353,1
21,1157,-2.682534456,0.9104312062,1
21,1173,-2.369354725,0.5242898464,1
21,1189,-3.106521368,-0.3049919605,1
21,1205,-3.818608046,-1.317620516,1
21,1221,-3.421627998,-1.266245008,1
21,1237,-3.263276577,-1.027301431,1
21,1253,-3.161092043,-1.146511793,1
21,1269,-3.240376949,-0.9170148373,1
21,1285,-3.270309448,-0.8560891747,1
21,1301,-3.029555321,-1.552901983,1
21,1317,-2.418540478,-1.441404462,1
21,1333,-2.28963232,-1.199113727,1
21,1349,-2.87076211,-0.6944490671,1
21,1365,-3.072672129,-1.590889096,1
