PIVlab, ASCII chart output - 25-Jul-2025
FRAME: 8, filenames: A:[8]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi & B:[9]MAX_Pos0007pos00008_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,21,-5.654286385,-8.572179794,1
21,37,-5.272552013,-4.558350563,1
21,53,-5.169206619,-4.00422287,1
21,69,-4.509789467,-4.822218895,1
21,85,-5.127421379,-5.215488911,1
21,101,-5.308243752,-5.39500761,1
21,117,-4.628033638,-4.988244534,1
21,133,-5.499400139,-4.022477627,1
21,149,-6.087375164,-4.192512989,1
21,165,-6.062028408,-4.928169727,1
21,181,-5.913367271,-5.491533279,1
21,197,-6.110377789,-6.199863911,1
21,213,-6.230247974,-6.244283676,1
21,229,-6.002192974,-5.42018795,1
21,245,-6.194235325,-5.114177704,1
21,261,-5.03366518,-5.285234928,1
21,277,-5.051948071,-5.735192299,1
21,293,-4.984316826,-5.558550358,1
21,309,-4.628193378,-4.816958904,1
21,325,-5.216846943,-4.802845478,1
21,341,-6.577846527,-5.266188145,1
21,357,-6.923479557,-5.302905083,1
21,373,-6.94289732,-3.941745281,1
21,389,-6.555465698,-4.230231285,1
21,405,-6.63419199,-4.56842947,1
21,421,-6.604259491,-5.202920914,1
21,437,-6.081113815,-4.867734909,1
21,453,-6.842186928,-4.173715591,1
21,469,-5.922591209,-2.595866203,1
21,485,-4.402892113,-2.562507629,1
21,501,-6.535241127,-4.068069458,1
21,517,-5.767664909,-4.180508137,1
21,533,-5.919774055,-3.95002532,1
21,549,-7.443909645,-2.985482693,1
21,565,-7.126458645,-2.621616602,1
21,581,-6.293740749,-4.402885437,1
21,597,-6.039942741,-5.187798977,1
21,613,-5.927127838,-5.179997444,1
21,629,-6.960609436,-4.30396843,1
21,645,-5.146519661,-3.659098148,1
21,661,-6.59458971,-3.873586655,1
21,677,-5.742406845,-4.870444775,1
21,693,-3.939496517,-4.69944191,1
21,709,-4.926149845,-4.216042519,1
21,725,-5.298586845,-3.905811548,1
21,741,-5.338727474,-3.733507395,1
21,757,-5.383274078,-3.704592705,1
21,773,-5.569932938,-4.022733212,1
21,789,-4.992902756,-3.678676605,1
21,805,-5.013594151,-3.500596046,1
21,821,-4.564649582,-4.434572697,1
21,837,-3.824602604,-3.908578396,1
21,853,-3.54075861,-2.763166428,1
21,869,5.273112297,-2.592140198,1
21,885,-4.412656784,-2.671633244,1
21,901,-4.56616497,-2.598942995,1
21,917,-3.978372335,-1.356774211,1
21,933,-2.942342758,-0.4365341663,1
21,949,-3.826630354,-1.062533259,1
21,965,-4.474020481,-2.44775629,1
21,981,-3.980992556,-1.987488866,1
21,997,-4.024089813,-1.711359262,1
21,1013,-4.177845955,-1.72983098,1
21,1029,-4.009627342,-2.007771969,1
21,1045,-3.704081297,-1.408289671,1
21,1061,-3.050530195,0.026045084,1
21,1077,-2.396190643,0.4209237099,1
21,1093,-1.922419548,-1.056548834,1
21,1109,-2.009395599,-1.754607677,1
21,1125,-2.459573507,-0.7232706547,1
21,1141,-1.497619867,0.2519539595,1
21,1157,-1.640180469,-1.046291947,1
21,1173,-1.711767673,-1.761423469,1
21,1189,-2.650270939,-1.643844128,1
21,1205,-2.123993874,-2.407938719,1
21,1221,-2.150213242,-3.722904921,1
21,1237,-1.517869234,-2.705534697,1
21,1253,-1.814354897,-1.38377738,1
21,1269,-2.87180233,-0.2923933268,1
21,1285,-3.364333153,-0.1721942127,1
21,1301,-3.493636608,-1.99926877,1
21,1317,-3.27468729,-0.01598927379,1
21,1333,-3.333211422,-0.1508737803,1
21,1349,-3.001614571,-0.7718362808,1
21,1365,-2.70863843,-0.3959012032,1
21,1381,-2.776567936,0.6287395358,1
21,1397,-3.155520439,0.6593766809,1
21,1413,-3.614267826,-0.1441750228,1
21,1429,-4.078326225,-0.387997508,1
21,1445,-3.878232479,-0.5847762823,1
21,1461,-3.489582062,-0.5026239157,1
21,1477,-3.252820015,0.6583691239,1
21,1493,-3.221526623,0.9352312684,1
21,1509,-3.104757071,0.3590493798,1
21,1525,-2.885511637,-1.249791384,1
37,21,-4.890156746,-4.680847168,1
37,37,-4.846817493,-4.041985989,1
37,53,-4.933877945,-4.222689152,1
