PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 7, filenames: A:[7]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[8]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-23.72631073,25.8755188,1
47,65,-2.820582151,-0.5615818501,1
47,97,-2.058142185,-8.91475296,1
47,129,-2.473185062,-9.386249542,1
47,161,-4.107671261,-6.441408157,1
47,193,-21.64035416,-14.95749855,1
47,225,-3.810268641,-6.211545944,1
47,257,-3.55442667,-5.363169193,1
47,289,-5.75585413,-0.8462667465,1
47,321,-8.110906601,-4.154304981,1
47,353,-6.53362751,-4.731900692,1
47,385,-6.502117634,-4.43763113,1
47,417,-7.53704071,-5.248325348,1
47,449,-7.9126091,-4.914412498,1
47,481,-6.856907845,-6.93891716,1
47,513,-5.332258224,-7.002096176,1
47,545,-4.536405563,-6.436317921,1
47,577,-4.552221775,-5.310196877,1
47,609,-5.220231056,-3.477094173,1
47,641,-5.288220882,-5.866521358,1
47,673,-3.600619316,-5.117860317,1
47,705,-3.71204567,-6.224845886,1
47,737,3.722923279,7.770066261,1
47,769,9.117005348,4.375051975,1
47,801,-3.894490004,-3.821626663,1
47,833,-3.697191715,-1.08694458,1
47,865,-1.127047181,-0.8161264658,1
47,897,0.06897902489,1.024501681,1
47,929,-0.07971382141,-0.08033502102,1
47,961,-0.253554523,-0.350895226,1
47,993,-0.3362881541,-0.4809639752,1
47,1025,-0.004479527473,-1.636462331,1
47,1057,-0.8943961859,-1.269195318,1
47,1089,-0.3503334522,-1.046838164,1
47,1121,-0.9913253784,-1.871502876,1
47,1153,-2.225516319,-1.604076385,1
47,1185,-2.379554749,-1.678987861,1
47,1217,-1.936793327,-2.18229413,1
47,1249,-1.074380159,-1.145597696,1
47,1281,-0.03809316456,3.910323381,1
47,1313,-0.3077021837,5.220027447,1
47,1345,-1.552825451,3.299815655,1
47,1377,-1.19839859,2.078934431,1
47,1409,-0.9787166119,3.498019695,1
47,1441,-0.9691112041,2.169401169,1
47,1473,-0.7744443417,2.646618843,1
47,1505,-1.074567437,2.804016352,1
47,1537,-0.6966332197,2.554191828,1
47,1569,0.9821031094,7.976361275,1
47,1601,0.04384660721,5.600536823,1
47,1633,1.757935762,3.022118807,1
47,1665,1.239380836,3.02244854,1
47,1697,1.735401392,2.674152613,1
47,1729,-0.9881442785,3.17363739,1
47,1761,0.2900996208,3.926930428,1
47,1793,0.6118965149,5.290256023,1
47,1825,-0.2829817533,6.222854137,1
47,1857,-0.4648587704,5.512051105,1
47,1889,1.128323674,7.108295441,1
47,1921,3.084588051,8.656358719,1
47,1953,4.136232376,11.6268177,1
47,1985,6.478431702,15.35692215,1
47,2017,5.809903145,17.96435547,1
79,33,-1.146061182,4.470964432,1
