PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 52, filenames: A:[52]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[53]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,10.90085602,2.210217476,1
47,65,10.32749653,3.780641556,1
47,97,9.028416634,4.927211761,1
47,129,7.378700733,4.770958424,1
47,161,6.664060593,4.939484596,1
47,193,5.986184597,4.458065987,1
47,225,5.671629429,4.221732616,1
47,257,6.074082375,3.297742844,1
47,289,7.249430656,2.651676655,1
47,321,7.89253521,3.281619072,1
47,353,6.106814861,3.560899496,1
47,385,4.206279755,6.57235527,1
47,417,4.04105854,9.424705505,1
47,449,4.454388618,9.220763206,1
47,481,5.426679611,4.424893379,1
47,513,4.864647865,9.274542809,1
47,545,3.857129097,8.715121269,1
47,577,1.63894558,-1.413210869,1
47,609,5.64862299,7.646416664,1
47,641,5.529197216,6.489805222,1
47,673,4.552583694,6.183103085,1
47,705,5.360531807,6.56726265,1
47,737,6.768809795,3.645885229,1
47,769,6.891586304,2.010395527,1
47,801,5.664004326,1.69076252,1
47,833,4.645998001,3.075978518,1
47,865,4.397618294,3.866137028,1
47,897,4.096532345,3.810645819,1
47,929,3.529755831,7.300092697,1
47,961,3.55278182,9.431339264,1
47,993,6.487091541,8.202540398,1
47,1025,7.598724365,7.177538395,1
47,1057,4.736870289,7.331895828,1
47,1089,2.254415512,8.539991379,1
47,1121,2.049768925,6.44062233,1
47,1153,-0.7199090719,4.009703159,1
47,1185,-1.598887086,3.734421968,1
47,1217,-0.7456725836,2.266765356,1
47,1249,2.364524364,0.08487331867,1
47,1281,2.940701485,0.8595333099,1
47,1313,1.584471226,1.007043839,1
47,1345,2.030526161,2.151638031,1
47,1377,1.221422911,3.087893963,1
47,1409,0.4763400555,3.505525589,1
47,1441,0.5259299278,3.615389347,1
47,1473,2.393638134,4.167164803,1
47,1505,4.538682938,3.518271923,1
47,1537,4.978616714,3.178649902,1
47,1569,4.741096497,2.716701508,1
47,1601,4.674637794,2.919847488,1
47,1633,5.898694038,4.178361416,1
47,1665,6.755827904,3.465827227,1
47,1697,7.299931526,0.2538222075,1
47,1729,4.114610672,2.852103233,1
47,1761,4.853509903,6.490038872,1
47,1793,8.736333847,2.868895531,1
47,1825,5.608235836,3.007075787,1
47,1857,2.570467949,-0.9105226994,1
47,1889,4.137523651,-2.88871479,1
47,1921,2.732567549,1.356711626,1
47,1953,-9.633733749,-0.01240205765,1
47,1985,-6.729801178,1.315898657,1
47,2017,-12.5838871,-10.18442535,1
79,33,8.046834946,3.019863844,1
79,65,7.85155201,3.898975372,1
79,97,7.314792633,4.445171356,1
79,129,6.307507992,4.906240463,1
79,161,5.929120541,4.85547924,1
79,193,5.097288609,4.334460258,1
79,225,4.09393692,3.9961133,1
79,257,4.250287056,2.899834156,1
79,289,5.206502914,2.343833447,1
79,321,6.227388382,1.696093082,1
79,353,5.906574249,4.013388157,1
79,385,6.80891037,6.25706625,1
79,417,6.440950871,8.474304199,1
79,449,5.74320507,8.70006752,1
79,481,5.510622978,8.039711952,1
79,513,4.938477993,7.262284756,1
79,545,4.600491524,6.472886086,1
79,577,4.360570908,7.296498299,1
79,609,4.457357407,7.833273411,1
79,641,4.870312691,6.592087269,1
79,673,4.518424034,5.011455536,1
79,705,4.210718155,4.916618824,1
79,737,4.441986561,4.881912708,1
79,769,4.784998894,3.995886803,1
79,801,4.431357861,4.092464447,1
79,833,4.099593639,4.553806305,1
79,865,4.199987411,4.81968832,1
79,897,3.648537874,4.584599018,1
79,929,3.144644737,6.477293968,1
79,961,3.156946659,6.679169178,1
79,993,2.920164108,7.782439232,1
79,1025,2.857771397,5.133371353,1
79,1057,2.266903877,5.102080822,1
79,1089,-0.7757395506,5.768979073,1
79,1121,0.3553175926,6.153774261,1
79,1153,1.271307945,4.676566124,1
79,1185,1.053725481,3.951167107,1
79,1217,1.283371806,2.613450766,1
79,1249,2.113974094,2.050577402,1
79,1281,3.006307364,2.779292583,1
79,1313,1.871718645,2.301686287,1
79,1345,1.82585144,1.874794245,1
79,1377,1.498695254,2.231494188,1
79,1409,1.655366421,3.356214285,1
79,1441,2.577976465,3.900047302,1
79,1473,3.544509411,4.175115108,1
79,1505,4.679764748,4.496096134,1
79,1537,5.117444515,4.424156189,1
