PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 61, filenames: A:[61]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[62]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.8857387304,2.580831289,1
47,65,-0.8277745247,0.9045670033,1
47,97,-1.665742159,0.8327558637,1
47,129,-1.737832546,1.529542208,1
47,161,1.442432046,2.616895199,1
47,193,3.143143177,4.166577816,1
47,225,3.284010887,5.404630184,1
47,257,2.009845018,6.375720501,1
47,289,-0.2075605392,5.303330898,1
47,321,-1.491967916,5.607588768,1
47,353,-0.2050716877,6.518350601,1
47,385,0.9562160969,4.926304817,1
47,417,2.238204241,4.864136696,1
47,449,1.422490239,4.653917789,1
47,481,1.14627099,4.376649857,1
47,513,-0.3780530691,4.029123783,1
47,545,-1.109185934,3.74725318,1
47,577,-0.6075546741,1.895748138,1
47,609,0.8506610394,1.723888397,1
47,641,2.415489674,2.271208525,1
47,673,2.46966362,1.852521658,1
47,705,2.570420742,3.037631512,1
47,737,1.651487589,2.772466898,1
47,769,1.2856071,2.344903469,1
47,801,1.206880093,2.709974766,1
47,833,1.727360725,3.515017509,1
47,865,2.691212416,4.174380779,1
47,897,3.040925026,4.149977207,1
47,929,1.551370978,3.586166859,1
47,961,0.2245154381,3.181962252,1
47,993,0.1176252365,3.8296206,1
47,1025,0.686232686,6.946573257,1
47,1057,1.140401602,6.626022816,1
47,1089,-0.1787524223,5.703736782,1
47,1121,-0.1570543051,5.665367126,1
47,1153,-1.89663887,5.510445118,1
47,1185,-2.943478346,4.935120583,1
47,1217,-0.7240476608,7.527571678,1
47,1249,1.460431099,7.5388937,1
47,1281,3.373409748,6.270833492,1
47,1313,3.578352451,5.865262032,1
47,1345,1.235954285,4.80548811,1
47,1377,1.956847191,3.56637907,1
47,1409,-0.4549400806,6.362131596,1
47,1441,0.2806975842,6.749400139,1
47,1473,2.993237495,6.770721912,1
