PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 9, filenames: A:[9]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[10]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-2.682835579,-0.6249850988,1
47,65,-2.662427902,-3.482414246,1
47,97,-1.014097691,-2.338421345,1
47,129,0.9513657093,-0.1891335249,1
47,161,2.814390659,0.8652505875,1
47,193,1.916849256,2.454621792,1
47,225,0.003986567259,2.852868319,1
47,257,-3.725777149,-0.1203534603,1
47,289,-4.85315609,-0.7779980898,1
47,321,-2.932637215,-1.098253608,1
47,353,-2.892529011,-1.298092127,1
47,385,-3.442180872,-1.178439379,1
47,417,-3.322660446,-0.630269289,1
47,449,-2.947498798,-0.6147108078,1
47,481,-3.091222286,-0.8374615908,1
47,513,-2.358364105,-0.5582889318,1
47,545,-1.293842077,-0.5542520881,1
47,577,-0.7637765408,-1.164101601,1
47,609,-0.3510098457,-1.24619019,1
47,641,-0.6188559532,1.305937648,1
47,673,-1.584579945,-1.85346508,1
47,705,-0.227766335,-1.202400923,1
47,737,2.653230429,-1.023103595,1
47,769,2.436953545,-0.8863657713,1
47,801,0.9549919367,-0.04669475555,1
47,833,-0.06209936738,0.1917140484,1
47,865,-1.398360014,0.6026813388,1
47,897,-1.56375432,1.184457183,1
47,929,-2.690536261,10.4924469,1
47,961,1.635796666,0.7656858563,1
47,993,-0.4977645874,1.178730011,1
47,1025,-2.689272404,1.935563922,1
47,1057,-1.968442917,0.6866543293,1
47,1089,-2.850060225,2.951781273,1
47,1121,-1.844282627,2.999495983,1
47,1153,-0.9472020864,2.580355644,1
47,1185,0.7810510397,1.761422396,1
47,1217,0.6027565002,0.334005475,1
47,1249,0.3583266735,1.171336412,1
47,1281,-0.1244245172,2.350081921,1
47,1313,0.2045435905,3.17626524,1
47,1345,0.1412084103,1.821835518,1
47,1377,1.4050529,1.057642221,1
47,1409,2.580403805,1.073165178,1
47,1441,3.604685783,1.788322687,1
47,1473,2.981011391,3.961843491,1
47,1505,1.840886593,7.577688217,1
47,1537,2.008844376,6.819335938,1
47,1569,2.468881607,3.870498657,1
47,1601,1.031423807,2.975105286,1
47,1633,-0.1061720848,3.083335161,1
47,1665,-0.4437658787,4.355631828,1
47,1697,-1.647501707,4.933061123,1
