PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 5, filenames: A:[5]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[6]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,21.38361549,0.1685900688,1
47,65,1.043360591,-1.596167922,1
47,97,-1.212669969,-2.156509399,1
47,129,-2.921003103,-2.82594347,1
47,161,-3.254719973,-5.70685482,1
47,193,-2.550338268,-4.771165371,1
47,225,-1.818460226,-4.489761829,1
47,257,-0.1452457905,-3.750627041,1
47,289,-3.046969652,-4.281020164,1
47,321,-5.797586441,-5.963595867,1
47,353,-5.363544464,-5.834906101,1
47,385,-5.350662231,-5.367796898,1
47,417,-5.416446209,-4.757401466,1
47,449,-4.447201252,-4.809827805,1
47,481,-3.492369175,-5.569177151,1
47,513,-1.569055557,-5.522136211,1
47,545,0.9401874542,-5.10362196,1
47,577,1.477429867,-3.306492805,1
47,609,-1.564717293,-1.552424669,1
47,641,-2.12400794,-0.6137032509,1
47,673,-0.5034091473,-1.090204954,1
47,705,-0.5253236294,-0.7965339422,1
47,737,0.9145817757,0.6157761812,1
47,769,2.431261063,0.1952547431,1
47,801,1.549147606,0.9057724476,1
47,833,-3.549086571,0.3574683666,1
47,865,0.4848098755,0.2432435751,1
47,897,4.41782999,-0.6312586665,1
47,929,5.985596657,-2.599123001,1
47,961,6.925065994,-4.280503273,1
47,993,5.757592201,-2.453069687,1
47,1025,7.208952904,-3.524056911,1
47,1057,10.09031296,-6.638942719,1
47,1089,8.71254158,-10.66518402,1
47,1121,8.5822649,-9.108617783,1
47,1153,9.561243057,-6.620140553,1
47,1185,11.05299091,-2.213639736,1
47,1217,12.90922642,2.26229763,1
47,1249,10.8592844,2.637633085,1
47,1281,11.99395752,1.392902136,1
47,1313,1.998310089,-1.252034426,1
47,1345,8.21807766,-0.1965242624,1
47,1377,8.30443573,-3.257730484,1
47,1409,7.635059357,-5.959564209,1
47,1441,3.805419922,-4.224726677,1
47,1473,-0.6453962326,-1.106122971,1
47,1505,4.344112396,-0.4747698307,1
47,1537,5.978261948,0.537913084,1
47,1569,7.402290344,0.6229321957,1
