PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 19, filenames: A:[19]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[20]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,10.87522411,6.27619648,1
47,65,6.17743206,1.355665803,1
47,97,5.768155098,0.5728902221,1
47,129,5.724214077,1.390975118,1
47,161,3.167446136,1.268296003,1
47,193,2.46901989,2.245497704,1
47,225,2.789394379,1.583636403,1
47,257,3.110256195,1.471904516,1
47,289,4.051844597,4.961509228,1
47,321,2.933395386,6.644207954,1
47,353,2.622019291,5.571562767,1
47,385,2.050934792,6.683458805,1
47,417,0.6388118267,3.850975513,1
47,449,0.8031842709,3.858403683,1
47,481,0.2443171442,3.701382875,1
47,513,-0.06357137114,2.717059612,1
47,545,-0.3522609472,2.792413235,1
47,577,-0.6613271236,4.737066269,1
47,609,-0.6307837963,2.394854784,1
47,641,1.035113096,3.211467981,1
47,673,1.751570225,3.826999664,1
47,705,-0.6794111729,4.308930397,1
47,737,1.283232689,6.711927414,1
47,769,2.339890718,6.270413399,1
47,801,2.271765471,1.284385204,1
47,833,-0.7302529812,2.639526129,1
47,865,0.3987286687,2.653620481,1
47,897,-0.8451912403,3.255929947,1
47,929,0.5292617083,2.48050046,1
47,961,1.987472653,3.004439831,1
47,993,1.669210196,2.846025229,1
47,1025,1.76966691,4.669732094,1
47,1057,0.5031895638,6.166028976,1
47,1089,0.3520647287,6.996364594,1
47,1121,0.7422107458,6.031522274,1
47,1153,0.750097394,6.306282043,1
47,1185,0.5631543398,6.060897827,1
47,1217,-0.759519577,6.096747398,1
47,1249,0.6837373972,4.772743702,1
47,1281,1.769220114,4.123428822,1
47,1313,1.994129658,4.059790134,1
47,1345,2.826506853,4.945569992,1
47,1377,2.049449682,4.97847414,1
47,1409,1.528268576,3.374708176,1
47,1441,2.815179348,5.627139091,1
47,1473,4.67440033,6.007425308,1
47,1505,4.907989502,4.537423134,1
47,1537,3.397232533,5.303627968,1
47,1569,4.267576694,5.864960194,1
47,1601,6.3774786,3.238677979,1
47,1633,4.439041138,1.689718723,1
47,1665,4.411428452,4.985277176,1
47,1697,6.670006752,6.820257664,1
47,1729,8.353895187,8.363391876,1
47,1761,9.81188488,8.064853668,1
47,1793,9.334974289,8.641611099,1
47,1825,7.138618469,8.421062469,1
47,1857,6.585445404,7.083692074,1
47,1889,6.819549561,7.056834698,1
47,1921,7.470299721,5.796818256,1
47,1953,5.057367325,5.324857712,1
47,1985,7.841830254,3.345602512,1
47,2017,10.25412178,-7.442219734,1
79,33,8.267961502,2.934999228,1
79,65,6.009926319,3.408902645,1
79,97,4.316777229,0.9318898916,1
79,129,4.56900835,1.648801088,1
79,161,3.682473898,3.160513401,1
79,193,1.762737274,1.00040102,1
79,225,2.792615652,1.065182447,1
79,257,3.709887505,1.794205546,1
79,289,4.347986221,3.585315704,1
79,321,2.141298294,3.611316442,1
79,353,1.353610039,4.194231987,1
79,385,1.406736493,4.79102993,1
79,417,1.118393898,4.496418476,1
79,449,0.1960791945,3.624642134,1
79,481,-0.01038491726,3.653984308,1
79,513,-0.2004758418,3.122454882,1
79,545,0.2304199487,3.086057901,1
79,577,2.140982628,4.928893566,1
79,609,0.8227837086,2.370903969,1
79,641,1.195122123,1.933290005,1
79,673,1.255522251,2.862445831,1
79,705,1.303723812,3.540034294,1
79,737,0.9330394268,4.162909985,1
79,769,0.9949423075,4.038633823,1
79,801,0.88311553,2.991079092,1
79,833,-0.2179002762,3.507329941,1
79,865,0.3985913396,3.697042942,1
79,897,-0.3611820936,3.52522254,1
79,929,-0.3383327127,3.025890827,1
79,961,0.4797485471,2.962970972,1
79,993,0.557911694,3.452164173,1
79,1025,0.3665043712,4.834324837,1
79,1057,0.1289348602,5.250470638,1
79,1089,1.748509407,8.736343384,1
79,1121,1.095747948,5.477878571,1
79,1153,2.495792627,7.948072433,1
79,1185,2.864581108,6.821492672,1
79,1217,0.9515235424,5.619131088,1
79,1249,1.197028518,4.612733841,1
79,1281,1.027570009,4.569476604,1
79,1313,2.272993803,3.290446281,1
79,1345,2.62729001,2.621386051,1
79,1377,2.72646451,4.682085037,1
79,1409,3.073676109,4.948763847,1
79,1441,3.968182087,5.410665035,1
79,1473,4.831315517,5.366797924,1
79,1505,4.944926262,5.245454788,1
79,1537,4.98035717,6.085836411,1
79,1569,5.560619354,6.782919884,1
79,1601,4.33850956,5.998235226,1
79,1633,5.752256393,3.176426411,1
79,1665,6.594786167,4.870185375,1
79,1697,7.477633476,6.758908749,1
79,1729,8.347723961,7.520429611,1
79,1761,8.754945755,7.310050964,1
79,1793,8.875900269,7.804931641,1
79,1825,8.528954506,7.639411926,1
79,1857,8.205541611,7.225489616,1
79,1889,9.079170227,7.292073727,1
79,1921,10.30323219,5.799049854,1
79,1953,8.632009506,4.006959915,1
79,1985,6.567487717,0.4269891381,1
79,2017,17.87447739,-6.171727657,1
111,33,4.579670906,1.270800591,1
111,65,3.619114876,2.203934193,1
111,97,2.988634348,1.219187021,1
111,129,2.854174852,1.51565671,1
111,161,2.788290262,1.600477815,1
111,193,2.641999722,1.111098886,1
111,225,2.297677994,1.221415162,1
111,257,1.82553792,3.185145378,1
111,289,1.298005939,1.881910324,1
111,321,1.150537372,1.722822666,1
111,353,0.543859899,3.624837637,1
111,385,0.8730788231,4.218836784,1
111,417,2.011288166,3.913722515,1
111,449,0.5284105539,2.322280407,1
111,481,0.4057971835,3.251176119,1
111,513,-0.07866233587,3.053815842,1
111,545,-0.07218819857,3.223667145,1
111,577,0.1865645647,3.147151709,1
111,609,0.6128410101,2.284575939,1
111,641,1.050557256,1.511100531,1
111,673,0.648434341,1.699736595,1
111,705,0.06469154358,1.712739229,1
111,737,-1.305831194,-0.04583024979,1
111,769,-1.211032867,2.861696243,1
111,801,-0.9756821394,4.33008194,1
111,833,0.372725904,4.059074402,1
111,865,0.7348025441,3.883513212,1
111,897,1.12044692,3.760759354,1
111,929,1.217907906,2.114393473,1
111,961,0.9696846604,3.486768007,1
111,993,0.5996336341,4.612657547,1
111,1025,0.4218743443,4.947916985,1
111,1057,0.8366290331,5.319924355,1
111,1089,2.462099552,5.774361134,1
111,1121,3.08521843,5.948556423,1
111,1153,2.819191217,7.218248367,1
111,1185,2.54653883,5.94180727,1
111,1217,1.958654642,5.760565758,1
111,1249,3.051621675,4.458770752,1
111,1281,3.494824886,4.046852589,1
111,1313,2.876801014,3.829948902,1
111,1345,2.467941284,2.569871426,1
111,1377,1.591825724,6.840888023,1
111,1409,3.18416667,5.068526268,1
111,1441,3.014482975,5.447808266,1
111,1473,4.906602383,4.937509537,1
111,1505,5.168787479,5.505618572,1
111,1537,4.503316879,7.206183434,1
111,1569,4.646639824,6.819979191,1
111,1601,4.784729481,6.118479252,1
111,1633,6.422166824,6.693649769,1
111,1665,7.652121544,6.687020779,1
111,1697,8.244394302,6.875538349,1
111,1729,7.914959908,6.99046278,1
111,1761,7.596360207,7.125184059,1
111,1793,8.2039814,8.500144005,1
111,1825,9.779593468,8.013822556,1
111,1857,9.305158615,7.499127865,1
111,1889,9.219954491,6.459240437,1
111,1921,8.574742317,5.71704483,1
111,1953,8.427064896,4.698542595,1
111,1985,8.019355774,-0.3670469224,1
111,2017,21.17350388,-5.63075161,1
143,33,2.100221872,0.7442265749,1
143,65,3.022858858,1.628920317,1
143,97,2.641985655,1.647918463,1
143,129,2.485289574,1.430519462,1
