PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 4, filenames: A:[4]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[5]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,1.605491638,-0.4693174362,1
47,65,6.406041145,0.2456716895,1
47,97,8.23511219,2.869142771,1
47,129,8.280861855,1.988785505,1
47,161,7.064572811,0.3149356246,1
47,193,5.735483646,-1.23483026,1
47,225,6.17517662,-0.7177488804,1
47,257,8.86509037,0.944539547,1
47,289,7.092876911,1.036811709,1
47,321,5.605018616,-0.3412448168,1
47,353,6.326171398,-1.751888752,1
47,385,6.505947113,-2.528546333,1
47,417,5.20872879,-3.207490921,1
47,449,5.753015518,-0.1472094059,1
47,481,6.475785255,-1.922136307,1
47,513,7.630906105,-2.290071011,1
47,545,8.233280182,-1.320395231,1
47,577,8.895530701,-0.3746148348,1
47,609,12.30914307,0.5464766026,1
47,641,14.72985649,1.188197374,1
47,673,13.50780582,0.7083067894,1
47,705,13.98512459,-0.4967400432,1
47,737,16.3870163,-0.1232719421,1
47,769,18.18868828,0.1310626268,1
47,801,15.64345932,0.4470713139,1
47,833,20.06934357,-0.1760070324,1
47,865,25.07645798,-5.597380638,1
47,897,13.65101433,2.375436544,1
47,929,16.12404251,-1.011148214,1
47,961,26.34530449,-12.4375248,1
47,993,19.83548927,-4.111949921,1
47,1025,19.2369976,-1.217994332,1
47,1057,21.10135651,-2.500477076,1
47,1089,17.47284698,-5.443417549,1
47,1121,20.50648689,-8.398990631,1
47,1153,27.84859848,-5.500283241,1
47,1185,22.18607712,-3.15675354,1
47,1217,27.71265221,-4.42618084,1
47,1249,27.69521523,-2.694375992,1
47,1281,22.56249428,-8.115879059,1
47,1313,23.39721298,-2.261362553,1
47,1345,22.71692848,-3.720840454,1
47,1377,3.535768509,-12.50795364,1
47,1409,19.6425972,-6.719242096,1
47,1441,17.09227562,-4.773234367,1
47,1473,17.21848679,-4.949027061,1
47,1505,19.30952454,-7.511841774,1
47,1537,19.49198723,11.86961937,1
47,1569,11.83703804,-5.230578423,1
47,1601,12.79913425,-4.087059021,1
47,1633,12.39225197,-5.299608231,1
47,1665,10.72696877,-5.780623436,1
47,1697,7.092972755,-2.744699478,1
47,1729,10.46235275,-9.608514786,1
47,1761,11.60404873,-5.863501549,1
47,1793,13.42658329,-4.386479378,1
47,1825,12.71609497,-3.510365009,1
47,1857,8.9336586,0.1034686565,1
47,1889,13.03866386,-3.07994628,1
47,1921,38.4544754,-5.566206932,1
47,1953,39.4111824,-5.924954891,1
47,1985,9.212535858,6.817914009,1
47,2017,-0.1923522949,0.1883249283,1
79,33,6.326656342,1.122474432,1
79,65,7.89131403,3.988676786,1
79,97,7.743881226,0.9915523529,1
79,129,7.789880753,0.3929139376,1
79,161,7.829549313,-0.09509658813,1
