PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 18, filenames: A:[18]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[19]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,6.905647755,6.7850914,1
47,65,2.280329704,1.466006279,1
47,97,2.13345623,-0.4754374623,1
47,129,1.568514228,-1.020718694,1
47,161,1.329495192,-0.2131285667,1
47,193,1.353683591,0.1166346073,1
47,225,1.18329525,1.618376493,1
47,257,1.50848794,3.172199965,1
47,289,2.458148241,1.952919483,1
47,321,2.735746861,1.969544649,1
47,353,2.445532084,1.881079674,1
47,385,2.757386923,3.660741091,1
47,417,1.474328041,2.93862772,1
47,449,-1.239552498,4.498705387,1
47,481,-1.338958263,3.350521564,1
47,513,1.278337479,3.844458818,1
47,545,1.328892231,3.06746316,1
47,577,1.578815699,3.023107529,1
47,609,1.006616116,2.58803606,1
47,641,2.75720644,1.174332142,1
47,673,3.447984695,3.971546173,1
47,705,4.046599865,5.115273476,1
47,737,3.525398731,6.286597252,1
47,769,3.23668766,3.360921144,1
47,801,3.43293047,1.337841272,1
47,833,0.6014356613,2.093179941,1
47,865,4.296689987,4.800844193,1
47,897,3.451028824,7.304282188,1
47,929,4.136980534,9.534769058,1
47,961,1.968550444,7.196868896,1
47,993,1.396636724,7.9658041,1
47,1025,2.704973698,7.410687447,1
47,1057,1.872852087,2.191181183,1
47,1089,0.4840726852,1.936665058,1
47,1121,1.993612051,2.169266939,1
47,1153,3.386954308,2.927467585,1
47,1185,3.451034069,2.865432501,1
47,1217,3.249918938,2.417149544,1
47,1249,1.324690342,1.519487023,1
47,1281,0.591272831,1.737841249,1
47,1313,2.236289978,2.445244789,1
47,1345,4.874397278,4.463234901,1
47,1377,5.136842728,3.836021423,1
47,1409,6.001326561,5.645158291,1
47,1441,5.85835743,7.82412529,1
47,1473,5.588066101,8.292338371,1
47,1505,8.658336639,4.94221735,1
47,1537,7.506824493,5.73864603,1
47,1569,6.531861782,5.53753376,1
47,1601,6.665400505,4.634879589,1
47,1633,6.691134453,4.583054066,1
47,1665,6.608966827,4.201572418,1
47,1697,6.675419807,3.446286201,1
47,1729,6.7776227,2.93554616,1
47,1761,7.187916756,4.841578484,1
47,1793,6.756571293,7.733132362,1
47,1825,5.899140358,4.980845451,1
47,1857,2.774270058,7.355528831,1
47,1889,4.073679924,6.749303818,1
47,1921,6.237238407,4.386036873,1
47,1953,7.535481453,0.6003723145,1
47,1985,11.64923286,-0.4792127907,1
47,2017,10.18486881,-8.00510788,1
79,33,6.908928394,4.857374191,1
79,65,6.222697258,3.946432114,1
79,97,2.616234541,-0.8917069435,1
