PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 31, filenames: A:[31]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi & B:[32]MAX_Pos0nd_TimeSrs022_TgKrt18GFP_Myptonecell.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,4.173156738,4.958418369,1
47,65,4.988173485,0.1310687661,1
47,97,6.353392124,-1.656234741,1
47,129,5.836319447,-1.814291477,1
47,161,3.444465637,0.6079025269,1
47,193,1.780775309,-0.5879961848,1
47,225,2.133922577,-0.4901251197,1
47,257,2.187909842,-0.5208275914,1
47,289,2.18933177,1.217159152,1
47,321,3.131582499,2.142704487,1
47,353,3.452687263,2.02708745,1
47,385,3.378609896,1.727859378,1
47,417,2.070027351,1.289264202,1
47,449,1.696403384,0.6482853293,1
47,481,3.930915833,0.453556478,1
47,513,6.119358063,1.398071527,1
47,545,6.186536312,1.735431671,1
47,577,3.960497856,2.448868275,1
47,609,2.557215691,1.752981067,1
47,641,1.46058917,1.515289068,1
47,673,3.615805626,3.094740391,1
47,705,-0.3029432297,-0.2853007317,1
47,737,0.7582309842,0.4929182529,1
47,769,1.874011517,1.99749136,1
47,801,0.7481554747,1.90483284,1
47,833,-0.1966108084,1.455831289,1
47,865,-4.516380787,9.228453636,1
47,897,-3.237888098,7.962050438,1
47,929,3.756504297,-0.22245121,1
47,961,6.760375977,2.523696661,1
47,993,2.940120697,2.732304573,1
47,1025,3.770616293,6.573198795,1
47,1057,2.438518524,8.59998703,1
47,1089,-0.0559566021,0.6268730164,1
47,1121,1.6159091,5.100624084,1
47,1153,1.146898031,4.541213036,1
47,1185,1.506424546,4.366341114,1
47,1217,1.741982818,4.303248405,1
47,1249,2.807133675,5.630130291,1
47,1281,4.945596695,4.428902149,1
47,1313,5.881699562,3.30718112,1
47,1345,5.04762125,2.756859779,1
47,1377,5.722458839,2.885066509,1
47,1409,5.092517853,3.372775555,1
47,1441,2.965336323,4.758284092,1
47,1473,3.09976244,4.100261688,1
47,1505,5.09183073,4.058475494,1
47,1537,5.883875847,3.865913391,1
47,1569,5.62552166,2.402536631,1
47,1601,5.897571564,1.803380966,1
47,1633,4.410559177,2.301273346,1
47,1665,4.159643173,3.36661005,1
47,1697,5.564613819,3.887194633,1
47,1729,7.920395851,3.77182436,1
47,1761,8.141454697,3.990859032,1
47,1793,6.277330399,3.181133032,1
47,1825,3.121201038,0.6054334641,1
47,1857,3.604968071,4.111053467,1
47,1889,3.927682877,3.697275162,1
47,1921,0.8703217506,0.7422618866,1
47,1953,6.651168823,5.364055634,1
47,1985,4.673768997,17.65733337,1
47,2017,-1.50100565,-17.93630981,1
79,33,3.985795021,1.84992218,1
79,65,6.080632687,-0.05023796484,1
79,97,6.340999603,-0.9862982035,1
79,129,5.494166851,-1.377082825,1
79,161,3.813295841,-1.93896246,1
79,193,2.769933462,-0.6934764385,1
79,225,2.04731226,0.05986276269,1
79,257,1.235049486,0.5159335732,1
79,289,1.981959105,0.6653343439,1
79,321,3.087174892,1.908176184,1
79,353,2.612207174,2.190609455,1
79,385,2.003068447,1.494114161,1
79,417,2.314665556,1.349352598,1
79,449,1.418439031,1.214354038,1
79,481,0.2890655994,-0.1392176151,1
79,513,4.049861908,1.479727626,1
79,545,4.49115181,1.645136476,1
79,577,4.014180183,1.372136235,1
79,609,3.078208208,0.6710168123,1
79,641,2.198747158,1.140790343,1
79,673,1.170943141,0.8787226081,1
79,705,3.169919014,-2.40134573,1
79,737,1.204645395,-0.08831727505,1
79,769,1.031273603,1.587612629,1
79,801,0.8181072474,1.721210241,1
79,833,1.560803175,1.29787457,1
79,865,2.348016262,1.542276382,1
79,897,1.045840502,1.886159897,1
79,929,2.77335453,2.473379135,1
79,961,3.521706104,3.327760696,1
79,993,3.233575821,-0.4100832939,1
79,1025,4.762112617,6.198897839,1
79,1057,4.530380249,4.809699059,1
79,1089,3.460446835,4.578286648,1
79,1121,2.403645039,3.613311768,1
79,1153,1.548914313,3.274084568,1
79,1185,1.815265656,3.604893684,1
79,1217,2.223206997,4.062477112,1
79,1249,3.013157368,4.682565212,1
79,1281,3.943495035,4.754461288,1
79,1313,3.917947292,4.280706882,1
79,1345,3.787731647,4.060724258,1
79,1377,3.407832623,4.178513527,1
79,1409,2.63421607,3.862656593,1
79,1441,3.022622585,3.518148899,1
79,1473,3.204291344,2.827141762,1
79,1505,3.830042362,2.406668901,1
79,1537,4.735204697,2.58207345,1
79,1569,5.256626129,2.361042976,1
