PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 9, filenames: A:[9]MAX_Pos00d_TimeSrs006_TgUtrmcherry_K4K8MO.avi & B:[10]MAX_Pos00d_TimeSrs006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,0.1952863336,0.07819634676,1
47,65,-0.1523839831,0.04021443427,1
47,97,-0.1268338859,0.06455725431,1
47,129,-0.07619903982,0.06934553385,1
47,161,-0.06316504627,0.2271746397,1
47,193,0.1050756723,0.06918722391,1
47,225,0.08192764223,-0.3448230624,1
47,257,-0.1011457592,-0.0001166462898,1
47,289,-0.1365771443,0.2856951356,1
47,321,-0.1158342808,0.279317826,1
47,353,-0.1833589673,0.4669271111,1
47,385,-0.0479336977,0.2625050545,1
47,417,-0.007103264332,0.1928351223,1
47,449,0.09850430489,-0.1081026495,1
47,481,0.1614723802,-0.1412322521,1
47,513,0.1893901825,0.1736696959,1
47,545,0.08072203398,-0.07968439907,1
47,577,-0.1679710448,-0.3140124977,1
47,609,-0.1885096431,-0.04448828101,1
47,641,0.08416762948,0.1180112362,1
47,673,0.1517064273,-0.181327492,1
47,705,-0.01153925806,-0.410092175,1
47,737,0.08737868816,-0.2211494148,1
47,769,0.06315632164,-0.113219589,1
47,801,-0.05580541492,-0.09818506241,1
47,833,3.82456708,-4.648571014,1
47,865,3.283117294,-5.154835701,1
47,897,1.478171945,-5.550343037,1
47,929,-0.756808877,-0.3516662121,1
47,961,-0.09319251776,-0.3998320699,1
47,993,0.3159291148,-0.1076446176,1
47,1025,0.2889807224,0.2039032578,1
47,1057,0.4625712335,0.05765786767,1
47,1089,-0.9117596149,-0.6280531883,1
47,1121,-3.962072849,-0.8666851521,1
47,1153,-2.623314142,-0.9669615626,1
47,1185,0.3972048759,0.2581236959,1
47,1217,2.148271322,2.314119816,1
47,1249,1.221491337,0.7785975933,1
47,1281,-3.511828423,-5.396979809,1
47,1313,-0.5307476521,-2.108058929,1
47,1345,0.8682453632,-0.8445257545,1
47,1377,2.532780647,2.048823833,1
47,1409,3.280024052,2.744060516,1
47,1441,2.49892807,3.821788311,1
47,1473,-1.865471363,-1.297674417,1
47,1505,11.2581625,-1.012030125,1
47,1537,6.183372974,-10.91901588,1
47,1569,-2.387564421,-2.64214468,1
47,1601,-2.181955814,-1.994653702,1
47,1633,-3.194710255,-2.406900644,1
47,1665,-3.435816288,-3.18005991,1
47,1697,-3.579836607,-3.771233559,1
47,1729,-3.954502583,-0.8837896585,1
47,1761,-1.876907825,-0.7377272844,1
47,1793,-0.6385685205,0.3234046102,1
47,1825,0.7791922092,-18.16993141,1
47,1857,-0.8281410933,0.5230543613,1
47,1889,-1.014092207,-0.3119097352,1
47,1921,-2.641416311,0.8819336295,1
47,1953,-5.303575516,1.150896907,1
47,1985,-7.023937225,-0.3107834458,1
47,2017,-5.848837376,-3.39492178,1
79,33,0.1142112017,-0.004595160484,1
79,65,-0.1411079764,0.145010516,1
79,97,-0.08188682795,0.1781553477,1
79,129,-0.1335582733,-0.01710067689,1
79,161,-0.111947462,-0.08125440776,1
79,193,0.1191658601,-0.163774848,1
79,225,0.1909748763,-0.4615902305,1
79,257,0.1658393145,0.226157546,1
79,289,-0.06570309401,0.3306744397,1
79,321,-0.2210974097,0.1997621357,1
79,353,-0.2575423121,0.1130452007,1
79,385,-0.3519357443,0.1320478469,1
79,417,-0.7814716101,0.2390669435,1
79,449,-0.4287554026,0.2556585073,1
79,481,0.2710739672,-0.01433128491,1
79,513,0.01887474954,-0.01123549789,1
79,545,0.08045578003,0.09668442607,1
79,577,0.2379827052,-0.1864706427,1
79,609,0.07585775852,-0.05901564658,1
79,641,-0.01083848905,-0.02820365131,1
79,673,-0.08406373858,-0.3553944826,1
79,705,-0.03332000971,-0.3698682189,1
79,737,0.266061604,-0.2027933598,1
79,769,0.2611414194,-0.0532964021,1
79,801,-0.0489000082,0.08583122492,1
79,833,3.659882069,-4.189083576,1
79,865,3.299463272,-4.07006979,1
79,897,-0.01205286384,0.5483337045,1
79,929,-0.1748303473,-0.04410535097,1
79,961,0.2770558894,-0.6720389724,1
79,993,0.343722403,-0.5080871582,1
79,1025,0.2407983243,-0.1059062928,1
79,1057,0.1815789789,0.2322278917,1
79,1089,-0.7313035131,0.05376979709,1
79,1121,-2.86396122,-0.5602213144,1
79,1153,-1.897896528,-0.8664537072,1
79,1185,-1.111985803,0.1475913227,1
79,1217,-5.37166214,-3.077740431,1
79,1249,-1.286890507,-0.2930633426,1
79,1281,-0.2539570332,-0.9747684598,1
79,1313,-0.3386611342,-0.8481457233,1
79,1345,-8.471792221,-7.209876537,1
79,1377,1.07300806,0.04125207663,1
79,1409,1.10072279,0.4371849895,1
79,1441,-0.5998237133,0.01995050907,1
79,1473,-1.725425363,-1.214511156,1
79,1505,-1.27813077,-2.248272657,1
79,1537,-1.887535095,-2.47908473,1
79,1569,-2.35710144,-1.909274817,1
79,1601,-2.164163113,-1.950819969,1
79,1633,-1.130684376,-3.055128098,1
79,1665,17.33769989,-5.534274578,1
79,1697,-2.143326283,-2.810706854,1
79,1729,-2.794750452,-1.154766917,1
79,1761,-1.353208661,-0.0328758359,1
79,1793,-0.6345838308,-0.1052051336,1
79,1825,0.4321596622,0.2315419167,1
79,1857,1.603904486,1.084460378,1
79,1889,-1.974886894,1.22821188,1
79,1921,-3.810675144,1.592258692,1
79,1953,-5.145420551,0.9073219299,1
79,1985,-5.346809864,-0.5659246445,1
79,2017,-4.25056076,-1.232746363,1
111,33,0.09547054023,0.04477366805,1
111,65,0.1894351393,0.07744248211,1
111,97,0.0447438769,0.3227303624,1
111,129,-0.252507478,0.1725782603,1
111,161,-0.2887656987,-0.1395085454,1
111,193,-0.2928497791,-0.4002885818,1
111,225,-0.3131479025,-0.4347203672,1
111,257,-0.0005520284176,-0.1729895473,1
111,289,-0.08243331313,-0.01100422069,1
111,321,-0.1845453233,0.1402147114,1
111,353,-0.1488402188,-0.22721605,1
111,385,-0.1990759373,-0.02977952361,1
111,417,-0.4174185395,0.3271585107,1
111,449,-0.3322320282,0.217072621,1
111,481,0.04285753518,-0.1739318371,1
111,513,0.1000124663,-0.2376456708,1
111,545,0.1399598122,0.1494836658,1
111,577,0.3132009804,0.008441952989,1
111,609,0.3248732686,-0.1983729005,1
111,641,-0.1165645421,-0.3345768154,1
111,673,-0.2329489291,-0.3478790522,1
111,705,-0.1481276006,-0.1468763351,1
111,737,0.2878980637,-0.294798255,1
111,769,0.2877469957,-0.3906472623,1
111,801,0.1406479031,0.03719548881,1
111,833,0.001721847802,0.1500086784,1
111,865,0.1413849443,0.177444607,1
111,897,0.2161927372,0.3197157085,1
111,929,0.2358149886,0.2611061931,1
111,961,0.1984279901,-0.4270401597,1
111,993,0.0461075604,-0.3642938137,1
111,1025,-0.1663864851,-0.1159176379,1
111,1057,-0.2163486779,0.3152263463,1
111,1089,-0.2233949304,0.3355829716,1
111,1121,-0.1265357733,-0.1797261834,1
111,1153,-1.029587388,-0.5629610419,1
111,1185,-1.533691883,-0.8259905577,1
111,1217,-1.620649815,0.2449721098,1
111,1249,-4.899600029,-3.33037591,1
111,1281,-0.3168029785,-0.9027161598,1
111,1313,-0.2008206248,-0.1950517893,1
111,1345,-0.7335773706,0.3251256943,1
111,1377,-0.8401383162,-1.405170321,1
111,1409,-2.100586176,-2.537216187,1
111,1441,-1.833578348,-2.176792622,1
111,1473,10.59413433,-17.49927521,1
111,1505,11.75666904,-8.223006248,1
111,1537,-1.009099126,-1.686223984,1
111,1569,-1.813341856,-0.3930317163,1
111,1601,-2.050898075,-1.26665163,1
111,1633,-1.084267616,-3.269546032,1
111,1665,-0.5898212194,-4.178289413,1
111,1697,-2.108505249,-4.170083046,1
111,1729,-3.866627693,-1.403412819,1
111,1761,-1.508376598,-0.3649697304,1
111,1793,-1.257423282,-0.4520429373,1
111,1825,-0.7126572132,-0.447566539,1
111,1857,-0.1655869484,0.1706818193,1
111,1889,-2.93391633,0.6246198416,1
111,1921,-4.76642704,0.3413049281,1
111,1953,-5.156403065,-0.2460851669,1
111,1985,-4.254673004,-0.7648887634,1
111,2017,-2.91286993,-0.257014066,1
143,33,0.1121681631,-0.02713939548,1
143,65,0.2309734821,-0.04511981085,1
143,97,0.2587949634,0.1769812703,1
143,129,-0.1827854216,0.2250013351,1
143,161,-0.1986833215,-0.1388494968,1
143,193,-0.02866013348,-0.4602149427,1
143,225,-0.3782491088,-0.3948136866,1
143,257,-0.249714151,-0.2529246211,1
143,289,-0.1488216072,0.000508479774,1
143,321,-0.2157348543,0.1882513165,1
143,353,-0.1209273636,-0.03739415109,1
143,385,-0.04011838138,0.1885068417,1
143,417,-0.01203116775,0.01332706586,1
143,449,0.07776221633,-0.2572501302,1
143,481,0.05109633505,-0.3301027715,1
143,513,0.1433417648,-0.09900453687,1
143,545,0.2651486099,0.08522425592,1
143,577,0.01927901804,0.04240843654,1
143,609,-0.03886906803,-0.01754344627,1
143,641,0.004760440439,-0.3629454672,1
143,673,-0.06920327246,-0.2334442437,1
143,705,-0.07907781005,-0.08473879099,1
143,737,0.1503879279,0.03957436979,1
143,769,-0.02841325104,-0.1235473007,1
143,801,-0.1438354999,-0.0285847187,1
143,833,0.1824796647,0.03848955035,1
143,865,0.3146180212,0.0405690074,1
143,897,0.1592895389,0.1280092895,1
143,929,-0.05193733424,-0.06697201729,1
143,961,0.1260377765,-0.3657227755,1
143,993,-0.1697781682,-0.1353000104,1
143,1025,-0.2407914996,0.4806182981,1
143,1057,-0.2121860087,0.4078614116,1
143,1089,-0.3838304877,-0.2089724243,1
143,1121,-0.3509014845,0.05378395319,1
143,1153,-0.3389260769,-0.2574166656,1
143,1185,-0.4105212688,-0.658261776,1
143,1217,-0.7136683464,-0.3454027176,1
143,1249,-0.5416029692,-0.436267972,1
143,1281,0.193585217,-0.5702931881,1
143,1313,-0.08683779836,0.04691916704,1
143,1345,-0.8655314445,1.258900642,1
143,1377,-1.001497507,0.2988476753,1
143,1409,-3.229710102,-4.074146748,1
143,1441,-2.922863007,-3.907800198,1
143,1473,-3.834052086,-2.068440199,1
143,1505,11.26383877,-9.522239685,1
143,1537,-0.05360150337,-1.424102902,1
143,1569,-1.997126818,-1.24584198,1
143,1601,-3.160031796,-1.065690041,1
143,1633,-19.14988708,-7.210484505,1
143,1665,-1.900640249,-3.249566078,1
143,1697,-1.71051836,-3.364080906,1
143,1729,-2.049135685,-1.617292643,1
143,1761,-1.946164012,-0.05905377865,1
143,1793,-2.222294807,-0.5841733813,1
143,1825,-2.479428291,-0.8735343218,1
143,1857,-2.948211193,-1.158627033,1
143,1889,-3.931301117,-0.9908950329,1
143,1921,-4.151622772,-0.739317894,1
143,1953,-4.543143749,-1.035028458,1
143,1985,-4.428267002,-1.343685031,1
143,2017,-2.994962931,-0.3362115622,1
175,33,0.009119573981,-0.0245654285,1
175,65,0.1902376115,0.0812664777,1
175,97,0.1662648171,0.1344012618,1
175,129,-0.2994665802,0.001285507344,1
175,161,-0.1161439866,-0.3225562274,1
175,193,0.2613679171,-0.3050736785,1
175,225,0.02475728095,-0.4662370682,1
175,257,-0.2521862686,-0.1035641804,1
175,289,-0.5296409726,0.3318113089,1
175,321,-0.2097544968,0.07502537966,1
175,353,-0.1082625538,-0.01697667502,1
175,385,-0.08698908985,0.1715430319,1
175,417,-0.05747345462,-0.06402258575,1
175,449,0.03127070889,-0.09045486152,1
175,481,0.2493017763,0.05615245551,1
175,513,0.2283356786,0.1185332835,1
175,545,0.09068652987,0.07506325096,1
175,577,0.0160809774,0.1916934252,1
175,609,-0.02287433296,0.1209522933,1
175,641,0.236846298,-0.1612880677,1
175,673,0.2821653187,0.1532256305,1
175,705,-0.0460324809,0.5217388868,1
175,737,-0.0165188089,0.6845818162,1
175,769,0.01191412471,0.004492823035,1
175,801,-0.1518356353,-0.2586842775,1
175,833,-0.06046013534,-0.1090298891,1
175,865,-0.01604408771,-0.1548010111,1
175,897,-0.2349502742,0.0232308358,1
175,929,-0.09903404862,-0.3682154119,1
175,961,0.151176244,-0.5949760675,1
175,993,-0.1597979218,-0.3097735047,1
175,1025,-0.08478198946,0.2128016949,1
175,1057,0.21352759,0.09982101619,1
175,1089,0.1937195063,-0.2606191337,1
175,1121,-0.1435526609,0.002544820309,1
175,1153,-0.4673399329,-0.2335404158,1
175,1185,-2.625923157,-2.236792088,1
175,1217,-3.022357941,-4.244315147,1
175,1249,-1.153857946,-1.40109849,1
175,1281,-0.458302021,-1.051652431,1
175,1313,-0.3085370362,-0.98455441,1
175,1345,0.5366176963,0.1162843704,1
175,1377,-1.497515917,-1.850140095,1
175,1409,-3.970947266,-3.786072493,1
175,1441,-3.559063911,-3.710590124,1
175,1473,-2.361871719,-2.725134134,1
175,1505,-1.385576844,-2.05812788,1
175,1537,-1.072840929,-1.332786083,1
175,1569,-2.341032267,-1.363719583,1
175,1601,8.128271103,14.93133545,1
175,1633,-8.604560852,0.5866119266,1
175,1665,-4.72277832,-0.6557096243,1
175,1697,-0.5317331553,-1.252834797,1
175,1729,-1.175024748,-1.067193747,1
175,1761,-4.324462891,0.250159502,1
175,1793,-3.16323781,-0.8078052998,1
175,1825,-3.260942698,-1.359072804,1
175,1857,-3.241635323,-1.104870796,1
175,1889,-3.742597342,-0.6711087823,1
175,1921,-4.129098415,-0.7733637691,1
175,1953,-4.329348087,-1.663219929,1
175,1985,-5.146458149,-2.38226819,1
175,2017,-1.127542496,-0.1619608104,1
207,33,-0.1625913978,0.02916345,1
207,65,0.1163729206,0.09567682445,1
207,97,-0.07075303793,-0.1219962165,1
207,129,-0.2668977082,-0.01045717951,1
207,161,-0.1532455534,-0.1550379992,1
207,193,-0.2328652442,-0.1391709447,1
207,225,-0.2317886949,-0.2094956338,1
207,257,-0.3307560086,-0.2480064034,1
207,289,-0.585596323,0.2571851015,1
207,321,-0.3011184335,0.09408725798,1
207,353,-0.185273394,-0.03841329738,1
207,385,-0.04409907013,0.06321962923,1
207,417,0.2360235453,0.1430946589,1
207,449,0.3836650252,0.1339359134,1
207,481,0.3959856331,-0.02209097892,1
207,513,-0.005901381373,0.07870712876,1
207,545,-0.1155605167,0.1459545493,1
207,577,0.04946193099,0.1810363829,1
207,609,0.1353529096,0.07273731381,1
207,641,0.336743474,0.1096240133,1
207,673,0.1657648385,0.551111877,1
207,705,-0.103394784,0.8887106776,1
207,737,0.02705210075,0.7485491037,1
207,769,0.1189574897,-0.08120664209,1
207,801,-0.04342520982,-0.2546503246,1
207,833,0.0694489181,0.06771522015,1
207,865,-0.1705567837,0.07050819695,1
207,897,-0.2400241792,-0.04691362381,1
207,929,0.2734006047,-0.5622760653,1
207,961,0.3953773975,-0.5724392533,1
207,993,-0.2131606042,-0.2485746145,1
207,1025,-0.3006392419,0.0004644878209,1
207,1057,0.01849281043,0.08912272006,1
207,1089,0.2500345707,0.03723163903,1
207,1121,-0.04197618365,-0.09909188747,1
207,1153,-0.2429594994,0.08749318123,1
207,1185,-2.354427338,-2.133675098,1
207,1217,-2.365637302,-3.72697401,1
207,1249,-0.6096001863,-1.186727762,1
207,1281,-0.3407379985,-1.024985075,1
207,1313,-0.4722334743,-1.152412057,1
207,1345,-0.4361220598,-1.064710855,1
207,1377,-1.207261086,-2.140629292,1
207,1409,-3.025757551,-4.443048,1
207,1441,-3.014916182,-3.591636181,1
207,1473,-1.52090764,-2.380897522,1
207,1505,-0.655780673,-2.451896191,1
207,1537,-8.006742477,-19.94955826,1
207,1569,-1.114395618,-0.09579968452,1
207,1601,-0.3662729263,0.04319286346,1
207,1633,-5.174074173,0.8919856548,1
207,1665,-2.539986372,0.3502879143,1
207,1697,-1.72213316,-0.3863601685,1
207,1729,-2.682200909,-0.5675897598,1
207,1761,-4.737580776,0.4555647969,1
207,1793,-3.732773304,-0.01117107272,1
207,1825,-3.274165869,-1.609032869,1
207,1857,-4.450119972,-1.483852506,1
207,1889,-5.161046505,-0.06857061386,1
