PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 5, filenames: A:[5]MAX_Pos00d_TimeSrs006_TgUtrmcherry_K4K8MO.avi & B:[6]MAX_Pos00d_TimeSrs006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.724850297,-0.1160846055,1
47,65,0.004719108343,-0.003208715469,1
47,97,-0.01304929703,0.4829976261,1
47,129,0.0272106193,0.2371413708,1
47,161,0.2164984345,-0.313043505,1
47,193,-0.01986652613,-0.2598504126,1
47,225,-0.05132558942,-0.1127027869,1
47,257,-0.2354746163,-0.03589597344,1
47,289,-0.3377974331,-0.02074065804,1
47,321,-0.1867938638,-0.1512783319,1
47,353,-0.2471277416,-0.02843083441,1
47,385,-0.07740165293,0.2326110005,1
47,417,0.2595643997,-0.03657314181,1
47,449,0.4176905155,-0.2672604918,1
47,481,0.1838407815,-0.06618683785,1
47,513,0.232300818,0.0007552653551,1
47,545,0.1993170381,-0.003861427307,1
47,577,0.07540643215,0.04645046592,1
47,609,0.03109538555,-0.00781223923,1
47,641,-0.0478541851,-0.0513201654,1
47,673,0.01813584566,-0.4306531847,1
47,705,-0.1403841823,-0.5136639476,1
47,737,-0.2449452579,-0.2441560626,1
47,769,-0.1687196195,0.001226656139,1
47,801,-0.221656546,0.1042911708,1
47,833,-0.311384201,0.03923156857,1
47,865,1.7601583,-8.812964439,1
47,897,1.574765921,-8.507570267,1
47,929,-0.5720696449,0.4847148657,1
47,961,-0.9301163554,0.8585271835,1
47,993,-0.4498955607,1.731598616,1
47,1025,0.4640599489,0.5997896194,1
47,1057,0.4760295153,0.01352596283,1
47,1089,0.2732470036,-1.533519268,1
47,1121,1.643086195,-2.214568138,1
47,1153,6.600148201,-3.309429646,1
47,1185,0.03309988976,-1.411132693,1
47,1217,-5.609440804,-0.02982807159,1
47,1249,-9.018744469,3.666238785,1
47,1281,-0.3177480698,1.579469681,1
47,1313,-4.193285942,-3.209578276,1
47,1345,1.646451712,-5.810427666,1
47,1377,4.152755737,-5.468142509,1
47,1409,5.349191666,-4.238099575,1
47,1441,0.5201416016,0.2081387043,1
47,1473,-0.645134449,-0.4145722389,1
47,1505,2.870858669,-5.234475136,1
47,1537,7.75028801,-5.072178841,1
47,1569,4.602140903,-5.692000866,1
47,1601,1.468212605,-4.663931847,1
47,1633,0.8929691315,-0.5571231842,1
47,1665,3.458226204,-0.1915799379,1
47,1697,3.998485565,-1.881981134,1
47,1729,4.058871746,-2.501109838,1
47,1761,2.715648174,-4.08047533,1
47,1793,0.9269959927,-2.91381669,1
47,1825,-0.4741301537,1.021846771,1
47,1857,0.8539018631,-3.118904591,1
47,1889,0.7056102753,-0.879743576,1
47,1921,0.2398736477,-1.491916299,1
47,1953,-0.04005098343,-2.574220657,1
47,1985,-0.8272857666,-2.234779835,1
47,2017,-2.272292137,-0.06334483624,1
79,33,-0.1475387514,0.1584045291,1
79,65,0.163855657,-0.1015248448,1
79,97,0.1485876739,0.0607310161,1
79,129,-0.01991166174,-0.02797660977,1
79,161,-0.001634851098,-0.08119025081,1
79,193,-0.1574564129,0.1553209871,1
79,225,-0.252744019,-0.009774252772,1
79,257,-0.1172306836,0.1478387713,1
79,289,0.06365439296,0.1471990049,1
79,321,-0.03448257595,-0.1010508835,1
79,353,0.04823800176,0.1281928718,1
79,385,0.3365987539,0.2161993384,1
79,417,0.2690303922,-0.004856064916,1
79,449,0.3083606362,-0.09955723584,1
79,481,0.2226708084,0.02963232808,1
79,513,-0.03397989273,-0.05412546918,1
79,545,-0.007666833699,-0.2339405119,1
79,577,0.01336152107,-0.2357717603,1
79,609,-0.05152852833,-0.05563985556,1
79,641,-0.04457072541,0.3368226886,1
79,673,-0.019439172,0.5207049847,1
79,705,0.06217815727,0.1543501019,1
79,737,-0.1707917452,0.08018754423,1
79,769,-0.01621771604,-0.05006140471,1
79,801,-0.02069216222,-0.05678809434,1
79,833,-0.1119857132,0.1299020648,1
79,865,0.6417602301,-9.076590538,1
79,897,0.9686807394,-8.917152405,1
