PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 7, filenames: A:[7]MAX_Pos00d_TimeSrs006_TgUtrmcherry_K4K8MO.avi & B:[8]MAX_Pos00d_TimeSrs006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.1439189464,0.6499238014,1
47,65,-0.103141129,-0.1132462993,1
47,97,-0.09497672319,-0.2281422764,1
47,129,-0.2018267959,-0.3919070959,1
47,161,0.03949284181,0.1288357079,1
47,193,0.1747128367,0.4545587897,1
47,225,0.1794036031,-0.1878936589,1
47,257,0.1962019801,-0.3957954049,1
47,289,0.09821803868,0.02319606021,1
47,321,-0.1676499099,0.1079780161,1
47,353,-0.08393952996,0.5539796352,1
47,385,0.196916759,0.4601891041,1
47,417,0.06231471524,0.06649596244,1
47,449,0.1867682338,-0.1382896006,1
47,481,0.1249641627,-0.4539241791,1
47,513,-0.2174941748,-0.3456690609,1
47,545,-0.2088578045,-0.253867805,1
47,577,-0.2201192379,-0.3746268153,1
47,609,-0.3253201544,-0.3068923354,1
47,641,-0.2249365449,-0.2863219082,1
47,673,0.1246228218,-0.2028324604,1
47,705,0.4147324562,-0.2348928452,1
47,737,0.2992885709,-0.3266760409,1
47,769,0.2733649611,-0.2883672714,1
47,801,0.3375080824,-0.178638339,1
47,833,0.1966308951,-0.7602170706,1
47,865,6.712003708,-13.60125065,1
47,897,0.1173706055,-0.9204564095,1
47,929,0.2796607614,0.2968657017,1
47,961,6.958866596,-0.6017372608,1
47,993,1.255812883,-7.745825768,1
47,1025,-17.78571701,-6.185015678,1
47,1057,-13.84702587,-13.26985645,1
47,1089,0.4981615543,0.1076278985,1
47,1121,0.2556618452,0.5426843166,1
47,1153,0.007107377052,0.5852794647,1
47,1185,-0.7437642813,0.817139864,1
47,1217,-0.7959788442,0.4482102394,1
47,1249,-0.2553914785,-0.05276048183,1
47,1281,0.4167234898,-0.04964780807,1
47,1313,0.6549004316,0.2426644564,1
47,1345,0.9658093452,0.8594293594,1
47,1377,0.8427093029,0.0840986371,1
47,1409,1.523398638,-0.9556517601,1
47,1441,0.7942900658,-0.7213668823,1
47,1473,1.026422024,-1.563338995,1
47,1505,0.2103884816,-0.8272577524,1
47,1537,0.1364411116,1.301360846,1
47,1569,0.4870179892,1.132740259,1
47,1601,15.69112968,5.259063244,1
47,1633,1.180224895,-0.04824981093,1
47,1665,-0.5805895329,-0.6566333771,1
47,1697,-2.315124512,-0.03726261854,1
47,1729,-2.413028479,0.7863208055,1
47,1761,-3.169818401,0.9042286873,1
47,1793,-3.067076683,-0.3650146723,1
47,1825,-0.9720103741,-0.2516886592,1
47,1857,-1.199016809,-0.02589470148,1
47,1889,0.194072783,0.9263341427,1
47,1921,0.5769516826,0.8594582081,1
47,1953,0.5081506371,-0.04156124592,1
47,1985,1.09274292,0.4723148942,1
47,2017,0.3486514091,-0.8472655416,1
79,33,0.2546107471,0.1653855443,1
79,65,0.1169520319,-0.01494708192,1
79,97,-0.1062501222,-0.09860797971,1
79,129,-0.05174076557,-0.2255430222,1
79,161,0.1932002157,0.2389869094,1
79,193,0.6880595684,0.5220251083,1
79,225,0.9458494186,-0.2227973044,1
79,257,0.4203608036,-0.05400082096,1
79,289,0.2038930058,-0.06288917363,1
79,321,0.06735022366,-0.1067512482,1
79,353,-0.04149755463,0.2778044939,1
79,385,0.01725762337,0.3788737655,1
79,417,-0.1618019044,0.2177932262,1
79,449,-0.05859573185,0.09260872751,1
79,481,0.06845430285,0.1319588423,1
79,513,-0.3259905577,0.2053763419,1
79,545,-0.2335147113,0.2217690647,1
79,577,0.03588464856,0.002459131181,1
79,609,0.07137024403,0.06298147142,1
79,641,0.05475741252,0.0490777418,1
79,673,0.100225687,0.1896407902,1
79,705,0.2849186361,-0.0285153389,1
79,737,0.1694665551,-0.2478487045,1
79,769,0.1239489615,-0.3269853294,1
79,801,0.2372511923,-0.3026992083,1
79,833,0.1509821862,-0.4167149067,1
79,865,1.905194283,-6.939936161,1
79,897,-0.319935739,-0.781178236,1
79,929,-0.2446250618,0.2466070056,1
79,961,0.4568014741,0.1075410247,1
79,993,0.2415975928,0.0771304369,1
79,1025,-0.2260374427,0.1796796918,1
79,1057,-0.3967003524,-0.5854516029,1
79,1089,-0.3223102689,-0.1524634957,1
79,1121,1.00760591,0.05293923616,1
79,1153,0.9427933097,-0.04127730429,1
79,1185,0.5054222345,0.07155925035,1
79,1217,0.354062438,-0.3562992215,1
79,1249,0.2349280566,-0.547039628,1
79,1281,0.8546423912,-1.156425595,1
79,1313,0.6895185709,-0.8374679089,1
79,1345,-0.4929838181,0.1187364161,1
