PIVlab, ASCII chart output - 11-Jun-2024
FRAME: 1, filenames: A:[1]MAX_Pos00d_TimeSrs006_TgUtrmcherry_K4K8MO.avi & B:[2]MAX_Pos00d_TimeSrs006_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.1381655633,0.01698845625,1
47,65,0.01534433663,0.061041601,1
47,97,-0.1644228697,0.2910702527,1
47,129,-0.07626113296,0.2498125732,1
47,161,0.1463471651,0.03605207801,1
47,193,0.0679371804,-0.2288902998,1
47,225,-0.1468006074,-0.03994358331,1
47,257,-0.1633971632,0.4284101725,1
47,289,-0.113886416,0.4090917706,1
47,321,0.003127753735,0.3127439022,1
47,353,-0.1331928968,0.2963826656,1
47,385,-0.3636806905,0.3020262122,1
47,417,-0.5793483257,0.2205696255,1
47,449,-0.5371217132,-0.03937321901,1
47,481,-0.3145100772,0.01499153674,1
47,513,-0.2103671283,0.03333500028,1
47,545,-0.2246883214,0.3189877272,1
47,577,-0.3300533295,0.1920487583,1
47,609,-0.1000742912,0.08328968287,1
47,641,0.2188805342,0.3669304848,1
47,673,-0.08649075031,0.08657635748,1
47,705,-0.3688585758,-0.4409566224,1
47,737,-0.1766056567,-0.5305826664,1
47,769,0.008721936494,0.01876483858,1
47,801,0.0155838728,0.3111028969,1
47,833,-0.2033021748,0.4121981859,1
47,865,-0.1342693269,0.7301743031,1
47,897,0.1164331734,0.1807109267,1
47,929,-0.1572175026,-4.689883232,1
47,961,-0.07134176791,0.1891957819,1
47,993,-0.2556467652,0.2125862837,1
47,1025,-0.5314987898,-0.02698838711,1
47,1057,-0.814646244,0.1066524684,1
47,1089,-0.8929429054,-0.8295036554,1
47,1121,-0.3841181993,-2.867106199,1
47,1153,0.8884782791,-2.889923096,1
47,1185,1.039581537,-4.528871059,1
47,1217,1.139537573,-3.092517853,1
47,1249,1.304397225,-1.270642757,1
47,1281,1.905601263,0.7859330177,1
47,1313,0.9047808647,-1.371423721,1
47,1345,0.5933470726,-1.838818073,1
47,1377,0.6416838169,-0.8987859488,1
47,1409,0.4908940792,0.1273916364,1
47,1441,-0.2353230715,1.641024828,1
47,1473,-0.142387867,2.197626352,1
47,1505,0.9502762556,0.1911962032,1
47,1537,1.264481068,-0.02366995811,1
47,1569,-0.1280119419,-0.4214816093,1
47,1601,2.00648284,-5.004086971,1
47,1633,3.682668686,-3.711665154,1
47,1665,4.709263802,-2.347579241,1
47,1697,22.59584045,8.536852837,1
47,1729,4.300123215,-4.359372139,1
47,1761,-4.229845524,12.61401176,1
47,1793,2.065647602,-3.182859898,1
47,1825,-0.1250692159,-2.531028748,1
47,1857,-0.3143696785,-0.7808595896,1
47,1889,-0.7019028664,-0.8514107466,1
47,1921,6.099041939,-18.08096504,1
47,1953,-0.1510182619,-3.155950785,1
47,1985,-0.1684136391,-1.56193769,1
47,2017,-1.102059484,0.4301738739,1
79,33,-0.1214951128,0.1056486368,1
79,65,0.08374376595,0.08169361949,1
79,97,-0.06044581532,0.3207217455,1
79,129,0.2627867162,0.1040367633,1
79,161,0.481318593,0.1244337782,1
79,193,0.1490990222,-0.2299223393,1
79,225,-0.1585546434,-0.2350781411,1
79,257,-0.1193422452,0.2633012533,1
79,289,0.08494646847,0.2801443338,1
79,321,0.004082743078,0.1012394577,1
79,353,-0.1439167559,0.2319390178,1
79,385,-0.2127259672,0.1141063273,1
79,417,-0.03270187974,0.04524698853,1
79,449,0.1412219107,0.06483444571,1
79,481,-0.09374953061,0.1415152252,1
79,513,-0.1134136841,0.116342254,1
