 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
126,1383.789,0.000,358.269,377.871,144.155,48.014,36.696,140.565
127,1600.191,0.000,90.366,385.965,162.268,51.156,39.828,93.134
128,1037.842,0.000,553.970,379.584,129.300,39.646,33.331,110.248
129,1245.410,0.000,189.615,397.683,145.332,48.221,32.884,60.166
130,1180.637,0.000,501.995,399.903,145.992,52.632,28.561,76.103
131,1363.180,0.000,528.823,407.136,163.151,54.892,31.620,67.614
132,1450.035,0.000,264.520,401.120,165.578,49.813,37.063,179.942
133,1299.879,0.000,329.942,404.080,146.459,42.179,39.239,51.526
134,1800.398,0.000,469.001,413.133,165.700,53.770,42.632,95.136
135,1305.767,0.000,390.757,404.861,140.723,47.824,34.764,39.352
136,942.155,0.000,298.447,415.329,120.132,38.626,31.057,71.383
137,2415.743,0.000,121.370,430.005,193.864,66.480,46.267,89.269
138,2102.182,0.000,421.294,424.929,183.153,64.125,41.740,42.291
139,1171.805,0.000,160.306,419.994,141.850,45.746,32.615,121.110
140,1167.388,0.000,551.193,428.272,149.302,57.141,26.012,68.753
141,1632.577,0.000,212.187,427.089,166.461,54.648,38.037,60.192
142,1217.440,0.000,34.113,429.434,141.850,51.803,29.923,99.110
143,1414.704,0.000,349.353,429.865,152.734,57.401,31.380,48.180
144,1076.117,0.000,88.524,436.129,146.531,58.331,23.489,97.444
145,1603.135,0.000,64.743,446.384,174.401,65.571,31.129,101.225
146,2424.576,0.000,251.448,445.231,191.265,58.956,52.362,26.852
147,914.184,0.000,372.608,444.683,127.463,46.474,25.046,44.411
148,1155.611,0.000,180.496,452.968,138.591,43.124,34.119,144.035
149,1765.068,0.000,301.918,453.410,169.842,53.707,41.845,49.337
150,1258.660,0.000,511.695,449.288,139.129,48.363,33.137,48.191
151,1747.402,0.000,471.628,467.912,191.438,74.508,29.861,53.763
152,1201.247,0.000,446.374,454.821,133.443,45.915,33.311,48.669
153,1171.805,0.000,141.049,466.586,145.870,48.464,30.786,39.263
154,1011.344,0.000,526.642,472.735,133.615,52.440,24.555,52.052
155,918.601,0.000,376.754,471.699,132.560,41.771,28.001,50.461
156,1039.314,0.000,408.215,467.555,130.133,43.379,30.505,40.778
157,1267.492,0.000,331.931,474.167,144.205,51.734,31.195,46.073
158,1351.403,0.000,213.279,478.867,146.581,43.336,39.705,133.181
159,1360.236,0.000,100.112,487.566,171.558,60.986,28.399,91.976
160,652.148,0.000,174.258,478.828,105.989,34.318,24.196,149.886
161,1442.674,0.000,258.791,487.615,148.835,48.813,37.631,8.378
162,412.193,0.000,64.310,485.917,98.709,29.564,17.752,115.771
163,727.226,0.000,347.898,493.210,113.614,38.243,24.212,51.035
164,1389.678,0.000,488.484,496.986,154.033,56.627,31.246,55.092
165,1296.935,0.000,418.450,494.192,157.709,56.991,28.975,28.538
166,677.174,0.000,148.815,494.813,101.014,30.588,28.187,39.941
167,1560.443,0.000,296.468,505.181,156.460,51.011,38.949,75.449
168,594.735,0.000,82.256,503.628,111.847,39.342,19.248,103.513
169,725.753,0.000,122.061,501.309,111.137,35.107,26.321,76.730
170,995.151,0.000,374.571,505.592,125.574,44.059,28.758,28.205
171,1404.399,0.000,193.558,516.008,149.130,52.955,33.767,94.647
172,1170.333,0.000,164.716,521.873,147.708,48.249,30.884,89.830
173,1475.061,0.000,222.179,525.074,177.000,61.668,30.455,62.422
174,942.155,0.000,452.403,514.998,129.006,44.653,26.865,46.605
175,1086.422,0.000,415.701,522.548,149.424,54.737,25.271,30.879
176,1079.061,0.000,328.880,522.438,128.590,42.357,32.437,17.415
177,1217.440,0.000,260.431,526.403,137.119,42.924,36.113,167.880
178,970.125,0.000,131.559,528.477,125.991,39.453,31.308,3.767
179,1520.696,0.000,364.536,540.215,195.580,63.489,30.497,38.481
180,625.649,0.000,454.649,538.870,110.304,45.183,17.631,34.424
181,1018.705,0.000,416.070,550.411,136.286,50.735,25.565,34.205
182,881.798,0.000,303.954,550.496,118.122,38.523,29.145,103.995
183,674.229,0.000,330.873,554.188,103.857,35.863,23.937,66.053
184,1407.343,0.000,273.152,562.884,147.414,48.487,36.956,71.031
185,1124.697,0.000,180.016,559.950,130.428,39.557,36.201,23.001
186,1364.652,0.000,232.877,559.325,145.992,49.139,35.359,4.844
187,917.129,0.000,143.107,555.490,122.975,43.747,26.693,168.334
188,1204.191,0.000,370.952,564.561,159.303,63.542,24.129,27.203
189,544.683,0.000,209.328,581.470,96.577,28.908,23.990,113.885
190,1399.983,0.000,302.318,587.735,152.145,53.563,33.279,29.977
191,775.805,0.000,377.869,584.625,148.003,54.614,18.087,20.877
192,687.478,0.000,240.249,588.074,106.700,38.387,22.803,9.014
193,638.899,0.000,333.713,592.723,102.852,35.630,22.831,29.746
