 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
1,476.966,19.676,292.894,20.188,91.135,31.789,19.104,176.410
2,671.285,61.513,259.494,26.472,112.852,40.999,20.847,6.404
3,688.950,0.000,363.826,33.452,111.137,42.246,20.764,178.770
4,1662.019,20.102,405.993,44.411,174.573,62.620,33.794,176.721
5,831.746,37.912,311.256,40.386,118.711,41.665,25.417,8.804
6,981.902,26.379,273.777,47.420,137.119,47.940,26.078,175.912
7,1581.053,0.237,345.463,56.418,195.580,62.758,32.076,174.334
8,783.166,24.925,222.954,48.332,124.986,50.355,19.803,17.298
9,977.485,8.449,182.563,59.670,125.869,44.433,28.010,39.834
10,1432.369,12.318,460.151,65.863,160.897,48.077,37.934,169.458
11,1607.551,79.396,216.170,75.482,180.310,67.707,30.230,31.569
12,1167.388,45.019,260.758,74.595,135.575,45.690,32.531,18.590
13,962.764,139.977,407.453,69.713,144.277,56.899,21.544,3.081
14,1650.243,117.605,307.630,79.013,170.137,61.232,34.315,4.807
15,822.913,6.843,137.283,79.370,133.321,54.700,19.155,32.932
16,1015.760,0.000,486.037,87.105,124.864,40.558,31.888,53.312
17,1432.369,75.478,368.059,87.764,154.277,55.845,32.657,178.336
18,1158.556,36.938,425.035,89.399,150.429,57.175,25.800,9.820
19,1550.139,20.826,158.909,94.453,168.004,64.721,30.495,22.209
20,1145.307,26.221,521.763,98.738,147.708,49.744,29.315,135.811
21,768.445,44.943,231.874,99.171,106.578,35.278,27.735,24.636
22,1313.128,56.031,267.930,109.116,142.317,47.290,35.355,17.435
23,1055.507,91.046,316.048,106.088,138.002,54.119,24.832,21.165
24,906.824,85.276,448.894,108.110,127.879,38.061,30.335,9.968
25,1152.667,0.000,97.671,115.558,162.907,68.283,21.493,41.834
26,943.627,16.708,195.353,115.702,125.574,41.412,29.012,85.217
27,912.712,181.379,385.593,117.534,116.701,37.174,31.261,43.375
28,802.303,136.156,476.760,122.877,119.888,40.283,25.359,118.213
