PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 9, filenames: A:[9]AVI_Pos015_TimeSrs0015_TgUtrmcherry_K4K8MO.avi & B:[10]AVI_Pos015_TimeSrs0015_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.765639544,0.2033518255,1
47,65,-0.43019557,0.5480513573,1
47,97,-1.428538322,-0.714535594,1
47,129,-2.044556618,0.5600026846,1
47,161,0.5707314014,0.185690254,1
47,193,1.988369465,-0.3461176157,1
47,225,1.526216269,-1.565850258,1
47,257,0.7832764983,0.5099918842,1
47,289,0.8332954049,0.07392168045,1
47,321,1.620904446,-0.3122625351,1
47,353,2.598781347,0.6138460636,1
47,385,2.316236496,1.472271562,1
47,417,-0.06311893463,-0.8867061138,1
47,449,NaN,NaN,2
47,481,NaN,NaN,2
47,513,3.065367222,2.627580166,1
47,545,2.062855244,2.217825413,1
47,577,1.037170649,1.116763234,1
47,609,0.5891288519,0.7174928188,1
47,641,0.9870570898,1.597148061,1
47,673,0.8541936874,0.5582057238,1
47,705,0.2399599552,1.37986517,1
47,737,1.027084589,1.572839975,1
47,769,1.755594015,1.726924658,1
47,801,3.854691029,0.6863601804,1
47,833,NaN,NaN,2
47,865,8.931069374,-1.551151633,1
47,897,3.753287315,-0.6037179828,1
47,929,3.944373369,0.6983481646,1
47,961,3.107533455,0.3063154221,1
47,993,2.14562583,-0.2994008064,1
47,1025,2.092993259,0.9955206513,1
47,1057,2.288085938,0.9983709455,1
47,1089,0.9711517096,0.2201040387,1
47,1121,0.4990594387,-0.64441818,1
47,1153,1.190139532,-0.367416501,1
47,1185,1.667544007,-0.6261137724,1
47,1217,1.245669723,-0.6125655174,1
47,1249,0.6011316776,-1.903395653,1
47,1281,2.18692112,-2.968359709,1
47,1313,NaN,NaN,2
47,1345,1.074402094,-2.158358097,1
47,1377,1.064961553,-3.455011606,1
47,1409,1.145332813,-1.732413888,1
47,1441,1.915431499,-0.5672415495,1
47,1473,1.376054764,0.3520917594,1
47,1505,1.753772736,-0.3656709194,1
47,1537,1.640291214,-2.227925301,1
47,1569,0.8819397688,-2.785721779,1
47,1601,1.098952532,-1.322135448,1
47,1633,1.164007664,-0.5587055683,1
47,1665,0.8212605715,-0.7662977576,1
47,1697,0.7606701851,-0.641403079,1
47,1729,1.241825581,-0.6519595981,1
47,1761,0.3093557358,0.1706680059,1
47,1793,-0.5313185453,-0.4189273715,1
47,1825,NaN,NaN,2
47,1857,0.4339363575,0.1436354518,1
47,1889,2.163818836,1.073873281,1
47,1921,1.707018852,0.2249598801,1
47,1953,1.617690086,-0.01197248697,1
47,1985,1.181347609,0.2378121316,1
47,2017,-2.79432869,-0.2408427,1
79,33,2.158327579,0.4339194298,1
79,65,0.109080255,1.09260416,1
79,97,-1.184199452,-2.556941986,1
79,129,-1.457532763,0.1511978507,1
79,161,-0.1935226917,0.02057567239,1
79,193,0.5050035715,-0.1619808078,1
79,225,0.6084290147,0.219532311,1
79,257,0.5436344147,3.818380356,1
79,289,1.077256203,3.461969852,1
79,321,2.199305296,2.252955675,1
79,353,3.924148083,1.932236195,1
79,385,NaN,NaN,2
79,417,4.79308939,4.561308384,1
79,449,4.719073772,3.197063684,1
79,481,NaN,NaN,2
79,513,NaN,NaN,2
79,545,2.584210157,2.30792141,1
79,577,1.167757273,1.08490181,1
79,609,1.581230402,0.8476980925,1
79,641,2.387984753,1.385956407,1
79,673,2.737235308,-0.2322981358,1
79,705,2.037400723,0.7221129537,1
79,737,2.209491968,3.513929844,1
79,769,2.771393299,2.314127922,1
79,801,3.452622414,2.254002571,1
79,833,6.241742134,-0.00179207325,1
79,865,6.85667038,-1.969896078,1
79,897,3.710751534,-1.490549803,1
79,929,1.796024323,-0.5977964997,1
79,961,3.271471024,0.2513258457,1
79,993,2.974220037,1.34320724,1
79,1025,NaN,NaN,2
79,1057,0.2665740848,-0.4234912992,1
79,1089,-1.131625175,-0.9045628905,1
79,1121,-0.6368892789,-2.677195072,1
79,1153,0.4605072141,-1.805013895,1
79,1185,0.5342705846,-1.530213237,1
79,1217,0.2042027712,-1.298617125,1
79,1249,-0.4255843163,-1.272782326,1
79,1281,0.4781478047,-2.268904209,1
79,1313,0.5736472011,-0.8974084854,1
79,1345,0.0327090323,0.1656317711,1
79,1377,0.5380839109,-1.615220428,1
79,1409,NaN,NaN,2
79,1441,0.8952226639,-0.3568556011,1
79,1473,2.986459017,0.1972882003,1
79,1505,2.749325991,0.4728214443,1
79,1537,2.197921276,-0.3505509496,1
79,1569,1.181676984,-0.7434335947,1
79,1601,0.9636441469,0.06606006622,1
79,1633,0.6207836866,0.257817179,1
79,1665,0.5552406907,-0.009632200003,1
79,1697,0.6367354393,0.245546937,1
79,1729,0.7249356508,0.781196475,1
79,1761,0.470772028,-0.101617679,1
79,1793,-0.1113529801,-0.2558735013,1
79,1825,0.0500254035,-0.1512625366,1
79,1857,0.5044921637,-0.1456568092,1
79,1889,-0.4219013453,0.1516498923,1
79,1921,0.9420337677,-1.049766541,1
79,1953,1.224632502,-0.5237948298,1
79,1985,0.4289374352,0.05748289078,1
79,2017,-1.609221101,-0.1768641472,1
111,33,1.345063329,0.7524804473,1
111,65,-0.2182424664,2.974513054,1
111,97,0.570346415,0.229572624,1
111,129,-0.7579884529,0.03930589557,1
111,161,-1.291328073,0.01353953779,1
111,193,-0.2899181843,0.7322772741,1
111,225,-0.1485924721,1.434932947,1
111,257,0.7541558743,3.499541759,1
111,289,1.150697947,4.658040047,1
111,321,0.1750012636,3.707019329,1
111,353,2.218678236,2.345193148,1
111,385,3.005900621,2.096523523,1
111,417,4.386833668,2.222431183,1
111,449,2.504268408,2.125449657,1
111,481,1.409849524,0.9499906301,1
111,513,4.48952198,1.825966001,1
111,545,3.424117088,1.849342585,1
111,577,2.513240576,0.9188569784,1
111,609,NaN,NaN,2
111,641,2.939193726,-0.9976260066,1
111,673,2.957660437,-0.6336902976,1
111,705,NaN,NaN,2
111,737,3.56953907,3.944014549,1
111,769,3.291152716,3.941184044,1
111,801,3.040387154,1.777923346,1
111,833,1.586315632,0.2766543925,1
111,865,3.973749638,-1.360414624,1
111,897,3.682435274,-1.9624331,1
111,929,2.024817944,-0.3400624394,1
111,961,NaN,NaN,2
111,993,NaN,NaN,2
111,1025,0.6123111248,0.8620094061,1
111,1057,-0.2506310344,-0.3882054389,1
111,1089,-1.359411836,-1.20662117,1
111,1121,NaN,NaN,2
111,1153,0.1137396991,-0.3499398232,1
111,1185,-0.3090581298,-1.035089374,1
111,1217,-0.8900495172,-0.6559772491,1
111,1249,-0.4262638986,-0.1196974218,1
111,1281,-0.6198114753,-0.716319561,1
111,1313,-0.149766326,0.4210404754,1
111,1345,0.5735789537,0.1842774749,1
111,1377,0.7798637748,-0.3957340121,1
111,1409,NaN,NaN,2
111,1441,NaN,NaN,2
111,1473,2.138523102,-0.5110641718,1
111,1505,2.80091548,0.3667243421,1
111,1537,2.08160305,0.6183831692,1
111,1569,1.182163835,-0.4719248116,1
111,1601,1.095160127,0.8514615297,1
111,1633,1.443630457,0.7623851299,1
111,1665,1.476348758,-1.024525046,1
111,1697,0.637737155,0.3001976907,1
111,1729,NaN,NaN,2
111,1761,2.17991209,0.02898293734,1
111,1793,0.3148541451,0.291135788,1
111,1825,0.7983313799,-0.1040489078,1
111,1857,1.622052073,-0.8000798225,1
111,1889,1.849659443,-0.282222569,1
111,1921,1.798457146,-1.011176109,1
111,1953,1.323004484,-1.067904234,1
111,1985,0.2600001097,-0.03944759443,1
111,2017,-0.06125366688,-0.1454116106,1
143,33,0.8141198158,1.04755795,1
143,65,0.9331561327,0.7869752645,1
143,97,0.9062594771,0.1554604173,1
143,129,-0.3443365693,-0.09326061606,1
143,161,-1.359521866,0.02456775308,1
143,193,-0.8454694152,1.013487697,1
143,225,-0.6100852489,2.174472332,1
143,257,0.5501074791,3.979075909,1
143,289,0.7833011746,4.473617554,1
143,321,0.2353132963,2.990629911,1
143,353,2.605553865,2.146632195,1
143,385,3.232510328,1.910566807,1
143,417,1.776092291,2.023998976,1
143,449,0.9453232288,1.511100292,1
143,481,2.07728076,0.4957680702,1
143,513,3.124766827,1.592859387,1
143,545,2.559887886,2.671125174,1
143,577,2.435328484,1.451014519,1
143,609,3.526551723,-1.015651703,1
143,641,2.992843628,-0.465993762,1
143,673,4.730539322,1.90598762,1
143,705,4.82378149,2.046152115,1
143,737,2.395159245,0.6301574111,1
143,769,5.815027714,1.88697505,1
143,801,5.333424568,0.963213861,1
143,833,3.183644056,0.4454157948,1
143,865,4.658883095,-0.03767648339,1
143,897,3.224718571,-0.3725757599,1
143,929,2.002278805,0.04922401905,1
143,961,NaN,NaN,2
143,993,NaN,NaN,2
143,1025,0.2914590836,1.03634131,1
143,1057,0.9396798611,-0.4782258868,1
143,1089,0.7173475027,-0.2955702543,1
143,1121,0.3127628565,-0.6088336706,1
143,1153,0.2863120735,-0.9948866367,1
143,1185,0.4738363326,-1.152258873,1
