PIVlab, ASCII chart output - 21-Nov-2024
FRAME: 62, filenames: A:[62]AVI_Pos015_TimeSrs0015_TgUtrmcherry_K4K8MO.avi & B:[63]AVI_Pos015_TimeSrs0015_TgUtrmcherry_K4K8MO.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-4.855618954,1.311513662,1
47,65,-1.899262667,0.5410709381,1
47,97,-0.7846142054,0.992069602,1
47,129,NaN,NaN,2
47,161,-0.1105471849,1.850996494,1
47,193,0.4971966147,2.66485405,1
47,225,1.869493008,0.09913873672,1
47,257,1.219930172,-1.134772778,1
47,289,2.677606821,-3.100595951,1
47,321,0.6378905773,-3.831218004,1
47,353,-0.854745388,-3.020823002,1
47,385,-0.7112249136,-1.248542547,1
47,417,NaN,NaN,2
47,449,1.285444021,0.312610954,1
47,481,0.3929070234,0.01270633936,1
47,513,-0.7562077045,-1.350596309,1
47,545,-1.793093324,-1.491720438,1
47,577,-1.201125026,-0.8595583439,1
47,609,-0.2956782877,-0.269988656,1
47,641,0.4871963859,0.4775995016,1
47,673,1.336749673,-0.1606926918,1
47,705,0.2968637943,-0.8279138803,1
47,737,-1.031154156,-1.852277994,1
47,769,-1.137399912,-2.029479027,1
47,801,-0.07603538036,-0.9612469673,1
47,833,2.9961586,-1.742299438,1
47,865,2.199780941,-1.661283374,1
47,897,-0.5344849825,-3.116165161,1
47,929,1.562902808,-1.768434167,1
47,961,-1.078244448,0.3246889114,1
47,993,-1.896592855,0.3228327036,1
47,1025,-0.6588125229,-0.4316756129,1
47,1057,0.06290125847,-0.3558609486,1
47,1089,-0.8817434311,-1.044335485,1
47,1121,-3.205035686,0.4350249767,1
47,1153,-1.85802412,-0.4817506671,1
47,1185,-0.1356201172,0.196282506,1
47,1217,0.9068952799,0.9022102356,1
47,1249,NaN,NaN,2
47,1281,NaN,NaN,2
47,1313,0.5993885994,-2.363062143,1
47,1345,1.620957017,-0.3333943188,1
47,1377,1.992881775,0.8187811375,1
47,1409,1.291365385,0.448435545,1
47,1441,-0.334392488,-1.147421002,1
47,1473,-2.945186615,-2.231781483,1
47,1505,-1.670618296,0.6988518238,1
47,1537,-0.5510261059,1.011050463,1
47,1569,1.316543937,0.07078953087,1
47,1601,0.01812747121,-1.045585632,1
47,1633,-0.5017650127,-1.059132934,1
47,1665,-0.5207232237,-0.1201653481,1
47,1697,-0.9617019296,1.629116535,1
47,1729,-1.496918797,0.03278651834,1
47,1761,-0.274846077,-0.8083181381,1
47,1793,-0.1544934511,-0.3639115393,1
47,1825,-0.8009352684,0.3843792677,1
47,1857,0.9772284031,-0.9245946407,1
47,1889,2.355142832,-0.6902959943,1
47,1921,0.6596996188,0.296684742,1
47,1953,-0.6945024729,-0.2066186965,1
47,1985,-0.669711411,-0.2885530591,1
47,2017,1.633632183,-0.6480938792,1
79,33,-1.611336231,0.6706907153,1
79,65,-0.7122368217,0.4658849239,1
79,97,NaN,NaN,2
79,129,NaN,NaN,2
79,161,-0.5914822221,0.8705772161,1
79,193,0.02743563056,1.408601522,1
79,225,1.033069968,0.5866590738,1
79,257,0.9608163834,-0.2329165936,1
79,289,0.8176948428,-0.8806601763,1
79,321,-0.1402285397,-1.384473562,1
79,353,0.03961861134,-2.707965374,1
79,385,0.8884781599,-2.720707893,1
79,417,1.283959389,-0.6976426244,1
79,449,1.454995871,-0.5085832477,1
79,481,1.087173343,-0.5789170265,1
79,513,1.054620385,-0.4238362312,1
79,545,1.279763579,-0.8815721273,1
79,577,0.007561802864,-0.08539007604,1
79,609,-0.1681688428,0.9697346091,1
