Time (hpf),Area,Label
4.5,710.4939104477612,11022021002
4.720952777777778,722.400793548387,11022021002
4.9419055555555556,773.2151518987342,11022021002
5.162858333333333,799.9145389221557,11022021002
5.383811111111111,818.7827485714286,11022021002
5.604763888888889,839.8111063829787,11022021002
5.825716666666667,871.9345578947368,11022021002
6.046669444444444,903.6015561224489,11022021002
6.267622222222222,925.7644207920792,11022021002
6.488575,984.5470643564357,11022021002
6.709527777777778,1021.6558133971292,11022021002
6.9304805555555555,1067.3859162561575,11022021002
7.151433333333333,1102.2565126903553,11022021002
7.372386111111111,1160.8755340314137,11022021002
7.593338888888889,1145.2916666666667,11022021002
7.814291666666667,1180.5008144329897,11022021002
8.035244444444444,1155.85428,11022021002
8.256197222222223,1143.5385427135677,11022021002
8.47715,1149.8311911764704,11022021002
8.698102777777777,1092.5136857142857,11022021002
8.919055555555556,1052.3367466063348,11022021002
9.140008333333334,971.6584351464436,11022021002
9.360961111111111,931.4559053497941,11022021002
9.581913888888888,881.0448206106871,11022021002
9.802866666666667,837.0994344569289,11022021002
10.023819444444445,810.76285,11022021002
