 ,Area,Mean,%Area
1,469.605,15.555,100.000
2,607.984,15.228,100.000
3,359.196,16.840,100.000
4,376.862,21.793,100.000
5,443.107,23.086,100.000
6,298.840,21.542,100.000
7,566.765,26.026,100.000
8,354.780,24.444,100.000
9,397.471,38.841,100.000
10,610.928,14.696,100.000
11,513.769,24.158,100.000
12,515.241,27.074,100.000
13,503.464,15.520,99.708
14,437.219,21.101,100.000
15,481.382,22.982,100.000
16,662.452,26.858,100.000
17,474.021,21.609,99.689
18,769.917,32.369,100.000
19,499.047,27.510,100.000
20,537.322,16.447,99.452
21,529.962,14.728,99.722
22,432.802,19.728,100.000
23,454.884,27.919,100.000
24,557.932,29.992,100.000
25,453.412,24.659,100.000
26,934.794,24.334,100.000
27,802.303,25.222,100.000
28,737.530,25.267,100.000
29,660.980,15.347,99.555
30,334.170,29.634,100.000
31,780.222,27.092,100.000
32,791.999,32.468,100.000
33,447.523,17.477,99.671
34,928.905,29.737,100.000
35,462.245,17.971,100.000
36,415.137,23.007,100.000
37,588.847,19.883,100.000
38,708.088,29.857,100.000
39,512.297,27.500,100.000
40,674.229,35.751,100.000
41,344.475,27.201,100.000
42,768.445,15.615,99.808
43,503.464,26.725,100.000
44,351.836,28.151,100.000
45,407.776,43.426,100.000
46,435.746,31.240,100.000
47,216.401,41.633,100.000
48,652.148,34.050,100.000
49,565.293,24.714,100.000
50,387.167,19.662,100.000
51,740.475,30.477,99.801
52,497.575,16.592,99.704
53,649.203,28.424,100.000
54,528.490,31.844,100.000
55,643.315,36.352,100.000
56,416.609,35.654,100.000
57,518.185,29.054,100.000
58,553.516,26.093,100.000
59,883.270,24.753,100.000
60,973.069,30.172,100.000
61,404.832,27.255,100.000
62,681.590,20.514,100.000
63,588.847,24.175,100.000
64,529.962,29.881,100.000
65,672.757,42.512,100.000
66,382.750,26.200,100.000
67,500.520,18.468,100.000
68,529.962,16.697,100.000
69,668.341,21.716,100.000
70,563.821,35.517,100.000
71,549.099,31.643,100.000
72,722.809,31.067,100.000
73,627.122,33.406,100.000
74,690.423,25.162,100.000
75,534.378,34.639,100.000
76,686.006,30.088,100.000
77,559.404,40.000,100.000
78,672.757,40.525,100.000
79,291.479,36.025,100.000
80,886.214,25.912,100.000
81,747.835,32.276,100.000
82,563.821,12.347,100.000
83,446.051,28.396,100.000
84,506.408,25.270,100.000
85,584.430,33.254,100.000
86,1307.239,30.843,100.000
87,393.055,26.022,100.000
88,527.018,24.665,100.000
89,752.251,48.204,100.000
90,892.103,36.211,100.000
91,593.263,35.397,100.000
92,931.850,42.569,100.000
93,705.144,26.265,100.000
94,650.675,31.577,100.000
95,750.779,39.125,100.000
96,730.170,40.133,100.000
97,815.552,16.209,100.000
98,967.180,32.659,100.000
99,613.873,20.799,100.000
100,650.675,58.633,100.000
101,616.817,15.878,100.000
102,437.219,27.354,100.000
103,870.021,46.431,100.000
104,435.746,25.047,100.000
105,568.237,30.528,100.000
106,554.988,30.141,100.000
107,650.675,48.577,100.000
108,460.772,56.521,100.000
109,896.519,45.218,100.000
110,362.141,77.736,100.000
111,744.891,42.708,100.000
112,739.002,43.380,100.000
113,796.415,21.908,100.000
114,599.151,24.791,100.000
115,528.490,49.437,100.000
116,970.125,17.988,99.697
117,560.876,51.819,100.000
118,528.490,32.788,100.000
119,634.482,49.123,100.000
120,537.322,31.693,100.000
121,731.642,28.290,99.799
122,849.411,50.515,100.000
123,578.542,40.534,100.000
124,373.918,40.028,100.000
125,450.468,57.696,100.000
126,463.717,28.638,100.000
127,522.601,27.344,100.000
128,734.586,55.613,100.000
129,528.490,67.373,100.000
130,409.248,52.558,100.000
131,715.449,52.597,100.000
132,478.438,46.880,100.000
133,507.880,51.522,100.000
134,1006.928,22.895,100.000
135,469.605,51.179,100.000
136,668.341,42.923,100.000
137,382.750,36.231,100.000
138,506.408,51.753,100.000
139,658.036,22.065,100.000
140,741.947,28.034,100.000
141,351.836,32.770,100.000
142,568.237,60.456,100.000
143,554.988,47.475,100.000
144,852.355,47.841,100.000
145,669.813,27.110,100.000
146,821.441,49.608,100.000
147,796.415,26.719,100.000
148,715.449,25.800,100.000
149,248.788,30.852,100.000
150,569.709,42.654,100.000
151,711.032,35.640,100.000
152,728.698,45.733,100.000
153,621.233,47.794,100.000
154,671.285,23.373,100.000
155,256.148,19.402,100.000
156,609.456,33.519,100.000
157,488.743,50.759,100.000
158,590.319,41.738,100.000
159,1073.173,52.176,100.000
160,478.438,43.646,100.000
161,582.958,32.636,100.000
162,547.627,59.618,100.000
163,487.271,33.341,100.000
164,485.798,34.455,100.000
165,656.564,34.348,100.000
166,799.359,48.346,100.000
167,778.750,44.928,100.000
168,379.806,23.205,100.000
169,1002.511,37.217,100.000
170,613.873,76.923,100.000
171,129.546,40.636,100.000
172,169.293,37.826,100.000
173,401.888,49.667,100.000
174,711.032,29.236,100.000
175,771.389,53.884,100.000
176,211.985,53.340,100.000
177,721.337,43.831,100.000
178,441.635,26.497,100.000
179,295.895,34.124,100.000
180,279.702,48.816,100.000
181,456.356,31.823,100.000
182,407.776,29.639,100.000
183,307.672,29.191,100.000
184,122.186,49.988,100.000
185,490.215,30.243,100.000
186,931.850,34.355,100.000
187,340.059,33.087,100.000
188,412.193,53.800,100.000
189,448.996,19.669,99.672
190,602.096,17.719,99.756
191,443.107,18.349,99.668
192,637.426,35.628,100.000
193,712.504,29.907,100.000
194,903.879,60.824,100.000
