 ,Area,Mean,%Area
1,365.085,14.976,99.597
2,398.944,14.554,100.000
3,326.810,21.149,100.000
4,463.717,15.181,100.000
5,568.237,23.272,100.000
6,316.505,19.140,100.000
7,329.754,23.902,100.000
8,780.222,29.419,100.000
9,497.575,13.361,100.000
10,475.494,14.235,100.000
11,585.902,20.621,100.000
12,431.330,22.928,100.000
13,479.910,18.899,100.000
14,510.824,20.000,100.000
15,594.735,24.540,100.000
16,662.452,16.118,100.000
17,771.389,30.389,100.000
18,516.713,13.860,100.000
19,491.687,15.374,99.102
20,409.248,17.068,100.000
21,597.679,27.034,100.000
22,434.274,24.586,100.000
23,899.463,22.277,100.000
24,787.582,23.202,100.000
25,750.779,24.133,100.000
26,1135.002,16.751,99.741
27,322.393,24.315,100.000
28,865.604,29.991,100.000
29,790.527,24.613,100.000
30,496.103,15.947,99.703
31,1089.366,15.003,100.000
32,923.017,28.164,99.841
33,451.940,17.485,99.674
34,739.002,26.369,100.000
35,538.795,18.519,100.000
36,443.107,26.076,100.000
37,631.538,33.650,100.000
38,322.393,26.717,100.000
39,482.854,23.378,100.000
40,976.013,30.000,100.000
41,435.746,26.385,100.000
42,393.055,43.476,100.000
43,347.419,18.051,99.576
44,621.233,31.303,100.000
45,633.010,20.642,100.000
46,466.661,15.562,100.000
47,524.073,27.674,100.000
48,800.831,28.842,99.816
49,577.070,26.296,100.000
50,448.996,30.348,100.000
51,512.297,26.865,100.000
52,868.549,22.366,100.000
53,525.546,23.308,100.000
54,366.557,26.892,100.000
55,541.739,23.796,100.000
56,637.426,19.217,100.000
57,908.296,29.938,100.000
58,606.512,38.454,100.000
59,522.601,16.620,99.718
60,376.862,23.785,100.000
61,491.687,27.530,100.000
62,554.988,15.215,100.000
63,609.456,21.128,100.000
64,493.159,28.919,100.000
65,559.404,30.726,100.000
66,684.534,29.168,100.000
67,686.006,23.116,100.000
68,582.958,29.563,100.000
69,575.598,32.248,100.000
70,684.534,26.662,100.000
71,633.010,36.698,100.000
72,699.255,39.143,100.000
73,269.397,34.153,100.000
74,842.051,24.755,100.000
75,456.356,11.665,99.355
76,484.326,23.371,100.000
77,688.950,28.893,100.000
78,590.319,29.948,100.000
79,1279.269,27.568,100.000
80,403.360,27.274,100.000
81,532.906,23.075,100.000
82,718.393,42.236,100.000
83,867.077,32.229,100.000
84,884.742,42.479,100.000
85,584.430,33.101,100.000
86,640.371,30.989,100.000
87,687.478,24.428,100.000
88,799.359,15.921,100.000
89,727.226,35.949,100.000
90,928.905,30.531,100.000
91,609.456,13.993,99.758
92,619.761,20.019,100.000
93,1360.236,38.382,100.000
94,631.538,53.072,100.000
95,422.497,23.662,100.000
96,830.274,44.954,100.000
97,412.193,23.186,100.000
98,631.538,45.809,100.000
99,560.876,28.598,100.000
100,434.274,50.559,100.000
101,865.604,44.357,100.000
102,493.159,28.546,100.000
103,354.780,71.000,100.000
104,716.921,39.634,100.000
105,715.449,40.525,100.000
106,619.761,46.337,100.000
107,739.002,20.978,100.000
108,588.847,22.823,100.000
109,875.909,16.881,99.664
110,666.869,42.510,100.000
111,518.185,29.207,100.000
112,513.769,30.705,100.000
113,702.200,28.105,100.000
114,387.167,35.954,100.000
115,858.244,46.389,100.000
116,426.914,54.903,100.000
117,537.322,36.929,100.000
118,519.657,26.235,100.000
119,528.490,63.755,100.000
120,398.944,27.280,100.000
121,422.497,47.014,100.000
122,686.006,51.618,100.000
123,385.695,44.740,100.000
124,708.088,48.091,100.000
125,515.241,46.929,100.000
126,952.459,21.280,100.000
127,479.910,47.399,100.000
128,407.776,32.245,100.000
129,497.575,44.926,100.000
130,666.869,39.051,100.000
131,640.371,20.871,100.000
132,746.363,25.927,100.000
133,416.609,29.208,100.000
134,591.791,25.303,100.000
135,497.575,42.364,100.000
136,303.256,27.976,100.000
137,800.831,48.013,100.000
138,850.883,41.939,100.000
139,774.333,24.798,100.000
140,587.374,38.677,100.000
141,323.866,28.873,100.000
142,677.174,26.589,100.000
143,683.062,34.461,100.000
144,563.821,47.198,100.000
145,739.002,44.193,100.000
146,678.646,22.358,100.000
147,522.601,45.803,100.000
148,596.207,30.370,100.000
149,610.928,31.537,100.000
150,510.824,37.504,100.000
151,497.575,31.414,100.000
152,758.140,36.895,100.000
153,1071.701,49.195,100.000
154,546.155,54.574,100.000
155,771.389,32.511,100.000
156,465.189,32.902,100.000
157,547.627,33.212,100.000
158,401.888,57.029,100.000
159,343.003,51.099,100.000
160,802.303,38.828,100.000
161,419.553,22.551,100.000
162,482.854,38.323,100.000
163,883.270,35.333,100.000
164,482.854,37.726,100.000
165,331.226,43.102,100.000
166,819.969,27.293,100.000
167,747.835,51.543,100.000
168,684.534,41.172,100.000
169,535.850,25.437,100.000
170,769.917,34.002,100.000
171,419.553,30.474,100.000
172,325.338,26.226,100.000
173,287.063,34.426,100.000
174,524.073,26.764,100.000
175,856.772,58.469,100.000
176,403.360,48.624,100.000
177,593.263,26.040,100.000
178,428.386,69.502,100.000
179,485.798,47.876,100.000
180,382.750,30.677,100.000
181,254.676,30.168,100.000
182,232.594,36.785,100.000
183,334.170,31.414,100.000
184,418.081,59.923,100.000
185,338.587,20.017,100.000
