 ,Area,Mean,%Area
1,384.222,13.291,100.000
2,541.739,13.049,99.457
3,369.501,19.705,100.000
4,769.917,18.507,100.000
5,543.211,22.382,100.000
6,350.364,31.042,100.000
7,466.661,13.372,100.000
8,534.378,18.124,100.000
9,419.553,17.411,100.000
10,603.568,22.705,100.000
11,488.743,18.021,100.000
12,706.616,27.092,100.000
13,503.464,23.167,100.000
14,434.274,15.576,99.661
15,479.910,13.239,98.466
16,528.490,13.671,100.000
17,880.326,20.316,100.000
18,432.802,21.248,99.660
19,563.821,26.021,100.000
20,365.085,20.210,100.000
21,808.192,21.681,99.818
22,674.229,23.563,100.000
23,602.096,13.061,100.000
24,356.252,22.595,100.000
25,778.750,28.382,100.000
26,815.552,22.856,100.000
27,446.051,14.812,100.000
28,727.226,25.573,100.000
29,503.464,15.117,99.415
30,605.040,16.961,99.757
31,719.865,22.411,100.000
32,453.412,23.244,100.000
33,619.761,32.264,100.000
34,1058.452,17.200,99.861
35,322.393,22.265,100.000
36,378.334,21.658,100.000
37,416.609,23.367,100.000
38,372.445,38.652,100.000
39,616.817,28.542,100.000
40,600.623,23.858,99.755
41,1051.091,14.766,100.000
42,575.598,19.593,99.744
43,877.381,30.834,100.000
44,756.668,24.270,99.611
45,580.014,23.680,100.000
46,476.966,27.148,100.000
47,861.188,19.928,100.000
48,534.378,21.157,99.725
49,624.177,17.217,100.000
50,513.769,26.014,100.000
51,1051.091,30.983,100.000
52,512.297,14.690,100.000
53,875.909,27.430,100.000
54,602.096,34.978,100.000
55,1240.994,20.690,99.881
56,490.215,29.021,100.000
57,504.936,30.105,100.000
58,631.538,27.172,100.000
59,594.735,26.317,100.000
60,572.653,27.609,100.000
61,666.869,25.680,100.000
62,647.731,30.975,100.000
63,836.162,24.835,100.000
64,456.356,20.784,100.000
65,550.572,28.257,100.000
66,660.980,28.007,100.000
67,1274.853,26.964,100.000
68,485.798,19.997,100.000
69,395.999,25.037,100.000
70,736.058,39.682,100.000
71,874.437,28.779,100.000
72,895.047,37.071,100.000
73,535.850,31.857,100.000
74,650.675,24.423,100.000
75,705.144,15.453,99.791
76,915.656,30.188,100.000
77,590.319,29.259,100.000
78,613.873,18.962,100.000
79,1357.291,34.628,100.000
80,672.757,31.656,100.000
81,550.572,13.390,100.000
82,403.360,24.398,100.000
83,597.679,48.084,100.000
84,844.995,40.988,100.000
85,438.691,20.460,100.000
86,422.497,47.756,100.000
87,577.070,45.153,100.000
88,833.218,43.629,100.000
89,510.824,27.986,100.000
90,518.185,26.588,100.000
91,362.141,64.215,100.000
92,702.200,35.662,100.000
93,749.307,36.261,100.000
94,786.110,18.749,100.000
95,577.070,20.658,100.000
96,638.899,42.991,100.000
97,872.965,15.555,99.831
98,497.575,25.464,100.000
99,578.542,42.702,100.000
100,476.966,27.031,100.000
101,379.806,34.492,100.000
102,686.006,25.824,100.000
103,494.631,23.208,100.000
104,444.579,44.672,100.000
105,435.746,24.118,100.000
106,812.608,41.163,100.000
107,538.795,35.456,100.000
108,688.950,43.679,100.000
109,518.185,59.730,100.000
110,463.717,40.495,100.000
111,671.285,46.382,100.000
112,369.501,41.757,100.000
113,510.824,43.841,100.000
114,942.155,19.708,100.000
115,476.966,40.926,100.000
116,425.442,44.166,100.000
117,391.583,30.068,100.000
118,665.397,19.861,100.000
119,728.698,23.048,100.000
120,609.456,22.626,100.000
121,631.538,38.909,100.000
122,501.992,52.528,100.000
123,356.252,27.988,100.000
124,708.088,26.204,100.000
125,525.546,39.392,100.000
126,790.527,44.676,100.000
127,814.080,40.685,100.000
128,761.084,23.631,100.000
129,588.847,35.627,100.000
130,666.869,32.898,100.000
131,600.623,43.321,100.000
132,787.582,37.591,100.000
133,638.899,20.009,100.000
134,630.066,27.442,100.000
135,504.936,40.466,100.000
136,509.352,35.723,100.000
137,575.598,30.471,100.000
138,1027.537,45.479,100.000
139,655.092,36.667,100.000
140,527.018,49.184,100.000
141,619.761,26.751,100.000
142,550.572,30.775,100.000
143,375.390,51.635,100.000
144,441.635,30.650,100.000
145,323.866,42.945,100.000
146,774.333,36.755,100.000
147,379.806,20.260,100.000
148,914.184,33.053,100.000
149,833.218,30.053,100.000
150,440.163,38.635,100.000
151,323.866,39.214,100.000
152,771.389,46.605,100.000
153,736.058,24.396,100.000
154,655.092,38.202,100.000
155,474.021,23.789,100.000
156,373.918,28.213,100.000
157,329.754,29.835,100.000
158,423.970,28.080,100.000
159,412.193,23.857,100.000
160,731.642,23.642,100.000
161,507.880,25.328,100.000
162,326.810,24.122,100.000
163,326.810,18.685,100.000
164,335.643,19.004,100.000
165,244.371,23.500,100.000
166,415.137,25.082,100.000
167,1009.872,54.156,100.000
168,843.523,29.663,100.000
169,1096.727,30.710,100.000
170,864.132,52.092,100.000
171,388.639,19.439,100.000
172,443.107,19.681,100.000
173,351.836,36.485,100.000
174,733.114,31.257,100.000
175,669.813,32.411,100.000
