 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
199,421.025,55.948,567.175,410.484,117.706,33.408,16.046,44.298
200,812.608,108.257,271.117,422.838,123.858,46.033,22.476,96.214
201,784.638,127.208,330.724,419.883,110.720,37.865,26.384,79.347
202,655.092,104.829,248.809,426.142,109.543,38.181,21.846,78.689
203,453.412,138.162,459.024,423.586,100.597,36.080,16.001,61.407
204,540.267,84.619,542.615,419.998,94.272,30.604,22.477,54.948
205,618.289,41.317,78.336,427.963,101.552,31.836,24.728,121.491
206,493.159,84.024,518.142,431.979,102.435,40.579,15.474,53.622
207,705.144,56.578,101.139,436.552,112.558,40.261,22.300,98.367
208,602.096,44.575,161.333,436.430,101.897,33.205,23.087,78.519
209,677.174,126.733,373.282,438.898,109.715,38.317,22.502,54.076
210,211.985,78.132,479.897,430.151,57.873,16.928,15.945,44.444
211,1014.288,41.508,124.408,447.854,138.834,43.715,29.542,93.601
212,622.705,123.518,217.780,442.403,97.876,31.001,25.575,92.640
213,451.940,130.967,394.774,441.373,83.144,31.239,18.420,69.155
214,528.490,131.331,439.114,442.616,91.013,29.311,22.957,85.130
215,633.010,97.935,461.664,447.863,110.598,39.495,20.407,45.348
216,421.025,84.241,542.162,444.813,95.988,35.693,15.019,60.863
217,418.081,50.102,344.174,443.127,78.707,25.810,20.625,59.426
218,487.271,52.429,413.355,446.726,90.718,32.636,19.010,54.619
219,554.988,111.334,488.540,446.557,96.871,35.785,19.746,42.503
220,881.798,45.628,289.925,454.789,124.153,44.297,25.346,102.081
221,625.649,76.701,520.559,454.846,109.715,40.454,19.691,57.601
222,481.382,158.844,192.224,451.549,100.425,36.367,16.853,107.341
223,655.092,47.094,177.082,459.643,114.030,38.725,21.539,107.863
224,541.739,78.052,149.560,458.142,96.993,32.103,21.486,115.815
225,1020.177,78.962,316.424,465.374,144.155,56.120,23.145,69.226
226,552.044,47.253,81.047,457.632,110.426,36.068,19.488,105.514
227,612.400,116.863,248.597,457.802,99.125,32.749,23.810,80.987
228,493.159,82.012,494.901,463.775,94.567,34.259,18.328,42.851
229,334.170,136.088,228.698,465.346,77.875,26.274,16.194,102.455
230,628.594,101.438,270.188,468.946,99.714,32.623,24.534,90.969
231,877.381,117.074,336.679,476.032,148.886,58.016,19.255,55.458
232,789.054,184.479,417.077,470.659,124.153,43.351,23.175,50.861
233,581.486,39.770,99.345,471.496,98.415,34.469,21.479,85.562
234,412.193,115.532,373.335,465.494,80.007,25.994,20.190,71.635
235,599.151,106.491,211.257,473.621,109.593,37.121,20.551,111.775
236,789.054,76.789,462.245,474.197,111.847,37.759,26.607,32.790
237,1201.247,97.279,386.202,487.965,146.998,48.452,31.567,61.327
238,712.504,47.917,526.804,481.322,114.152,43.110,21.044,59.518
239,800.831,94.443,427.278,486.592,137.464,56.302,18.110,41.233
240,660.980,70.519,171.434,491.175,118.833,46.225,18.206,102.724
241,600.623,148.407,353.813,483.816,100.719,35.179,21.739,54.238
242,731.642,46.227,501.810,489.999,113.980,41.216,22.602,69.461
243,344.475,27.201,153.214,481.968,77.824,24.508,17.896,115.317
244,454.884,80.916,189.207,489.362,91.846,33.044,17.527,81.408
245,363.613,103.810,249.865,485.478,74.149,22.587,20.497,97.649
246,575.598,86.355,480.347,495.242,108.832,41.499,17.660,73.365
247,497.575,106.107,230.015,496.925,91.846,34.232,18.507,79.675
248,758.140,30.715,288.361,501.632,116.995,43.435,22.224,70.915
249,438.691,67.953,205.562,498.071,84.860,25.794,21.654,91.325
250,524.073,66.952,269.368,499.856,102.141,35.948,18.562,81.359
251,666.869,62.689,458.849,505.348,115.695,39.803,21.332,64.224
252,743.419,77.479,433.287,505.994,113.858,39.586,23.911,31.142
253,303.256,37.917,151.699,500.431,80.007,27.220,14.185,158.673
254,407.776,38.477,310.832,505.930,82.139,29.198,17.782,64.953
255,686.006,83.910,247.960,513.974,99.592,31.336,27.873,65.973
256,538.795,99.473,341.231,513.730,106.700,39.558,17.342,65.846
257,1051.091,35.063,147.641,519.666,142.144,49.698,26.929,157.233
258,463.717,91.952,322.303,522.291,102.141,35.742,16.519,63.363
259,572.653,119.409,355.211,521.340,110.009,42.042,17.343,56.914
260,850.883,51.958,486.083,525.935,122.731,41.032,26.403,53.630
261,619.761,79.648,206.143,521.640,112.436,31.516,25.038,128.155
262,759.612,87.188,379.843,524.753,110.842,39.325,24.594,50.094
263,609.456,109.973,401.596,527.235,107.288,40.462,19.178,63.754
264,646.259,40.308,180.052,526.732,102.974,33.954,24.234,84.486
265,734.586,108.431,229.363,535.970,109.715,35.130,26.624,109.331
266,451.940,50.853,460.822,530.984,85.987,30.338,18.968,56.500
267,487.271,81.816,286.196,532.387,93.145,32.990,18.806,51.191
268,669.813,67.591,416.539,536.995,128.295,45.461,18.760,46.376
269,609.456,49.568,257.980,536.552,104.446,39.923,19.437,47.430
270,122.186,59.217,304.138,528.293,44.857,15.187,10.244,94.888
271,448.996,74.220,438.535,535.683,92.140,31.857,17.945,58.236
272,341.531,48.746,200.515,540.612,84.149,28.201,15.420,148.989
273,341.531,56.431,287.931,550.418,96.039,38.470,11.304,45.984
274,519.657,78.949,323.044,547.097,91.551,30.882,21.425,42.047
275,407.776,72.000,301.827,553.398,94.445,35.999,14.422,64.960
276,335.643,73.636,265.507,551.864,86.870,25.549,16.727,41.945
277,578.542,93.272,347.458,549.859,107.288,36.904,19.961,33.858
278,478.438,63.135,370.345,554.200,93.561,34.775,17.517,54.879
279,641.843,58.493,385.426,565.340,101.724,34.912,23.408,64.438
280,326.810,51.000,408.300,562.254,72.849,24.329,17.103,43.776
281,401.888,59.982,315.031,569.444,84.860,28.014,18.266,4.373
282,744.891,58.796,344.853,575.094,124.275,36.978,25.648,0.960
