 ,Area,Mean,X,Y,Perim.
286,777.277,106.710,454.248,555.858,117.411
287,554.988,74.584,153.615,552.494,93.440
288,699.255,128.432,195.137,555.025,107.999
289,488.743,97.075,170.371,564.397,97.876
290,627.122,141.124,315.460,562.431,131.189
291,677.174,75.246,337.954,567.789,113.025
292,599.151,125.912,362.882,567.356,108.588
293,874.437,92.808,419.082,572.485,135.992
294,989.262,97.683,380.625,577.443,157.171
295,566.765,66.613,273.699,576.726,95.744
296,655.092,113.189,192.664,579.638,104.446
297,409.248,42.867,221.996,576.723,79.418
298,596.207,71.960,247.181,581.557,100.841
299,378.334,195.323,317.441,583.164,78.291
300,496.103,114.101,289.208,588.283,95.866
301,398.944,200.985,343.127,593.408,87.997
302,259.092,121.210,383.302,593.714,65.569
