 ,Area,Mean,X,Y,Perim.,Major,Minor,Angle
1,853.828,53.140,354.447,27.634,135.159,45.881,23.695,51.701
2,1026.065,36.192,398.782,24.277,130.011,45.912,28.455,171.435
3,549.099,34.791,272.684,23.477,95.572,33.679,20.759,24.992
4,1021.649,38.471,235.955,39.417,130.133,47.280,27.513,23.085
5,612.400,33.055,322.661,37.359,97.410,33.055,23.589,8.711
6,1155.611,52.088,378.480,48.501,135.748,43.465,33.852,149.385
7,578.542,69.916,278.689,41.393,109.715,42.241,17.439,15.773
8,766.973,43.100,458.452,44.542,111.137,35.638,27.401,156.220
9,1311.656,44.891,418.980,52.975,149.424,51.368,32.511,34.813
10,650.675,30.701,198.744,51.011,105.156,39.178,21.146,42.558
11,663.925,38.257,292.866,57.982,99.714,32.423,26.072,35.796
12,746.363,81.759,243.701,63.258,114.568,36.968,25.706,42.659
13,766.973,38.182,320.631,62.970,111.553,34.962,27.931,43.048
14,778.750,40.777,353.280,64.277,106.872,36.039,27.513,145.719
15,631.538,57.830,266.796,69.709,99.003,31.845,25.251,74.124
16,872.965,43.664,209.533,72.914,117.167,41.028,27.091,51.621
17,883.270,54.610,452.000,72.327,117.878,36.557,30.764,136.143
18,1030.481,54.276,489.714,75.802,137.880,53.247,24.641,138.310
19,1104.087,39.176,179.623,89.969,143.027,52.057,27.004,73.455
20,956.876,46.248,153.416,86.040,123.148,41.211,29.563,53.902
21,999.567,89.199,380.529,85.678,121.848,39.690,32.066,31.513
22,1062.868,99.564,421.705,85.153,127.290,42.517,31.829,171.550
23,1123.225,79.182,289.199,90.660,138.591,47.905,29.853,40.023
24,1248.355,59.894,338.233,90.721,143.149,48.750,32.604,166.335
25,825.857,80.184,226.405,92.909,115.452,38.186,27.537,47.281
26,870.021,83.323,475.624,97.135,114.030,37.581,29.476,140.566
27,1054.035,99.112,254.363,102.191,129.422,38.325,35.017,72.240
28,1395.566,107.622,445.838,116.022,145.454,44.402,40.018,91.344
29,765.501,58.802,520.859,111.188,119.005,42.890,22.725,116.434
30,1037.842,126.695,196.956,115.933,126.752,42.965,30.755,64.734
31,950.987,48.246,129.435,116.181,125.869,44.045,27.491,65.550
32,1109.976,103.615,305.134,115.470,135.037,44.143,32.016,47.185
33,1255.715,136.700,404.361,115.679,140.723,43.009,37.174,106.393
34,1027.537,97.052,502.183,125.699,134.448,49.276,26.550,105.328
35,1120.281,116.298,373.143,125.981,139.423,50.168,28.432,103.716
36,880.326,33.557,150.544,126.576,130.184,50.903,22.019,57.221
37,1478.005,101.582,343.335,133.600,157.415,54.895,34.281,108.987
