PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 75, filenames: A:[75]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[76]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,0.1710175872,0.1058248878,1
21,52,0.2095534205,0.3570566773,1
21,68,0.1382680237,0.4507520795,1
21,84,-0.1726073027,0.3977678418,1
21,100,-0.5729148984,0.04583030939,1
21,116,-0.7265839577,0.3102055788,1
21,132,NaN,NaN,2
21,148,0.0507491082,-0.09297168255,1
21,164,0.1900041699,-0.2157917023,1
21,180,0.4062817097,0.01320210099,1
21,196,0.501098454,0.2689494491,1
21,212,0.1997978687,0.6886987686,1
21,228,0.194075942,0.1950858086,1
21,244,0.4932796359,-0.1332042515,1
21,260,0.06949225813,-0.2091607749,1
21,276,-0.3684288859,-0.09570887685,1
21,292,-0.7863516212,-0.1624159813,1
21,308,-0.793639183,-0.484898299,1
21,324,-0.1319626868,-0.5716882348,1
21,340,-0.3195160925,-0.3970258832,1
21,356,-0.2982893884,-0.3398434818,1
21,372,-0.06588065624,-0.2372017503,1
21,388,-0.2665917277,-0.08871203661,1
21,404,-0.1623577476,-0.225679487,1
21,420,NaN,NaN,2
21,436,-0.03828877211,-0.7007178664,1
21,452,-0.5232557654,-0.1263421774,1
21,468,-0.02203582227,0.2763063908,1
21,484,0.5195222497,-0.1946727931,1
21,500,0.1939403266,-0.06095347553,1
21,516,-0.05738538504,0.2984290719,1
21,532,-0.09420287609,0.1869298965,1
21,548,0.03134948015,0.03090535849,1
21,564,-0.1828016639,0.09037150443,1
21,580,-0.4438673258,-0.3885678947,1
21,596,-0.5378322601,-0.533883214,1
21,612,-0.5114428401,-0.07349193096,1
21,628,0.1744343936,0.09328450263,1
21,644,0.4815469384,-0.1338787079,1
21,660,0.3273063898,-0.09130716324,1
21,676,0.2706765532,0.03256729245,1
21,692,-0.2181687653,0.04412898421,1
21,708,-0.5364770889,0.3786640167,1
21,724,-0.5363477468,0.6828387976,1
21,740,-0.02259540558,1.161577821,1
21,756,0.448005259,-0.0710619688,1
21,772,NaN,NaN,2
21,788,1.264905572,-1.487108111,1
21,804,1.709964275,0.694380641,1
21,820,0.8995716572,-0.4157264233,1
21,836,-0.5072501898,1.084789872,1
21,852,NaN,NaN,2
21,868,NaN,NaN,2
21,884,0.7105298042,0.3421899676,1
21,900,0.4073974192,1.349834919,1
21,916,0.8793344498,1.443404555,1
21,932,NaN,NaN,2
21,948,0.9278240204,1.751527429,1
21,964,0.5889610052,0.645401299,1
21,980,0.7778404355,0.5053138137,1
21,996,0.2319065034,0.6215210557,1
21,1012,0.2235783935,1.002758741,1
21,1028,1.010817528,-0.1743223667,1
21,1044,1.092249632,0.07740214467,1
21,1060,0.7503688335,0.3628496528,1
21,1076,0.6425967813,0.380913645,1
21,1092,1.103958845,-0.9900252819,1
21,1108,NaN,NaN,2
21,1124,NaN,NaN,2
37,20,0.2819882929,0.2316651642,1
37,36,0.005196481943,-0.1983424276,1
37,52,-0.3875537813,-0.2198569477,1
37,68,-0.3169391155,0.106877774,1
37,84,-0.2372969985,0.1515515894,1
37,100,-0.4143260419,-0.05523219705,1
37,116,-0.3234697282,0.1980027407,1
37,132,0.1199265569,0.1321323663,1
37,148,0.1779630184,-0.1749344468,1
37,164,-0.029151842,-0.3097495437,1
37,180,-0.08665765822,-0.3926419914,1
37,196,0.2004629374,-0.3805842102,1
37,212,0.3430401087,0.2300775498,1
37,228,0.3213043511,0.1297185123,1
37,244,0.4176341891,-0.2784440219,1
37,260,0.4237398207,-0.1122498214,1
37,276,-0.153027162,-0.04902145267,1
37,292,-0.5030428171,0.1856188476,1
37,308,-0.4302391112,0.3736968935,1
37,324,-0.1563983858,0.08846021444,1
37,340,-0.08524554968,-0.1528071165,1
37,356,-0.0184943676,0.1316636503,1
37,372,-0.2511004508,0.3674282432,1
37,388,-0.4114804864,0.1155735999,1
37,404,-0.7259058356,0.2650723457,1
37,420,-0.320867151,0.05706509948,1
37,436,-0.1324317455,-0.3006212115,1
37,452,-0.2778281868,-0.01850859821,1
37,468,0.06628286839,0.4305138588,1
37,484,0.3805511594,0.2275291532,1
