PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 1, filenames: A:[1]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[2]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,NaN,NaN,2
21,52,5.183182716,-3.804949522,1
21,68,2.578408241,-0.6352510452,1
21,84,10.83845139,-3.591777802,1
21,100,5.929969788,-1.041090012,1
21,116,9.49393177,-5.654904366,1
21,132,NaN,NaN,2
21,148,NaN,NaN,2
21,164,NaN,NaN,2
21,180,27.9854126,-0.8527078629,1
21,196,NaN,NaN,2
21,212,NaN,NaN,2
21,228,21.88335609,27.81636047,1
21,244,NaN,NaN,2
21,260,NaN,NaN,2
21,276,NaN,NaN,2
21,292,NaN,NaN,2
21,308,1.352920532,-8.788701057,1
21,324,17.13407135,-28.18295097,1
21,340,18.99835014,-27.03835678,1
21,356,7.359859467,-24.90307236,1
21,372,11.02350998,1.456912994,1
21,388,5.292822838,-5.566149712,1
21,404,9.006662369,10.60929108,1
21,420,16.15417862,-0.7829761505,1
21,436,NaN,NaN,2
21,452,9.072374344,1.661527634,1
21,468,6.361548424,-4.252890587,1
21,484,0.8663849831,14.22534943,1
21,500,-8.609685898,4.633223534,1
21,516,0.02555274963,-12.29708195,1
21,532,NaN,NaN,2
21,548,-4.437031746,-6.391028881,1
21,564,-6.552783012,-1.854547977,1
21,580,NaN,NaN,2
21,596,NaN,NaN,2
21,612,NaN,NaN,2
21,628,-17.48890686,15.90211773,1
21,644,-3.621328354,11.33681011,1
21,660,-20.92989349,13.30570412,1
21,676,-19.1650753,7.396799088,1
21,692,-13.24986744,5.004099846,1
21,708,NaN,NaN,2
21,724,-0.4912414551,-12.35177612,1
21,740,3.054218054,-8.752223969,1
21,756,NaN,NaN,2
21,772,11.44326115,-7.300002098,1
21,788,13.36008739,-10.16754818,1
21,804,NaN,NaN,2
21,820,NaN,NaN,2
21,836,25.21118736,-19.55095482,1
21,852,NaN,NaN,2
21,868,11.3425684,-16.44192123,1
21,884,14.60541534,-15.97962284,1
21,900,NaN,NaN,2
21,916,NaN,NaN,2
21,932,NaN,NaN,2
21,948,NaN,NaN,2
21,964,16.46130562,-11.65544319,1
21,980,NaN,NaN,2
21,996,-6.013264656,-13.34876633,1
21,1012,-10.5062561,-12.97356224,1
21,1028,NaN,NaN,2
21,1044,-3.643226624,1.588936806,1
21,1060,NaN,NaN,2
21,1076,NaN,NaN,2
21,1092,NaN,NaN,2
21,1108,NaN,NaN,2
21,1124,NaN,NaN,2
37,20,NaN,NaN,2
37,36,-4.217660427,-2.009380579,1
37,52,NaN,NaN,2
37,68,0.4175803661,-1.021536827,1
37,84,0.6751089096,1.484147072,1
37,100,NaN,NaN,2
37,116,9.704195976,6.532320023,1
37,132,11.8198595,1.905273914,1
37,148,10.97997665,-3.376149654,1
37,164,0.005853652954,1.997700691,1
37,180,12.38962364,6.732442856,1
37,196,2.045111656,11.57896042,1
37,212,16.1787262,3.443330765,1
37,228,16.87091255,5.066057205,1
37,244,10.53046131,5.963717461,1
37,260,15.67289543,-3.017402649,1
37,276,16.26630402,-6.461791039,1
37,292,19.75502777,-11.69093418,1
37,308,18.40687943,-16.78355408,1
37,324,NaN,NaN,2
37,340,1.899838448,-30.79283905,1
37,356,7.402000427,-30.06063461,1
37,372,6.727018356,-15.49369431,1
37,388,9.399801254,-8.039975166,1
37,404,6.754599094,0.6204280853,1
37,420,9.932448387,11.50487328,1
37,436,7.157844067,8.175131798,1
37,452,3.630415201,14.190382,1
37,468,-10.91517735,3.087999344,1
37,484,-6.976081848,-1.087936401,1
37,500,-11.74195099,0.6676235199,1
37,516,-10.62300682,-0.3651161194,1
37,532,-2.705055237,-2.617236137,1
37,548,-4.610887527,3.004456043,1
37,564,-6.210410118,11.23308945,1
37,580,-18.00337982,7.423368454,1
37,596,-0.7857379913,10.75425053,1
37,612,4.980883121,16.56076813,1
37,628,-1.452666759,17.36268997,1
37,644,-4.568154335,10.29450893,1
37,660,-11.60416031,2.262403488,1
37,676,-19.39850998,5.026941299,1
37,692,-19.85655022,2.600252628,1
37,708,-15.53354168,-2.090163708,1
37,724,1.187516212,-11.70795918,1
