PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 10, filenames: A:[10]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[11]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,-0.34904176,2.618218184,1
21,52,-0.7228875756,1.93282485,1
21,68,-1.690859199,-1.430900097,1
21,84,-0.1894381046,1.898975372,1
21,100,NaN,NaN,2
21,116,NaN,NaN,2
21,132,NaN,NaN,2
21,148,NaN,NaN,2
21,164,-3.466560841,-5.840929508,1
21,180,-2.345434666,-6.835870743,1
21,196,-1.523460865,-6.197707176,1
21,212,-1.696467757,-6.486866474,1
21,228,-2.612136602,-6.588945866,1
21,244,-3.477383137,-6.184581757,1
21,260,-3.468513966,-7.102162361,1
21,276,-5.289224625,-6.903506756,1
21,292,-6.097811222,-7.015730858,1
21,308,-5.847507477,-6.779261589,1
21,324,-4.215894222,-7.425004959,1
21,340,-4.639935017,-4.735884666,1
21,356,NaN,NaN,2
21,372,NaN,NaN,2
21,388,NaN,NaN,2
21,404,-3.702591419,-2.367750645,1
21,420,-2.991670132,-2.63813448,1
21,436,-3.844232321,-3.285957813,1
21,452,-4.346380711,-3.294894695,1
21,468,-3.578283787,-2.424797058,1
21,484,NaN,NaN,2
21,500,NaN,NaN,2
21,516,-6.129128456,-0.2811877728,1
21,532,-5.696036816,-1.081690669,1
21,548,NaN,NaN,2
21,564,-3.61285758,-0.5701438189,1
21,580,-0.6589119434,-0.5491038561,1
21,596,-1.876402378,-4.074733734,1
21,612,NaN,NaN,2
21,628,-0.1302022934,-3.106976509,1
21,644,NaN,NaN,2
21,660,-2.844062805,-0.0880959034,1
21,676,NaN,NaN,2
21,692,NaN,NaN,2
21,708,-1.8396523,-0.291110754,1
21,724,-0.944050312,-1.346330881,1
21,740,0.2509435117,-0.4942914248,1
21,756,1.168021798,0.3368241787,1
21,772,0.4548208117,-2.190891743,1
21,788,-0.1539195627,-2.190326452,1
21,804,-0.4149088264,0.4769027233,1
21,820,1.186699867,-0.3914459944,1
21,836,NaN,NaN,2
21,852,NaN,NaN,2
21,868,-0.4109458327,-2.693624973,1
21,884,-1.105911374,-2.719953537,1
21,900,-2.378551006,-1.625492096,1
21,916,-1.894386292,-0.7177404165,1
21,932,-0.5881519318,-1.060421586,1
21,948,0.4343937635,-0.9648171067,1
21,964,0.4475672245,-1.015423775,1
21,980,-0.2156397104,-1.517649889,1
21,996,-0.3014712334,-1.720205069,1
21,1012,0.1459935308,-1.115104198,1
21,1028,0.9668418169,-0.7736219168,1
21,1044,1.118476391,-1.472093582,1
21,1060,0.9349173903,-2.662187099,1
21,1076,0.9593551159,-1.735393047,1
21,1092,1.669802904,-1.98803544,1
21,1108,NaN,NaN,2
21,1124,NaN,NaN,2
37,20,0.2945505977,1.069820642,1
37,36,0.5629078746,0.457400322,1
37,52,-0.1618246138,-0.04735225439,1
37,68,-0.5860332251,-0.6183261275,1
37,84,NaN,NaN,2
37,100,0.6905919313,0.1994490623,1
37,116,-0.1621361971,-1,1
37,132,NaN,NaN,2
37,148,NaN,NaN,2
37,164,-2.25615859,-5.469913006,1
37,180,NaN,NaN,2
37,196,NaN,NaN,2
37,212,-1.936136246,-7.283466816,1
37,228,-1.651222348,-7.692592621,1
37,244,-1.753793001,-7.354912281,1
37,260,NaN,NaN,2
37,276,-2.005069017,-6.544635296,1
37,292,NaN,NaN,2
37,308,NaN,NaN,2
37,324,-3.833546638,-4.995109081,1
37,340,-3.934843063,-5.716975689,1
37,356,-3.855593204,-5.258336544,1
37,372,-3.994626045,-4.266913891,1
37,388,-4.138284683,-3.661529779,1
37,404,-4.039575577,-3.159179211,1
37,420,-3.793607712,-3.397205591,1
37,436,-3.731474876,-3.366569757,1
37,452,-1.247848511,-2.743935347,1
37,468,-1.824688911,-2.157491922,1
37,484,-2.593919277,-0.7095253468,1
37,500,-2.755838633,-0.5610601902,1
37,516,-4.473990917,-0.6135138273,1
37,532,-4.776221275,-0.1663845778,1
37,548,-3.643836021,0.2190162838,1
37,564,-3.820447445,0.1859192997,1
37,580,NaN,NaN,2
37,596,NaN,NaN,2
37,612,NaN,NaN,2
