PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 87, filenames: A:[87]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[88]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,-0.5676496029,0.2238249183,1
21,36,-0.3515902758,-0.4753962755,1
21,52,0.1274579167,0.2164783478,1
21,68,0.2271998525,0.07769006491,1
21,84,0.2580482662,0.1721895188,1
21,100,0.04583749175,0.6558978558,1
21,116,0.09612193704,0.7812893391,1
21,132,0.2062626183,-0.07921254635,1
21,148,0.2145744115,-0.2852524817,1
21,164,-0.1258883178,-0.03317605704,1
21,180,-0.3651047051,-0.3738259077,1
21,196,-0.1982874125,-0.09331912547,1
21,212,-0.282016933,0.1494248807,1
21,228,-0.1547585726,0.3966191113,1
21,244,-0.1517654806,0.6016962528,1
21,260,-0.246101886,0.2638738155,1
21,276,0.1218773425,0.2263556719,1
21,292,NaN,NaN,2
21,308,-0.05443114042,0.5472902656,1
21,324,0.001362323761,-0.1580034345,1
21,340,-0.2800428569,-0.4842128158,1
21,356,-0.5139887929,-0.1216446161,1
21,372,-0.5506213307,-0.2929846048,1
21,388,-0.6142085791,-0.7118638158,1
21,404,-0.4892125726,-0.296004355,1
21,420,-0.11643067,-0.1542687714,1
21,436,0.2725296021,-0.01526939869,1
21,452,0.04355152696,0.2555703819,1
21,468,0.04347231984,-0.01328342408,1
21,484,0.1549865454,-0.04706541449,1
21,500,-0.08183711767,0.4412040114,1
21,516,-0.580477953,0.6215008497,1
21,532,-0.682554841,0.2126486301,1
21,548,-0.4885846376,0.1750568151,1
21,564,-0.5287286639,0.2736018896,1
21,580,-0.37216115,0.2719118595,1
21,596,-0.03281071782,-0.2380790263,1
21,612,-0.07153630257,-0.2550535798,1
21,628,-0.3190521002,0.156223163,1
21,644,-0.3121590614,-0.1582192779,1
21,660,0.03126639128,-0.3977256119,1
21,676,0.5417602062,-0.4281635582,1
21,692,0.2917938232,-0.5728627443,1
21,708,-0.1342118979,-0.5068347454,1
21,724,-0.2854643464,-0.2562658191,1
21,740,0.1887061,0.05728425086,1
21,756,0.3495634794,-0.06929367781,1
21,772,0.3836734295,-0.1946022511,1
21,788,0.48351264,-0.6719638109,1
21,804,0.4778493643,-0.5700369477,1
21,820,0.02160677314,0.04386535287,1
21,836,-0.3422824442,0.2182699144,1
21,852,-0.2741666138,-0.2315231562,1
21,868,-0.2921593487,-0.39553684,1
21,884,-0.5182315707,-0.5433747768,1
21,900,0.004152983427,-0.7298483849,1
21,916,0.06369972229,-0.9691633582,1
21,932,-0.4067201912,-0.5680342317,1
21,948,-0.3304318786,0.2147035599,1
21,964,-0.1159791052,0.2953419089,1
21,980,0.06786371768,-0.02759078145,1
21,996,0.1306127906,-0.2375445068,1
21,1012,-0.2249078304,-0.1132577062,1
21,1028,-0.2122264504,0.06157897413,1
21,1044,-0.1956641525,0.2758277059,1
21,1060,-0.06484286487,0.5269593,1
21,1076,0.4002892971,0.05818003416,1
21,1092,0.1672993004,0.2654489875,1
21,1108,-0.4092646241,0.3141462803,1
21,1124,-0.5192584991,-0.1247350127,1
37,20,-0.07376241684,-0.2271479964,1
37,36,0.258936882,-0.2713623643,1
37,52,0.5958964825,0.09223395586,1
37,68,0.3669502139,0.2267050147,1
37,84,0.3543149233,0.4626208544,1
37,100,0.4247028828,0.4384341538,1
37,116,0.09409920871,0.0528614223,1
37,132,-0.09757628292,-0.2323216498,1
37,148,-0.1636639237,-0.01340731233,1
37,164,-0.1900641918,0.06045892835,1
37,180,-0.3441306055,-0.3311033249,1
37,196,-0.08526585996,-0.003149628639,1
