PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 8, filenames: A:[8]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[9]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,NaN,NaN,2
21,52,0.4741241932,0.1718538404,1
21,68,-0.3220440447,0.5926486254,1
21,84,-0.7440763712,-0.8983097076,1
21,100,NaN,NaN,2
21,116,NaN,NaN,2
21,132,NaN,NaN,2
21,148,NaN,NaN,2
21,164,NaN,NaN,2
21,180,-3.154386997,-6.66650486,1
21,196,-1.750868678,-8.315831184,1
21,212,NaN,NaN,2
21,228,-3.520631075,-8.640737534,1
21,244,NaN,NaN,2
21,260,-4.106249809,-7.716299534,1
21,276,-4.72755909,-8.003688812,1
21,292,-3.955182076,-9.202528,1
21,308,-4.155905724,-9.222895622,1
21,324,-7.56482029,-6.555044651,1
21,340,NaN,NaN,2
21,356,NaN,NaN,2
21,372,-3.843480587,-3.854055405,1
21,388,-3.351568222,-3.366176844,1
21,404,-4.17756319,-4.119067192,1
21,420,-5.908905029,-4.796066284,1
21,436,NaN,NaN,2
21,452,NaN,NaN,2
21,468,-5.057746887,-6.059905052,1
21,484,NaN,NaN,2
21,500,-3.398792267,-4.717440605,1
21,516,-4.388663292,-2.048453331,1
21,532,-5.122072697,0.4567089081,1
21,548,NaN,NaN,2
21,564,NaN,NaN,2
21,580,NaN,NaN,2
21,596,-4.991342545,-3.276818275,1
21,612,-7.287027359,-4.103998661,1
21,628,NaN,NaN,2
21,644,-6.145765305,-4.201448441,1
21,660,-6.833488941,-3.346693993,1
21,676,-6.340683937,-3.557105303,1
21,692,-4.943743706,-9.906510353,1
21,708,NaN,NaN,2
21,724,-2.669403076,1.818924427,1
21,740,NaN,NaN,2
21,756,NaN,NaN,2
21,772,-2.033513308,-3.282291651,1
21,788,-2.406769276,-2.917001963,1
21,804,-3.782450438,-3.569690943,1
21,820,NaN,NaN,2
21,836,NaN,NaN,2
21,852,-3.082027912,0.6474289894,1
21,868,-2.631688595,0.01998615265,1
21,884,-2.874308586,-2.082306385,1
21,900,-2.477820635,-1.140504122,1
21,916,-1.643460035,-0.668749392,1
21,932,NaN,NaN,2
21,948,-0.6040586233,0.2212678194,1
21,964,1.838676214,-0.1129543185,1
21,980,NaN,NaN,2
21,996,2.762943268,-1.373553872,1
21,1012,1.957381487,-0.9099271297,1
21,1028,1.271126032,-0.1119667888,1
21,1044,0.1149013042,-1.636191726,1
21,1060,0.02208685875,-2.542450428,1
21,1076,0.1373608112,-2.298388958,1
21,1092,-0.437579155,-2.160352945,1
21,1108,-1.050582647,-1.029916883,1
21,1124,NaN,NaN,2
37,20,NaN,NaN,2
37,36,0.3194001913,-0.3910591006,1
37,52,-0.151542604,-0.02410209179,1
37,68,-0.2337471247,-0.4273118675,1
37,84,-0.1079920828,-0.4625881016,1
37,100,-0.07943990827,0.1402372718,1
37,116,NaN,NaN,2
37,132,NaN,NaN,2
37,148,NaN,NaN,2
37,164,-3.896648169,-5.469619751,1
37,180,-2.251679659,-6.660532475,1
37,196,-2.692788839,-8.168313026,1
37,212,-2.7248528,-8.794086456,1
37,228,-2.180073261,-9.447031021,1
37,244,-2.730674505,-9.346887589,1
37,260,-4.055215836,-9.521897316,1
37,276,-3.796028614,-8.854956627,1
37,292,-4.66547966,-8.21416378,1
37,308,-5.807988167,-7.502907276,1
37,324,-5.862883568,-6.604595661,1
37,340,-5.750263214,-7.291233063,1
37,356,-4.817543983,-5.419541836,1
37,372,-4.025495052,-5.207037449,1
37,388,-4.071503639,-4.842116833,1
37,404,-4.50381279,-5.584700108,1
37,420,-4.97149229,-5.782501221,1
37,436,-5.186751366,-4.375283241,1
37,452,-5.426536083,-3.056368828,1
37,468,-5.576473236,-3.04520607,1
37,484,-5.261362076,-4.009166718,1
37,500,NaN,NaN,2
37,516,-6.419656754,-1.401670218,1
37,532,-5.930002689,-2.004630566,1
37,548,-5.555664062,-3.272518158,1
37,564,-5.543545723,-1.735473394,1
37,580,-5.93946743,-1.308809757,1
37,596,-6.358841896,-1.968988657,1
37,612,-6.734315872,-2.993139267,1
37,628,-6.113873959,-3.220274925,1
