PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 22, filenames: A:[22]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[23]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,-5.526351452,-8.666211128,1
21,52,NaN,NaN,2
21,68,NaN,NaN,2
21,84,2.344587803,8.370563507,1
21,100,1.538978815,1.764327765,1
21,116,NaN,NaN,2
21,132,NaN,NaN,2
21,148,NaN,NaN,2
21,164,NaN,NaN,2
21,180,NaN,NaN,2
21,196,18.63370895,-12.43537712,1
21,212,3.557580948,2.196177959,1
21,228,10.60063744,-8.219410896,1
21,244,NaN,NaN,2
21,260,NaN,NaN,2
21,276,NaN,NaN,2
21,292,NaN,NaN,2
21,308,NaN,NaN,2
21,324,NaN,NaN,2
21,340,-2.23190546,22.11623383,1
21,356,NaN,NaN,2
21,372,-0.949914813,30.3451004,1
21,388,NaN,NaN,2
21,404,NaN,NaN,2
21,420,0.9095027447,29.04059029,1
21,436,1.750181675,27.68952751,1
21,452,3.561651945,23.10836601,1
21,468,5.102353096,21.39212608,1
21,484,NaN,NaN,2
21,500,5.858426094,21.77535248,1
21,516,5.874997616,22.58139229,1
21,532,5.744202614,21.82787132,1
21,548,4.799051762,22.23687363,1
21,564,5.990933418,19.01252937,1
21,580,NaN,NaN,2
21,596,NaN,NaN,2
21,612,NaN,NaN,2
21,628,NaN,NaN,2
21,644,11.41420078,10.7360611,1
21,660,10.82141781,17.46757889,1
21,676,21.1097908,14.30338192,1
21,692,10.38825226,10.91380787,1
21,708,22.5793457,8.521057129,1
21,724,13.05287647,3.47380352,1
21,740,12.61344624,7.386441231,1
21,756,NaN,NaN,2
21,772,NaN,NaN,2
21,788,11.92046356,0.1881513596,1
21,804,NaN,NaN,2
21,820,14.06164169,13.52229309,1
21,836,12.97891521,4.106333733,1
21,852,NaN,NaN,2
21,868,NaN,NaN,2
21,884,NaN,NaN,2
21,900,NaN,NaN,2
21,916,23.36036301,23.93853569,1
21,932,NaN,NaN,2
21,948,NaN,NaN,2
21,964,NaN,NaN,2
21,980,NaN,NaN,2
21,996,NaN,NaN,2
21,1012,NaN,NaN,2
21,1028,NaN,NaN,2
21,1044,NaN,NaN,2
21,1060,NaN,NaN,2
21,1076,NaN,NaN,2
21,1092,NaN,NaN,2
21,1108,NaN,NaN,2
21,1124,NaN,NaN,2
37,20,NaN,NaN,2
37,36,-7.673072815,-6.781163692,1
37,52,0.2440654188,-0.4120397568,1
37,68,NaN,NaN,2
37,84,0.1640976071,-0.1502330005,1
37,100,2.037243843,7.382856369,1
37,116,0.3102887869,9.144426346,1
37,132,1.357216835,1.066781044,1
37,148,3.686946869,8.69298172,1
37,164,16.26428604,3.816030502,1
37,180,20.0633297,-0.0427312851,1
37,196,2.231258392,-7.379355431,1
37,212,-5.262261868,1.057919025,1
37,228,-4.219852448,11.40557003,1
37,244,-2.132685661,-0.04818058014,1
37,260,7.361549377,-18.07832146,1
37,276,6.554214478,-16.34996414,1
37,292,3.622861385,-1.846304893,1
37,308,7.725521564,9.753141403,1
37,324,1.178297043,25.53171158,1
37,340,-1.403682709,24.69436836,1
37,356,-0.9702377319,24.91347313,1
37,372,-0.5328701138,31.20792389,1
37,388,NaN,NaN,2
37,404,0.3754731417,29.74145699,1
37,420,0.5555768013,27.82195091,1
37,436,1.774544477,26.16175461,1
37,452,4.791782379,24.90230751,1
37,468,NaN,NaN,2
37,484,4.869226933,20.61360931,1
37,500,NaN,NaN,2
37,516,NaN,NaN,2
37,532,6.429375172,21.98157692,1
37,548,5.984429359,22.14256096,1
37,564,6.940014839,20.66944122,1
37,580,8.108379364,18.63804245,1
37,596,8.868192673,16.20247841,1
37,612,NaN,NaN,2
37,628,NaN,NaN,2
37,644,11.60967445,11.78353596,1
37,660,16.39452171,14.24229622,1
37,676,18.40659714,11.62536144,1
37,692,7.240075111,3.826586723,1
37,708,15.86553764,6.904946327,1
37,724,15.36776066,5.296079636,1
37,740,16.04027176,5.139570713,1
37,756,16.57356071,7.17693758,1
37,772,NaN,NaN,2
37,788,13.62391281,14.78246117,1
37,804,NaN,NaN,2
37,820,NaN,NaN,2
