PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 4, filenames: A:[4]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[5]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,1.380803585,0.143057704,1
21,36,0.6808878183,-0.174225077,1
21,52,NaN,NaN,2
21,68,0.4033646286,-0.1603906155,1
21,84,0.4106638432,-0.02016484737,1
21,100,0.1140887439,-1.333654881,1
21,116,NaN,NaN,2
21,132,NaN,NaN,2
21,148,0.2425146103,-0.9424066544,1
21,164,NaN,NaN,2
21,180,NaN,NaN,2
21,196,NaN,NaN,2
21,212,NaN,NaN,2
21,228,-13.11713409,-11.20360851,1
21,244,NaN,NaN,2
21,260,NaN,NaN,2
21,276,-12.67660999,-13.40590572,1
21,292,NaN,NaN,2
21,308,NaN,NaN,2
21,324,-17.39466667,-12.50201225,1
21,340,NaN,NaN,2
21,356,-16.09965706,-9.502433777,1
21,372,NaN,NaN,2
21,388,NaN,NaN,2
21,404,-17.30062485,-9.314547539,1
21,420,NaN,NaN,2
21,436,-15.57851219,-8.426627159,1
21,452,-17.51004219,-9.163290024,1
21,468,NaN,NaN,2
21,484,NaN,NaN,2
21,500,NaN,NaN,2
21,516,-13.79514885,-5.096046925,1
21,532,-14.20694733,-7.538134098,1
21,548,NaN,NaN,2
21,564,-14.88535595,-8.742745399,1
21,580,-17.0690155,-6.549752235,1
21,596,NaN,NaN,2
21,612,-11.96732712,-9.134595871,1
21,628,-11.16356564,-4.018493176,1
21,644,NaN,NaN,2
21,660,NaN,NaN,2
21,676,NaN,NaN,2
21,692,-14.95665359,-4.324895859,1
21,708,NaN,NaN,2
21,724,NaN,NaN,2
21,740,NaN,NaN,2
21,756,-14.88616753,-4.134263515,1
21,772,-14.01394176,-2.434937716,1
21,788,-14.18039131,-2.271561623,1
21,804,NaN,NaN,2
21,820,NaN,NaN,2
21,836,-12.13954163,-3.129142046,1
21,852,-12.16710663,-3.504689693,1
21,868,-13.30406761,-2.294776917,1
21,884,NaN,NaN,2
21,900,NaN,NaN,2
21,916,-8.260528564,-1.844071627,1
21,932,-6.305635452,-2.226943493,1
21,948,NaN,NaN,2
21,964,NaN,NaN,2
21,980,-3.343483925,-3.618652344,1
21,996,NaN,NaN,2
21,1012,-5.930868149,-3.126759529,1
21,1028,-5.86294651,-2.432644844,1
21,1044,-5.916104794,-2.369522572,1
21,1060,-5.58874321,-2.194602728,1
21,1076,-5.581436157,-0.9593105316,1
21,1092,-5.366611958,-0.2339391708,1
21,1108,-5.201892853,-2.027690411,1
21,1124,-4.750014305,-3.611709595,1
37,20,0.06850218773,-0.8323019147,1
37,36,-0.3640783727,0.05688634515,1
37,52,0.04087004438,0.5730463266,1
37,68,0.2345801294,0.710457921,1
37,84,-0.1621555686,0.8762389421,1
37,100,0.2380946279,-0.2030305564,1
37,116,0.4193342328,-0.5749431849,1
37,132,0.7567694783,0.2326285839,1
37,148,0.4838508368,0.1063444614,1
37,164,NaN,NaN,2
37,180,NaN,NaN,2
37,196,-8.837652206,-12.33562279,1
37,212,-12.38248825,-10.6903944,1
37,228,-13.47344494,-11.70372009,1
37,244,-14.28865814,-11.91234016,1
37,260,-14.47251034,-12.38620663,1
37,276,-14.6558466,-13.06549931,1
37,292,-14.6175251,-14.22077656,1
37,308,-15.68737793,-13.03060913,1
37,324,-16.28256607,-10.80282307,1
37,340,NaN,NaN,2
37,356,-17.46607208,-9.725380898,1
37,372,-17.68524361,-9.787570953,1
37,388,-17.67519951,-10.2110939,1
37,404,-16.8108654,-9.559473991,1
37,420,-18.39385223,-8.016738892,1
37,436,-19.79366302,-10.07689095,1
37,452,-19.41968727,-9.156600952,1
37,468,-18.01852226,-7.326967239,1
37,484,-16.65522575,-6.090437889,1
37,500,-16.31914902,-4.602031231,1
37,516,NaN,NaN,2
37,532,NaN,NaN,2
37,548,-14.85089684,-7.378194809,1
37,564,-15.07771492,-8.19904232,1
37,580,-15.05549049,-8.477518082,1
37,596,-13.33906746,-6.399981022,1
37,612,-16.31238174,-6.625666142,1
37,628,-15.85326195,-5.475672245,1
37,644,-15.10137939,-5.295238972,1
37,660,-14.35601139,-5.264873981,1
37,676,-14.61139488,-4.508912086,1
37,692,-14.78601456,-3.990582705,1
37,708,-14.53624535,-2.662573576,1
37,724,-13.88648796,-2.761560202,1
37,740,-13.66659355,-3.82591486,1
37,756,-13.34822273,-4.457746983,1
37,772,-12.51727962,-1.72359848,1
37,788,-11.73618698,-2.072363138,1
37,804,-11.23105335,-2.579637289,1
37,820,-11.10766792,-2.197894573,1
37,836,-10.46824455,-2.131837368,1
37,852,-8.926856041,-2.889659643,1
37,868,-8.855504036,-2.35348177,1
37,884,NaN,NaN,2
37,900,NaN,NaN,2
37,916,-6.630975246,-3.021061182,1
37,932,-4.94909668,-1.455789566,1
37,948,-4.238617897,-1.5966115,1
37,964,-4.833335876,-2.686730146,1
37,980,-5.15009594,-3.137713194,1
37,996,-4.322304726,-2.324982405,1
37,1012,-5.358504295,-1.734163165,1
37,1028,-6.30611372,-2.017800093,1
37,1044,NaN,NaN,2
37,1060,NaN,NaN,2
37,1076,-6.73314476,-1.971282005,1
37,1092,-5.650685787,-0.9968883991,1
37,1108,-5.389983654,-1.870525718,1
37,1124,NaN,NaN,2
53,20,-0.3231623769,-0.230361104,1
53,36,-0.1063065976,0.1779766083,1
53,52,0.05576519296,1.089863896,1
53,68,-0.4930286705,0.826171279,1
53,84,-0.747684896,0.4587245286,1
53,100,-0.03086136281,0.5159974098,1
53,116,0.8231763244,1.283798218,1
53,132,1.706015229,1.344257116,1
53,148,0.7181216478,0.3375576138,1
53,164,NaN,NaN,2
53,180,NaN,NaN,2
53,196,NaN,NaN,2
53,212,-11.02579689,-10.065588,1
53,228,-13.58471107,-11.72965431,1
53,244,-14.6144352,-11.95949459,1
53,260,-14.75675106,-13.10473156,1
53,276,-13.99755669,-13.35053349,1
53,292,-14.07743168,-13.37473774,1
53,308,-16.16418266,-12.72279549,1
53,324,-16.52243996,-11.91300488,1
53,340,-16.41136169,-10.94026089,1
53,356,-16.49339104,-10.47273636,1
53,372,-17.40280533,-10.61053276,1
53,388,-18.7284565,-10.17882347,1
53,404,-19.37033081,-10.04316425,1
53,420,-19.87787819,-9.974643707,1
53,436,-19.20999527,-9.949026108,1
53,452,-18.23506737,-9.035128593,1
53,468,-18.71967316,-9.023849487,1
53,484,-17.48147583,-8.484755516,1
53,500,-16.28826904,-8.123270035,1
53,516,-15.85099792,-7.767252922,1
53,532,-15.1504755,-8.215099335,1
53,548,-14.55423927,-8.477864265,1
53,564,-14.61690807,-9.001507759,1
53,580,NaN,NaN,2
53,596,NaN,NaN,2
53,612,-14.28895283,-8.420669556,1
53,628,-14.05295086,-6.973759651,1
53,644,-14.15787125,-5.705011368,1
53,660,-14.27095985,-5.704638958,1
53,676,-14.19218349,-5.002932549,1
53,692,-13.58001232,-4.148373604,1
53,708,-13.14451027,-3.08334446,1
53,724,-12.70661163,-3.14576292,1
53,740,-12.99436951,-4.432804585,1
53,756,-12.40434742,-4.485411644,1
53,772,-11.53263855,-2.690812826,1
53,788,-10.59358501,-2.754943371,1
53,804,-9.791390419,-3.028393269,1
53,820,-9.730752945,-1.958621025,1
53,836,-9.943311691,-2.040665865,1
53,852,-9.720297813,-1.693762779,1
53,868,-9.643844604,-3.565921783,1
53,884,-10.10471153,-5.785205841,1
53,900,-8.060459137,-3.992121696,1
53,916,-6.375639439,-4.366556168,1
53,932,-4.975605965,-1.439285874,1
53,948,-4.223655224,-0.6423976421,1
53,964,-4.527375698,-1.075917482,1
53,980,-5.138367653,-1.457909703,1
53,996,-4.883102417,-1.353559136,1
53,1012,-5.03490448,-1.461737394,1
53,1028,-5.867865562,-1.936126947,1
53,1044,NaN,NaN,2
53,1060,NaN,NaN,2
53,1076,-6.484089851,-1.816200256,1
53,1092,-5.831686974,-0.8566406965,1
53,1108,-5.327600002,-0.3895059824,1
53,1124,NaN,NaN,2
69,20,0.1205370426,0.116814971,1
69,36,-0.07404060662,0.02037847042,1
69,52,-0.1978927106,0.497236073,1
69,68,-0.9610637426,0.2974089384,1
69,84,NaN,NaN,2
69,100,-0.8836253881,0.1580491066,1
69,116,-0.04810380936,0.71973598,1
69,132,NaN,NaN,2
69,148,NaN,NaN,2
69,164,-4.762059689,0.4711332321,1
