PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 6, filenames: A:[6]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[7]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,-0.1465092301,-1.315912247,1
21,36,-0.4228944778,-0.4895402193,1
21,52,0.2069595456,0.5110521913,1
21,68,NaN,NaN,2
21,84,NaN,NaN,2
21,100,0.5245887041,0.9431192875,1
21,116,0.2834997773,0.5668712854,1
21,132,0.2158697844,1.942927241,1
21,148,NaN,NaN,2
21,164,NaN,NaN,2
21,180,NaN,NaN,2
21,196,NaN,NaN,2
21,212,-6.989433289,-10.44371796,1
21,228,-6.563591957,-9.873621941,1
21,244,NaN,NaN,2
21,260,NaN,NaN,2
21,276,-5.691484451,-5.79274559,1
21,292,-6.122190475,-5.592351913,1
21,308,-6.116280556,-6.128451347,1
21,324,-6.635696411,-6.616062164,1
21,340,-6.824639797,-7.457497597,1
21,356,-6.342364788,-8.327451706,1
21,372,-5.589036942,-8.188825607,1
21,388,-6.380497932,-8.050928116,1
21,404,-5.89846611,-5.717693329,1
21,420,-3.828382969,-5.738937855,1
21,436,-2.926356316,-6.673598289,1
21,452,NaN,NaN,2
21,468,-2.77589488,-9.776305199,1
21,484,-2.8574965,-6.94567585,1
21,500,-4.531161308,-6.997908115,1
21,516,-4.193527699,-8.781791687,1
21,532,-3.944982052,-8.147657394,1
21,548,NaN,NaN,2
21,564,NaN,NaN,2
21,580,NaN,NaN,2
21,596,-4.50906086,-3.507411718,1
21,612,-4.797973633,-4.706642628,1
21,628,-2.633569002,-5.068529129,1
21,644,-3.061421156,-4.705521584,1
21,660,NaN,NaN,2
21,676,NaN,NaN,2
21,692,-4.853193283,-5.787784576,1
21,708,-6.55527544,-6.142668724,1
21,724,-7.688067436,-6.836673737,1
21,740,-4.059815407,-5.701663017,1
21,756,-4.172747612,-4.512990952,1
21,772,-5.157398224,-2.294529676,1
21,788,-6.262816429,-3.675495863,1
21,804,NaN,NaN,2
21,820,-4.219444275,-3.605283737,1
21,836,-3.700674534,-3.833256721,1
21,852,-4.493406773,-1.252288818,1
21,868,-1.664486885,-1.54629159,1
21,884,NaN,NaN,2
21,900,NaN,NaN,2
21,916,NaN,NaN,2
21,932,-0.8920958042,-5.344861984,1
21,948,-1.482936859,-5.818932533,1
21,964,-1.603971124,-5.154913902,1
21,980,-1.787908673,-4.22319746,1
21,996,-1.180474758,-2.889240742,1
21,1012,NaN,NaN,2
21,1028,-1.418365836,-3.215487957,1
21,1044,-0.9562420845,-3.536770821,1
21,1060,NaN,NaN,2
21,1076,-1.538378716,-1.650024652,1
21,1092,-1.332052469,-1.453501225,1
21,1108,NaN,NaN,2
21,1124,NaN,NaN,2
37,20,0.005891472101,1.355382204,1
37,36,-0.4058352709,0.2069981694,1
37,52,-0.03324721754,-0.2407552898,1
37,68,-0.1547773927,-0.1860948503,1
37,84,0.391369909,-0.4197426438,1
37,100,1.000301838,0.112142086,1
37,116,0.9546821117,0.641824007,1
37,132,-0.4661471844,0.1024844646,1
37,148,NaN,NaN,2
37,164,NaN,NaN,2
37,180,-4.090040684,-8.07462883,1
37,196,-3.692875385,-9.316405296,1
37,212,-5.587817192,-9.940516472,1
37,228,-6.106757641,-9.430538177,1
37,244,-5.951218128,-7.247400761,1
37,260,-5.018448353,-5.529651165,1
37,276,-5.459651947,-6.630970955,1
37,292,-5.885575294,-6.942721844,1
37,308,-6.109950542,-6.881011009,1
37,324,-6.372641563,-5.929397106,1
37,340,-6.66968298,-7.274412155,1
37,356,NaN,NaN,2
37,372,NaN,NaN,2
37,388,-5.295358181,-7.799129486,1
37,404,-4.704670906,-7.042408466,1
37,420,-3.1968925,-6.772622585,1
37,436,-2.425942183,-7.727924347,1
37,452,-2.677023411,-7.556397438,1
37,468,-3.077578068,-7.897152901,1
37,484,-3.809211016,-8.218858719,1
37,500,-5.181735992,-9.033957481,1
37,516,-5.553837776,-9.368535995,1
37,532,-6.263328075,-8.51307869,1
37,548,NaN,NaN,2
37,564,-8.507465363,-5.191746235,1
37,580,-7.453498363,-4.509780884,1
37,596,-7.549738884,-3.758550644,1
37,612,-8.678310394,-3.871916533,1
37,628,NaN,NaN,2
37,644,-3.286928177,-3.714502573,1
37,660,-2.797488451,-4.295331001,1
37,676,-3.780063152,-4.606448174,1
37,692,-4.187782288,-4.855231285,1
37,708,-5.217747688,-4.372856617,1
37,724,-6.969252586,-4.142298698,1
37,740,-6.699241638,-3.162687063,1
37,756,-6.119775772,-2.724241972,1
37,772,-6.299334526,-2.134202242,1
37,788,-6.809128284,-2.724098206,1
37,804,NaN,NaN,2
37,820,-7.287240982,-2.578641891,1
37,836,-6.694121361,-2.932803869,1
37,852,-5.201815605,-3.390541077,1
37,868,-3.845208168,-2.610744476,1
37,884,-3.346942902,-2.975381613,1
37,900,NaN,NaN,2
37,916,-1.523926497,-3.38278842,1
37,932,-1.819547176,-4.753223419,1
37,948,NaN,NaN,2
37,964,NaN,NaN,2
37,980,-0.581946969,-3.423348427,1
37,996,-0.1759256124,-3.347810268,1
37,1012,-0.3024680018,-3.392519236,1
37,1028,-0.6968698502,-3.229159594,1
37,1044,-0.937201798,-3.605586767,1
37,1060,-1.120147705,-2.896908522,1
37,1076,-1.28291738,-2.481479168,1
37,1092,-1.278293133,-0.72397089,1
37,1108,-1.906889319,-1.32681942,1
37,1124,-1.543142796,-2.8760674,1
53,20,0.2921508551,1.186054707,1
53,36,0.3240943551,-0.1802750826,1
53,52,0.2464160323,-0.1062113568,1
53,68,-0.1619129181,0.1442862153,1
53,84,-0.3493494093,-0.391092658,1
53,100,0.4602051675,-0.7435663939,1
53,116,NaN,NaN,2
53,132,-5.428219795,0.1422381401,1
53,148,NaN,NaN,2
53,164,NaN,NaN,2
53,180,-2.99082303,-7.620651245,1
53,196,-3.290518999,-8.771335602,1
53,212,-3.978306293,-9.291236877,1
53,228,-5.04979372,-8.884262085,1
53,244,-5.429963112,-7.94113636,1
53,260,-5.332603455,-7.006064415,1
53,276,-4.905328751,-7.168994427,1
53,292,-5.481709957,-8.270172119,1
53,308,-6.406807423,-8.098955154,1
53,324,-6.475877762,-7.017121792,1
53,340,-6.596063614,-7.408940315,1
53,356,-6.305418968,-8.552751541,1
53,372,-5.700273514,-8.363236427,1
53,388,NaN,NaN,2
53,404,NaN,NaN,2
53,420,NaN,NaN,2
53,436,-3.265331507,-7.959607124,1
53,452,-3.950829506,-7.390946388,1
53,468,-4.398337841,-7.598496914,1
53,484,-5.633534431,-8.784594536,1
53,500,-5.091610909,-10.53045082,1
53,516,-4.820732117,-9.73585701,1
53,532,-5.651665688,-9.639964104,1
53,548,-6.306306362,-7.119109154,1
53,564,-6.48269558,-5.406128883,1
53,580,-6.875572205,-5.279572964,1
53,596,-8.472933769,-4.738361835,1
53,612,-9.161190033,-4.274717331,1
53,628,-6.551189423,-4.052893639,1
53,644,-4.496528625,-3.781718254,1
53,660,-2.530874252,-4.126812935,1
53,676,-2.524633169,-4.390144348,1
53,692,-4.254106522,-4.061859131,1
53,708,-5.0701437,-3.077201843,1
53,724,NaN,NaN,2
53,740,-4.786865711,-1.243847728,1
53,756,-4.679535866,-2.085308552,1
53,772,-3.997053623,-1.685050011,1
53,788,-3.422842026,-3.049740314,1
53,804,-5.798881531,-3.647246599,1
53,820,-7.780290604,-3.390565872,1
53,836,NaN,NaN,2
53,852,-4.907430649,-4.921452522,1
53,868,-3.883341789,-4.732112408,1
53,884,-3.344586849,-4.23654747,1
53,900,NaN,NaN,2
53,916,-2.030951262,-3.453014612,1
53,932,-2.168613911,-2.750477076,1
53,948,-1.320573926,-4.461454391,1
53,964,-0.8989946246,-3.263484955,1
53,980,-0.1659708023,-3.07503891,1
53,996,0.1060457826,-3.098484516,1
53,1012,0.05185288191,-3.428497791,1
53,1028,0.4221524298,-3.409818411,1
53,1044,-0.3061120212,-3.809995651,1
53,1060,-0.7848859429,-3.011083841,1
53,1076,-0.6835574508,-2.165293694,1
53,1092,-1.161381602,-2.128496408,1
53,1108,-1.496361375,-2.510480404,1
53,1124,NaN,NaN,2
69,20,-0.2643908858,0.8933234215,1
69,36,0.4121150672,1.01781559,1
69,52,0.5091216564,0.8432924747,1
69,68,0.2832427621,0.2786600888,1
69,84,0.1246508509,-0.1528809667,1
69,100,NaN,NaN,2
69,116,NaN,NaN,2
69,132,-7.278051376,-4.54729557,1
69,148,NaN,NaN,2
69,164,-2.358590364,-8.140575409,1
69,180,-2.932163239,-7.962878704,1
69,196,-3.26093626,-8.961123466,1
69,212,-4.028395653,-9.704797745,1
69,228,-5.09621048,-9.546242714,1
69,244,-5.320771217,-8.962580681,1
69,260,-5.899717808,-7.966780663,1
69,276,-6.04782486,-8.63920784,1
69,292,-5.705423832,-9.314141273,1
69,308,NaN,NaN,2
69,324,NaN,NaN,2
69,340,-6.470925331,-7.516450405,1
69,356,-6.319786549,-8.143167496,1
69,372,NaN,NaN,2
69,388,-6.208194733,-7.922829628,1
69,404,-4.769107819,-8.086660385,1
69,420,-4.354592323,-8.0927248,1
69,436,-5.02964592,-8.510365486,1
69,452,-4.551017284,-7.520925522,1
69,468,-5.250731945,-7.864868164,1
69,484,-5.79834938,-8.732125282,1
69,500,-4.558221817,-10.73817062,1
69,516,-4.300446033,-10.88241768,1
69,532,-5.625416756,-9.185721397,1
69,548,-7.677759171,-6.949414253,1
69,564,-5.721929073,-6.012793064,1
69,580,-5.228351593,-5.266989231,1
69,596,-6.24768877,-5.013538361,1
69,612,-5.219152451,-3.574837208,1
69,628,-4.676523685,-3.77286005,1
69,644,-5.166227818,-3.406424046,1
69,660,-3.106406212,-4.428779125,1
69,676,-2.398197651,-5.183333397,1
69,692,-3.085833073,-2.750290632,1
69,708,NaN,NaN,2
69,724,NaN,NaN,2
69,740,-3.848871708,-0.9836828709,1
69,756,-3.728444099,-1.966631889,1
69,772,-3.123650074,-2.415800571,1
69,788,-3.526561737,-4.091243744,1
69,804,-4.552693367,-5.366337776,1
69,820,-5.675592899,-5.680565834,1
69,836,-6.188797951,-5.009343624,1
69,852,NaN,NaN,2
69,868,NaN,NaN,2
69,884,-3.35671854,-5.087203026,1
69,900,NaN,NaN,2
69,916,NaN,NaN,2
69,932,-2.089025021,-2.277247667,1
69,948,-1.083910823,-2.494691133,1
69,964,-1.661220551,-2.522946358,1
