PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 93, filenames: A:[93]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[94]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,-0.0007743835449,-0.1820995212,1
21,52,-0.6274771094,0.137596786,1
21,68,NaN,NaN,2
21,84,NaN,NaN,2
21,100,NaN,NaN,2
21,116,-0.3281747997,0.1466411054,1
21,132,0.4113786817,0.05816841125,1
21,148,0.03260919452,0.152653873,1
21,164,-0.6385303736,-0.04483681917,1
21,180,-0.4254582524,-0.2960776389,1
21,196,0.1738366932,-0.4908075929,1
21,212,0.2066775113,-0.4990577102,1
21,228,-0.4420183301,-0.3240525424,1
21,244,-0.2010061443,-0.4805342555,1
21,260,0.6074681282,-0.6054896712,1
21,276,0.5027061701,-0.5155899525,1
21,292,0.4513401389,-0.2727206349,1
21,308,0.646907866,-0.3003724217,1
21,324,0.3724226952,-0.04276516289,1
21,340,0.2818877101,0.116991967,1
21,356,0.3601451814,-0.3326506019,1
21,372,0.04578113556,-0.1884959936,1
21,388,-0.007203221321,0.251648128,1
21,404,NaN,NaN,2
21,420,0.6432651281,1.140393496,1
21,436,0.1645376682,-0.0690267086,1
21,452,-0.2666995823,-0.400324285,1
21,468,-0.8004556894,-0.09108936787,1
21,484,-0.337457478,-0.3128089607,1
21,500,-0.3358979225,0.03821340203,1
21,516,-0.3369330764,0.09444494545,1
21,532,0.5167914629,0.1826370656,1
21,548,0.5405691862,0.2625188231,1
21,564,0.244753018,-0.161719054,1
21,580,0.2556815743,-0.3615697026,1
21,596,0.02060632408,-0.6830489635,1
21,612,-0.1967664361,-0.6053677797,1
21,628,-0.2069250643,-0.2335065305,1
21,644,-0.0438605547,-0.1235803962,1
21,660,-0.5672737956,0.05852648616,1
21,676,-0.6376926899,-0.03779838979,1
21,692,0.1106317937,0.3141178191,1
21,708,-0.1149668992,0.3724228144,1
21,724,0.1369908154,0.06962448359,1
21,740,0.2741019726,-0.003838509321,1
21,756,0.07235106826,0.144057259,1
21,772,-0.09363922477,0.02640727162,1
21,788,0.02921962738,-0.088665694,1
21,804,0.2425987422,-0.3699628413,1
21,820,0.1570045948,-0.07509547472,1
21,836,0.139318198,0.1918093562,1
21,852,0.1691098511,0.425144434,1
21,868,0.1478311121,0.2655800283,1
21,884,0.007089793682,-0.0377132073,1
21,900,-0.1093512028,0.09196203202,1
21,916,-0.1455844343,0.1683910191,1
21,932,-0.1419192702,-0.2996281981,1
21,948,-0.09523290396,-0.5721622705,1
21,964,-0.1699981689,-0.2256988287,1
21,980,0.1415051669,-0.5306470394,1
21,996,0.01549875736,-0.3646779656,1
21,1012,-0.0403457284,-0.03027424961,1
21,1028,-0.5791748166,0.4038749933,1
21,1044,-0.4770333767,0.6111658216,1
21,1060,-0.2274803519,0.05292317271,1
21,1076,-0.5767945051,-0.2670101821,1
21,1092,-0.5945512056,-0.06627112627,1
21,1108,-0.6981446743,-0.120752275,1
21,1124,-0.5006625652,0.03753340244,1
37,20,0.3248952031,-0.1839330196,1
37,36,-0.03199355304,-0.4245286584,1
37,52,NaN,NaN,2
37,68,NaN,NaN,2
37,84,0.1361322403,0.3155400157,1
37,100,-0.3018075228,0.3315790892,1
37,116,-0.3916087151,0.2271890789,1
37,132,-0.1745853424,-0.1087260172,1
37,148,-0.233211875,-0.03112135828,1
37,164,0.1604324281,0.2128716111,1
37,180,0.1378266066,0.1324200481,1
37,196,-0.3146467805,0.1357993484,1
37,212,-0.2305122614,0.4751204848,1
37,228,-0.5550609827,0.03514217585,1
37,244,-0.5799554586,-0.5002271533,1
37,260,NaN,NaN,2
37,276,0.1694886088,-0.05429434776,1
37,292,0.5059583187,-0.07526725531,1
37,308,0.4921919107,0.06412865222,1
37,324,0.2364725769,0.1267793626,1
37,340,-0.1499761939,0.1125197411,1
37,356,-0.03566762805,-0.3174190521,1
37,372,0.1171464175,-0.1789833009,1
37,388,0.2149180472,0.2449990064,1
37,404,0.7672655582,0.7397968769,1
37,420,0.4353845119,0.702075243,1
37,436,0.1214828491,0.3064848781,1
37,452,-0.08091987669,-0.04363423586,1
37,468,-0.2670750022,0.03949052095,1
