PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 2, filenames: A:[2]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[3]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,0.3632743955,0.4345849752,1
21,36,0.7123481035,0.5628768206,1
21,52,0.2314446867,-0.3302198052,1
21,68,-0.2498205006,-0.3523824811,1
21,84,-0.08443802595,-0.1738533378,1
21,100,-0.2582014799,-0.2902228832,1
21,116,-0.2794910669,-0.165696606,1
21,132,-0.1069893837,0.20080778,1
21,148,-0.7719055414,0.5609265566,1
21,164,-1.216572523,0.7334382534,1
21,180,-0.5722322464,0.2241338491,1
21,196,NaN,NaN,2
21,212,NaN,NaN,2
21,228,NaN,NaN,2
21,244,NaN,NaN,2
21,260,12.31784344,10.99049759,1
21,276,7.948784828,11.3127718,1
21,292,15.78690147,7.927090645,1
21,308,18.43009186,5.714891434,1
21,324,16.4543705,1.284595251,1
21,340,NaN,NaN,2
21,356,NaN,NaN,2
21,372,NaN,NaN,2
21,388,14.23608971,1.941029191,1
21,404,8.351347923,0.6214456558,1
21,420,6.413176537,0.05826604366,1
21,436,3.613290787,-1.179574966,1
21,452,NaN,NaN,2
21,468,NaN,NaN,2
21,484,7.744257927,-0.6182784438,1
21,500,10.75616932,-0.6977422237,1
21,516,NaN,NaN,2
21,532,16.65036201,-1.199029684,1
21,548,NaN,NaN,2
21,564,NaN,NaN,2
21,580,NaN,NaN,2
21,596,5.278979301,0.01895593107,1
21,612,0.3372392654,-0.4257062674,1
21,628,1.741196632,0.3653593063,1
21,644,1.572313309,1.306092024,1
21,660,0.4541268349,0.4778457582,1
21,676,1.959086418,-0.3842314482,1
21,692,NaN,NaN,2
21,708,NaN,NaN,2
21,724,1.3486377,0.03242442012,1
21,740,3.088976383,-0.4028626084,1
21,756,1.94129467,0.06958782673,1
21,772,1.312140465,-1.186061859,1
21,788,2.475086927,-2.934518576,1
21,804,3.267082214,-2.769984722,1
21,820,3.548368454,-2.12581706,1
21,836,3.880035162,-2.579026937,1
21,852,4.444123745,-2.383672476,1
21,868,4.323455811,-1.05723834,1
21,884,5.552012444,-1.575940013,1
21,900,6.067281723,-1.695075631,1
21,916,5.068738937,-1.419720531,1
21,932,7.355026245,-0.5005635619,1
21,948,NaN,NaN,2
21,964,9.442386627,-4.091750622,1
21,980,NaN,NaN,2
21,996,4.860451221,-1.407102346,1
21,1012,2.085176945,-1.29925406,1
21,1028,NaN,NaN,2
21,1044,-2.52140975,-1.515844941,1
21,1060,-0.1288907528,-3.017025948,1
21,1076,NaN,NaN,2
21,1092,-3.206272125,-1.914850473,1
21,1108,NaN,NaN,2
21,1124,NaN,NaN,2
37,20,0.08159194887,0.8622749448,1
37,36,NaN,NaN,2
37,52,0.268138051,0.07332454622,1
37,68,0.4610456228,0.009823273867,1
37,84,0.9429400563,-0.7658336163,1
37,100,NaN,NaN,2
37,116,-0.5823107958,-0.05312969908,1
37,132,-0.5979263186,-0.1130185276,1
37,148,-0.5069720745,-0.10801626,1
37,164,-0.6598086357,0.06419067085,1
37,180,-0.9226919413,-0.7437470555,1
37,196,-0.1487175822,-0.2890722454,1
37,212,1.075721383,-0.2709830999,1
37,228,NaN,NaN,2
37,244,1.491093636,0.638979733,1
37,260,4.162721634,8.202529907,1
37,276,NaN,NaN,2
37,292,8.731095314,7.526938915,1
37,308,NaN,NaN,2
37,324,14.89227676,1.986037016,1
37,340,17.61255455,2.14665699,1
37,356,17.72461891,2.205344915,1
37,372,16.5833168,3.492111206,1
37,388,NaN,NaN,2
37,404,6.314248085,0.5632853508,1
37,420,6.743914127,0.4842051864,1
37,436,4.953792095,0.1264866143,1
37,452,NaN,NaN,2
37,468,3.502238274,-2.279808521,1
37,484,5.320953369,-1.045614123,1
37,500,9.274784088,-0.3855304718,1
37,516,12.5812149,-0.9539959431,1
37,532,12.18558502,-0.891957283,1
37,548,NaN,NaN,2
37,564,NaN,NaN,2
37,580,NaN,NaN,2
37,596,4.093763351,0.5549836159,1
37,612,3.627511024,0.391202122,1
37,628,4.315494061,0.3709858656,1
37,644,2.661715746,0.4681628346,1
37,660,-0.2799026966,-1.588164806,1
37,676,-1.633683324,-0.4734170437,1
37,692,-0.4143698215,-0.538433671,1
37,708,1.139191508,0.3154281676,1
37,724,2.527850628,0.1300381124,1
37,740,2.907228708,-0.299762249,1
37,756,2.417375565,-0.1052392721,1
37,772,1.948766708,-1.150109887,1
37,788,2.100170135,-2.96976614,1
37,804,2.877064705,-2.50555706,1
37,820,3.78280735,-2.07871151,1
37,836,2.692042351,-1.917068839,1
37,852,2.42152667,-1.85460043,1
37,868,2.18031621,-2.125085592,1
37,884,4.083719254,-1.642944455,1
37,900,5.052919865,-1.822901726,1
37,916,3.722156525,-1.472450137,1
37,932,NaN,NaN,2
37,948,NaN,NaN,2
37,964,10.6056776,-1.187632918,1
37,980,NaN,NaN,2
37,996,NaN,NaN,2
37,1012,3.412482977,-2.493440151,1
37,1028,1.010715246,-1.067582726,1
37,1044,NaN,NaN,2
37,1060,-0.9636325836,-1.357362032,1
37,1076,-0.3730957508,-1.399935484,1
37,1092,-1.778470397,-1.235187769,1
37,1108,NaN,NaN,2
37,1124,NaN,NaN,2
53,20,-0.8307228088,-0.1273993999,1
53,36,-0.3009655476,0.2408202589,1
53,52,0.05531923473,0.3806596398,1
53,68,0.6073964238,-0.05473668873,1
53,84,0.9451864362,-0.4116539657,1
53,100,0.2790338397,-0.007316946983,1
53,116,-0.1423121244,0.2344354838,1
53,132,-0.5864749551,-0.2531011403,1
53,148,NaN,NaN,2
53,164,-0.1693950593,0.2065053731,1
53,180,-0.2141019106,0.3718413413,1
53,196,-0.2296949625,-0.1827409267,1
53,212,-0.4135682583,-0.1392089725,1
53,228,6.989892006,-0.2829267383,1
53,244,2.936086416,5.889322281,1
53,260,1.181186199,6.149092674,1
53,276,-3.138721228,-1.3811903,1
53,292,8.25301075,6.048360348,1
53,308,11.88863564,2.956968784,1
53,324,14.32342052,3.572601318,1
53,340,NaN,NaN,2
53,356,15.53943825,1.941884995,1
53,372,16.24652672,1.600523114,1
53,388,14.48262119,0.6039814949,1
53,404,8.534426689,-0.4142211974,1
53,420,6.944974422,0.06269261241,1
53,436,6.495803356,0.03881185502,1
53,452,NaN,NaN,2
53,468,NaN,NaN,2
53,484,6.207677841,-1.539991021,1
53,500,9.026370049,-0.252160728,1
53,516,9.59479332,-0.3001406193,1
53,532,7.51683569,-0.8600105047,1
53,548,5.248069763,-0.9264752865,1
53,564,2.53687191,-2.167810917,1
53,580,1.557316542,-1.392701745,1
53,596,3.184325457,0.07943092287,1
53,612,5.277245522,0.4914166033,1
53,628,5.387809753,0.2184914649,1
53,644,3.144258499,-0.1589752436,1
53,660,NaN,NaN,2
53,676,0.1320626736,-0.1835540235,1
53,692,0.3266339302,-1.010171533,1
53,708,2.732438564,0.5756689906,1
53,724,NaN,NaN,2
53,740,NaN,NaN,2
53,756,1.764463544,-0.7199344635,1
53,772,1.342991233,-1.821267128,1
53,788,2.38996315,-3.395111084,1
53,804,NaN,NaN,2
53,820,2.349367619,-1.185370922,1
53,836,0.6766937971,-2.215531349,1
53,852,0.8571552038,-2.541090727,1
53,868,NaN,NaN,2
53,884,3.280887365,-1.694246531,1
53,900,5.457791328,-2.122455835,1
53,916,4.629266739,-1.89847064,1
53,932,9.462675095,0.03090500832,1
53,948,8.906528473,-3.004641533,1
53,964,NaN,NaN,2
53,980,6.322441101,-3.234432459,1
53,996,NaN,NaN,2
53,1012,5.344124794,-3.961553335,1
53,1028,2.636595726,-0.7299423218,1
53,1044,0.4811466932,0.02089333534,1
53,1060,-1.075384378,-1.067988992,1
53,1076,-1.432777047,-0.9921027422,1
53,1092,-1.24135828,0.0760653019,1
53,1108,-1.933358669,-1.391596317,1
53,1124,NaN,NaN,2
69,20,-0.5226323605,-0.04719537497,1
69,36,0.3678278029,-0.2121934444,1
69,52,0.6013205051,-0.3270626068,1
69,68,-0.1981631815,0.1928234994,1
69,84,0.2405219227,0.1620391011,1
69,100,0.8601859808,0.5938623548,1
69,116,NaN,NaN,2
69,132,-0.02954104543,0.1521881819,1
69,148,-0.17446661,-0.1536428034,1
69,164,-0.1665963829,0.4027261436,1
69,180,-0.158311516,0.1915871203,1
69,196,-0.355573535,-0.4486629367,1
69,212,-0.4177242517,-0.7772972584,1
69,228,0.8822801709,-0.302788198,1
69,244,7.875519276,-1.277344704,1
69,260,-2.615010023,-2.267582417,1
69,276,2.197484732,-9.928430557,1
69,292,NaN,NaN,2
69,308,13.95856285,7.369949818,1
69,324,13.45868874,4.342544556,1
69,340,12.73902225,2.688884497,1
69,356,NaN,NaN,2
69,372,NaN,NaN,2
69,388,12.14169693,0.4422388673,1
69,404,8.959103584,-0.2609488964,1
69,420,NaN,NaN,2
69,436,5.809159756,-0.4447476566,1
69,452,NaN,NaN,2
69,468,7.263881207,-0.982180059,1
69,484,7.969849586,-0.735860467,1
69,500,8.023097992,-0.01591292024,1
69,516,7.186315536,0.7252393365,1
69,532,6.112857819,-0.3835900128,1
69,548,NaN,NaN,2
69,564,1.160707951,-0.4168170094,1
69,580,4.210941792,0.1177286506,1
69,596,5.538395405,-0.3082500994,1
69,612,1.586331367,-0.7600784898,1
69,628,5.226254463,-0.4351481199,1
69,644,NaN,NaN,2
69,660,NaN,NaN,2
69,676,NaN,NaN,2
69,692,5.681512833,0.4053601623,1
69,708,6.726859093,0.535420835,1
69,724,NaN,NaN,2
69,740,2.229024887,0.2380168438,1
69,756,0.3933954239,-2.02226162,1
69,772,0.505142808,-2.749116182,1
69,788,0.5181775093,-4.476613045,1
69,804,NaN,NaN,2
69,820,-2.595880508,-3.213830471,1
69,836,-0.682672143,-2.591681957,1
69,852,-1.226195335,-1.827846527,1
69,868,0.2949090004,-1.377347112,1
69,884,1.71015954,-1.569747925,1
69,900,2.59895134,-1.837524652,1
69,916,4.41625452,-2.14187336,1
69,932,0.9855303168,-0.781860292,1
69,948,NaN,NaN,2
69,964,10.11623478,-1.391559601,1
69,980,NaN,NaN,2
69,996,NaN,NaN,2
69,1012,6.281943321,-2.741582155,1
69,1028,5.702768326,-2.392611027,1
69,1044,1.15879178,-1.469826579,1
69,1060,NaN,NaN,2
69,1076,-1.831875086,-1.257549405,1
69,1092,-1.544643044,-0.8618909717,1
69,1108,-1.454035521,-1.31840694,1
69,1124,NaN,NaN,2
85,20,-0.1325607598,0.3063735068,1
85,36,0.150130406,-0.1084028333,1
85,52,-0.02615781128,-0.5648664236,1
85,68,-0.1669991612,0.06436105072,1
85,84,0.2566033304,0.05017243326,1
85,100,0.6148769855,0.2229851335,1
85,116,0.1719759107,0.4534357786,1
85,132,-0.1539584547,0.5047243834,1
85,148,0.09166270494,0.4258061647,1
85,164,-0.1899751425,0.4841060042,1
85,180,-0.06867536902,0.08522282541,1
85,196,0.4153778553,-0.3791922927,1
85,212,2.472095251,0.4048866928,1
85,228,4.070622444,2.121146202,1
85,244,-4.429214478,-1.13007164,1
85,260,-0.001482486725,-2.194677114,1
85,276,NaN,NaN,2
85,292,NaN,NaN,2
85,308,13.00481892,5.469438553,1
85,324,13.59973907,6.166947365,1
85,340,12.07794285,4.706404209,1
85,356,NaN,NaN,2
85,372,NaN,NaN,2
85,388,13.19501495,1.501976728,1
85,404,11.80837536,0.3660490513,1
85,420,8.57240963,-0.03617013991,1
85,436,8.127109528,-0.3374097347,1
85,452,8.121259689,-2.823808908,1
85,468,8.231822014,-1.674533725,1
85,484,8.407988548,-0.183924228,1
85,500,7.884129047,0.04858240858,1
85,516,9.815767288,0.9376144409,1
85,532,11.1762085,-0.2227395177,1
85,548,6.554569244,-0.639216423,1
85,564,NaN,NaN,2
85,580,5.043694019,-2.733468056,1
85,596,NaN,NaN,2
85,612,-4.658345222,-0.8652441502,1
85,628,NaN,NaN,2
85,644,7.537777901,3.994148016,1
85,660,3.688682318,6.005921364,1
85,676,8.630251884,-7.531157494,1
85,692,7.319085121,-0.3860518336,1
85,708,8.292982101,0.1686676741,1
85,724,5.498867035,0.4252332449,1
85,740,1.815771699,-1.702257872,1
85,756,NaN,NaN,2
85,772,-0.8435050249,-3.921922207,1
85,788,-1.338107347,-5.412662983,1
85,804,NaN,NaN,2
85,820,-0.1520693302,-2.727962017,1
85,836,-1.19866395,-1.705424428,1
85,852,-1.657018185,-1.352697015,1
85,868,0.09273383021,-0.2232584953,1
85,884,0.6643821001,-1.715740681,1
85,900,1.479035258,-1.674834728,1
85,916,NaN,NaN,2
85,932,1.666064262,-1.140552044,1
85,948,NaN,NaN,2
85,964,10.45921516,0.2075413465,1
85,980,NaN,NaN,2
85,996,NaN,NaN,2
85,1012,NaN,NaN,2
85,1028,5.027709007,-2.035373688,1
85,1044,2.776435614,-2.27335453,1
85,1060,1.351292014,-2.525327682,1
85,1076,-1.46754849,-0.7370932102,1
85,1092,-1.440405846,-1.153286695,1
85,1108,-1.314779401,-1.622792602,1
85,1124,NaN,NaN,2
101,20,0.169092834,0.4914213717,1
101,36,-0.1402714401,0.0763097778,1
101,52,-0.3040033281,-0.2654663026,1
101,68,0.1469417512,-0.1581778526,1
101,84,0.3568097949,0.06151140481,1
101,100,0.4703103602,0.4692510962,1
101,116,0.2098883539,0.4059611559,1
101,132,0.166680038,0.1466882229,1
101,148,NaN,NaN,2
101,164,NaN,NaN,2
101,180,NaN,NaN,2
101,196,1.223310709,-4.517290592,1
101,212,5.596853256,1.880412221,1
101,228,8.1553545,4.985980511,1
101,244,NaN,NaN,2
101,260,7.75655365,5.786588669,1
101,276,12.21677589,1.481141567,1
101,292,15.93967056,4.955049515,1
101,308,16.04100609,6.040279865,1
101,324,13.81537724,6.614899635,1
101,340,12.986063,5.097006321,1
101,356,11.60319519,4.024469376,1
101,372,11.44574451,2.973515511,1
101,388,13.59922314,2.051651955,1
101,404,10.77644444,1.023918509,1
101,420,9.262392998,0.5978760719,1
101,436,9.170438766,1.254977584,1
101,452,8.975074768,-0.9627318978,1
101,468,9.326939583,-1.798551798,1
101,484,9.478540421,0.0945674479,1
101,500,8.449769974,0.3069611192,1
101,516,NaN,NaN,2
101,532,NaN,NaN,2
101,548,3.944503784,-1.788932085,1
101,564,NaN,NaN,2
101,580,NaN,NaN,2
101,596,NaN,NaN,2
101,612,NaN,NaN,2
101,628,NaN,NaN,2
101,644,9.787831306,1.832215309,1
101,660,7.997986794,-7.974204063,1
101,676,7.79369545,4.007823944,1
101,692,5.405038834,8.188211441,1
101,708,4.447499752,-0.7686071396,1
101,724,5.586717606,-1.343058825,1
101,740,3.34911871,-2.926705837,1
101,756,-0.05085456371,-5.385545731,1
101,772,-0.592734158,-3.921929359,1
101,788,-0.9782619476,-5.987402916,1
101,804,-1.796350718,-5.423162937,1
101,820,-1.061621189,-2.395079613,1
101,836,-1.542368293,-1.426808238,1
101,852,-2.307366371,-1.124563098,1
101,868,-0.1680677533,-0.8947235346,1
101,884,0.3082079887,-2.31505847,1
101,900,0.9725093842,-1.792481184,1
101,916,1.59557569,-2.820459843,1
101,932,NaN,NaN,2
101,948,NaN,NaN,2
101,964,4.699846268,-1.022290111,1
101,980,4.946851254,-1.455375671,1
101,996,5.809927464,-0.04386854172,1
101,1012,NaN,NaN,2
101,1028,2.847255945,-0.715564847,1
101,1044,3.921847343,-2.539842367,1
101,1060,2.53828311,-3.048461437,1
101,1076,0.7068219185,-1.793508768,1
101,1092,NaN,NaN,2
101,1108,NaN,NaN,2
101,1124,-1.649595737,-2.1128757,1
117,20,NaN,NaN,2
117,36,0.1578833312,-0.1108264104,1
117,52,0.3234354854,-0.4752919078,1
117,68,0.2024192512,-0.06603575498,1
117,84,NaN,NaN,2
117,100,-0.05852488801,0.2294334173,1
117,116,-0.04496326298,-0.004682645202,1
117,132,0.2353816628,-0.2828065753,1
117,148,0.1990152001,0.3024425805,1
117,164,NaN,NaN,2
117,180,NaN,NaN,2
117,196,10.45860481,0.242250368,1
117,212,13.62699509,-0.3733801246,1
117,228,12.82328415,4.100927353,1
117,244,10.55554581,5.58176136,1
117,260,9.620162964,5.922673225,1
117,276,10.66236305,2.841646194,1
117,292,14.08512974,10.10121155,1
117,308,17.05739212,10.48750877,1
117,324,16.37364388,4.265732765,1
117,340,15.0573101,5.186903954,1
117,356,13.8559761,4.754542351,1
117,372,12.970541,3.890735149,1
117,388,10.10669518,5.832839489,1
117,404,NaN,NaN,2
117,420,9.366845131,3.484972715,1
117,436,9.424539566,1.492460132,1
117,452,9.875617027,0.0183166489,1
117,468,NaN,NaN,2
117,484,NaN,NaN,2
117,500,NaN,NaN,2
117,516,NaN,NaN,2
117,532,NaN,NaN,2
117,548,0.2230234146,-3.222299576,1
117,564,-0.9834474325,-3.449511528,1
117,580,-1.41703248,-3.221322298,1
117,596,1.731919765,-2.623669624,1
117,612,1.234854341,-2.923306227,1
