PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 39, filenames: A:[39]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[40]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
53,324,1.060796976,-3.388785124,1
53,340,1.27194047,-4.244203568,1
53,356,0.2378999591,-4.404719353,1
53,372,-0.1502125859,-4.197439194,1
53,388,0.4532371759,-2.355865955,1
53,404,0.4338930845,-1.009499431,1
53,420,-0.1889216155,-0.7615813017,1
53,436,-0.3879513144,-1.326074362,1
53,452,-0.9516207576,-1.85236001,1
53,468,-1.045361161,-1.929210305,1
53,484,-0.3266610503,-1.921940565,1
53,500,-0.4594546556,-0.3144410253,1
53,516,0.1707543284,-1.418935299,1
53,532,0.689360261,-2.048730612,1
53,548,0.9815134406,-1.70527041,1
53,564,-0.09521621466,-1.270354867,1
53,580,-0.2879920006,-2.0881567,1
53,596,-0.1477330923,-3.177410603,1
53,612,NaN,NaN,2
53,628,-2.410741329,-3.50150919,1
53,644,1.372946501,-3.283690929,1
53,660,1.186747551,-0.123950243,1
53,676,NaN,NaN,2
53,692,1.017828465,0.08504810929,1
53,708,0.9697625637,-0.5594114065,1
53,724,NaN,NaN,2
53,740,-0.2265937626,-2.189995766,1
53,756,NaN,NaN,2
53,772,NaN,NaN,2
53,788,-1.890070319,-0.1527113467,1
53,804,-1.128938079,-0.9723157883,1
53,820,0.4305927753,-1.759808064,1
53,836,-0.8341332674,-0.1915850788,1
53,852,-1.225489259,0.3407549262,1
53,868,0.006818950176,1.359754562,1
53,884,NaN,NaN,2
53,900,NaN,NaN,2
53,916,NaN,NaN,2
53,932,0.4859149456,0.1315539479,1
53,948,0.9071088433,-0.03185781837,1
53,964,1.93989253,-0.8833407164,1
53,980,3.352738142,-0.176592052,1
53,996,2.851447821,0.5595501065,1
53,1012,2.397036552,-1.58964777,1
53,1028,NaN,NaN,2
53,1044,1.215085506,-2.2105124,1
53,1060,0.6891596317,-0.8829052448,1
53,1076,0.3087879419,-0.2472603321,1
53,1092,-0.4508590996,0.7985744476,1
53,1108,-2.220110655,2.244088173,1
53,1124,-2.378606796,0.6335812807,1
69,20,0.1556290686,-0.2271237969,1
69,36,0.07706042379,0.08349727839,1
69,52,-0.01354585215,-0.05837915093,1
69,68,-0.0827897191,-0.5333321095,1
69,84,-0.1332437098,-0.3702214956,1
69,100,-0.4009665251,-0.164432019,1
69,116,-0.1359031498,0.008338496089,1
69,132,0.4537422359,-0.09490881115,1
69,148,0.06209683418,-0.4079013169,1
69,164,-0.3489055037,-0.07793539762,1
69,180,0.1681264043,-0.5877799988,1
69,196,0.8125653267,-2.390245199,1
69,212,1.031578779,-3.853649139,1
69,228,NaN,NaN,2
69,244,0.7768352032,-2.271477222,1
69,260,0.2877974212,-1.97252214,1
69,276,0.7083520889,-1.511329055,1
69,292,0.6746612191,-0.8422494531,1
69,308,0.3617571592,-1.759334922,1
69,324,0.3146066666,-3.004577637,1
69,340,0.3700861931,-4.265324593,1
69,356,-0.4154123664,-4.952736855,1
69,372,NaN,NaN,2
69,388,-0.1036379039,-2.349710941,1
69,404,-0.06310664117,-1.453981876,1
69,420,-0.5305900574,-1.180000782,1
69,436,-0.927552104,-1.596482754,1
69,452,NaN,NaN,2
69,468,-2.597395182,-2.211237431,1
69,484,-0.2823832631,-3.268292904,1
69,500,-0.4943629503,-1.065966606,1
69,516,0.02980647981,-1.584288955,1
69,532,0.07516489923,-1.628333092,1
69,548,-0.3000738621,-1.299048901,1
69,564,-0.6692978144,-1.419950128,1
69,580,-3.543081045,-2.483093023,1
69,596,-3.168272018,-2.974776983,1
69,612,-4.359652519,-2.190276623,1
69,628,-4.133657932,-0.8794391155,1
69,644,NaN,NaN,2
69,660,NaN,NaN,2
69,676,0.6080602407,0.6177394986,1
69,692,0.6523025036,0.01537579298,1
69,708,0.3551867604,0.1407318115,1
69,724,-0.1611534357,-0.5792527795,1
69,740,-0.7621281147,-2.807594299,1
69,756,-0.267403543,0.0260232389,1
69,772,NaN,NaN,2
69,788,-0.1369024515,1.345006585,1
69,804,NaN,NaN,2
69,820,-0.5508100986,-2.37209034,1
69,836,NaN,NaN,2
69,852,-0.1740383208,-0.2283421457,1
69,868,0.4849302769,0.2885835767,1
69,884,1.019200087,0.4708670378,1
69,900,1.045663118,1.326088428,1
69,916,NaN,NaN,2
69,932,0.7571560144,0.4054790437,1
69,948,1.386048913,0.2534601092,1
69,964,1.399967551,-1.501694083,1
69,980,2.739984751,-1.207924962,1
69,996,2.785006046,-0.2801539898,1
69,1012,1.589810848,-0.5776937604,1
69,1028,2.080802917,-0.3842939138,1
69,1044,1.472173214,0.2821417451,1
69,1060,0.5125209093,0.354888916,1
69,1076,0.3688294888,0.2197985649,1
69,1092,-0.5135641098,0.6419543624,1
69,1108,NaN,NaN,2
69,1124,-2.488979816,2.434430838,1
85,20,0.4134690464,-0.4907736182,1
85,36,-0.09618018568,-0.08151995391,1
85,52,-0.136465013,0.01322822273,1
85,68,-0.0406948179,-0.1137778014,1
85,84,0.07360712439,-0.351457119,1
85,100,-0.02800497785,-0.04687397182,1
85,116,-0.3446841836,0.1844187081,1
85,132,0.0252276957,0.1036829948,1
85,148,0.2637185454,0.009574569762,1
85,164,0.1569544673,-0.08684951067,1
85,180,1.655424833,-1.525698423,1
85,196,1.492026925,-2.316011429,1
85,212,1.332654357,-3.161536932,1
85,228,1.003550172,-3.077889919,1
85,244,0.6943571568,-2.750366449,1
85,260,0.5511859655,-2.155858994,1
85,276,0.9050088525,-1.103323817,1
85,292,NaN,NaN,2
85,308,1.321337938,-1.412682533,1
85,324,1.160814404,-2.362294912,1
85,340,0.6068485975,-4.38507843,1
85,356,0.4769393206,-3.905550241,1
85,372,0.6697802544,-2.723958492,1
85,388,0.3771455884,-1.479765177,1
85,404,0.3219861388,-1.212466478,1
85,420,0.1215937883,-1.710160851,1
85,436,-1.014575481,-1.904490352,1
85,452,-2.122560024,-2.535305023,1
85,468,-1.411290884,-2.477444172,1
85,484,-1.310742855,-2.569096327,1
85,500,-0.800051868,-2.081064224,1
85,516,-0.3449281454,-1.838290453,1
85,532,-0.1814055145,-1.814744353,1
85,548,NaN,NaN,2
85,564,NaN,NaN,2
85,580,-2.804960012,-1.571157694,1
85,596,-3.81495285,-2.084061146,1
85,612,NaN,NaN,2
85,628,NaN,NaN,2
85,644,NaN,NaN,2
85,660,NaN,NaN,2
85,676,1.156793356,-0.06347692013,1
85,692,0.7727513313,-0.4016056359,1
85,708,0.3990027905,-0.3176015615,1
85,724,-1.010968208,-0.4372912645,1
85,740,NaN,NaN,2
85,756,-0.7129394412,-0.6052405238,1
85,772,-0.8165176511,3.72191453,1
85,788,-2.219329357,-0.1781888008,1
85,804,-0.3262879848,2.022631407,1
85,820,NaN,NaN,2
85,836,NaN,NaN,2
85,852,0.3611453772,-0.6617897749,1
85,868,0.8153315187,-0.02645178139,1
85,884,1.005468011,-0.03077098727,1
85,900,NaN,NaN,2
85,916,NaN,NaN,2
85,932,NaN,NaN,2
85,948,2.031854391,-0.6071037054,1
85,964,NaN,NaN,2
85,980,NaN,NaN,2
85,996,1.577936888,-2.079008579,1
85,1012,2.017450333,0.9995539188,1
85,1028,1.65621841,1.131093502,1
85,1044,0.7987052798,1.258996844,1
85,1060,0.3435168564,0.9124759436,1
85,1076,NaN,NaN,2
85,1092,1.187933207,1.400966167,1
85,1108,-0.05913627893,1.494283795,1
85,1124,0.5772436857,1.963078022,1
101,20,0.08804810047,0.08410201967,1
101,36,-0.3977410495,0.1538117975,1
101,52,-0.629907012,0.09830736369,1
101,68,-0.5082911849,0.0824573189,1
101,84,0.04675541818,-0.1172173247,1
101,100,-0.04785529524,0.1956118047,1
101,116,-0.07656219602,0.5296817422,1
101,132,0.1155796796,0.2337272167,1
101,148,0.04826702923,0.0829782784,1
101,164,0.4803673029,-1.134152055,1
101,180,1.333411455,-2.220633984,1
101,196,2.609496355,-3.630254269,1
101,212,1.845007658,-2.930479527,1
101,228,1.508353949,-3.105552197,1
101,244,1.495631814,-3.037600517,1
101,260,0.9999585152,-2.354748726,1
101,276,0.6737155914,-1.295150518,1
101,292,1.281416178,-0.5690046549,1
101,308,1.635305166,-0.645080924,1
101,324,1.759369373,-2.627838373,1
101,340,1.697472334,-3.463003159,1
101,356,1.739434123,-2.106715679,1
101,372,0.5754890442,-0.8556108475,1
101,388,1.164554238,-1.675908446,1
101,404,1.033594012,-2.222197771,1
101,420,0.3843808174,-2.591198683,1
101,436,NaN,NaN,2
101,452,NaN,NaN,2
101,468,-0.5823154449,-2.264443874,1
101,484,-0.176476419,-2.189090967,1
101,500,-0.331538856,-2.622154236,1
101,516,0.5480333567,-2.236470938,1
101,532,0.4040838778,-2.138411999,1
101,548,-0.7930704355,-1.033183098,1
101,564,NaN,NaN,2
101,580,2.7240417,-0.1477282047,1
101,596,NaN,NaN,2
101,612,-3.163575888,0.1900319457,1
101,628,-0.7341405749,-0.4713928699,1
101,644,NaN,NaN,2
101,660,2.05405426,0.05341018736,1
101,676,0.5342456102,0.6886306405,1
101,692,-0.008410394192,-0.1433613896,1
101,708,-0.3464775681,-0.2719902992,1
101,724,-0.6853083372,-0.4536649585,1
101,740,-0.4642273188,-0.8856328726,1
101,756,0.3834809065,-1.983348608,1
101,772,-2.433078289,-2.059468746,1
101,788,NaN,NaN,2
101,804,NaN,NaN,2
101,820,-0.16295591,-0.2126834095,1
101,836,0.2124037743,-0.1640121043,1
101,852,1.441558838,-0.5256316662,1
101,868,1.792174697,-0.1838207692,1
101,884,2.119356871,-0.3951316476,1
101,900,NaN,NaN,2
101,916,NaN,NaN,2
101,932,2.935279131,1.145275235,1
101,948,2.704498529,0.01859551668,1
101,964,2.208300114,-0.7491453886,1
