PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 60, filenames: A:[60]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[61]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,0.8544796705,0.001359283924,1
21,36,-0.6013872623,-0.05752976984,1
21,52,-0.6998596191,0.2092679739,1
21,68,-0.3530676067,0.1887598038,1
21,84,-0.2694872916,-0.05894437432,1
21,100,0.09067136049,0.01105129719,1
21,116,-0.1996956468,0.3463060856,1
21,132,NaN,NaN,2
21,148,NaN,NaN,2
21,164,-0.04792033881,-0.1605202854,1
21,180,-0.1778931618,-0.5411428213,1
21,196,-0.106967926,0.1660847366,1
21,212,NaN,NaN,2
21,228,-0.4532282352,-0.4740719199,1
21,244,-1.036395669,0.09073466063,1
21,260,NaN,NaN,2
21,276,-1.843698502,0.6519294381,1
21,292,-2.20042181,0.8589146137,1
21,308,-2.286022186,0.9101086855,1
21,324,-2.475783348,0.7240526676,1
21,340,NaN,NaN,2
21,356,-1.259539127,2.161474943,1
21,372,-0.4226667881,1.939415097,1
21,388,-1.846544623,0.7214369774,1
21,404,-2.6830585,-0.2125412226,1
21,420,-2.021539688,1.241997719,1
21,436,-2.920730591,-0.001426994801,1
21,452,-1.938189268,-1.004646182,1
21,468,-1.130685329,-1.715041518,1
21,484,-1.518759608,-0.6937981248,1
21,500,-2.783413887,-0.2844837904,1
21,516,-3.196628094,-0.008188858628,1
21,532,-3.951298237,0.1496783346,1
21,548,NaN,NaN,2
21,564,-2.329144478,-1.431079626,1
21,580,-0.7698550224,0.9915964603,1
21,596,-0.03296649456,0.9924980402,1
21,612,-1.57874465,0.2581263781,1
21,628,-2.337932825,0.4227208495,1
21,644,-1.323411822,0.5501295328,1
21,660,-0.1605517864,0.3783153296,1
21,676,-0.03115457296,-0.250429213,1
21,692,NaN,NaN,2
21,708,NaN,NaN,2
21,724,NaN,NaN,2
21,740,-2.309555292,1.27361536,1
21,756,-1.120768309,0.3546773195,1
21,772,NaN,NaN,2
21,788,NaN,NaN,2
21,804,0.492377758,-0.9633483887,1
21,820,0.3033751845,0.6116710305,1
21,836,1.270405889,-0.7311787605,1
21,852,0.1392257959,-0.7361111641,1
21,868,-1.605413914,0.361181736,1
21,884,NaN,NaN,2
21,900,NaN,NaN,2
21,916,-0.8268089294,-0.2604184747,1
21,932,-0.5496066809,-1.087670088,1
21,948,NaN,NaN,2
21,964,-0.7552489042,-0.5048840046,1
21,980,-0.3466300964,-0.008322477341,1
21,996,0.3055490255,0.1951815337,1
21,1012,0.8967561722,-0.02367004007,1
21,1028,0.972319603,-0.3975068331,1
21,1044,0.9474228621,-0.876232028,1
21,1060,1.111726284,-0.9539054036,1
21,1076,1.263620973,-0.8452479839,1
21,1092,NaN,NaN,2
21,1108,NaN,NaN,2
21,1124,NaN,NaN,2
37,20,0.4384773374,0.4227434397,1
37,36,-0.2570534647,0.1287308931,1
37,52,-0.2349124849,0.180137381,1
37,68,-0.3037042022,0.1721104085,1
37,84,-0.2782720029,-0.1460637152,1
37,100,-0.3353386521,-0.3839874566,1
37,116,-0.4573111534,-0.1224876121,1
37,132,-0.1331419647,-0.1445809305,1
37,148,0.08012531698,-0.1505724192,1
37,164,-0.1026996374,-0.1064568162,1
37,180,-0.2996175885,-0.3678587675,1
37,196,-0.463712126,-0.7315010428,1
37,212,-0.6342036128,-0.3058230877,1
37,228,-0.302203536,0.3792529106,1
37,244,-0.5675797462,-0.05719360709,1
37,260,-0.5549551249,0.124508284,1
37,276,-0.6583795547,0.6364735365,1
37,292,-0.8205554485,1.058772326,1
37,308,-0.6893776655,1.26142931,1
37,324,-0.5230505466,1.55361867,1
37,340,-0.8515092134,2.71685195,1
37,356,-0.8061206341,1.000799417,1
