PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 59, filenames: A:[59]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[60]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,0.8312280178,-0.1685402393,1
21,36,0.5946176052,-0.2513685822,1
21,52,0.2855106592,0.02597098053,1
21,68,0.4314258695,0.0867754817,1
21,84,0.1134037673,0.3049417436,1
21,100,-0.01386976242,0.4416094422,1
21,116,0.3503776193,-0.03902055323,1
21,132,0.2063042074,-0.87503016,1
21,148,0.2297313064,-0.4991729259,1
21,164,-0.1762070656,-0.1748633683,1
21,180,NaN,NaN,2
21,196,0.1540505886,-0.04989662766,1
21,212,0.1717130542,-0.01517368853,1
21,228,-0.5639166832,0.4742915034,1
21,244,-0.6284103394,0.7483663559,1
21,260,NaN,NaN,2
21,276,-1.854179859,-1.0153234,1
21,292,-1.538114071,-1.678810358,1
21,308,-0.6114928126,-0.801417768,1
21,324,0.2195850313,-0.7295131683,1
21,340,NaN,NaN,2
21,356,0.9398148656,1.297073007,1
21,372,-0.09193092585,1.076279402,1
21,388,-0.4881851673,-1.087744474,1
21,404,-1.045973063,-1.4041816,1
21,420,NaN,NaN,2
21,436,-2.826818466,-3.858081341,1
21,452,-2.022478819,-4.095996857,1
21,468,-1.745222569,-4.347606659,1
21,484,-1.181453228,-0.8201828003,1
21,500,-1.665857077,1.676965714,1
21,516,-0.817243576,1.574928999,1
21,532,-3.730398178,1.034907818,1
21,548,-2.773533821,0.479375124,1
21,564,NaN,NaN,2
21,580,NaN,NaN,2
21,596,NaN,NaN,2
21,612,-3.390099525,1.660912514,1
21,628,-5.57092905,0.2939841747,1
21,644,-3.140182972,1.570110083,1
21,660,NaN,NaN,2
21,676,0.3373833895,0.7965556979,1
21,692,0.05364239216,-0.3856582642,1
21,708,NaN,NaN,2
21,724,-0.00731086731,0.3690296113,1
21,740,-1.770731449,1.104940057,1
21,756,-2.486495972,1.42742908,1
21,772,NaN,NaN,2
21,788,-3.926229954,0.6987075806,1
21,804,-2.336313009,1.810905695,1
21,820,-0.08506584167,3.930446863,1
21,836,-0.9105629921,3.081887722,1
21,852,NaN,NaN,2
21,868,1.054365039,3.140839338,1
21,884,1.099261761,1.438783646,1
21,900,0.6639177799,2.060007095,1
21,916,1.77951026,3.071870804,1
21,932,1.480261326,3.671209574,1
21,948,-1.191061735,3.641502857,1
21,964,NaN,NaN,2
21,980,-0.7156370282,-0.7997704744,1
21,996,0.3107656837,-0.1078313589,1
21,1012,-0.6561230421,1.078066587,1
21,1028,NaN,NaN,2
21,1044,-0.153077662,3.029229641,1
21,1060,-0.06900918484,2.465847731,1
21,1076,0.3577611446,2.200131655,1
21,1092,0.4083676338,2.50647521,1
21,1108,0.6188634634,2.626393557,1
21,1124,1.272361755,2.834439754,1
