PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 9, filenames: A:[9]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[10]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,NaN,NaN,2
21,52,NaN,NaN,2
21,68,0.4948615432,1.290578842,1
21,84,-0.0933971405,0.6010807753,1
21,100,-0.5116243362,-0.3731347322,1
21,116,-0.3648058176,-0.5921216011,1
21,132,0.2076867223,0.2934113145,1
21,148,1.014604092,0.3445253968,1
21,164,0.3547034264,-1.157374382,1
21,180,-2.627010107,-3.975461483,1
21,196,NaN,NaN,2
21,212,-5.782072544,-4.214085579,1
21,228,-4.818888187,-1.995218039,1
21,244,-3.950661659,-2.835576773,1
21,260,-2.989378929,-0.446709156,1
21,276,-5.394052505,-1.46215868,1
21,292,NaN,NaN,2
21,308,NaN,NaN,2
21,324,NaN,NaN,2
21,340,NaN,NaN,2
21,356,-3.823416471,-3.516197681,1
21,372,NaN,NaN,2
21,388,NaN,NaN,2
21,404,NaN,NaN,2
21,420,NaN,NaN,2
21,436,-3.748126984,-2.967596292,1
21,452,NaN,NaN,2
21,468,-3.484818459,-3.564221382,1
21,484,-4.516736031,-4.480714798,1
21,500,-5.302639008,-3.654037476,1
21,516,-4.541686058,-2.859811306,1
21,532,-5.754090309,-3.043481112,1
21,548,NaN,NaN,2
21,564,NaN,NaN,2
21,580,NaN,NaN,2
21,596,-3.725183487,-5.932494164,1
21,612,-5.642266273,-6.166213036,1
21,628,-4.77008152,-5.379174709,1
21,644,NaN,NaN,2
21,660,NaN,NaN,2
21,676,-0.8289549351,-4.050066948,1
21,692,-2.471642256,-0.235517025,1
21,708,NaN,NaN,2
21,724,NaN,NaN,2
21,740,-2.209084034,-4.404592991,1
21,756,NaN,NaN,2
21,772,-6.203375816,-1.962120056,1
21,788,NaN,NaN,2
21,804,NaN,NaN,2
21,820,-4.150974274,-5.288443089,1
21,836,-4.656121254,-4.205402374,1
21,852,-4.326870918,-3.837127686,1
21,868,NaN,NaN,2
21,884,-1.814583778,-4.263510704,1
21,900,NaN,NaN,2
21,916,NaN,NaN,2
21,932,NaN,NaN,2
21,948,1.825343847,-2.169267416,1
21,964,0.2407627106,-3.030377388,1
21,980,-0.8475564718,-2.476301193,1
21,996,-1.276581407,-0.6715549231,1
21,1012,NaN,NaN,2
21,1028,NaN,NaN,2
21,1044,-0.5721867085,-2.05807519,1
21,1060,NaN,NaN,2
21,1076,NaN,NaN,2
21,1092,-1.354679585,-1.005128145,1
21,1108,NaN,NaN,2
21,1124,NaN,NaN,2
37,20,-1.489263773,-3.400365829,1
37,36,0.2735808492,-0.6868491173,1
37,52,0.04636711627,0.652507484,1
37,68,-0.2699725926,0.7797161937,1
37,84,-0.1611436903,0.3337335587,1
37,100,-0.1598205566,0.04599186778,1
37,116,-0.3575384617,0.02523459494,1
37,132,0.00729906559,0.3521099091,1
37,148,NaN,NaN,2
37,164,NaN,NaN,2
37,180,-2.287511587,-3.529185057,1
37,196,-4.143651962,-4.863458633,1
37,212,-4.478194714,-4.665987968,1
37,228,-2.7281425,-2.157635689,1
37,244,-2.40442276,-2.095713139,1
37,260,-2.890011072,-0.7782218456,1
37,276,-3.022083282,-0.893093586,1
37,292,-2.102616549,-2.836551666,1
37,308,-2.391839027,-3.38371563,1
37,324,-3.523937225,-2.883289814,1
37,340,-4.277593613,-3.429304838,1
37,356,-3.909677267,-3.776427746,1
37,372,-3.377976418,-4.140084267,1
37,388,-3.616187096,-3.859217644,1
37,404,NaN,NaN,2
37,420,-2.537649155,-3.903223038,1
37,436,-3.511632442,-4.165785313,1
37,452,-4.345983505,-4.083440304,1
37,468,-4.556017876,-3.654580593,1
37,484,-4.858798981,-3.498317719,1
37,500,-5.085475445,-2.879044533,1
37,516,-5.193148136,-2.632928133,1
37,532,-5.190933228,-1.889026403,1
37,548,-4.971997261,-4.710553646,1
37,564,-5.225432396,-5.659817219,1
37,580,-5.577708244,-5.260341644,1
37,596,-5.421632767,-4.366414547,1
37,612,-4.485076904,-3.866043091,1
37,628,-2.455766201,-3.187971354,1
37,644,-3.963775635,-2.902501822,1
