PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 32, filenames: A:[32]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[33]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,NaN,NaN,2
21,52,-0.3601008952,-0.01751428843,1
21,68,-0.1369020194,0.03112339973,1
21,84,-0.1257395148,0.1324211955,1
21,100,-0.01181013882,0.01473586261,1
21,116,0.180790931,0.04566913843,1
21,132,-0.02889657021,-0.1000342071,1
21,148,-0.1345575154,-0.4173537493,1
21,164,-0.0316349268,-0.5381934643,1
21,180,0.2086574435,-0.5676140785,1
21,196,NaN,NaN,2
21,212,0.327029109,-0.4100322723,1
21,228,0.2699921131,-0.1875085831,1
21,244,NaN,NaN,2
21,260,-0.7569532394,-0.6340175271,1
21,276,NaN,NaN,2
21,292,NaN,NaN,2
21,308,-0.833776474,-3.275593758,1
21,324,NaN,NaN,2
21,340,-0.5246177316,-3.896384716,1
21,356,-0.7344257832,-3.815897226,1
21,372,-1.6480546,-3.512085676,1
21,388,NaN,NaN,2
21,404,-2.170805216,-5.176590919,1
21,420,2.043689489,-6.084348202,1
21,436,2.304731369,-7.272788048,1
21,452,2.794949055,-6.792976379,1
21,468,2.292330742,-4.036933899,1
21,484,4.616837502,-2.816838264,1
21,500,NaN,NaN,2
21,516,NaN,NaN,2
21,532,-0.9184918404,-3.583358288,1
21,548,NaN,NaN,2
21,564,0.5592808723,-3.847552776,1
21,580,2.411328793,-4.14971447,1
21,596,NaN,NaN,2
21,612,NaN,NaN,2
21,628,6.052737236,-4.059897423,1
21,644,3.436780453,-3.280120373,1
21,660,2.854254723,-1.570619822,1
21,676,4.33911705,-1.371122718,1
21,692,4.349843025,-0.9919880629,1
21,708,2.80528903,-4.267541885,1
21,724,1.960333586,-5.160992622,1
21,740,3.638595581,-5.267699242,1
21,756,4.450654507,-5.77863884,1
21,772,2.684183121,-6.203309536,1
21,788,2.8037889,-7.068862915,1
21,804,1.634842396,-6.909234047,1
21,820,1.585671663,-4.992385864,1
21,836,2.933904171,-4.478491783,1
21,852,3.84613204,-4.177103996,1
21,868,1.403907537,-4.068883896,1
21,884,-3.245847225,-2.92278862,1
21,900,-2.742981195,-0.9106755853,1
21,916,NaN,NaN,2
21,932,1.88605547,-0.3362309933,1
21,948,2.126414299,-1.773321629,1
21,964,3.299943924,-1.623612285,1
21,980,2.208491325,-1.843716502,1
21,996,NaN,NaN,2
21,1012,NaN,NaN,2
21,1028,4.445773125,-1.613296986,1
21,1044,4.813687325,0.4861901999,1
21,1060,NaN,NaN,2
21,1076,1.340141296,0.5034496784,1
21,1092,1.795150757,-0.9645004272,1
21,1108,1.608770132,-1.489951849,1
21,1124,NaN,NaN,2
37,20,NaN,NaN,2
37,36,-0.01519703865,-0.5923776627,1
37,52,-0.3207069635,-0.02144350111,1
37,68,-0.1811795533,0.2188560367,1
37,84,0.1519317329,0.3908364475,1
37,100,0.0990274027,0.1346171796,1
37,116,-0.1514007449,0.1519124061,1
37,132,-0.312533021,0.02237971872,1
37,148,-0.04341341555,-0.05442091823,1
37,164,0.3753151596,0.145020932,1
37,180,0.3916882873,1.491638064,1
37,196,NaN,NaN,2
37,212,0.2727327943,1.113910437,1
37,228,-0.4422128797,-0.4110267162,1
37,244,NaN,NaN,2
37,260,1.272139072,-2.315227747,1
37,276,-0.848610878,-0.9424396753,1
37,292,-0.6152334213,-1.516980529,1
37,308,-0.1566503644,-3.003037214,1
37,324,-0.005934879184,-3.348788977,1
37,340,-0.1529459953,-3.570696592,1
37,356,-0.3535903096,-3.678494692,1
37,372,-1.069415927,-4.02294302,1
37,388,NaN,NaN,2
37,404,-1.264780879,-5.143725872,1
37,420,0.2797503173,-6.043884754,1
37,436,0.5274471045,-6.040194035,1
37,452,0.3081099391,-4.98844099,1
37,468,-3.009576797,-4.942409515,1
37,484,-1.777152061,-5.269350529,1
37,500,0.3431372643,-4.517338276,1
37,516,5.233851433,-4.1546278,1
37,532,NaN,NaN,2
37,548,3.428535938,-4.515545368,1
37,564,1.361523271,-3.456671238,1
37,580,1.782429576,-2.636760473,1
37,596,2.494755745,-2.847529411,1
