PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 7, filenames: A:[7]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[8]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,NaN,NaN,2
21,52,1.298891902,-0.3326445818,1
21,68,1.041667461,0.7383773327,1
21,84,0.4673681259,1.102591276,1
21,100,0.1496292502,0.776106596,1
21,116,0.3401347995,-0.3115864992,1
21,132,0.981362462,0.140892148,1
21,148,NaN,NaN,2
21,164,NaN,NaN,2
21,180,-1.118705869,-6.595755577,1
21,196,NaN,NaN,2
21,212,-3.001040936,-8.106603622,1
21,228,NaN,NaN,2
21,244,-2.792712688,-9.513201714,1
21,260,NaN,NaN,2
21,276,NaN,NaN,2
21,292,-3.700209618,-5.923683167,1
21,308,-4.154232979,-6.298728466,1
21,324,-5.32455492,-7.171208858,1
21,340,-3.037109613,-7.149676323,1
21,356,-4.707389832,-7.307302475,1
21,372,NaN,NaN,2
21,388,-4.560558796,-5.661708832,1
21,404,NaN,NaN,2
21,420,NaN,NaN,2
21,436,-0.8255192041,-8.35461998,1
21,452,NaN,NaN,2
21,468,-0.8369288445,-7.136925697,1
21,484,-1.545863867,-5.924817085,1
21,500,-4.526788712,-5.62402916,1
21,516,NaN,NaN,2
21,532,-5.162405968,-5.883677006,1
21,548,-4.628752708,-4.73243618,1
21,564,-3.885858536,-2.917244196,1
21,580,-4.435713768,-3.194300652,1
21,596,-3.869995117,-3.74114418,1
21,612,-5.275085449,-2.774862289,1
21,628,-4.96016264,-4.082936287,1
21,644,NaN,NaN,2
21,660,NaN,NaN,2
21,676,-4.445031166,-4.120316505,1
21,692,-2.826310158,-0.6450240612,1
21,708,NaN,NaN,2
21,724,NaN,NaN,2
21,740,NaN,NaN,2
21,756,NaN,NaN,2
21,772,NaN,NaN,2
21,788,-4.799388885,-1.370860338,1
21,804,NaN,NaN,2
21,820,NaN,NaN,2
21,836,-4.351066589,-1.865197182,1
21,852,NaN,NaN,2
21,868,NaN,NaN,2
21,884,NaN,NaN,2
21,900,-0.7653182745,-5.972694874,1
21,916,-0.2140139937,-5.62538147,1
21,932,-0.6387600899,-5.222795486,1
21,948,-0.5375897884,-4.625212193,1
21,964,0.002556413412,-6.0117836,1
21,980,0.498901993,-6.677921295,1
21,996,0.98140347,-5.850500107,1
21,1012,0.4515067339,-4.201703548,1
21,1028,-1.412063837,-2.831700325,1
21,1044,-2.93248868,-0.3347175121,1
21,1060,-2.525632858,-0.854757607,1
21,1076,-1.778029442,0.333055228,1
21,1092,-0.9849500656,-0.03779184818,1
21,1108,-0.3776285052,0.2282320112,1
21,1124,0.4448919296,-0.8945412636,1
37,20,0.3389787674,0.839097321,1
37,36,0.9393832088,0.2119881511,1
37,52,0.796477735,-0.004467606544,1
37,68,0.4162429571,-0.9336932898,1
37,84,NaN,NaN,2
37,100,-0.06695222855,0.126457572,1
37,116,-0.1759926528,0.08449697495,1
37,132,-0.1660194844,0.7053685784,1
37,148,0.0219720602,0.9811520576,1
37,164,-1.489613414,-4.269501686,1
37,180,-1.766395092,-6.474227428,1
37,196,-1.773260236,-7.317440987,1
37,212,-1.900526881,-8.250589371,1
37,228,-3.019579887,-8.7648983,1
37,244,-3.974599123,-9.964464188,1
37,260,-1.496219397,-7.750985146,1
37,276,-2.088709593,-7.000205994,1
37,292,-2.828144789,-7.534590721,1
37,308,-3.562868595,-7.207324028,1
37,324,-2.726039171,-7.132053852,1
37,340,-2.202911854,-6.915678024,1
37,356,-3.858717203,-6.530530453,1
37,372,NaN,NaN,2
37,388,NaN,NaN,2
37,404,-2.831698418,-7.445145607,1
37,420,-2.728760719,-8.110684395,1
37,436,-2.03158617,-6.900839329,1
37,452,-1.354427099,-6.708834648,1
37,468,NaN,NaN,2
37,484,-3.462138891,-5.785595417,1
37,500,-4.249779701,-5.045422554,1
37,516,-4.374847889,-5.987719059,1
37,532,-3.361029625,-4.710654736,1
37,548,-3.371684551,-5.625563622,1
37,564,-3.878510952,-3.40647459,1
37,580,-4.572288036,-2.984918118,1
37,596,-4.535079479,-3.001540184,1
37,612,-4.451974869,-2.79078126,1
