PIVlab, ASCII chart output - 26-Jul-2025
FRAME: 5, filenames: A:[5]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi & B:[6]MAX_Pos0014_TgUtrmcherry_K4K8Mutant-1.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
21,20,NaN,NaN,2
21,36,NaN,NaN,2
21,52,NaN,NaN,2
21,68,0.3862707615,1.691406488,1
21,84,-0.4896755219,0.5197868347,1
21,100,NaN,NaN,2
21,116,0.1242508888,1.574538708,1
21,132,0.2904634476,1.730696678,1
21,148,0.9882648587,0.1103368998,1
21,164,-0.2063596249,-0.6080007553,1
21,180,NaN,NaN,2
21,196,NaN,NaN,2
21,212,NaN,NaN,2
21,228,-9.63735199,-13.01874065,1
21,244,-8.765566826,-14.2983532,1
21,260,-11.65298462,-11.22614098,1
21,276,-7.250774384,-11.8101244,1
21,292,-8.261684418,-13.54261398,1
21,308,-8.966096878,-13.15198231,1
21,324,-8.528162003,-11.98687172,1
21,340,NaN,NaN,2
21,356,-9.66878891,-10.29084396,1
21,372,NaN,NaN,2
21,388,-8.168217659,-10.34389591,1
21,404,-10.72354031,-10.72200489,1
21,420,-12.75448799,-6.451283455,1
21,436,-12.55571365,-5.262482643,1
21,452,-9.139554977,-6.462301254,1
21,468,-12.46927643,-10.90456486,1
21,484,-9.856552124,-2.670569897,1
21,500,-10.97366142,-4.39575386,1
21,516,-11.11075974,-5.931883335,1
21,532,-9.710526466,-7.0949049,1
21,548,NaN,NaN,2
21,564,NaN,NaN,2
21,580,NaN,NaN,2
21,596,-12.97346497,-6.250174522,1
21,612,-12.02288055,-6.304215908,1
21,628,NaN,NaN,2
21,644,NaN,NaN,2
21,660,NaN,NaN,2
21,676,NaN,NaN,2
21,692,NaN,NaN,2
21,708,NaN,NaN,2
21,724,NaN,NaN,2
21,740,-14.65841198,-4.132489681,1
21,756,NaN,NaN,2
21,772,-8.420651436,-4.746154308,1
21,788,-7.362092972,-5.180193901,1
21,804,NaN,NaN,2
21,820,NaN,NaN,2
21,836,-11.67919731,-3.298628807,1
21,852,NaN,NaN,2
21,868,-7.093999386,-1.168721199,1
21,884,NaN,NaN,2
21,900,-3.465492249,-2.702540636,1
21,916,-3.489934444,-6.010846138,1
21,932,-6.307357788,-7.189847946,1
21,948,NaN,NaN,2
21,964,NaN,NaN,2
21,980,-3.909148216,-0.9358246326,1
21,996,-3.586680651,-0.6523091793,1
21,1012,-3.888002396,-1.409848452,1
21,1028,-3.95639658,-2.469420195,1
21,1044,-3.188075066,-1.964750767,1
21,1060,-3.137526512,-1.48146379,1
21,1076,-3.805109262,-1.865694642,1
21,1092,-4.127359867,-1.487627149,1
21,1108,-3.896408796,-1.151896834,1
21,1124,-2.808409929,0.6061685085,1
37,20,-4.229752541,6.715854645,1
37,36,0.9386684895,-0.3588223457,1
37,52,0.469897747,-0.09423017502,1
37,68,0.2101461291,-0.7571344972,1
37,84,NaN,NaN,2
37,100,-0.5396156311,-0.1358377934,1
37,116,0.08541983366,1.149602652,1
37,132,0.3667370081,0.9754447937,1
37,148,0.375133425,-0.3672968149,1
37,164,-0.03003263474,0.6505565643,1
37,180,NaN,NaN,2
37,196,-4.760705948,-8.822368622,1
37,212,-5.595915318,-9.766534805,1
37,228,-7.184466362,-13.6526022,1
37,244,-9.163713455,-10.84534264,1
37,260,-11.90087795,-11.59720802,1
37,276,-9.919973373,-12.63527203,1
37,292,-9.465317726,-13.14029121,1
37,308,-8.835271835,-12.50085163,1
37,324,-8.994242668,-11.26517963,1
37,340,-9.87216568,-9.453219414,1
37,356,-10.4038744,-9.297944069,1
37,372,-9.879377365,-9.526378632,1
37,388,-11.64623451,-8.293498039,1
37,404,-12.21265316,-8.024628639,1
37,420,-11.72002411,-6.872491837,1
37,436,-11.07493973,-6.72938633,1
37,452,-10.62156963,-8.041361809,1
37,468,-10.02462769,-7.836740017,1
37,484,-12.16131306,-10.7183075,1
37,500,NaN,NaN,2
37,516,-10.79737091,-6.371418476,1
37,532,-10.57535839,-7.313405514,1
37,548,-10.45759583,-7.689747334,1
37,564,-10.76107693,-7.552609444,1
37,580,-11.50775433,-6.145290375,1
37,596,-11.88101482,-4.786716461,1
37,612,-12.50922394,-3.844568253,1
37,628,-13.04498863,-3.670505524,1
