PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 8, filenames: A:[8]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[9]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-10.42207336,6.177690506,1
47,65,-0.04220068455,-5.120123386,1
47,97,-1.794485927,-6.608074665,1
47,129,-2.794028759,-6.264355183,1
47,161,-2.737733364,-4.08673811,1
47,193,-1.551992655,-3.159006119,1
47,225,0.02295267582,-5.024896622,1
47,257,0.02432549,-5.936871529,1
47,289,-0.05960357189,-6.209988594,1
47,321,-0.1401743889,-5.022078514,1
47,353,0.2040311694,-5.282263756,1
47,385,0.03490501642,-6.409865379,1
47,417,-0.07201051712,-7.401872158,1
47,449,-1.264774323,-7.661629677,1
47,481,-3.986145496,-7.240507126,1
47,513,-3.226518154,-8.233837128,1
47,545,-1.625255585,-7.489368439,1
47,577,-0.5436838865,-5.220982552,1
47,609,-1.442472696,-3.495215178,1
47,641,-0.8907522559,-2.70853138,1
47,673,-0.7640060186,-3.329009056,1
47,705,-1.26740706,-5.307913303,1
47,737,-1.649897337,-5.224061966,1
47,769,-1.542582154,-3.670924187,1
47,801,-1.551354527,-2.386919975,1
47,833,0.4270477295,-2.780490875,1
47,865,3.144775391,-5.062601089,1
47,897,3.375824928,-5.078451157,1
47,929,3.338803768,-5.290195942,1
47,961,2.74367857,-5.464437008,1
47,993,0.8522379398,-5.132506847,1
47,1025,0.6487807035,-5.487389565,1
47,1057,2.528130531,-4.387888432,1
47,1089,3.500141621,-5.38043642,1
47,1121,2.942576885,-5.340991974,1
47,1153,2.188004017,-5.619112492,1
47,1185,3.283355236,-5.884971619,1
47,1217,4.706332684,-6.167438507,1
47,1249,2.320141554,-7.632985592,1
47,1281,1.406006336,-8.450516701,1
47,1313,3.718767166,-7.018281937,1
47,1345,6.300481796,-6.833717823,1
47,1377,5.678164959,-7.463721275,1
47,1409,3.689082146,-9.853851318,1
47,1441,3.311885834,-10.24275208,1
47,1473,3.190356016,-9.056687355,1
47,1505,2.254328251,-8.16410923,1
47,1537,3.262140751,-7.795770168,1
47,1569,5.194565296,-7.434126854,1
47,1601,4.076154709,-7.680138588,1
47,1633,3.418956757,-7.203354836,1
47,1665,3.111806393,-7.536681175,1
47,1697,2.874381304,-8.554254532,1
47,1729,2.934419632,-7.222553253,1
47,1761,4.241375446,-4.814175606,1
47,1793,2.968168259,-3.260843754,1
47,1825,1.741629124,-4.907896042,1
47,1857,1.147378683,-3.621321678,1
47,1889,1.171606421,-1.877034187,1
47,1921,2.638858557,-1.386069298,1
47,1953,2.837604284,-0.7071349621,1
47,1985,2.624400616,-0.08856678009,1
47,2017,1.139504194,-11.64721107,1
79,33,-0.3509241343,8.138478279,1
79,65,-2.622060299,-5.076994419,1
79,97,-2.141178608,-6.617118359,1
79,129,-2.548764944,-7.678745747,1
79,161,-2.613408804,-5.465767384,1
79,193,-1.670419455,-3.799557686,1
79,225,-1.604365468,-4.996652126,1
79,257,-1.559397578,-5.710357189,1
79,289,-1.024769068,-6.077409267,1
79,321,-0.3647345901,-5.604013443,1
79,353,0.1487774849,-4.956485271,1
79,385,-0.9057917595,-6.008200645,1
79,417,-1.958657384,-7.616097927,1
79,449,-1.642958403,-8.489387512,1
79,481,-2.151378632,-7.670629025,1
79,513,-2.000377655,-6.369970798,1
79,545,-0.6102629304,-5.195412636,1
79,577,0.9510179162,-3.640302181,1
79,609,0.08369785547,-1.311199665,1
79,641,0.2846930325,-1.971346855,1
79,673,0.3237448633,-3.226594925,1
79,705,0.514585197,-4.304556847,1
79,737,1.822512507,-5.489645481,1
79,769,1.739996076,-5.058868408,1
79,801,0.6578702927,-4.896473885,1
79,833,1.804111958,-4.843550682,1
79,865,2.744514227,-5.940495491,1
79,897,1.843495369,-6.005922794,1
79,929,2.937539101,-5.549066067,1
79,961,2.144434929,-5.543601513,1
79,993,1.193428755,-5.277573586,1
79,1025,1.231106758,-5.037696838,1
79,1057,1.667449117,-3.778850079,1
79,1089,2.422534466,-3.596987724,1
79,1121,3.400004387,-4.014654636,1
79,1153,4.071168423,-4.625189781,1
79,1185,4.575881004,-4.961153984,1
79,1217,4.864566326,-5.139334679,1
79,1249,4.441990852,-6.336890221,1
79,1281,3.699210644,-8.543931007,1
79,1313,4.264457226,-7.619362831,1
79,1345,4.72859478,-8.219104767,1
79,1377,3.033358097,-8.490856171,1
79,1409,2.127300739,-9.558895111,1
79,1441,4.023295879,-9.503078461,1
79,1473,5.336340427,-8.885396957,1
79,1505,4.476439476,-8.649748802,1
79,1537,3.60489893,-8.380375862,1
79,1569,4.666775703,-6.752129555,1
79,1601,3.411894321,-8.044778824,1
79,1633,3.867058754,-7.729435921,1
79,1665,4.512300491,-6.60226059,1
79,1697,3.7510252,-6.983234406,1
79,1729,3.344326735,-5.701405525,1
79,1761,3.94514823,-3.811830521,1
79,1793,3.630840778,-5.06563282,1
79,1825,2.220478058,-5.141590595,1
79,1857,0.8179552555,-3.248127937,1
79,1889,1.368255854,-4.151452065,1
79,1921,-0.194704771,-4.013668537,1
79,1953,1.118923664,-2.402403116,1
79,1985,2.104610443,-2.962556839,1
79,2017,1.448716402,-7.498481274,1
111,33,-3.767816544,9.093136787,1
111,65,-4.208071709,-6.450957298,1
111,97,-0.9998024702,-10.72426128,1
111,129,-2.946337461,-7.134827614,1
111,161,-1.949727297,-6.014415741,1
111,193,-1.830784798,-4.883041859,1
111,225,-2.398654938,-5.27598381,1
111,257,-2.00425148,-5.852947712,1
111,289,-1.625024319,-5.864655018,1
111,321,-1.037436724,-5.632443428,1
111,353,-0.6721917391,-5.138553143,1
111,385,-1.717493057,-5.806367874,1
111,417,-2.013551235,-6.025954723,1
111,449,-1.994660497,-7.221315861,1
111,481,-2.081671476,-7.274709225,1
111,513,-0.9860277176,-5.749147415,1
111,545,0.3695456982,-4.164521694,1
111,577,0.787419498,-3.502306461,1
111,609,0.7349461317,-2.998970509,1
111,641,0.6257590055,-2.919590473,1
111,673,1.014271975,-3.227701187,1
111,705,1.6777246,-4.154423714,1
111,737,3.544506788,-4.777972221,1
111,769,3.539387703,-5.030864239,1
111,801,1.722758293,-5.734326363,1
111,833,1.835246444,-5.37697649,1
111,865,2.04442668,-5.662480831,1
111,897,3.264394522,-5.583417416,1
111,929,3.548952579,-5.577720642,1
111,961,2.725115299,-5.625085354,1
111,993,1.543875456,-5.242198467,1
111,1025,1.072009563,-4.999551296,1
111,1057,1.480319738,-3.864050865,1
111,1089,2.671375036,-3.285189152,1
111,1121,4.444597244,-3.82282114,1
111,1153,5.915035725,-3.741064072,1
111,1185,6.03304863,-4.696754932,1
111,1217,5.96838522,-5.324898243,1
111,1249,6.109293461,-6.454566002,1
111,1281,5.757157803,-7.534826756,1
111,1313,3.669678688,-6.988650799,1
111,1345,3.04588604,-8.104915619,1
111,1377,1.596809864,-9.398551941,1
111,1409,1.214825153,-9.627173424,1
111,1441,4.264101028,-9.531218529,1
111,1473,5.234301567,-9.297555923,1
111,1505,5.350886345,-9.070315361,1
111,1537,4.760478497,-9.036722183,1
111,1569,4.966190338,-8.188902855,1
111,1601,4.707116127,-7.939092636,1
111,1633,4.441599846,-8.177336693,1
111,1665,4.100088596,-6.837523937,1
111,1697,4.277194977,-5.629132748,1
111,1729,4.028536797,-5.214299679,1
111,1761,3.39932251,-4.345705032,1
111,1793,4.236585617,-4.913633347,1
111,1825,3.563441753,-5.363080502,1
111,1857,2.006680727,-3.945305347,1
111,1889,3.369530201,-4.006165981,1
111,1921,2.590286493,-4.254161835,1
111,1953,2.068855524,-3.557591677,1
111,1985,1.560582638,-3.274129868,1
111,2017,0.7459921837,-3.710929871,1
143,33,-14.39663029,9.203259468,1
143,65,-2.255919933,-6.37049675,1
143,97,-2.208457947,-10.43145275,1
143,129,-2.145027399,-6.311421394,1
143,161,-1.709719658,-6.082437038,1
143,193,-1.532534122,-5.347590446,1
143,225,-2.071617603,-5.378174305,1
143,257,-1.742590427,-5.726652622,1
143,289,-1.237440705,-5.292683601,1
143,321,-1.027154565,-4.904087067,1
143,353,-0.9819603562,-4.455484867,1
143,385,-1.202722311,-4.155448914,1
143,417,-1.996392131,-4.538227558,1
143,449,-2.082890511,-4.87351656,1
143,481,-2.173842669,-5.554423332,1
143,513,-0.8588733673,-5.046640873,1
143,545,0.4592674971,-4.338012695,1
143,577,1.045507431,-3.76666975,1
143,609,1.83815062,-3.274114609,1
143,641,3.568369865,-4.07605648,1
143,673,1.578452945,-3.644643068,1
143,705,1.869328737,-4.316707611,1
143,737,2.653211832,-4.743371487,1
143,769,1.890173197,-4.919660091,1
143,801,1.373088837,-5.418351173,1
143,833,2.246157169,-4.787966728,1
143,865,2.809239149,-5.068255424,1
143,897,3.246539831,-5.374390125,1
143,929,3.541451931,-5.4314394,1
143,961,3.519894361,-6.088830471,1
143,993,2.900676012,-5.768798351,1
143,1025,1.05886364,-5.016138077,1
143,1057,1.522406578,-4.176264286,1
143,1089,3.901016712,-4.759768009,1
143,1121,5.047890663,-4.894263744,1
143,1153,6.099330902,-3.940054417,1
143,1185,6.407626152,-4.864361763,1
143,1217,6.284323692,-5.943881035,1
143,1249,7.185703278,-6.548067093,1
143,1281,7.108051777,-5.75783968,1
143,1313,6.44426012,-7.618925095,1
143,1345,5.555978775,-9.832517624,1
143,1377,4.179092884,-9.525608063,1
143,1409,5.002874374,-9.479763031,1
143,1441,5.439313412,-9.962643623,1
143,1473,4.445482731,-10.12144947,1
143,1505,4.851831913,-10.05117989,1
143,1537,5.042802811,-9.643210411,1
143,1569,4.847494125,-8.69338131,1
143,1601,4.395577908,-8.101984024,1
143,1633,4.363005161,-7.610348701,1
143,1665,4.419848442,-6.712873459,1
143,1697,4.044479847,-5.851836205,1
143,1729,3.064593315,-5.47023201,1
143,1761,3.462311983,-4.379190922,1
143,1793,4.231528282,-4.621544361,1
143,1825,3.607795715,-5.661077976,1
143,1857,3.27943778,-5.376702309,1
143,1889,3.342495441,-4.420619965,1
143,1921,3.268141747,-4.812536716,1
143,1953,2.592970133,-4.644739151,1
143,1985,1.885488749,-3.270985603,1
143,2017,1.517774343,-2.855243683,1
175,33,-16.58890343,8.119465828,1
175,65,-1.305142164,-5.487396717,1
175,97,-1.799146175,-9.55904007,1
175,129,-0.7328641415,-6.059426308,1
175,161,-0.5615141392,-6.505777836,1
175,193,-1.280201077,-5.3483181,1
175,225,-1.555643678,-4.743658066,1
175,257,-1.041882515,-4.84326458,1
175,289,-0.2239983082,-4.151369095,1
175,321,-0.5507426858,-3.83026576,1
175,353,-0.4656482637,-3.71397233,1
175,385,-0.5771308541,-3.608057022,1
175,417,-1.373018146,-3.703927517,1
175,449,-1.286205769,-3.986126423,1
175,481,-0.9481810331,-4.44038868,1
175,513,-0.300671488,-4.273030281,1
175,545,0.6894704103,-4.366951466,1
175,577,1.078953981,-2.47291851,1
175,609,1.473586798,-1.789971113,1
175,641,2.351562023,-3.545708418,1
175,673,1.879213572,-5.002580166,1
175,705,2.400034189,-4.341365337,1
175,737,2.557067394,-4.382332802,1
175,769,1.825902939,-4.873169899,1
175,801,0.9635176659,-4.868686199,1
175,833,2.000645876,-3.605113983,1
175,865,3.119214535,-4.366521358,1
175,897,3.754484653,-5.075276852,1
175,929,4.559175491,-5.143043995,1
175,961,5.30604744,-5.974771023,1
175,993,3.581227779,-5.813253403,1
175,1025,2.666378021,-5.64109993,1
175,1057,4.144948006,-5.985313416,1
175,1089,6.00920248,-7.009597301,1
175,1121,5.081890583,-6.625586033,1
175,1153,6.553614616,-5.880364895,1
175,1185,6.965084076,-6.04393959,1
175,1217,6.956830502,-6.35261631,1
175,1249,7.42553854,-6.330021381,1
175,1281,8.310251236,-5.944838047,1
175,1313,9.468463898,-7.917924881,1
175,1345,8.307477951,-10.68091393,1
175,1377,6.203926086,-10.11007881,1
175,1409,5.830769539,-10.19526196,1
175,1441,5.992445469,-10.6645937,1
175,1473,5.348052502,-10.69157028,1
175,1505,5.453011513,-10.21597958,1
175,1537,5.168418407,-10.00755596,1
175,1569,4.39955759,-9.123053551,1
175,1601,4.350138664,-8.349974632,1
175,1633,5.595667839,-6.396101475,1
175,1665,6.024746895,-6.935671329,1
175,1697,4.540310383,-6.416644096,1
175,1729,2.563441038,-4.889095306,1
