PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 31, filenames: A:[31]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[32]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-0.5383415222,1.271950722,1
47,65,-0.7922184467,-4.451436043,1
47,97,0.1736484468,-4.531533241,1
47,129,1.191520691,-4.609221458,1
47,161,1.624425173,-5.790978432,1
47,193,0.8921737671,-6.453316212,1
47,225,-0.3904469013,-5.480302811,1
47,257,-1.331110835,-5.732606411,1
47,289,-1.373211026,-6.639886856,1
47,321,-1.215670824,-8.137392998,1
47,353,-0.3774950504,-1.948738098,1
47,385,-1.662657261,-4.072185516,1
47,417,-3.108156204,-2.768911362,1
47,449,-3.550588608,-1.747861624,1
47,481,-2.426814795,-2.367346764,1
47,513,-0.8303233385,-4.654331207,1
47,545,-0.9838157892,-5.639063835,1
47,577,-1.337208986,-4.67250967,1
47,609,-1.290044308,-3.860849857,1
47,641,-0.1412079632,-4.858345032,1
47,673,-0.2100795507,-4.354123116,1
47,705,-0.1726797223,-3.860356092,1
47,737,1.270136833,-2.959780693,1
47,769,1.478626251,-3.627885818,1
47,801,0.561090827,-4.71306181,1
47,833,-0.3720123768,-4.821105957,1
47,865,-1.018300295,-4.253749847,1
47,897,-1.048828125,-4.8388834,1
47,929,-0.6577721834,-4.917193413,1
47,961,-1.098774076,-5.77051878,1
47,993,-0.8133383989,-6.005709171,1
47,1025,-1.877208114,-7.207908154,1
47,1057,-2.847241879,-6.20132494,1
47,1089,-3.047415972,-3.603309155,1
47,1121,-2.244427681,-2.879853249,1
47,1153,-1.563848615,-4.184290886,1
47,1185,-0.3373125792,-5.525279045,1
47,1217,-0.04955375195,-6.392030239,1
47,1249,-1.645339727,-5.496190071,1
47,1281,-0.6536157131,-2.357420444,1
47,1313,-0.6482365131,-2.526765823,1
47,1345,-1.016739607,-4.41395092,1
47,1377,-2.20838213,-4.500774384,1
47,1409,-2.561457634,-4.204436779,1
47,1441,-2.953125954,-1.57763052,1
47,1473,-5.776535034,-1.635294914,1
47,1505,-2.836573124,-2.980304718,1
47,1537,-2.945088863,-2.959014177,1
47,1569,-2.608263969,-2.780516863,1
47,1601,-2.178483486,-2.382687807,1
47,1633,-2.638511181,-2.196321011,1
47,1665,-3.989731789,-0.8014199734,1
47,1697,-5.370787144,-1.294218063,1
47,1729,-5.515790462,-0.3536092043,1
47,1761,-4.444373131,0.5147731304,1
47,1793,-3.781630754,0.8379647732,1
47,1825,-3.895479202,0.9196557403,1
47,1857,-6.237953186,0.2129505873,1
47,1889,-6.732855797,0.08429217339,1
47,1921,-4.175144672,-0.3783977032,1
47,1953,-1.677509308,1.150302172,1
47,1985,-1.799260139,0.4005388618,1
47,2017,-5.18195343,-7.451381207,1
79,33,1.147009611,2.673865318,1
79,65,0.7088173628,-4.366098404,1
79,97,0.4685106874,-4.089035511,1
79,129,0.1344007254,-4.338512421,1
79,161,0.4040561318,-5.380173683,1
79,193,0.3453534842,-4.981933117,1
79,225,-0.09591794014,-4.302632332,1
79,257,-0.6117715836,-4.763458729,1
79,289,-0.7622165084,-5.18654108,1
79,321,-0.3131631017,-6.841190338,1
79,353,1.155251861,-3.009035587,1
79,385,1.221848011,-1.317405224,1
79,417,-0.6202640533,-2.996566057,1
79,449,-0.9280923605,-2.449016333,1
79,481,-0.05136168003,-2.579550028,1
79,513,-0.1058810651,-3.733968735,1
79,545,-0.4898127615,-3.954639912,1
79,577,-0.2039803267,-4.136735916,1
79,609,-0.128357172,-4.926487446,1
79,641,-0.07626079023,-5.123832703,1
79,673,0.2098921537,-4.437645912,1
79,705,0.1324793994,-4.101881504,1
79,737,-0.6291808486,-3.462144852,1
79,769,-1.032409906,-4.570315361,1
79,801,-2.216140032,-5.946656704,1
79,833,-2.859365225,-5.494457722,1
79,865,-1.825519919,-4.351611137,1
79,897,-0.4658516645,-4.50790596,1
79,929,0.0328783989,-4.408858776,1
79,961,-1.205358267,-5.320099831,1
79,993,-1.723202229,-6.297862053,1
79,1025,-2.223307133,-6.593211174,1
79,1057,-2.26657939,-5.243494511,1
79,1089,-2.105918407,-4.049479485,1
79,1121,-1.861528397,-4.05739212,1
79,1153,-1.82574892,-5.491754532,1
79,1185,-0.9330224395,-5.269377708,1
79,1217,-0.3507195115,-2.728192329,1
79,1249,-1.152720332,-3.101774693,1
79,1281,-0.9029083252,-1.594814777,1
79,1313,-1.274973631,-3.954001188,1
79,1345,-1.419850826,-3.588958979,1
79,1377,-2.363999844,-3.069884777,1
79,1409,-2.277974367,-3.142372131,1
79,1441,-1.12471652,-2.438811541,1
79,1473,-2.197995663,-1.861273289,1
79,1505,-2.567293406,-2.462320566,1
79,1537,-2.877627373,-2.770724058,1
79,1569,-2.421794653,-2.534029722,1
79,1601,-1.784018159,-2.68151021,1
79,1633,-1.491806149,-3.213871956,1
79,1665,-1.750143528,-2.8109653,1
79,1697,-2.783370018,-2.265482903,1
79,1729,-3.799818993,-1.623873591,1
79,1761,-3.723305702,-0.5966852307,1
79,1793,-3.343399525,-0.6217722297,1
79,1825,-3.17894721,-1.743807673,1
79,1857,-5.697511673,-0.1005680561,1
79,1889,-5.619420052,-0.6829739809,1
79,1921,-2.503922462,-1.792186737,1
79,1953,-0.5110874176,-0.5135859251,1
79,1985,-2.949800491,-0.4330965281,1
79,2017,-2.924566269,-2.213178158,1
111,33,21.3216362,5.395278931,1
111,65,1.273343563,-3.170876503,1
111,97,0.4126197696,-4.913272858,1
111,129,-0.6158564091,-5.189730167,1
111,161,-0.6271423697,-4.536735058,1
111,193,0.2163611799,-4.010054111,1
111,225,0.1378971338,-3.830982685,1
111,257,-0.3266893327,-4.271454811,1
111,289,-1.421324253,-4.643009663,1
111,321,-0.04112632573,-4.676515579,1
111,353,3.086914539,-3.340249062,1
