PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 7, filenames: A:[7]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[8]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-6.509998322,30.91823578,1
47,65,-1.24579978,-4.101691246,1
47,97,-3.496487617,-12.96720695,1
47,129,-3.909770012,-11.47525215,1
47,161,-3.8933568,-10.17180729,1
47,193,-3.693330765,-8.215255737,1
47,225,-4.254657269,-8.496195793,1
47,257,-3.719117641,-10.83799362,1
47,289,-4.256515503,-12.0313921,1
47,321,-3.834807873,-11.61071587,1
47,353,-2.067296982,-9.902819633,1
47,385,-1.655036926,-7.714118004,1
47,417,-3.292088509,-6.800519943,1
47,449,-2.059809446,-6.16765213,1
47,481,-1.550989628,-6.016123772,1
47,513,-1.08968854,-4.188918591,1
47,545,-0.7178862095,-5.964118004,1
47,577,-1.065931201,-6.552397728,1
47,609,-1.166505814,-7.073684692,1
47,641,-2.294540167,-5.860391617,1
47,673,-3.45483613,-2.738556385,1
47,705,-2.371639729,-2.396176338,1
47,737,0.120983839,-3.871586323,1
47,769,0.5021506548,-6.462312698,1
47,801,0.1128996611,-6.088430882,1
47,833,0.3216847181,-5.58465004,1
47,865,0.6934268475,-6.861908436,1
47,897,-1.602717876,-7.176324844,1
47,929,1.82344079,-6.231925488,1
47,961,3.887639046,-6.428871632,1
47,993,1.805410862,-6.009610176,1
47,1025,3.69763422,-5.633067608,1
47,1057,4.17220068,-5.119093418,1
47,1089,4.491792202,-6.034453392,1
47,1121,5.097400665,-6.892098427,1
47,1153,3.68050766,-7.235287666,1
47,1185,3.529150009,-6.675107956,1
47,1217,4.544808865,-6.938556671,1
47,1249,5.132205963,-6.402507782,1
47,1281,25.33011436,-6.323486328,1
47,1313,3.531057358,-4.625231743,1
47,1345,3.830896378,-5.388764381,1
47,1377,3.554707527,-6.111841202,1
47,1409,4.984588623,-5.611619949,1
47,1441,5.718790054,-6.608416557,1
47,1473,5.723006248,-7.145020485,1
47,1505,6.506362915,-8.258974075,1
47,1537,7.113607407,-8.180827141,1
47,1569,7.561645508,-9.074282646,1
47,1601,7.585245132,-9.612463951,1
47,1633,6.498384476,-10.62011337,1
47,1665,5.527486324,-9.623473167,1
47,1697,4.97552681,-7.46372509,1
47,1729,4.848088264,-7.447185516,1
47,1761,4.913817406,-7.631750107,1
47,1793,5.564350605,-6.399430752,1
47,1825,4.612445354,-6.164011478,1
47,1857,4.173740864,-5.491738319,1
47,1889,4.326343536,-4.916369915,1
47,1921,2.489601135,-4.336819649,1
47,1953,2.253916264,-4.439106941,1
47,1985,4.103689194,-5.362299442,1
47,2017,5.766537666,-5.933520317,1
79,33,-14.85582161,2.361158371,1
79,65,-16.95749092,-17.84242249,1
79,97,-2.668302774,-10.77165985,1
79,129,-3.288419724,-10.25318718,1
79,161,-3.251734495,-10.18164158,1
79,193,-2.513921976,-9.88368988,1
79,225,-3.70842123,-8.633089066,1
79,257,-3.915564299,-10.25855732,1
79,289,-3.369550705,-10.82535648,1
79,321,-3.085760355,-10.3876543,1
79,353,-2.013152361,-9.448040962,1
79,385,-0.3970482349,-5.755080223,1
79,417,-0.7645304203,-4.044707298,1
79,449,-2.029081821,-5.258742332,1
79,481,-2.222563744,-5.990582466,1
79,513,-1.799984813,-5.397299767,1
79,545,-1.577651739,-5.685601711,1
79,577,-1.7359308,-5.195363045,1
79,609,-1.750415325,-4.969259739,1
79,641,-1.525344133,-5.575282097,1
79,673,-1.532014132,-5.324179173,1
79,705,-0.5950805545,-4.347940445,1
79,737,0.3988955617,-4.636126518,1
79,769,0.9474114776,-5.750574112,1
79,801,1.02602756,-6.289013386,1
79,833,1.917497516,-5.944274426,1
79,865,2.95123148,-6.042637348,1
79,897,2.583108425,-5.608211517,1
79,929,2.339181662,-5.877071381,1
79,961,2.452695131,-5.732000351,1
79,993,2.036137819,-5.223698616,1
79,1025,3.664992332,-4.813831329,1
79,1057,4.730806828,-4.326673985,1
79,1089,4.24795866,-5.459371567,1
79,1121,3.792256832,-6.126260757,1
79,1153,3.706464767,-5.840489388,1
79,1185,4.381403923,-6.402498722,1
79,1217,5.812439442,-5.665384293,1
79,1249,6.459862709,-5.827972412,1
79,1281,6.857593536,-5.707104206,1
79,1313,6.940373898,-5.665972233,1
79,1345,5.90726614,-6.210072517,1
79,1377,6.480801105,-7.031952858,1
79,1409,6.838943481,-6.378805161,1
79,1441,4.30755043,-7.35986042,1
79,1473,5.380688667,-7.593522072,1
79,1505,7.127352715,-8.47069931,1
79,1537,8.100558281,-9.310787201,1
79,1569,7.781712532,-10.33538532,1
79,1601,6.876678944,-10.19169807,1
79,1633,7.130788326,-10.12701607,1
79,1665,6.756400108,-9.672816277,1
79,1697,6.707036495,-9.507562637,1
79,1729,6.217349052,-10.39236259,1
79,1761,5.497459888,-8.506763458,1
79,1793,5.034094334,-6.38277483,1
79,1825,3.685112,-5.64101553,1
79,1857,3.815954208,-4.723379135,1
79,1889,4.444440842,-4.492601395,1
79,1921,3.134182692,-4.317905426,1
79,1953,1.731286526,-4.214807034,1
79,1985,2.371619701,-5.107880592,1
79,2017,3.052278042,-6.172206879,1
111,33,0.2959697247,-1.383378029,1
111,65,-1.085130215,-9.568506241,1
111,97,-1.276274562,-9.294615746,1
111,129,-2.50850749,-7.637213707,1
111,161,-2.872328758,-9.708937645,1
111,193,-1.86950469,-9.825289726,1
111,225,-3.343550682,-9.503979683,1
111,257,-3.896142721,-9.980343819,1
111,289,-3.338268042,-10.03100204,1
111,321,-2.751832962,-9.500929832,1
111,353,-2.127882242,-8.318302155,1
111,385,-1.067027569,-3.674589634,1
111,417,-0.9016652107,-4.338141441,1
111,449,-2.343844414,-6.238374233,1
111,481,-2.849746704,-4.66603899,1
111,513,-2.058686972,-4.277667046,1
111,545,-2.119205952,-4.55384922,1
111,577,-1.966664791,-3.998908043,1
111,609,-0.8655065298,-1.737397194,1
111,641,0.09408593178,-3.682042599,1
111,673,-0.3267673254,-6.170573235,1
111,705,0.6603928804,-6.658041954,1
111,737,1.509597301,-6.534394741,1
111,769,1.696561575,-6.194150925,1
111,801,1.65177536,-5.716662884,1
111,833,2.647061825,-5.748998165,1
111,865,3.732127905,-5.68938303,1
111,897,3.842842817,-5.871947289,1
111,929,3.444043636,-6.030612469,1
111,961,2.973149538,-6.095614433,1
111,993,3.194591761,-5.092881203,1
111,1025,3.918602943,-4.601898193,1
111,1057,4.633366585,-4.651881218,1
111,1089,3.82699585,-5.49397707,1
111,1121,2.233775616,-6.0578022,1
111,1153,3.75830555,-5.235972404,1
111,1185,4.931969166,-5.561850548,1
111,1217,6.433076859,-5.343301773,1
111,1249,7.888685703,-5.706301212,1
111,1281,8.784823418,-5.674328804,1
111,1313,8.620043755,-6.183154106,1
111,1345,6.59720993,-7.976023674,1
111,1377,7.188327789,-9.060732841,1
111,1409,5.786669731,-8.609968185,1
111,1441,4.377051353,-8.768713951,1
111,1473,6.225884438,-8.963297844,1
111,1505,8.213718414,-9.614242554,1
111,1537,8.229716301,-10.92844963,1
111,1569,7.886343002,-10.66070557,1
111,1601,7.314362526,-10.8769598,1
111,1633,7.259968281,-10.21514606,1
111,1665,7.911046982,-9.540225029,1
111,1697,8.686723709,-9.011679649,1
111,1729,7.557175159,-10.12666798,1
111,1761,6.274666309,-9.517605782,1
111,1793,5.878361702,-6.874963284,1
111,1825,5.095556259,-5.400119781,1
111,1857,4.640766144,-4.211037159,1
111,1889,4.128418922,-3.971735477,1
111,1921,3.07755661,-3.969920635,1
111,1953,2.138794184,-3.425781488,1
111,1985,1.843682885,-4.226015091,1
111,2017,2.352127314,-6.10011816,1
143,33,11.15466309,0.7943220139,1
143,65,-1.776750565,-8.122458458,1
143,97,-1.267965078,-8.595441818,1
143,129,-2.565499306,-7.09565258,1
143,161,-3.441986322,-9.592530251,1
143,193,-3.924932241,-9.231580734,1
