PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 22, filenames: A:[22]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[23]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,2.743050575,18.93520546,1
47,65,-0.07854759693,4.133582592,1
47,97,-1.281617761,-4.047245026,1
47,129,-1.563702583,-5.887471199,1
47,161,-1.882716417,-5.892173767,1
47,193,-1.612428427,-4.69164753,1
47,225,-2.432030678,-5.347205639,1
47,257,-2.324124813,-5.679391384,1
47,289,-1.306591511,-6.095942497,1
47,321,0.5297017097,-7.004889011,1
47,353,0.7952542305,-8.54301548,1
47,385,-1.522621751,-8.551568985,1
47,417,0.3429682255,-6.119699955,1
47,449,0.424582243,-3.372330666,1
47,481,-0.4024902582,-2.959505081,1
47,513,-1.664928555,-4.253648281,1
47,545,-2.981102467,-5.02833271,1
47,577,-3.570338488,-5.433292389,1
47,609,-2.816379547,-5.745239258,1
47,641,-3.276993752,-6.616860867,1
47,673,-1.852904797,-5.960492134,1
47,705,-2.69169569,-4.832657337,1
47,737,-3.194633484,-5.004277706,1
47,769,-3.264138222,-4.674987793,1
47,801,-4.158683777,-3.494152069,1
47,833,-3.446905613,-3.469745159,1
47,865,-3.013910055,-4.203921795,1
47,897,-4.044780731,-4.097231865,1
47,929,-5.732548237,-3.428268194,1
47,961,-5.585141659,-3.33442831,1
47,993,-4.162163734,-4.126721382,1
47,1025,-4.070268631,-5.961949348,1
47,1057,-4.768960953,-5.462179661,1
47,1089,-4.876621246,-4.417843342,1
47,1121,-3.680589676,-3.640866756,1
47,1153,-4.440534592,-3.384799719,1
47,1185,-4.51613903,-3.218886375,1
47,1217,-3.537185669,-2.466445684,1
47,1249,-2.202225685,-2.111332178,1
47,1281,-2.794497252,-0.2548344135,1
47,1313,-1.532138348,-0.7984242439,1
47,1345,-0.7817153931,-0.6755275726,1
47,1377,0.04849457741,-2.087651491,1
47,1409,-0.1112391949,-2.936680555,1
47,1441,-2.989738464,-4.038056374,1
47,1473,-3.230205774,-4.087765694,1
47,1505,-2.651386976,-3.397995472,1
47,1537,-1.331888676,-2.510652065,1
47,1569,-2.072530746,-3.068364143,1
47,1601,-1.714597225,-2.415900469,1
47,1633,-1.672284126,-2.74736619,1
47,1665,-2.482553482,-2.108346701,1
47,1697,-3.776952267,-2.201937914,1
47,1729,-3.383583784,-1.965838432,1
47,1761,-2.019960403,-1.826188207,1
47,1793,-1.533080101,-1.046522856,1
47,1825,-1.94377327,-0.6079008579,1
47,1857,-3.045120239,-0.9884265661,1
47,1889,-2.860349894,-2.981920481,1
47,1921,-1.745108366,-3.534925938,1
47,1953,11.30788517,-18.0874176,1
47,1985,-3.961775541,-0.4368174076,1
47,2017,0.02670884132,-0.09236764908,1
79,33,-17.18469429,9.874406815,1
79,65,-1.318519473,-1.360944629,1
79,97,-2.216328621,-4.402593613,1
79,129,-2.598328829,-5.397458553,1
79,161,-2.259551764,-5.4223032,1
79,193,-2.026228905,-4.792199135,1
79,225,-2.114382267,-4.995280743,1
79,257,-1.703531981,-5.123804092,1
79,289,-0.8866817951,-5.577577591,1
79,321,0.4118540287,-5.864350319,1
79,353,-0.3256183863,-6.715575218,1
79,385,-1.584218144,-7.145668983,1
79,417,-1.05175364,-5.995782375,1
79,449,-0.0007684230804,-4.583084583,1
79,481,0.06340491772,-4.350358963,1
79,513,-1.248980761,-5.70895195,1
79,545,-1.425278425,-5.877632141,1
79,577,-2.411508322,-5.306312084,1
79,609,-2.524004459,-6.211630344,1
79,641,-3.124726534,-7.209739685,1
79,673,-3.336693525,-6.065345764,1
79,705,-3.155957222,-5.594064236,1
79,737,-2.870791435,-5.176561356,1
79,769,-2.275406122,-4.232854366,1
79,801,-2.634172916,-3.806232929,1
79,833,-2.405720711,-4.092605114,1
79,865,-1.798229933,-4.114469528,1
79,897,-3.287982702,-3.488450527,1
79,929,-4.24263525,-3.073409557,1
79,961,-3.311326504,-2.720598459,1
79,993,-3.258819342,-3.343645334,1
79,1025,-2.987789392,-4.161522865,1
79,1057,-2.988476992,-4.889603615,1
79,1089,-3.793228626,-4.604587078,1
79,1121,-0.4049968719,8.134101868,1
79,1153,-4.601610184,-3.558403254,1
79,1185,-3.922187805,-4.345872879,1
79,1217,-2.909957409,-3.211077452,1
79,1249,-2.186519146,-2.015257359,1
79,1281,-3.218537807,-1.51178813,1
79,1313,-3.615801334,-1.722189426,1
79,1345,-3.180211306,-1.588000774,1
79,1377,-0.994340837,-2.927891016,1
79,1409,1.003261328,-3.777994394,1
79,1441,1.026820064,-2.804849863,1
79,1473,-1.889647365,-2.215065956,1
79,1505,-3.063949108,-2.334413767,1
79,1537,-3.086762428,-2.39058733,1
79,1569,-4.149060249,-2.540944576,1
79,1601,-4.207266331,-2.661848545,1
79,1633,-2.31649375,-2.942459345,1
79,1665,-2.692385197,-3.077557325,1
79,1697,-3.947037697,-3.101249933,1
79,1729,-4.801642418,-1.943435431,1
79,1761,-4.478256226,-1.313503623,1
79,1793,-2.889794111,-0.8189409971,1
79,1825,-1.866097689,-0.7980074286,1
79,1857,-1.692241549,-1.313995838,1
79,1889,-1.405063391,-2.57742548,1
79,1921,-0.171764195,-3.443158388,1
79,1953,3.624814034,-3.728133678,1
79,1985,1.506445765,-0.8911514282,1
79,2017,0.149610728,-1.550724983,1
111,33,3.336182833,3.814815044,1
111,65,-0.9381000996,-5.5732584,1
111,97,-1.712128639,-5.591911316,1
111,129,-2.123333931,-4.973027229,1
111,161,-2.191521883,-5.380872726,1
111,193,-2.160488605,-5.266066551,1
111,225,-1.588880539,-5.370434761,1
111,257,-1.181045532,-5.468215942,1
111,289,-1.086058497,-5.441238403,1
111,321,-1.656284571,-5.372271538,1
111,353,-2.88895607,-5.525803566,1
111,385,-2.334810257,-6.207845688,1
111,417,-2.029419184,-6.250268936,1
111,449,-1.364531994,-6.376553059,1
111,481,-0.4248358011,-5.987092495,1
111,513,-1.415156007,-6.072000027,1
111,545,-3.30329442,-6.039203644,1
111,577,-3.141006231,-5.598544121,1
111,609,-3.093630791,-6.486420155,1
111,641,-3.06127739,-6.725217819,1
111,673,-3.205968857,-6.077379227,1
111,705,-3.047535896,-5.675082684,1
111,737,-2.660247564,-5.595668316,1
111,769,-1.902810574,-5.084209919,1
111,801,-0.5325994492,-4.837997913,1
111,833,-1.639255524,-5.458225727,1
111,865,-1.101472378,-4.58100462,1
111,897,-1.877828836,-3.81379056,1
111,929,-3.448901653,-3.37955904,1
111,961,-3.520992041,-3.126529217,1
111,993,-3.071399689,-3.238898277,1
111,1025,-1.45472455,-3.636891127,1
111,1057,-1.305526972,-4.510056973,1
111,1089,-2.707919836,-4.654854774,1
111,1121,-4.963914394,-4.165654182,1
111,1153,-4.820027828,-3.453002453,1
111,1185,-3.642872334,-3.116590023,1
111,1217,-3.46092248,-2.485286474,1
111,1249,-3.41372776,-1.949887753,1
111,1281,-3.422500134,-1.839746237,1
111,1313,-4.393119812,-2.535714626,1
111,1345,-3.686451435,-2.760845661,1
111,1377,-1.914752483,-3.235298872,1
111,1409,-0.2039078474,-3.245228291,1
111,1441,0.3255198002,-2.566694975,1
111,1473,-1.584798098,-1.607931852,1
111,1505,-3.119894505,-2.133108854,1
111,1537,-4.411119461,-2.19839859,1
111,1569,-4.047392368,-1.700439215,1
111,1601,-3.284506798,-1.274814606,1
111,1633,-3.81902194,-2.645462751,1
111,1665,-3.551280737,-3.046932459,1
111,1697,-3.637586355,-2.648828506,1
111,1729,-4.220759392,-1.378845692,1
111,1761,-4.271134853,-1.473171234,1
111,1793,-3.595682383,-0.7106089592,1
111,1825,-2.554283142,-0.2573051453,1
111,1857,-1.132656336,-1.350379586,1
111,1889,-0.3003636599,-2.611165524,1
111,1921,0.5058634281,-2.66542387,1
111,1953,2.279485703,-3.607621193,1
111,1985,1.315038443,-1.69655931,1
111,2017,-0.9829534292,-0.7268080711,1
143,33,0.3598462343,0.3407874107,1
143,65,-0.7335114479,-7.447082043,1
143,97,-1.196803808,-7.040922642,1
143,129,-1.747074127,-5.891147614,1
143,161,-1.983968496,-5.57565546,1
143,193,-2.011065722,-5.313416481,1
143,225,-1.454380512,-5.288137436,1
143,257,-0.5286221504,-5.585245609,1
143,289,-0.7828491926,-5.478290558,1
143,321,-2.070585728,-5.471151352,1
143,353,-3.668169498,-5.369895935,1
143,385,-4.329402924,-6.060789108,1
143,417,-2.870819092,-6.717545986,1
143,449,-2.427843094,-6.456754208,1
143,481,-1.925947428,-6.376510143,1
143,513,-1.793049693,-7.012259483,1
143,545,-1.519709587,-6.165134907,1
143,577,-2.810764313,-6.353029251,1
143,609,-4.27207756,-6.489583969,1
143,641,-3.880892992,-6.421299934,1
143,673,-3.14901042,-5.869777203,1
143,705,-2.779031754,-5.570792198,1
143,737,-2.038820028,-5.890046597,1
143,769,-2.101477623,-5.557348251,1
143,801,-2.627275944,-5.136593819,1
143,833,-3.038520813,-5.314105034,1
143,865,-3.469045639,-4.567556381,1
143,897,-3.687204123,-3.613100052,1
143,929,-3.694443464,-2.80446291,1
143,961,-3.62424159,-2.182098389,1
143,993,-2.750148535,-2.618525505,1
143,1025,-1.674791574,-3.107283831,1
143,1057,-1.887531757,-3.660559654,1
143,1089,-2.007730961,-3.910307646,1
143,1121,-2.712457418,-3.858804703,1
143,1153,-3.197721958,-3.129854441,1
143,1185,-3.09900856,-2.460071802,1
143,1217,-3.221960783,-2.193651438,1
143,1249,-3.281993389,-1.805721998,1
143,1281,-2.442264318,-1.502740145,1
143,1313,-3.86574316,-2.423977852,1
143,1345,-4.369434357,-4.425080299,1
143,1377,-2.595557928,-4.585062981,1
143,1409,-2.008346796,-3.730685234,1
143,1441,-1.787268162,-2.430947065,1
143,1473,-2.052531242,-1.298053384,1
143,1505,-4.311387062,-1.842765808,1
143,1537,-4.318585396,-2.802908182,1
143,1569,-4.260546207,-1.614770651,1
143,1601,-4.711610794,-1.116575718,1
143,1633,-5.386070251,-2.67599225,1
143,1665,-4.568371296,-2.691576958,1
143,1697,-4.512869835,-2.200260401,1
143,1729,-4.547549248,-1.268978,1
143,1761,-4.069519043,-1.434888959,1
143,1793,-5.102703094,-0.9038847685,1
143,1825,-3.993837357,-0.4613682032,1
143,1857,-1.71835804,-0.8088692427,1
143,1889,-0.3181841373,-1.495289087,1
143,1921,0.2758492231,-1.236682415,1
143,1953,1.358045101,-1.256342173,1
143,1985,0.3016242981,-1.254299283,1
143,2017,-1.402981162,-0.6513675451,1
175,33,1.509055853,0.5365841389,1
175,65,-2.230772734,-9.012947083,1
175,97,-2.973552465,-7.287227154,1
175,129,-2.523984909,-6.256370544,1
175,161,-2.712363958,-5.888043404,1
175,193,-2.41533637,-5.186086178,1
175,225,-2.039218664,-5.068608284,1
175,257,-1.614901662,-5.78548336,1
175,289,-1.36515379,-5.707585812,1
175,321,-1.707469344,-5.370366573,1
175,353,-3.499073982,-5.351126671,1
175,385,-3.605542898,-6.985114098,1
175,417,-2.450024128,-7.935185909,1
