PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 1, filenames: A:[1]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[2]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,38.95635223,96.76435089,1
47,65,38.98401642,74.63627625,1
47,97,39.76630402,74.1164093,1
47,129,68.75872803,84.35823059,1
47,161,71.79545593,87.29764557,1
47,193,73.47898865,91.95018005,1
47,225,45.65969849,93.24272156,1
47,257,58.33036041,93.17843628,1
47,289,72.31004333,64.14655304,1
47,321,78.60240936,101.6946869,1
47,353,76.75093079,99.02140045,1
47,385,40.56497192,67.34766388,1
47,417,37.10434341,65.83122253,1
47,449,43.26843262,61.37522125,1
47,481,56.61040497,77.46755219,1
47,513,80.26259613,70.38721466,1
47,545,61.45681381,48.78562164,1
47,577,81.26538086,53.48822784,1
47,609,86.00827026,56.9862175,1
47,641,88.68540955,62.33813477,1
47,673,86.28714752,62.25442505,1
47,705,86.46688843,61.098526,1
47,737,51.42140961,47.15334702,1
47,769,79.95776367,39.89546204,1
47,801,78.62052917,39.29462814,1
47,833,81.49639893,57.06867218,1
47,865,64.91893005,25.14871979,1
47,897,65.28260803,23.55322075,1
47,929,90.56486511,28.28693962,1
47,961,85.75909424,21.58755302,1
47,993,85.8782196,23.96187019,1
47,1025,88.58015442,14.33787537,1
47,1057,79.50178528,33.44161224,1
47,1089,65.34712219,28.80997849,1
47,1121,98.05118561,9.736463547,1
47,1153,98.09230042,10.62259483,1
47,1185,88.55706787,30.32784653,1
47,1217,75.30168915,-9.752002716,1
47,1249,59.18908691,-8.855815887,1
47,1281,58.98981476,11.44727039,1
47,1313,54.00969696,-3.271142006,1
47,1345,49.20331955,-7.138064384,1
47,1377,34.40875626,5.881528378,1
47,1409,39.45682526,-15.77792931,1
47,1441,63.51158142,8.603899002,1
47,1473,40.34922791,-20.1720295,1
47,1505,36.61737442,-16.21271896,1
47,1537,29.61614227,-6.31980896,1
47,1569,17.65598106,-2.332037926,1
47,1601,32.70266724,11.02842903,1
47,1633,15.53680611,15.67854881,1
47,1665,-1.585442543,-15.38049698,1
47,1697,-1.654791832,-17.33452797,1
47,1729,25.65761566,-23.45405388,1
47,1761,28.07827759,-9.930304527,1
47,1793,36.67939758,-28.83706093,1
47,1825,12.39395142,-17.98136139,1
47,1857,53.23868942,-19.20930862,1
47,1889,50.30981827,-21.5487175,1
47,1921,67.89759064,-41.87411499,1
47,1953,49.56657028,-79.91931152,1
47,1985,-6.644233704,-42.43962097,1
