PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 5, filenames: A:[5]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[6]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-39.56992722,38.22374725,1
47,65,-3.938806534,15.62112236,1
47,97,-10.94702911,12.46640491,1
47,129,-12.97636604,-25.7230835,1
47,161,-13.23803329,-29.78240967,1
47,193,-14.39828968,-26.24289894,1
47,225,-14.1033659,-25.14425468,1
47,257,-11.62491894,-24.7609005,1
47,289,-12.47411442,-24.18118477,1
47,321,-14.56591702,-24.87927055,1
47,353,-13.88951588,-24.85907745,1
47,385,-12.87247372,-25.11909485,1
47,417,-12.47062588,-22.59255219,1
47,449,-11.25464249,-21.19310379,1
47,481,-9.462410927,-22.09555435,1
47,513,-8.798671722,-44.77059937,1
47,545,0.9343204498,-38.91502762,1
47,577,-11.52862263,-25.41471291,1
47,609,-13.74652481,-22.04189682,1
47,641,-15.37719345,-22.42662621,1
47,673,-14.72195053,-20.03771973,1
47,705,-14.41318798,-19.06949043,1
47,737,-17.45567703,-16.32730103,1
47,769,-12.23766518,-15.39095879,1
47,801,-12.11151218,-14.77542019,1
47,833,-9.766821861,-15.74057579,1
47,865,-8.9856987,-12.11389732,1
47,897,-7.061255455,-16.66850853,1
47,929,-6.151387215,-16.96279526,1
47,961,-5.551577568,-16.4450531,1
47,993,-5.019408226,-17.36268234,1
47,1025,-5.7718153,-16.47252274,1
47,1057,-7.632887363,-16.00511169,1
47,1089,-6.092545509,-16.20249557,1
47,1121,-6.86575985,-16.94561768,1
47,1153,-6.158076286,-17.12963867,1
47,1185,-5.663698196,-16.40990067,1
47,1217,-6.69871664,-15.85307217,1
47,1249,-7.804674149,-15.73394585,1
47,1281,-6.758042336,-13.61781502,1
47,1313,-3.759551048,-11.21274757,1
47,1345,-3.927868366,-11.14266014,1
47,1377,-3.025046349,-11.64151192,1
47,1409,-4.196029186,-13.46072674,1
47,1441,-4.176762581,-14.03977585,1
47,1473,-2.947951317,-13.09234619,1
47,1505,-4.370502472,-10.60916996,1
47,1537,-4.618184566,-9.50633812,1
47,1569,-4.732550144,-9.800723076,1
47,1601,-6.190308571,-8.470825195,1
47,1633,-4.535257339,-8.157261848,1
47,1665,-4.855864525,-6.845254898,1
47,1697,-4.681154728,-5.237532139,1
47,1729,-4.442781448,-4.814802647,1
47,1761,-5.395965099,-3.790949345,1
47,1793,-6.395717621,-2.751791,1
47,1825,-9.221505165,-2.941121817,1
47,1857,-10.57718945,-1.227983713,1
47,1889,-9.535805702,1.499524236,1
47,1921,-7.032034397,-0.1324955225,1
47,1953,-6.5171175,1.808396578,1
47,1985,-8.948310852,2.440805435,1
47,2017,7.752220154,0.338133812,1
79,33,-29.58620834,17.05497932,1
79,65,-18.98260117,-14.57025909,1
79,97,-9.849617004,11.63517952,1
79,129,-13.0915432,-26.8585434,1
79,161,-14.25413132,-28.54647255,1
79,193,-16.06679153,-26.07457352,1
79,225,-15.97002792,-25.9475174,1
79,257,-14.84114933,-24.2534523,1
79,289,-14.31643105,-25.41708755,1
79,321,-13.50029373,-26.00358772,1
79,353,-12.89028072,-25.59037399,1
79,385,-12.95745087,-24.59979057,1
79,417,-12.43482685,-23.08849144,1
79,449,-10.82172298,-21.83189011,1
79,481,-11.38192654,-22.99271011,1
79,513,-12.58121204,-25.09850121,1
79,545,-13.35602474,-24.5528717,1
79,577,-11.74222183,-23.73302269,1
79,609,-11.33110332,-23.01375008,1
79,641,-11.49996662,-21.03240776,1
79,673,-12.98419857,-17.12059784,1
79,705,-13.96354008,-18.24730682,1
79,737,-13.90836906,-17.58734512,1
79,769,-10.81493378,-16.29829216,1
79,801,-9.477661133,-15.49889565,1
79,833,-7.651731014,-16.26588058,1
79,865,-7.367983341,-16.76220703,1
79,897,-9.36031723,-16.79194832,1
79,929,-7.876522541,-17.05228615,1
79,961,-6.220618725,-17.29159927,1
79,993,-6.275883675,-17.76224518,1
79,1025,-7.399658203,-17.51755905,1
79,1057,-4.850961685,-16.15140152,1
79,1089,-4.577040672,-15.69333458,1
79,1121,-4.6749897,-17.2314415,1
79,1153,-4.483403206,-16.88618088,1
79,1185,-3.950139523,-15.17045975,1
79,1217,-3.845775127,-14.30265522,1
79,1249,-4.148766518,-13.41789532,1
79,1281,-2.566652775,-11.91069317,1
79,1313,-2.248523712,-11.21584606,1
79,1345,-2.900408506,-10.75741959,1
79,1377,-4.781937599,-11.02956581,1
79,1409,-4.898444653,-12.67723656,1
79,1441,-3.633869648,-12.56912994,1
79,1473,-3.365782261,-11.44352913,1
79,1505,-3.483303785,-10.03601837,1
79,1537,-2.823352814,-8.949940681,1
79,1569,-3.716545582,-8.839238167,1
79,1601,-4.894864082,-8.605958939,1
79,1633,-4.559910774,-7.440739632,1
79,1665,-3.638072252,-5.732670784,1
79,1697,-3.240655899,-5.161099911,1
79,1729,-4.366301537,-4.836313248,1
79,1761,-4.636463165,-4.539139748,1
79,1793,-5.036423683,-3.649719715,1
79,1825,-7.726749897,-2.984052181,1
79,1857,-8.263861656,-1.467491627,1
79,1889,-8.088895798,-0.9659136534,1
79,1921,-7.204647064,-2.950368404,1
79,1953,-6.969203949,1.541317821,1
79,1985,-5.781692982,3.463069201,1
79,2017,-4.967471123,-2.429515362,1
111,33,-23.82700348,3.170381546,1
111,65,-12.86951828,-20.22487259,1
111,97,-10.96720886,-23.00079155,1
111,129,-14.69235802,-25.63568497,1
111,161,-14.84331417,-26.29578018,1
111,193,-14.96664715,-25.74700546,1
111,225,-15.46710777,-26.23120308,1
111,257,-15.56653309,-25.63857841,1
111,289,-15.14530468,-26.22544098,1
111,321,-14.5375433,-26.11943054,1
111,353,-14.35306358,-25.43748474,1
111,385,-13.40609646,-24.36517906,1
111,417,-12.31814384,-22.96967697,1
111,449,-12.28175354,-21.11053276,1
111,481,-25.43611908,-8.001951218,1
111,513,-11.51540756,-24.97323227,1
111,545,-11.79826736,-22.68192101,1
111,577,-10.87145615,-21.10139465,1
111,609,-10.80661201,-21.77545357,1
111,641,-10.34493446,-20.19687462,1
111,673,-10.91588974,-18.29921532,1
111,705,-12.08049393,-17.62598038,1
111,737,-11.40045166,-17.5042038,1
111,769,-9.587451935,-16.97577477,1
111,801,-7.514530659,-16.30085754,1
111,833,-5.95586586,-16.29366493,1
111,865,-5.812067032,-15.93978691,1
111,897,-6.191779137,-15.66306114,1
111,929,-5.412043095,-15.40473175,1
