PIVlab, ASCII chart output - 06-Feb-2024
FRAME: 3, filenames: A:[3]MAX_TimeSrs018_TgUtrmcherry_Controll.avi & B:[4]MAX_TimeSrs018_TgUtrmcherry_Controll.avi, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
47,33,-84.98151398,13.41087151,1
47,65,-37.79570007,-7.460806847,1
47,97,-26.56141663,9.105452538,1
47,129,-11.15514183,-16.30439377,1
47,161,-10.18823147,-11.96507359,1
47,193,-12.93617153,-13.25758839,1
47,225,-15.26598549,-14.40356064,1
47,257,-0.3773326874,0.4124188423,1
47,289,0.4691638947,-6.767112732,1
47,321,-8.26639843,-9.472100258,1
47,353,-7.703325272,-7.064304352,1
47,385,-8.185764313,-6.447628975,1
47,417,-9.142499924,-9.049560547,1
47,449,-11.87885952,-9.365047455,1
47,481,-12.30988693,-8.241193771,1
47,513,-8.455216408,-5.506500244,1
47,545,17.77479172,-3.504403591,1
47,577,3.868405342,9.150802612,1
47,609,4.901445389,11.67545891,1
47,641,-6.412650108,-2.546046972,1
47,673,9.106232643,25.07457542,1
47,705,15.69713211,7.598484039,1
47,737,19.96405602,21.30680084,1
47,769,14.3393898,4.730168343,1
47,801,2.172040939,3.061516762,1
47,833,36.99814224,5.59966135,1
47,865,2.683998108,7.25368309,1
47,897,26.02018738,1.07725811,1
47,929,31.04279518,-3.14785099,1
47,961,17.29245377,25.6895752,1
47,993,9.355585098,5.521494389,1
47,1025,6.84862709,4.193190575,1
47,1057,7.232172966,6.941446304,1
47,1089,2.414428711,-11.28490067,1
47,1121,31.15299034,2.143805504,1
47,1153,27.88151932,6.645686626,1
47,1185,16.93979645,4.338215351,1
47,1217,21.29990768,0.7751026154,1
47,1249,15.32862854,6.293590546,1
47,1281,-4.364052773,-5.359097481,1
47,1313,-4.79229641,-8.408166885,1
47,1345,8.955708504,-3.232420921,1
47,1377,8.830068588,-6.200050831,1
47,1409,1.912473679,-6.352918625,1
47,1441,3.311676025,-9.825082779,1
47,1473,7.426846504,-8.776063919,1
47,1505,8.567640305,-9.386075974,1
47,1537,5.836799622,-9.585175514,1
47,1569,5.29500103,-7.344285011,1
47,1601,8.214129448,-12.58628464,1
47,1633,12.11451912,-14.57444477,1
47,1665,10.99802017,-13.36342812,1
47,1697,8.90986824,-14.88246155,1
47,1729,10.1602993,-13.4876194,1
47,1761,19.54104614,-1.842135429,1
47,1793,14.85928917,-10.1845417,1
47,1825,-0.1619148254,-12.71380234,1
47,1857,4.121444702,-4.704913139,1
47,1889,-3.277593613,-3.519136429,1
47,1921,4.402060509,-8.269323349,1
47,1953,-4.30455637,-2.898209572,1
47,1985,-8.236907005,17.24393654,1
47,2017,-33.64218903,0.4329314232,1
